,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,On,ADP,21.582136154174805,13056,En,ADP,31.706634521484375,13056
1,the,DET,23.64407730102539,13056,el,DET,34.87918472290039,13056
2,path,NOUN,21.666202545166016,13056,camino,NOUN,30.882802963256836,13056
3,that,SCONJ,21.69618034362793,13056,de,ADP,31.006017684936523,13056
4,American,ADJ,22.899259567260742,13056,los,DET,33.61872863769531,13056
5,children,NOUN,20.15464210510254,13056,jóvenes,NOUN,34.598358154296875,13056
6,to,ADP,20.856136322021484,13056,de,ADP,30.231157302856445,13056
7,travel,VERB,20.391098022460938,13056,EE.UU,PROPN,34.82518005371094,13056
8,",",PUNCT,21.4505615234375,13056,.,PUNCT,29.909809112548828,13056
9,0,0,0.0,0,a,ADP,35.010704040527344,13056
10,0,0,0.0,0,la,DET,33.79390335083008,13056
11,adulthood,NOUN,19.97450065612793,13056,edad,NOUN,30.578102111816406,13056
12,0,0,0.0,0,adulta,ADJ,33.263465881347656,13056
13,0,0,0.0,0,",",PUNCT,30.25739860534668,13056
14,two,NUM,23.65624237060547,16971,dos,NUM,34.10859680175781,16971
15,institutions,NOUN,22.040992736816406,16971,instituciones,NOUN,34.86650848388672,16971
16,oversee,VERB,19.7076358795166,16971,supervisan,VERB,35.32115173339844,16971
17,the,DET,20.804197311401367,16971,el,DET,34.895263671875,16971
18,journey,NOUN,17.95572853088379,16971,viaje,NOUN,31.125661849975586,16971
19,.,PUNCT,21.357316970825195,16971,.,PUNCT,32.1330680847168,16971
20,The,DET,21.575523376464844,20519,La,DET,32.985877990722656,20519
21,first,ADJ,18.79261016845703,20519,primera,ADJ,34.66225051879883,20519
22,is,AUX,22.205238342285156,20519,es,AUX,33.097293853759766,20519
23,the,DET,21.587263107299805,20519,la,DET,33.11457443237305,20519
24,one,NOUN,18.74066734313965,20519,0,0,0.0,0
25,we,PRON,24.577693939208984,20519,que,PRON,33.46259307861328,20519
26,hear,VERB,24.484981536865234,20519,escuchamos,VERB,34.497764587402344,20519
27,a,DET,22.66423797607422,20519,la,DET,33.6670036315918,20519
28,lot,NOUN,20.79486083984375,20519,mucho,ADV,33.89191436767578,20519
29,about,ADP,21.63662338256836,20519,de,ADP,32.8046760559082,20519
30,:,PUNCT,19.578895568847656,20519,",",PUNCT,30.671199798583984,20519
31,college,NOUN,18.750328063964844,20519,universidad,PROPN,32.40898132324219,20519
32,.,PUNCT,20.597841262817383,20519,.,PUNCT,33.75454330444336,20519
33,Some,DET,21.130281448364258,24262,la,DET,36.1407470703125,24262
34,of,ADP,21.681428909301758,24262,0,0,0.0,0
35,you,PRON,22.219802856445312,24262,Algunos,PRON,32.89627456665039,24262
36,may,VERB,22.197940826416016,24262,recordarán,VERB,34.335601806640625,24262
37,remember,VERB,26.544416427612305,24262,sintieron,VERB,36.015899658203125,24262
38,the,DET,21.73042106628418,24262,0,0,0.0,0
39,excitement,NOUN,18.867788314819336,24262,emoción,NOUN,32.403358459472656,24262
40,that,SCONJ,20.470584869384766,24262,0,0,0.0,0
41,you,PRON,24.88082504272461,24262,que,PRON,33.663055419921875,24262
42,felt,VERB,21.1146297454834,24262,0,0,0.0,0
43,when,ADV,23.67200469970703,26845,cuando,SCONJ,36.5809326171875,26845
44,you,PRON,23.40840721130371,26845,0,0,0.0,0
45,first,ADV,21.91803550720215,26845,la,DET,34.40752410888672,26845
46,set,VERB,21.19639778137207,26845,partieron,VERB,34.93930435180664,26845
47,off,ADP,22.47718048095703,26845,universidad,PROPN,33.38025665283203,26845
48,for,ADP,21.948320388793945,26845,a,ADP,33.150672912597656,26845
49,college,NOUN,19.05095672607422,26845,0,0,0.0,0
50,.,PUNCT,20.985240936279297,26845,.,PUNCT,33.65139389038086,26845
51,Some,DET,21.128835678100586,29431,la,DET,34.46907043457031,29431
52,of,ADP,21.78506088256836,29431,en,ADP,32.892398834228516,29431
53,you,PRON,22.501800537109375,29431,Algunos,PRON,31.6600399017334,29431
54,may,VERB,23.196731567382812,29431,estar,VERB,33.4693717956543,29431
55,be,AUX,25.27101707458496,29431,pueden,AUX,35.41899108886719,29431
56,in,ADP,21.546419143676758,29431,0,0,0.0,0
57,college,NOUN,19.52936363220215,29431,universidad,NOUN,32.938106536865234,29431
58,right,ADV,20.92692756652832,29431,ahora,ADV,33.52753448486328,29431
59,now,ADV,23.94164276123047,29431,0,0,0.0,0
60,and,CCONJ,20.840009689331055,31983,y,CONJ,34.417510986328125,31983
61,you,PRON,23.217243194580078,31983,0,0,0.0,0
62,'re,AUX,21.764150619506836,31983,0,0,0.0,0
63,feeling,VERB,26.171571731567383,31983,sienten,VERB,35.76041793823242,31983
64,this,DET,21.710479736328125,31983,esa,DET,34.46149826049805,31983
65,excitement,NOUN,21.168581008911133,31983,emoción,NOUN,32.91958999633789,31983
66,at,ADP,22.198410034179688,31983,en,ADP,33.26003646850586,31983
67,this,DET,21.631072998046875,31983,este,DET,36.37986373901367,31983
68,very,ADJ,21.407161712646484,31983,preciso,ADJ,36.85440444946289,31983
69,moment,NOUN,21.48462677001953,31983,momento,NOUN,32.75093078613281,31983
70,.,PUNCT,22.5706729888916,31983,.,PUNCT,32.324676513671875,31983
71,0,0,0.0,0,La,DET,35.874961853027344,35988
72,College,NOUN,18.607316970825195,35988,universidad,NOUN,32.72494888305664,35988
73,has,AUX,22.172224044799805,35988,tiene,VERB,36.048828125,35988
74,some,DET,24.34319305419922,35988,algunas,DET,35.16496658325195,35988
75,shortcomings,NOUN,21.05946922302246,35988,deficiencias,NOUN,35.00116729736328,35988
76,.,PUNCT,22.383108139038086,35988,.,PUNCT,32.843177795410156,35988
77,It,PRON,23.238012313842773,37667,0,0,0.0,0
78,'s,AUX,22.501344680786133,37667,Es,AUX,34.80537796020508,37667
79,expensive,ADJ,20.521587371826172,37667,costosa,ADJ,33.2927360534668,37667
80,;,PUNCT,19.990432739257812,37667,;,PUNCT,33.310848236083984,37667
81,it,PRON,23.46226692199707,37667,los,DET,34.2010383605957,37667
82,leaves,VERB,24.928714752197266,37667,deja,VERB,34.054710388183594,37667
83,young,ADJ,22.582448959350586,37667,endeudados,ADJ,35.088340759277344,37667
84,people,NOUN,21.428936004638672,37667,jóvenes,NOUN,35.22988510131836,37667
85,in,ADP,21.452289581298828,37667,a,ADP,31.968568801879883,37667
86,debt,NOUN,19.730688095092773,37667,0,0,0.0,0
87,.,PUNCT,21.946659088134766,37667,.,PUNCT,32.74812698364258,37667
