,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,23.739606857299805,12721,0,0,0.0,0
1,work,VERB,23.184064865112305,12721,Trabajo,VERB,33.432247161865234,12721
2,with,ADP,22.509361267089844,12721,con,ADP,34.11127853393555,12721
3,children,NOUN,21.953994750976562,12721,niños,NOUN,34.39291763305664,12721
4,with,ADP,23.71327781677246,12721,con,ADP,34.018856048583984,12721
5,autism,NOUN,20.0224552154541,12721,autismo,NOUN,30.099929809570312,12721
6,.,PUNCT,21.474950790405273,12721,.,PUNCT,32.14905548095703,12721
7,Specifically,ADV,22.176780700683594,15391,Concretamente,ADV,33.68474578857422,15391
8,",",PUNCT,20.714492797851562,15391,",",PUNCT,31.8964786529541,15391
9,I,PRON,24.373510360717773,15391,desarrollo,NOUN,29.84567642211914,15391
10,make,VERB,24.077877044677734,15391,0,0,0.0,0
11,technologies,NOUN,20.52560806274414,15391,tecnologías,NOUN,33.95062255859375,15391
12,to,PART,20.99620246887207,17305,para,ADP,34.455448150634766,17305
13,help,VERB,25.339502334594727,17305,ayudarles,NOUN,33.64414596557617,17305
14,them,PRON,23.36518096923828,17305,a,ADP,31.98979949951172,17305
15,communicate,VERB,20.78773307800293,17305,comunicarse,PROPN,31.46686363220215,17305
16,.,PUNCT,21.387861251831055,17305,.,PUNCT,33.24396896362305,17305
17,Now,ADV,23.58477783203125,19476,Muchos,PRON,33.06237030029297,19476
18,",",PUNCT,19.79337501525879,19476,0,0,0.0,0
19,many,ADJ,20.82042121887207,19476,autistas,ADJ,33.55148696899414,19476
20,of,ADP,24.018613815307617,19476,de,ADP,31.05413818359375,19476
21,the,DET,21.125951766967773,19476,los,DET,36.526336669921875,19476
22,problems,NOUN,21.3148193359375,19476,problemas,NOUN,35.77774429321289,19476
23,that,DET,23.938228607177734,19476,los,DET,36.45071029663086,19476
24,children,NOUN,19.925432205200195,19476,niños,NOUN,35.38287353515625,19476
25,with,ADP,19.46958351135254,21015,padecen,VERB,37.83086013793945,19476
26,autism,NOUN,19.261138916015625,21015,0,0,0.0,0
27,face,NOUN,19.234800338745117,21015,0,0,0.0,0
28,",",PUNCT,21.96194076538086,21015,0,0,0.0,0
29,they,PRON,24.27165412902832,21015,que,PRON,33.85039520263672,19476
30,have,AUX,23.002548217773438,21015,0,0,0.0,0
31,a,DET,21.842655181884766,21015,0,0,0.0,0
32,common,ADJ,20.2340030670166,21015,0,0,0.0,0
33,source,NOUN,19.976285934448242,21015,0,0,0.0,0
34,",",PUNCT,22.15135955810547,21015,0,0,0.0,0
35,and,CCONJ,18.781389236450195,24778,tienen,VERB,36.241580963134766,22978
36,that,DET,19.7979793548584,24778,un,DET,31.92572784423828,22978
37,0,0,0.0,0,mismo,DET,36.87340545654297,22978
38,source,NOUN,20.16952133178711,24778,origen,NOUN,33.624473571777344,22978
39,is,AUX,22.961135864257812,24778,",",PUNCT,31.72568130493164,22978
40,they,PRON,23.883525848388672,24778,que,PRON,33.16350555419922,22978
41,find,VERB,25.5355281829834,24778,consiste,VERB,36.308746337890625,22978
42,it,PRON,24.26322364807129,24778,en,ADP,33.57452392578125,22978
43,that,SCONJ,20.547119140625,24778,que,SCONJ,34.80022048950195,22978
44,difficult,ADJ,24.034635543823242,24778,tienen,VERB,36.84819793701172,22978
45,0,0,0.0,0,dificultades,NOUN,34.227542877197266,22978
46,to,PART,22.515827178955078,26872,para,ADP,36.638370513916016,26872
47,understand,VERB,22.53244400024414,26872,entender,VERB,37.499446868896484,26872
48,abstraction,NOUN,20.845258712768555,26872,abstracción,NOUN,30.277725219726562,26872
49,",",PUNCT,22.33332633972168,26872,la,DET,35.113773345947266,26872
50,symbolism,NOUN,19.0947265625,26872,simbolismo,NOUN,32.63543701171875,26872
51,.,PUNCT,20.321155548095703,26872,",",PUNCT,29.10549545288086,26872
52,And,CCONJ,21.244840621948242,32132,0,0,0.0,0
53,because,SCONJ,20.354644775390625,32132,0,0,0.0,0
54,of,ADP,21.34642219543457,32132,0,0,0.0,0
55,this,DET,19.947324752807617,32132,el,DET,36.00970458984375,26872
56,",",PUNCT,22.282716751098633,32132,.,PUNCT,31.987096786499023,26872
57,they,PRON,24.45928382873535,32132,0,0,0.0,0
58,have,AUX,22.480318069458008,32132,0,0,0.0,0
59,a,DET,23.402162551879883,32132,0,0,0.0,0
60,lot,NOUN,22.928251266479492,32132,0,0,0.0,0
61,of,ADP,25.695663452148438,32132,0,0,0.0,0
62,difficulty,NOUN,19.842498779296875,32132,0,0,0.0,0
63,with,ADP,23.009130477905273,32132,0,0,0.0,0
64,language,NOUN,19.61787223815918,32132,0,0,0.0,0
65,.,PUNCT,20.9141902923584,32132,0,0,0.0,0
66,Let,VERB,23.448495864868164,36784,Por,ADP,35.758033752441406,32962
67,me,PRON,26.549463272094727,36784,esta,DET,34.00959014892578,32962
68,tell,VERB,24.02713966369629,36784,tienen,VERB,36.481719970703125,32962
69,you,PRON,22.446880340576172,36784,",",PUNCT,30.291728973388672,32962
70,a,DET,22.03285789489746,36784,muchos,DET,35.75120162963867,32962
71,little,ADJ,19.717493057250977,36784,razón,NOUN,33.668113708496094,32962
