,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.9543399810791,15745,diseñador,ADJ,34.02443313598633,15745
1,'m,AUX,23.13109016418457,15745,Soy,AUX,30.27850341796875,15745
2,a,DET,21.758739471435547,15745,y,CONJ,32.93571853637695,15745
3,designer,NOUN,19.437955856323242,15745,educador,ADJ,34.22222137451172,15745
4,and,CCONJ,24.31988525390625,15745,0,0,0.0,0
5,an,DET,20.736328125,15745,0,0,0.0,0
6,educator,NOUN,18.727378845214844,15745,0,0,0.0,0
7,.,PUNCT,21.988412857055664,15745,.,PUNCT,31.14641761779785,15745
8,I,PRON,24.80495834350586,18641,0,0,0.0,0
9,'m,AUX,23.040231704711914,18641,multitarea,ADJ,34.97036361694336,18641
10,a,DET,22.44390106201172,18641,Una,DET,32.95546340942383,18641
11,multitasking,VERB,20.084684371948242,18641,e,CONJ,32.8243408203125,18641
12,person,NOUN,21.477575302124023,18641,persona,NOUN,33.18910598754883,18641
13,",",PUNCT,20.765928268432617,18641,",",PUNCT,30.80568504333496,18641
14,and,CCONJ,19.490163803100586,18641,a,ADP,31.446975708007812,18641
15,I,PRON,25.961477279663086,18641,insto,ADJ,33.83940124511719,18641
16,push,VERB,24.60915756225586,18641,0,0,0.0,0
17,my,DET,22.629240036010742,18641,mis,DET,34.18975067138672,18641
18,students,NOUN,18.66822624206543,18641,estudiantes,NOUN,36.45503234863281,18641
19,to,PART,20.896284103393555,21537,a,ADP,33.5643196105957,21537
20,fly,VERB,23.79201889038086,21537,volar,VERB,36.08371353149414,21537
21,through,ADP,22.263925552368164,21537,en,ADP,33.249446868896484,21537
22,a,DET,20.63691520690918,21537,un,DET,38.84748458862305,21537
23,design,NOUN,19.601810455322266,21537,proceso,NOUN,31.853591918945312,21537
24,0,0,0.0,0,de,ADP,28.70579719543457,21537
25,process,NOUN,18.56028938293457,21537,diseño,NOUN,31.19108772277832,21537
26,multitasking,VERB,23.0496883392334,21537,multitarea,PROPN,33.03861999511719,21537
27,",",PUNCT,19.36838150024414,21537,",",PUNCT,30.110612869262695,21537
28,very,ADV,26.675350189208984,21537,muy,ADV,34.74655532836914,21537
29,creative,ADJ,21.01888656616211,21537,creativo,ADJ,35.33193588256836,21537
30,.,PUNCT,22.64884376525879,21537,.,PUNCT,33.437034606933594,21537
31,But,CCONJ,19.86248207092285,27648,Pero,CONJ,33.362735748291016,27648
