,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Good,ADJ,20.276689529418945,12840,Buena,ADJ,29.937217712402344,12840
1,evening,NOUN,18.979658126831055,12840,noches,NOUN,32.39801788330078,12840
2,.,PUNCT,22.28115463256836,12840,.,PUNCT,33.353904724121094,12840
3,began,VERB,22.33535385131836,14600,comenzó,VERB,33.00917053222656,14600
4,when,ADV,20.99730682373047,14600,cuando,SCONJ,32.68199920654297,14600
5,I,PRON,24.955976486206055,14600,.,PUNCT,31.79914665222168,14600
6,came,VERB,25.984952926635742,14600,llegué,VERB,33.96778106689453,14600
7,to,ADP,19.987279891967773,14600,a,ADP,31.550559997558594,14600
8,America,PROPN,23.547876358032227,14600,EE.UU,PROPN,34.544986724853516,14600
9,at,ADP,21.351667404174805,18240,a,ADP,33.74239730834961,18240
10,the,DET,23.24581527709961,18240,los,DET,33.63165283203125,18240
11,age,NOUN,19.691646575927734,18240,años,NOUN,35.30167007446289,18240
12,of,ADP,24.319896697998047,18240,0,0,0.0,0
13,17,NUM,20.62821388244629,18240,17,NUM,35.101749420166016,18240
14,.,PUNCT,21.954219818115234,18240,.,PUNCT,33.26674270629883,18240
15,You,PRON,24.505186080932617,21240,uno,PRON,34.527496337890625,21240
16,see,VERB,23.60200309753418,21240,0,0,0.0,0
17,",",PUNCT,20.723209381103516,21240,de,ADP,30.66020393371582,21240
18,I,PRON,24.543777465820312,21240,millones,NOUN,36.516727447509766,21240
19,'m,AUX,22.014970779418945,21240,Soy,AUX,30.569246292114258,21240
20,one,NUM,20.332693099975586,21240,84,NUM,36.58633041381836,21240
21,of,ADP,23.94284439086914,21240,de,ADP,32.17723846435547,21240
22,the,DET,20.53759002685547,21240,los,DET,34.27604675292969,21240
23,84,NUM,21.429157257080078,21240,estadounidenses,NOUN,34.600406646728516,21240
24,million,NUM,22.725238800048828,21240,0,0,0.0,0
25,Americans,PROPN,21.678661346435547,21240,0,0,0.0,0
26,who,PRON,21.805042266845703,24680,0,0,0.0,0
27,are,AUX,23.97281265258789,24680,0,0,0.0,0
28,immigrants,NOUN,19.301321029663086,24680,inmigrantes,NOUN,34.432708740234375,24680
29,or,CCONJ,22.385438919067383,26000,o,CONJ,33.82789611816406,26000
30,children,NOUN,22.16953468322754,26000,hijos,NOUN,33.03905487060547,26000
31,of,ADP,23.366178512573242,26000,de,ADP,30.81963539123535,26000
32,immigrants,NOUN,21.193788528442383,26000,inmigrantes,NOUN,35.6281623840332,26000
33,.,PUNCT,21.25774574279785,26000,.,PUNCT,33.50271987915039,26000
34,Each,DET,21.0933837890625,28440,Cada,DET,33.89592742919922,28440
35,of,ADP,21.58172607421875,28440,de,ADP,28.931400299072266,28440
36,us,PRON,22.260608673095703,28440,uno,PRON,32.61598587036133,28440
37,has,AUX,23.60739517211914,28440,tenía,VERB,36.02302169799805,28440
38,a,DET,22.16498374938965,28440,un,DET,37.21200942993164,28440
39,dream,NOUN,21.05290985107422,28440,sueño,NOUN,34.427940368652344,28440
40,when,ADV,22.50019073486328,28440,cuando,SCONJ,33.141780853271484,28440
41,we,PRON,26.521329879760742,28440,nosotros,PRON,32.83634567260742,28440
42,come,VERB,22.83247947692871,28440,venimos,VERB,35.38710021972656,28440
43,here,ADV,20.149860382080078,28440,aquí,ADV,35.77501678466797,28440
44,",",PUNCT,21.041574478149414,28440,",",PUNCT,31.857738494873047,28440
45,a,DET,20.403507232666016,32280,un,DET,36.594051361083984,32280
46,dream,NOUN,20.225255966186523,32280,sueño,NOUN,33.953819274902344,32280
47,0,0,0.0,0,que,PRON,32.195247650146484,32280
48,usually,ADV,22.527297973632812,32280,",",PUNCT,31.80807876586914,32280
49,0,0,0.0,0,por,ADP,31.074325561523438,32280
50,that,DET,19.599166870117188,32280,lo,DET,32.986305236816406,32280
51,to,PART,24.208999633789062,32280,general,NOUN,30.969568252563477,32280
52,0,0,0.0,0,",",PUNCT,30.80342674255371,32280
53,be,AUX,25.555437088012695,32280,debe,AUX,33.222721099853516,32280
54,has,AUX,23.66372299194336,32280,ser,AUX,37.549800872802734,32280
55,rewritten,VERB,25.041406631469727,32280,reescrito,VERB,34.5621223449707,32280
56,and,CCONJ,20.70970916748047,35320,y,CONJ,33.78086853027344,35320
57,always,ADV,21.95659828186035,35320,siempre,ADV,36.98086929321289,35320
58,has,AUX,21.431303024291992,35320,reeditado,ADJ,34.88138198852539,35320
59,to,PART,24.44645881652832,35320,0,0,0.0,0
60,be,AUX,26.983800888061523,35320,0,0,0.0,0
61,repurposed,VERB,24.531879425048828,35320,0,0,0.0,0
62,.,PUNCT,21.54238510131836,35320,.,PUNCT,33.610897064208984,35320
63,I,PRON,23.935964584350586,38560,Yo,PRON,32.95521926879883,38560
64,was,AUX,22.759910583496094,38560,fui,AUX,32.38533401489258,38560
65,one,NUM,21.32504653930664,38560,uno,PRON,33.10450744628906,38560
66,of,ADP,23.502277374267578,38560,de,ADP,30.976383209228516,38560
67,the,DET,22.33780288696289,38560,los,DET,35.1257209777832,38560
68,lucky,ADJ,19.848371505737305,38560,0,0,0.0,0
69,ones,NOUN,19.591476440429688,38560,afortunados,NOUN,36.559059143066406,38560
70,.,PUNCT,21.490068435668945,38560,.,PUNCT,32.390377044677734,38560
71,My,DET,22.08708953857422,40480,La,DET,35.918758392333984,40480
72,dream,NOUN,21.189661026000977,40480,revisión,NOUN,31.716449737548828,40480
73,revised,ADJ,20.32386589050293,40480,de,ADP,31.649030685424805,40480
74,the,DET,22.09576416015625,40480,mi,DET,33.6535530090332,40480
75,0,0,0.0,0,sueño,NOUN,31.214275360107422,40480
76,me,PRON,26.113876342773438,40480,me,PRON,32.42019271850586,40480
77,led,VERB,21.732376098632812,40480,llevó,VERB,37.402587890625,40480
78,to,ADP,21.07362174987793,40480,al,ADP,35.25814437866211,40480
79,work,NOUN,18.924951553344727,40480,trabajo,NOUN,32.62872314453125,40480
80,I,PRON,24.875173568725586,40480,que,PRON,31.917678833007812,40480
81,do,AUX,23.890872955322266,40480,hago,VERB,33.6750602722168,40480
82,0,0,0.0,0,hoy,ADV,36.27843475341797,40480
83,0,0,0.0,0,en,ADP,33.737361907958984,40480
84,today,NOUN,21.893083572387695,40480,día,NOUN,33.20866775512695,40480
85,:,PUNCT,20.794641494750977,40480,:,PUNCT,31.936574935913086,40480
86,training,NOUN,21.300979614257812,44320,esto,PRON,33.914302825927734,44210
87,immigrants,NOUN,20.542722702026367,44320,es,AUX,31.755054473876953,44210
88,to,PART,23.663860321044922,44320,",",PUNCT,28.966114044189453,44210
89,run,VERB,24.831851959228516,44320,capacitar,VERB,35.875396728515625,44210
90,for,ADP,19.638893127441406,44320,a,ADP,33.5212516784668,44210
91,public,ADJ,19.204524993896484,44320,0,0,0.0,0
92,office,NOUN,19.439697265625,44320,inmigrantes,NOUN,36.47871017456055,44210
93,and,CCONJ,22.45790672302246,47280,para,ADP,33.98637771606445,44210
94,leading,VERB,23.2301082611084,47280,postularse,PROPN,33.147830963134766,44210
95,a,DET,22.61174201965332,47280,los,DET,35.92278289794922,44210
96,movement,NOUN,19.71173095703125,47280,cargos,NOUN,36.216819763183594,44210
97,for,ADP,22.536571502685547,47280,a,ADP,34.52961730957031,44210
98,inclusive,ADJ,20.76418685913086,47280,públicos,ADJ,36.304779052734375,44210
99,democracy,NOUN,19.429372787475586,47280,0,0,0.0,0
100,.,PUNCT,21.682588577270508,47280,0,0,0.0,0
101,But,CCONJ,21.224895477294922,51080,Pero,CONJ,33.50187301635742,50920
102,I,PRON,25.161792755126953,51080,no,ADV,32.79514694213867,50920
103,do,AUX,23.089824676513672,51080,fue,AUX,33.51948165893555,50920
104,n't,PART,24.352474212646484,51080,que,SCONJ,33.826515197753906,50920
105,want,VERB,24.82908821105957,51080,piensen,VERB,34.691646575927734,50920
106,you,PRON,23.061689376831055,51080,que,SCONJ,33.36008071899414,50920
107,to,PART,22.647594451904297,51080,0,0,0.0,0
108,think,VERB,23.665048599243164,51080,quiero,VERB,34.27334976196289,50920
109,it,PRON,25.29872703552246,51080,juego,NOUN,31.97360610961914,50920
110,was,AUX,23.919071197509766,51080,de,ADP,30.670499801635742,50920
111,a,DET,24.282949447631836,51080,un,DET,37.37713623046875,50920
112,cakewalk,NOUN,17.557891845703125,51080,niños,NOUN,33.7548713684082,50920
