,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.20713233947754,20260,tengo,VERB,36.098243713378906,20260
1,have,AUX,22.9305362701416,20260,0,0,0.0,0
2,a,DET,22.219085693359375,20260,un,DET,37.021507263183594,20260
3,pretty,ADV,25.39951515197754,20260,muy,ADV,36.262481689453125,20260
4,strong,ADJ,22.078800201416016,20260,francés,ADJ,35.90238571166992,20260
5,French,ADJ,24.436182022094727,20260,fuerte,ADJ,34.457794189453125,20260
6,accent,NOUN,19.448287963867188,20260,acento,NOUN,32.47365951538086,20260
7,",",PUNCT,20.465526580810547,20260,",",PUNCT,29.696563720703125,20260
8,so,ADV,19.156641006469727,22260,claro,ADV,35.0888786315918,22260
9,that,DET,20.084482192993164,22260,eso,PRON,35.473876953125,22260
10,'s,AUX,21.607036590576172,22260,va,AUX,35.567039489746094,22260
11,going,VERB,24.188335418701172,22260,quedar,VERB,35.135719299316406,22260
12,to,PART,21.64707374572754,22260,a,ADP,33.813140869140625,22260
13,be,AUX,25.01504135131836,22260,0,0,0.0,0
14,clear,ADJ,21.953126907348633,22260,0,0,0.0,0
15,in,ADP,22.727890014648438,22260,en,ADP,34.40009307861328,22260
16,a,DET,23.657817840576172,22260,un,DET,37.74956130981445,22260
17,moment,NOUN,21.006929397583008,22260,momento,NOUN,31.890867233276367,22260
18,.,PUNCT,23.05774688720703,22260,.,PUNCT,31.91261100769043,22260
19,Maybe,ADV,21.89922523498535,26260,Tal,NOUN,33.7485237121582,26260
20,sobering,VERB,20.342777252197266,26260,vez,NOUN,32.96974182128906,26260
21,a,DET,20.63711929321289,26260,un,DET,37.710838317871094,26260
22,thought,NOUN,21.48556137084961,26260,pensamiento,NOUN,34.10300827026367,26260
23,0,0,0.0,0,serio,ADJ,35.0135612487793,26260
24,0,0,0.0,0,",",PUNCT,29.61935043334961,26260
25,and,CCONJ,20.48387336730957,28260,y,CONJ,34.12800979614258,28260
