,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Alisa,PROPN,24.287193298339844,18260,Alisa,PROPN,32.2998161315918,18260
1,Volkman,PROPN,20.92355728149414,18260,Volkman,PROPN,34.67272186279297,18260
2,:,PUNCT,19.016830444335938,18260,:,PUNCT,30.00973129272461,18260
3,So,CCONJ,18.96294403076172,18260,historia,NOUN,33.834285736083984,18260
4,this,DET,21.888490676879883,18260,Esta,DET,33.64879608154297,18260
5,is,AUX,24.096458435058594,18260,con,ADP,29.299991607666016,18260
6,where,ADV,21.45290756225586,18260,Obviamente,ADV,31.513669967651367,25260
7,our,DET,22.85651969909668,18260,el,DET,35.43136978149414,21260
8,story,NOUN,20.665973663330078,18260,nacimiento,NOUN,35.02471923828125,21260
9,begins,VERB,24.30261993408203,18260,empieza,VERB,32.223167419433594,18260
10,--,PUNCT,19.790494918823242,18260,",",PUNCT,29.43650245666504,23260
11,the,DET,20.26056480407715,21260,nuestro,DET,34.595420837402344,23260
12,dramatic,ADJ,18.801441192626953,21260,espectacular,ADJ,32.92783737182617,21260
13,moments,NOUN,19.492340087890625,21260,primogénito,NOUN,31.697338104248047,23260
14,of,ADP,23.332609176635742,21260,de,ADP,28.441638946533203,21260
15,the,DET,22.705411911010742,21260,Declan,PROPN,34.70787811279297,23260
16,birth,NOUN,18.434919357299805,21260,momento,NOUN,34.35578536987305,25260
17,of,ADP,20.375438690185547,23260,fue,AUX,33.8184814453125,25260
18,our,DET,24.03299903869629,23260,nuestras,DET,32.29011154174805,27260
19,first,ADJ,19.069286346435547,23260,profundo,ADJ,36.1345100402832,25260
20,son,NOUN,19.752023696899414,23260,vidas,NOUN,36.14165115356445,27260
21,",",PUNCT,19.592649459838867,23260,.,PUNCT,30.779239654541016,23260
22,Declan,PROPN,21.987857818603516,23260,que,PRON,33.846763610839844,27260
23,.,PUNCT,19.297080993652344,23260,cambió,VERB,37.05336380004883,27260
24,Obviously,ADV,22.613441467285156,25260,muy,ADV,38.343116760253906,25260
25,a,DET,20.35230827331543,25260,varios,DET,34.87759780883789,27260
26,really,ADV,24.6581974029541,25260,en,ADP,34.52357482910156,27260
27,profound,ADJ,20.509723663330078,25260,inesperadas,ADJ,35.095733642578125,29260
28,moment,NOUN,21.46753692626953,25260,aspectos,NOUN,35.80550003051758,27260
29,",",PUNCT,22.467742919921875,25260,.,PUNCT,33.05035400390625,27260
30,and,CCONJ,20.043495178222656,27260,vidas,NOUN,35.35164260864258,29260
31,it,PRON,25.010324478149414,27260,que,PRON,34.52421569824219,31260
32,changed,VERB,22.689563751220703,27260,Cambió,VERB,32.93911361694336,29260
33,our,DET,23.669675827026367,27260,nuestras,DET,31.975650787353516,29260
34,lives,NOUN,22.454490661621094,27260,formas,NOUN,36.663597106933594,29260
35,in,ADP,22.64986801147461,27260,de,ADP,33.683597564697266,29260
36,many,ADJ,23.06026268005371,27260,inesperadas,ADJ,31.979854583740234,31260
37,ways,NOUN,23.084930419921875,27260,formas,NOUN,36.47370910644531,31260
38,.,PUNCT,22.185997009277344,27260,;,PUNCT,31.135894775390625,29260
39,It,PRON,23.08397102355957,29260,más,ADV,35.378353118896484,31260
40,also,ADV,23.757091522216797,29260,tarde,ADV,33.909278869628906,31260
41,changed,VERB,21.65367317199707,29260,consideramos,VERB,33.688392639160156,31260
42,our,DET,23.231096267700195,29260,nuestro,DET,33.07921600341797,34260
43,lives,NOUN,22.313621520996094,29260,Cuando,SCONJ,35.48206329345703,34260
44,in,ADP,23.184370040893555,29260,emprendimos,VERB,34.52106475830078,34260
45,many,ADJ,22.71280288696289,29260,juntos,ADJ,33.10850524902344,34260
46,unexpected,ADJ,21.860759735107422,29260,propio,ADJ,34.102577209472656,34260
47,ways,NOUN,23.131961822509766,29260,negocio,NOUN,31.927385330200195,34260
48,",",PUNCT,21.78958511352539,29260,",",PUNCT,29.206504821777344,36260
49,and,CCONJ,20.102294921875,31260,y,CONJ,34.077152252197266,36260
50,those,DET,23.140941619873047,31260,un,DET,34.12996292114258,36260
51,unexpected,ADJ,21.780824661254883,31260,",",PUNCT,32.9615478515625,36260
52,ways,NOUN,20.61220359802246,31260,año,NOUN,32.6002197265625,36260
53,we,PRON,23.17347526550293,31260,Babble,PROPN,31.595869064331055,36260
54,later,ADV,23.659915924072266,31260,después,ADV,33.04758071899414,36260
55,reflected,VERB,21.802959442138672,31260,lanzamos,VERB,31.73244857788086,36260
56,on,ADP,20.048786163330078,31260,para,ADP,31.98786163330078,38260
57,",",PUNCT,19.9980525970459,31260,:,PUNCT,31.17865562438965,36260
58,that,DET,20.94026756286621,34260,un,DET,37.43864440917969,38260
59,eventually,ADV,22.537141799926758,34260,web,ADJ,30.046863555908203,38260
60,spawned,VERB,22.89443016052246,34260,Creo,VERB,35.77229309082031,40260
61,a,DET,21.41133689880371,34260,.,PUNCT,31.557083129882812,38260
62,business,NOUN,19.13364601135254,34260,padres,NOUN,34.20882797241211,38260
63,idea,NOUN,20.118072509765625,34260,sitio,NOUN,32.829097747802734,38260
64,between,ADP,23.368656158447266,34260,Griscom,PROPN,36.26951217651367,40260
65,the,DET,19.71986961364746,34260,nuestra,DET,33.531982421875,40260
66,two,NUM,21.118255615234375,34260,Rufus,PROPN,32.251983642578125,40260
67,of,ADP,23.41387939453125,34260,que,SCONJ,31.874046325683594,40260
68,us,PRON,24.085927963256836,34260,historia,NOUN,31.820898056030273,40260
69,",",PUNCT,21.232357025146484,34260,:,PUNCT,29.909944534301758,40260
70,and,CCONJ,18.892593383789062,36260,empieza,AUX,30.940303802490234,42260
71,a,DET,22.052396774291992,36260,unos,DET,33.2504768371582,42260
72,year,NOUN,19.38087272644043,36260,años,NOUN,35.8040771484375,42260
73,later,ADV,21.062808990478516,36260,antes,ADV,34.860145568847656,42260
74,",",PUNCT,19.668563842773438,36260,.,PUNCT,30.485666275024414,42260
75,we,PRON,22.63905143737793,36260,(,PUNCT,29.301862716674805,42260
76,launched,VERB,23.567739486694336,36260,:,PUNCT,31.78474998474121,42260
77,Babble,PROPN,17.768814086914062,36260,AV,PROPN,30.790203094482422,42260
78,",",PUNCT,19.050891876220703,36260,),PUNCT,31.59062385559082,42260
79,a,DET,23.626056671142578,38260,Es,AUX,33.04542541503906,42260
80,website,NOUN,20.58968734741211,38260,verdad,NOUN,31.747398376464844,42260
81,for,ADP,21.069263458251953,38260,Quizá,ADV,34.24005889892578,45260
82,parents,NOUN,20.733633041381836,38260,RG,NOUN,30.701255798339844,45260
83,.,PUNCT,21.18239402770996,38260,:,PUNCT,32.469539642333984,45260
84,Rufus,PROPN,21.036012649536133,40260,estábamos,AUX,34.87302017211914,45260
85,Griscom,PROPN,21.249197006225586,40260,que,SCONJ,31.26474952697754,45260
86,:,PUNCT,18.651687622070312,40260,.,PUNCT,33.71845245361328,45260
87,Now,ADV,21.25204849243164,40260,locamente,ADV,34.6669807434082,45260
88,I,PRON,24.305038452148438,40260,enamorados,ADJ,33.31748580932617,45260
89,think,VERB,21.984943389892578,40260,recuerden,VERB,36.65394973754883,45260
90,of,ADP,23.824596405029297,40260,En,ADP,31.6833438873291,50260
91,our,DET,22.254941940307617,40260,:,PUNCT,34.734092712402344,48260
92,story,NOUN,19.41404151916504,40260,AV,NOUN,29.785463333129883,48260
93,as,SCONJ,22.25766372680664,42260,es,AUX,31.606534957885742,48260
94,starting,VERB,26.102924346923828,42260,.,PUNCT,31.44948959350586,48260
95,a,DET,22.41685676574707,42260,ese,DET,37.036136627197266,50260
96,few,ADJ,22.11086654663086,42260,web,ADJ,31.794893264770508,50260
97,years,NOUN,21.12942886352539,42260,RG,NOUN,30.510162353515625,50260
98,earlier,ADV,21.835107803344727,42260,Así,ADV,32.919830322265625,48260
99,.,PUNCT,19.223461151123047,42260,:,PUNCT,32.81754684448242,50260
100,AV,NOUN,19.68279266357422,42260,momento,NOUN,31.73695945739746,50260
101,:,PUNCT,19.55715560913086,42260,sitio,NOUN,33.59135055541992,50260
102,That,DET,18.79975128173828,42260,un,DET,38.437904357910156,50260
103,'s,AUX,22.309154510498047,42260,Era,AUX,34.0408935546875,52260
104,true,ADJ,20.63118553161621,42260,diferente,ADJ,34.06974792480469,50260
105,.,PUNCT,22.109302520751953,42260,muy,ADV,39.062538146972656,50260
106,RG,PROPN,21.092300415039062,45260,nerve.com,PROPN,32.80707931518555,52260
107,:,PUNCT,19.396913528442383,45260,.,PUNCT,32.95603561401367,50260
108,You,PRON,23.349727630615234,45260,un,DET,38.488975524902344,52260
109,may,VERB,22.496824264526367,45260,administrábamos,VERB,31.371381759643555,50260
110,remember,VERB,26.337739944458008,45260,web,ADJ,32.83470916748047,52260
111,",",PUNCT,20.646284103393555,45260,"""",PUNCT,32.168678283691406,54260
112,we,PRON,24.05255699157715,45260,cuyo,PRON,34.70970153808594,54260
113,fell,VERB,23.116653442382812,45260,llamado,ADJ,31.884613037109375,52260
114,head,NOUN,18.900501251220703,45260,lema,NOUN,32.6387939453125,54260
115,over,ADP,20.226890563964844,45260,era,AUX,34.17796325683594,54260
116,heels,NOUN,20.597200393676758,45260,sitio,NOUN,34.5409049987793,52260
117,in,ADP,22.86872100830078,45260,smut,PROPN,32.87532424926758,54260
118,love,NOUN,20.940933227539062,45260,literate,NOUN,32.11385726928711,54260
119,.,PUNCT,22.096715927124023,45260,"""",PUNCT,32.8597412109375,54260
120,AV,NOUN,20.754150390625,48260,suciedad,NOUN,32.44187927246094,54260
121,:,PUNCT,19.260738372802734,48260,(,PUNCT,29.439373016357422,54260
122,We,PRON,24.216304779052734,48260,ilustrada,ADJ,33.998783111572266,54260
123,did,AUX,23.38515281677246,48260,",",PUNCT,31.180450439453125,54260
124,.,PUNCT,21.77547264099121,48260,),PUNCT,31.47105598449707,54260
125,RG,PROPN,21.358667373657227,50260,NT,PROPN,29.956804275512695,54260
126,:,PUNCT,18.90776824951172,50260,.,PUNCT,33.790870666503906,54260
127,We,PRON,24.34217071533203,50260,",",PUNCT,30.57361602783203,57260
128,were,AUX,23.714920043945312,50260,Fue,AUX,32.92910385131836,57260
129,at,ADP,21.461456298828125,50260,en,ADP,31.776798248291016,57260
130,the,DET,20.564279556274414,50260,y,CONJ,33.06089782714844,57260
131,time,NOUN,19.8013973236084,50260,teoría,NOUN,33.658382415771484,57260
132,running,VERB,24.189802169799805,50260,esperar,VERB,38.111263275146484,57260
133,a,DET,20.55527114868164,50260,la,DET,32.76932144165039,57260
134,very,ADV,26.69614601135254,50260,de,ADP,31.084474563598633,57260
135,different,ADJ,22.304656982421875,50260,que,SCONJ,33.920597076416016,57260
136,kind,NOUN,21.78963279724121,50260,revista,NOUN,30.632404327392578,60260
137,of,ADP,23.444826126098633,50260,en,ADP,33.5384407043457,57260
138,website,NOUN,17.938512802124023,50260,práctica,NOUN,30.70531463623047,57260
139,.,PUNCT,22.382675170898438,50260,",",PUNCT,30.013927459716797,57260
140,It,PRON,24.480878829956055,52260,web,ADJ,28.809404373168945,60260
141,was,AUX,24.836544036865234,52260,es,AUX,36.41831588745117,57260
142,a,DET,24.418537139892578,52260,una,DET,33.48054504394531,60260
143,website,NOUN,22.052169799804688,52260,sexo,NOUN,30.89850425720215,62260
144,called,VERB,20.712509155273438,52260,inteligente,ADJ,34.41930389404297,60260
145,Nerve.com,PROPN,20.6848201751709,52260,y,CONJ,33.531341552734375,62260
146,",",PUNCT,18.295427322387695,52260,.,PUNCT,33.09049606323242,62260
147,the,DET,20.544675827026367,54260,cultura,NOUN,30.8117618560791,62260
148,tagline,NOUN,17.3084716796875,54260,AV,NOUN,30.51553726196289,65260
149,of,ADP,22.9285888671875,54260,sobre,ADP,32.82932662963867,62260
150,which,DET,22.301151275634766,54260,un,DET,39.161346435546875,65260
151,was,AUX,24.22821044921875,54260,Eso,PRON,31.36055564880371,65260
152,"""",PUNCT,24.032886505126953,54260,:,PUNCT,33.082271575927734,65260
153,literate,ADJ,19.81303596496582,54260,dio,VERB,33.59939193725586,65260
154,smut,NOUN,21.854534149169922,54260,lugar,NOUN,37.269161224365234,65260
155,.,PUNCT,21.617692947387695,54260,a,ADP,32.221229553222656,65260
156,"""",PUNCT,22.378084182739258,54260,.,PUNCT,33.60858917236328,65260
157,It,PRON,24.209423065185547,57260,Se,PRON,33.15254211425781,68260
158,was,AUX,24.841367721557617,57260,sitio,NOUN,32.25210952758789,65260
159,in,ADP,22.09956932067871,57260,de,ADP,31.021352767944336,65260
160,theory,NOUN,19.728397369384766,57260,citas,NOUN,34.19997024536133,65260
161,",",PUNCT,23.054155349731445,57260,imaginarán,VERB,35.796817779541016,68260
162,and,CCONJ,21.823925018310547,57260,los,DET,36.51667022705078,68260
163,hopefully,ADV,20.67938804626465,57260,nos,PRON,33.08466339111328,68260
164,in,ADP,19.92201042175293,57260,que,PRON,32.31501007080078,68260
165,practice,NOUN,18.43924331665039,57260,chistes,NOUN,36.859188079833984,68260
166,",",PUNCT,22.247283935546875,57260,:,PUNCT,32.76344299316406,68260
167,a,DET,21.760610580444336,60260,el,DET,32.80813217163086,68260
168,smart,ADJ,18.626548767089844,60260,hacían,VERB,33.20763397216797,68260
169,online,ADJ,17.460708618164062,60260,engendra,PROPN,30.357786178588867,68260
170,magazine,NOUN,17.827497482299805,60260,sexo,NOUN,31.163484573364258,68260
171,about,ADP,18.024072647094727,62260,de,ADP,31.813251495361328,70260
172,sex,NOUN,19.170360565185547,62260,bebés,NOUN,33.755096435546875,68260
173,and,CCONJ,22.987606048583984,62260,Uno,PRON,33.09259033203125,70260
174,culture,NOUN,17.154970169067383,62260,sigue,VERB,36.695438385009766,70260
175,.,PUNCT,21.355817794799805,62260,.,PUNCT,32.85788345336914,68260
176,AV,NOUN,20.0194149017334,65260,instrucciones,NOUN,35.47202682495117,70260
177,:,PUNCT,19.679563522338867,65260,Nerve,PROPN,34.74340057373047,70260
178,That,DET,18.88351058959961,65260,las,DET,35.804931640625,70260
179,spawned,VERB,21.68674087524414,65260,termina,VERB,35.25727844238281,70260
180,a,DET,21.501928329467773,65260,y,CONJ,32.47760009765625,70260
181,dating,VERB,19.95159149169922,65260,en,ADP,32.74667739868164,70260
182,site,NOUN,20.709320068359375,65260,Babble,PROPN,36.13484191894531,70260
183,.,PUNCT,20.086627960205078,65260,",",PUNCT,29.519268035888672,70260
184,But,CCONJ,21.642240524291992,68260,y,CONJ,34.069393157958984,73260
185,you,PRON,24.214284896850586,68260,así,ADV,34.30064010620117,73260
186,can,VERB,23.94959259033203,68260,fue,AUX,34.063087463378906,73260
187,understand,VERB,23.792499542236328,68260,.,PUNCT,31.786151885986328,73260
188,the,DET,20.7659912109375,68260,El,DET,31.55528450012207,75260
189,jokes,NOUN,19.97237777709961,68260,tercero,ADJ,33.72708511352539,75260
190,that,SCONJ,20.727840423583984,68260,podría,AUX,32.84510040283203,75260
191,we,PRON,25.224884033203125,68260,ser,AUX,36.1840705871582,75260
192,get,VERB,23.607574462890625,68260,un,DET,38.74454116821289,75260
193,.,PUNCT,18.548973083496094,68260,.,PUNCT,32.210330963134766,75260
194,Sex,NOUN,21.487194061279297,68260,sitio,NOUN,35.31753921508789,75260
195,begets,VERB,22.303438186645508,68260,geriátrico,ADJ,34.15605163574219,75260
196,babies,NOUN,22.282684326171875,68260,RG,NOUN,30.66402816772461,79260
197,.,PUNCT,21.618520736694336,68260,.,PUNCT,31.379518508911133,75260
198,You,PRON,24.63630485534668,70260,:,PUNCT,31.29877471923828,79260
199,follow,VERB,23.62637710571289,70260,Veremos,VERB,31.101226806640625,75260
200,instructions,NOUN,21.0083065032959,70260,continuidad,NOUN,31.397056579589844,79260
201,on,ADP,20.631864547729492,70260,Para,ADP,28.606870651245117,79260
202,Nerve,PROPN,19.373132705688477,70260,Nerve,PROPN,34.82695007324219,79260
203,and,CCONJ,19.873613357543945,70260,la,DET,33.40093231201172,79260
204,you,PRON,23.761920928955078,70260,nosotros,PRON,32.12377166748047,79260
205,should,VERB,25.792564392089844,70260,",",PUNCT,31.734983444213867,79260
206,end,VERB,24.986560821533203,70260,y,CONJ,31.82400131225586,79260
207,up,ADP,21.95819091796875,70260,entre,ADP,32.646419525146484,79260
208,on,ADP,19.496891021728516,70260,de,ADP,31.486032485961914,82260
209,Babble,PROPN,18.823701858520508,70260,Babble,PROPN,33.960662841796875,79260
210,",",PUNCT,19.448522567749023,70260,no,ADV,33.11673355102539,82260
211,which,DET,22.080724716186523,73260,las,DET,32.519020080566406,82260
212,we,PRON,24.982492446899414,73260,sólo,ADV,35.76441955566406,82260
213,did,AUX,23.874250411987305,73260,fueron,AUX,32.532039642333984,82260
214,.,PUNCT,21.72370719909668,73260,",",PUNCT,31.832822799682617,84260
215,And,CCONJ,20.22758674621582,75260,etapas,NOUN,34.27281188964844,82260
216,we,PRON,25.264671325683594,75260,vida,NOUN,31.275110244750977,82260
217,might,VERB,24.09465217590332,75260,que,SCONJ,31.4531192779541,84260
218,launch,VERB,24.431854248046875,75260,por,ADP,33.21915054321289,84260
219,a,DET,23.56477928161621,75260,la,DET,32.84098434448242,82260
220,geriatric,ADJ,20.932058334350586,75260,importantes,ADJ,36.371158599853516,84260
221,site,NOUN,19.43416404724121,75260,supuesto,NOUN,32.50986862182617,84260
222,as,SCONJ,22.304065704345703,75260,que,SCONJ,33.46257781982422,86260
223,our,DET,23.04083824157715,75260,son,AUX,34.36049270629883,84260
224,third,NOUN,18.216901779174805,75260,realidad,NOUN,32.22494888305664,86260
225,.,PUNCT,20.536453247070312,75260,",",PUNCT,30.564638137817383,84260
226,We,PRON,24.287925720214844,75260,en,ADP,34.84394073486328,86260
227,'ll,VERB,22.27622413635254,75260,sino,CONJ,35.99657440185547,86260
228,see,VERB,23.27318000793457,75260,fue,AUX,32.52079772949219,86260
229,.,PUNCT,20.544998168945312,75260,nuestro,DET,32.901206970214844,88260
230,RG,PROPN,21.028322219848633,79260,deseo,NOUN,31.742950439453125,88260
231,:,PUNCT,19.046165466308594,79260,de,ADP,31.50998306274414,88260
232,But,CCONJ,22.219045639038086,79260,hablar,VERB,37.93351745605469,88260
233,for,ADP,21.27796173095703,79260,de,ADP,31.488903045654297,88260
234,us,PRON,23.648263931274414,79260,honestamente,ADV,33.630924224853516,88260
235,",",PUNCT,21.580976486206055,79260,que,SCONJ,31.728666305541992,90260
236,the,DET,22.783077239990234,79260,las,DET,34.25175476074219,90260
237,continuity,NOUN,20.117605209350586,79260,cosas,NOUN,33.02690887451172,88260
238,between,ADP,23.960994720458984,79260,a,ADP,32.11540222167969,90260
239,Nerve,PROPN,20.66353988647461,79260,personas,NOUN,34.59452819824219,90260
240,and,CCONJ,22.97259521484375,79260,les,PRON,33.413692474365234,90260
241,Babble,ADJ,19.101516723632812,79260,cuesta,VERB,36.826725006103516,90260
242,was,AUX,24.041824340820312,82260,hablar,VERB,37.628326416015625,90260
243,not,PART,23.681791305541992,82260,en,ADP,34.711708068847656,90260
244,just,ADV,25.02267837524414,82260,.,PUNCT,33.80693817138672,90260
245,the,DET,20.242338180541992,82260,Nos,PRON,32.4332160949707,93260
246,life,NOUN,17.821401596069336,82260,serio,NOUN,33.39517593383789,90260
247,stage,NOUN,19.217145919799805,82260,parece,VERB,36.988609313964844,93260
248,thing,NOUN,20.435218811035156,82260,que,SCONJ,33.75688934326172,93260
249,",",PUNCT,21.678335189819336,82260,cuando,SCONJ,36.0948371887207,95260
250,which,DET,19.21819305419922,84260,la,DET,34.324153900146484,95260
251,is,AUX,22.09628677368164,84260,empieza,AUX,35.3941535949707,95260
252,",",PUNCT,20.850360870361328,84260,",",PUNCT,30.07451057434082,95260
253,of,ADP,22.063640594482422,84260,a,ADP,33.70649337768555,95260
254,course,NOUN,18.36870765686035,84260,gente,NOUN,30.774452209472656,95260
255,",",PUNCT,21.764848709106445,84260,cuando,SCONJ,35.36241912841797,95260
256,relevant,ADJ,19.8691349029541,84260,disimula,ADJ,32.961856842041016,95260
