,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,What,PRON,21.871822357177734,18330,todos,PRON,30.575180053710938,18330
1,I,PRON,24.27812957763672,18330,ustedes,PRON,30.94319725036621,18330
2,'d,VERB,23.414608001708984,18330,Quisiera,VERB,30.800006866455078,18330
3,like,VERB,21.584083557128906,18330,ir,VERB,33.761234283447266,18330
4,to,PART,22.65575408935547,18330,con,ADP,31.27197265625,18330
5,do,AUX,24.293794631958008,18330,por,ADP,33.529510498046875,18330
6,is,AUX,22.16417694091797,18330,el,DET,35.82890319824219,18330
7,just,ADV,24.100461959838867,18330,desagüe,NOUN,32.66767883300781,18330
8,drag,VERB,21.571073532104492,18330,y,CONJ,32.63224792480469,21330
9,us,PRON,25.378374099731445,18330,hasta,ADP,36.293495178222656,21330
10,all,DET,20.096359252929688,18330,lo,DET,31.992095947265625,21330
11,down,ADV,21.279211044311523,18330,más,ADV,36.095252990722656,21330
12,into,ADP,19.69679832458496,18330,de,ADP,31.5506649017334,21330
13,the,DET,22.490680694580078,18330,las,DET,32.49063491821289,21330
14,gutter,NOUN,19.010225296020508,18330,alcantarillas,NOUN,34.63723373413086,21330
15,",",PUNCT,22.40713119506836,18330,profundo,ADJ,36.92165756225586,21330
16,and,CCONJ,21.144102096557617,21330,porque,SCONJ,34.21426773071289,23330
17,actually,ADV,23.8983154296875,21330,quiero,VERB,32.92874526977539,23330
18,all,DET,21.013774871826172,21330,hablarles,ADJ,32.51182556152344,23330
19,the,DET,21.930763244628906,21330,la,DET,32.86281967163086,23330
20,way,NOUN,21.552310943603516,21330,diarrea,NOUN,31.905012130737305,23330
21,down,ADV,19.18670082092285,21330,acerca,ADV,33.20331573486328,23330
22,into,ADP,19.753278732299805,21330,de,ADP,33.34073257446289,23330
23,the,DET,21.893909454345703,21330,.,PUNCT,32.885433197021484,23330
24,sewer,NOUN,18.297969818115234,21330,particular,NOUN,31.138214111328125,25330
25,because,SCONJ,19.788105010986328,23330,Y,CONJ,31.155649185180664,25330
