,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,23.78972053527832,13160,Diseñé,PROPN,30.984811782836914,13160
1,engineering,NOUN,19.93408203125,13160,proyectos,NOUN,31.91207504272461,13160
2,design,VERB,21.44214630126953,13160,de,ADP,30.797452926635742,13160
3,projects,NOUN,20.109661102294922,13160,ingeniería,NOUN,32.11285400390625,13160
4,for,ADP,20.810352325439453,14920,para,ADP,35.32362365722656,14920
5,middle,ADJ,19.222536087036133,14920,de,ADP,32.30318832397461,14920
6,school,NOUN,19.442310333251953,14920,estudiantes,NOUN,34.761680603027344,14920
7,and,CCONJ,25.28658676147461,14920,y,CONJ,33.608577728271484,14920
8,high,ADJ,17.906661987304688,14920,secundaria,ADJ,31.908405303955078,14920
9,school,NOUN,20.203445434570312,14920,primaria,NOUN,30.533260345458984,14920
10,students,NOUN,20.8948974609375,14920,0,0,0.0,0
11,",",PUNCT,20.663143157958984,14920,",",PUNCT,30.782869338989258,14920
12,often,ADV,20.459022521972656,17280,a,ADP,32.82338333129883,17280
13,using,VERB,22.978515625,17280,usando,VERB,35.15667724609375,17280
14,materials,NOUN,23.22403907775879,17280,menudo,NOUN,31.07413101196289,17280
15,that,DET,21.7447566986084,17280,materiales,NOUN,33.09157180786133,17280
16,are,AUX,25.10154151916504,17280,0,0,0.0,0
17,pretty,ADV,26.629281997680664,17280,bastante,ADV,33.60491180419922,17280
18,unexpected,ADJ,23.250926971435547,17280,inesperados,ADJ,34.582496643066406,17280
19,.,PUNCT,23.146177291870117,17280,.,PUNCT,32.513404846191406,17280
20,My,DET,22.10558319091797,21000,Mi,DET,33.8037109375,21000
21,inspiration,NOUN,22.20328712463379,21000,inspiración,NOUN,32.72401809692383,21000
22,comes,VERB,22.0064754486084,21000,viene,VERB,36.119205474853516,21000
23,from,ADP,22.435062408447266,21000,de,ADP,32.78620910644531,21000
24,problems,NOUN,21.58305549621582,21000,problemas,NOUN,32.221160888671875,21000
25,in,ADP,22.74515724182129,21000,de,ADP,32.320526123046875,21000
26,my,DET,23.76578712463379,21000,mi,DET,35.19911193847656,21000
27,life,NOUN,19.577316284179688,21000,vida,NOUN,31.02495765686035,21000
28,daily,ADJ,19.31721305847168,21000,cotidiana,ADJ,34.23440170288086,21000
29,.,PUNCT,22.66172981262207,21000,.,PUNCT,33.68744659423828,21000
