,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,All,ADV,21.7526798248291,12804,Bien,ADV,32.85190963745117,12804
1,right,ADV,22.33649253845215,12804,0,0,0.0,0
2,",",PUNCT,21.4960994720459,12804,",",PUNCT,32.41411209106445,12804
3,let,VERB,21.35247230529785,12804,veamos,VERB,33.121456146240234,12804
4,'s,PRON,21.73415184020996,12804,0,0,0.0,0
5,get,AUX,25.112829208374023,12804,Tierra,PROPN,36.204750061035156,12804
6,up,ADP,21.283781051635742,12804,de,ADP,31.198820114135742,12804
7,our,DET,22.833942413330078,12804,una,DET,34.34214782714844,12804
8,picture,NOUN,20.613737106323242,12804,foto,NOUN,32.68605422973633,12804
9,of,ADP,24.157556533813477,12804,0,0,0.0,0
10,the,DET,22.940967559814453,12804,la,DET,31.7497501373291,12804
11,earth,NOUN,18.228431701660156,12804,0,0,0.0,0
12,.,PUNCT,21.882835388183594,12804,.,PUNCT,31.6954345703125,12804
13,The,DET,22.568113327026367,16380,La,DET,30.98776626586914,16380
14,earth,NOUN,19.99212646484375,16380,Tierra,PROPN,36.3785285949707,16380
15,is,AUX,23.455490112304688,16380,es,AUX,32.09369659423828,16380
16,pretty,ADV,26.432037353515625,16380,0,0,0.0,0
17,awesome,ADJ,21.555261611938477,16380,fantástica,ADJ,31.903039932250977,16380
18,.,PUNCT,22.041873931884766,16380,.,PUNCT,32.378055572509766,16380
19,I,PRON,24.884552001953125,17820,esto,PRON,34.50166320800781,17820
20,'m,AUX,23.061323165893555,17820,Soy,AUX,31.834238052368164,17820
21,a,DET,22.790132522583008,17820,0,0,0.0,0
22,geologist,NOUN,17.715057373046875,17820,0,0,0.0,0
23,",",PUNCT,21.141738891601562,17820,",",PUNCT,29.580724716186523,17820
24,so,CCONJ,18.83287811279297,17820,0,0,0.0,0
25,I,PRON,24.871559143066406,17820,me,PRON,31.71712875366211,17820
26,get,VERB,25.191864013671875,17820,entusiasma,VERB,33.05255126953125,17820
27,pretty,ADV,25.811676025390625,17820,0,0,0.0,0
28,psyched,ADJ,22.216787338256836,17820,geóloga,ADJ,30.802413940429688,17820
29,about,ADP,22.597135543823242,17820,0,0,0.0,0
30,this,DET,20.706802368164062,17820,0,0,0.0,0
31,",",PUNCT,21.219449996948242,17820,",",PUNCT,29.514873504638672,17820
32,but,CCONJ,20.054677963256836,20273,pero,CONJ,33.11978530883789,20273
33,the,DET,21.972885131835938,20273,la,DET,32.16543960571289,20273
34,earth,NOUN,19.10378074645996,20273,Tierra,PROPN,36.1368408203125,20273
