,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Sergey,PROPN,20.698902130126953,26000,Sergey,PROPN,32.0874137878418,26000
1,Brin,PROPN,20.514881134033203,26000,Brin,PROPN,34.38967514038086,26000
2,:,PUNCT,19.722190856933594,26000,:,PUNCT,29.92279815673828,26000
3,I,PRON,24.82859992980957,26000,Quiero,VERB,33.737953186035156,26000
4,want,VERB,23.973934173583984,26000,comentar,VERB,35.634220123291016,26000
5,to,PART,22.574804306030273,26000,problema,NOUN,33.43528747558594,26000
6,discuss,VERB,26.066102981567383,26000,Hablamos,VERB,33.423370361328125,28000
7,a,DET,21.38291358947754,26000,un,DET,37.41762924194336,26000
8,question,NOUN,21.523962020874023,26000,vez,NOUN,31.08769989013672,28000
9,We,PRON,25.60202407836914,28000,aquí,ADV,34.4857177734375,28000
10,spoke,VERB,22.060016632080078,28000,varios,DET,35.03681564331055,28000
11,to,ADP,18.660778045654297,28000,por,ADP,33.30806350708008,28000
12,you,PRON,24.270099639892578,28000,hace,AUX,33.38051986694336,28000
13,last,ADJ,20.44440269470215,28000,última,ADJ,34.235843658447266,28000
14,several,ADJ,21.445432662963867,28000,Y,CONJ,33.658199310302734,33000
15,years,NOUN,22.280500411987305,28000,años,NOUN,36.768856048583984,28000
16,ago,ADV,20.561477661132812,28000,antes,ADV,35.055564880371094,33000
17,.,PUNCT,21.783309936523438,28000,.,PUNCT,33.13057327270508,28000
18,And,CCONJ,21.429136276245117,33000,hoy,ADV,36.430416107177734,33000
19,before,ADP,20.991580963134766,33000,de,ADP,31.54517364501953,33000
20,I,PRON,25.007816314697266,33000,muchos,PRON,34.20473098754883,35000
21,get,VERB,23.51583480834961,33000,empezar,VERB,35.283294677734375,33000
22,started,VERB,21.893417358398438,33000,ya,ADV,35.99654769897461,35000
23,today,NOUN,22.7547607421875,33000,preguntáis,NOUN,30.433048248291016,35000
24,",",PUNCT,22.1257381439209,33000,",",PUNCT,29.893108367919922,33000
25,since,SCONJ,21.239971160888672,35000,que,SCONJ,32.851829528808594,35000
