,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.663597106933594,12840,0,0,0.0,0
1,believe,VERB,23.033769607543945,12840,Creo,VERB,35.99249267578125,12840
2,that,SCONJ,19.955461502075195,12840,que,SCONJ,31.24176597595215,12840
3,the,DET,20.79621696472168,12840,el,DET,34.65645217895508,12840
4,secret,NOUN,18.77345848083496,12840,secreto,NOUN,30.118223190307617,12840
5,to,ADP,18.495868682861328,12840,para,ADP,34.15091323852539,12840
6,producing,VERB,26.250415802001953,12840,producir,VERB,37.947723388671875,12840
7,extremely,ADV,22.131254196166992,12840,a,ADP,30.383604049682617,12840
8,drought,NOUN,21.192367553710938,12840,cultivos,NOUN,34.33979797363281,12840
9,-,PUNCT,21.104740142822266,12840,la,DET,33.78557586669922,12840
10,tolerant,ADJ,21.516075134277344,12840,resistentes,ADJ,34.6284065246582,12840
11,crops,NOUN,21.929012298583984,12840,sequía,NOUN,31.309894561767578,12840
12,",",PUNCT,20.339475631713867,12840,",",PUNCT,31.24930191040039,12840
13,which,DET,22.83660125732422,17080,que,SCONJ,32.82684326171875,17056
14,should,VERB,24.6406307220459,17080,debemos,AUX,32.96442794799805,17056
15,go,VERB,24.076114654541016,17080,lograr,VERB,35.114707946777344,17056
16,some,DET,24.038143157958984,17080,0,0,0.0,0
17,way,NOUN,19.80242919921875,17080,seguridad,NOUN,32.78388214111328,17056
18,to,ADP,19.799360275268555,17080,para,ADP,34.94192123413086,17056
19,providing,VERB,25.447349548339844,17080,dar,VERB,36.88551712036133,17056
20,food,NOUN,22.55653190612793,17080,alimentaria,ADJ,31.58277130126953,17056
21,security,NOUN,20.129987716674805,17080,mundo,NOUN,30.107622146606445,17056
22,in,ADP,21.83121681213379,17080,al,ADP,35.726314544677734,17056
23,the,DET,22.89096450805664,17080,0,0,0.0,0
24,world,NOUN,17.858335494995117,17080,0,0,0.0,0
25,",",PUNCT,21.70176124572754,17080,",",PUNCT,29.799415588378906,17056
26,lies,NOUN,21.926504135131836,20320,reside,VERB,35.05228805541992,20272
27,in,ADP,22.084566116333008,20320,en,ADP,33.6383171081543,20272
28,0,0,0.0,0,las,DET,33.38791275024414,20272
29,plants,NOUN,19.914884567260742,20320,plantas,NOUN,34.7140998840332,20272
30,0,0,0.0,0,de,ADP,31.882841110229492,20272
31,resurrection,NOUN,19.698062896728516,20320,resurrección,NOUN,29.898601531982422,20272
32,",",PUNCT,20.396018981933594,20320,",",PUNCT,30.71770477294922,20272
33,pictured,VERB,21.562030792236328,23040,representadas,ADJ,32.05070495605469,22968
34,here,ADV,20.809059143066406,23040,aquí,ADV,35.3892822265625,22968
35,",",PUNCT,20.680217742919922,23040,",",PUNCT,32.5787353515625,22968
36,in,ADP,18.594083786010742,23040,en,ADP,34.75667953491211,22968
37,an,DET,20.964330673217773,23040,un,DET,37.82879638671875,22968
38,extremely,ADV,25.370786666870117,23040,muy,ADV,37.74913787841797,22968
39,droughted,VERB,22.5607852935791,23040,deshidratado,ADJ,34.31568908691406,22968
40,state,NOUN,20.292098999023438,23040,estado,NOUN,34.38579177856445,22968
41,.,PUNCT,21.47679328918457,23040,.,PUNCT,34.788841247558594,22968
42,Give,VERB,22.395124435424805,26200,pero,CONJ,32.42277908325195,26200
43,0,0,0.0,0,no,ADV,33.85509490966797,26200
44,them,PRON,22.531328201293945,26200,lo,PRON,33.04823684692383,26200
45,water,NOUN,20.083419799804688,26200,están,AUX,34.4036865234375,26200
46,",",PUNCT,21.980358123779297,26200,.,PUNCT,32.82878112792969,26200
47,and,CCONJ,19.997201919555664,31880,0,0,0.0,0
48,they,PRON,25.517732620239258,31880,y,CONJ,32.59711456298828,31808
49,will,VERB,25.892654418945312,31880,reverdecerán,VERB,32.04707717895508,31808
50,resurrect,VERB,23.47538948059082,31880,resucitarán,VERB,32.33281707763672,31808
51,",",PUNCT,21.8635311126709,31880,",",PUNCT,30.900131225585938,31808
52,green,VERB,20.6669979095459,31880,comenzarán,AUX,32.299495697021484,31808
53,up,ADP,22.13545036315918,31880,a,ADP,34.443241119384766,31808
54,",",PUNCT,22.540163040161133,31880,",",PUNCT,31.0860595703125,31808
55,start,VERB,20.260536193847656,31880,crecer,VERB,35.52251052856445,31808
56,growing,VERB,23.354928970336914,31880,0,0,0.0,0
57,",",PUNCT,20.15170669555664,31880,y,CONJ,32.861148834228516,31808
58,in,ADP,20.647184371948242,31880,entre,ADP,31.831941604614258,31808
59,12,NUM,23.488052368164062,31880,48,NUM,32.193260192871094,31808
60,to,PART,23.387008666992188,31880,0,0,0.0,0
61,48,NUM,26.225379943847656,31880,12,NUM,32.858280181884766,31808
62,hours,NOUN,23.805570602416992,31880,horas,NOUN,33.84489059448242,31808
63,.,PUNCT,20.340871810913086,31880,.,PUNCT,32.80835723876953,31808
64,Now,ADV,22.69505500793457,38320,0,0,0.0,0
65,",",PUNCT,21.54654884338379,38320,¿,PUNCT,30.791568756103516,38200
66,why,ADV,21.22431755065918,38320,Por,ADP,33.507328033447266,38200
67,would,VERB,24.671478271484375,38320,sugiero,ADJ,33.412960052490234,38200
68,I,PRON,23.191810607910156,38320,qué,PRON,35.33498001098633,38200
69,suggest,VERB,22.26950454711914,38320,la,DET,35.45130157470703,38200
70,that,SCONJ,20.870689392089844,39640,que,SCONJ,32.685142517089844,38200
71,producing,VERB,24.088594436645508,39640,de,ADP,28.72798728942871,38200
72,drought,NOUN,22.584121704101562,39640,producción,NOUN,30.755327224731445,38200
73,-,PUNCT,20.798202514648438,39640,0,0,0.0,0
74,tolerant,ADJ,21.139122009277344,39640,0,0,0.0,0
75,crops,NOUN,22.46624755859375,39640,0,0,0.0,0
76,will,VERB,26.121070861816406,39640,0,0,0.0,0
77,go,VERB,24.014278411865234,39640,0,0,0.0,0
78,towards,ADP,21.045434951782227,39640,0,0,0.0,0
79,providing,VERB,24.021167755126953,39640,0,0,0.0,0
80,food,NOUN,22.269079208374023,39640,0,0,0.0,0
81,security,NOUN,18.503156661987305,39640,0,0,0.0,0
82,?,PUNCT,21.872543334960938,39640,0,0,0.0,0
83,the,DET,19.464807510375977,45040,La,DET,35.7751579284668,45040
84,world,NOUN,19.40670394897461,45040,población,NOUN,31.020132064819336,45040
85,",",PUNCT,19.480884552001953,45040,mundial,ADJ,33.89922332763672,45040
86,current,ADJ,18.20245933532715,45040,actual,ADJ,33.087100982666016,45040
87,is,AUX,23.56725311279297,45040,es,AUX,34.43184280395508,45040
88,Well,INTJ,24.711654663085938,45040,de,ADP,28.154468536376953,45040
89,0,0,0.0,0,alrededor,ADV,34.54637145996094,45040
90,around,ADP,21.364604949951172,45040,de,ADP,31.234153747558594,45040
91,7,NUM,23.61280632019043,45040,7,NUM,32.472816467285156,45040
92,billion,NUM,23.48654556274414,45040,mil,NUM,32.64641571044922,45040
93,population,NOUN,19.28775978088379,45040,millones,NOUN,35.31575012207031,45040
94,.,PUNCT,21.621919631958008,45040,.,PUNCT,32.37884521484375,45040
95,And,CCONJ,20.30086898803711,48960,Y,CONJ,33.060035705566406,48936
96,it,PRON,23.95707893371582,48960,se,PRON,32.888668060302734,48936
97,estimated,VERB,23.392356872558594,48960,estima,VERB,36.239830017089844,48936
98,that,SCONJ,21.28847312927246,48960,que,SCONJ,33.80791091918945,48936
99,by,ADP,23.09353256225586,48960,para,ADP,33.68391036987305,48936
100,'s,AUX,21.58749771118164,48960,el,DET,31.3604793548584,48936
101,0,0,0.0,0,año,NOUN,31.28816032409668,48936
