,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,One,NUM,22.346384048461914,15260,Una,PRON,30.628055572509766,15260
1,of,ADP,24.45945167541504,15260,de,ADP,30.558382034301758,15260
2,the,DET,20.281354904174805,15260,las,DET,33.04298782348633,15260
3,most,ADV,20.836753845214844,15260,más,ADV,38.65387725830078,15260
4,common,ADJ,20.374374389648438,15260,comunes,ADJ,35.86178207397461,15260
5,ways,NOUN,21.427892684936523,15260,formas,NOUN,34.77177810668945,15260
6,of,ADP,23.050729751586914,15260,de,ADP,33.89851760864258,15260
7,dividing,VERB,28.091541290283203,15260,dividir,VERB,35.20480728149414,15260
8,the,DET,21.652870178222656,15260,al,ADP,35.77018737792969,15260
9,world,NOUN,18.184476852416992,15260,mundo,NOUN,31.413616180419922,15260
10,is,AUX,21.835527420043945,18260,es,AUX,35.67875671386719,18260
11,into,ADP,20.49589729309082,18260,en,ADP,32.63008117675781,18260
12,those,DET,21.002519607543945,18260,creyentes,NOUN,35.62874221801758,18260
13,who,PRON,24.295169830322266,18260,y,CONJ,33.08638381958008,20260
14,believe,VERB,22.14211654663086,18260,no,ADV,35.510555267333984,20260
15,and,CCONJ,20.565439224243164,20260,creyentes,ADJ,35.36260223388672,20260
16,those,DET,22.26641082763672,20260,",",PUNCT,29.52039337158203,20260
17,who,PRON,24.391023635864258,20260,en,ADP,31.871732711791992,22260
18,do,AUX,24.825164794921875,20260,religiosos,NOUN,32.21906661987305,22260
19,n't,PART,23.346282958984375,20260,y,CONJ,34.12271499633789,22260
20,--,PUNCT,19.261491775512695,20260,.,PUNCT,33.02783966064453,22260
21,into,ADP,20.165163040161133,22260,o,CONJ,33.65570068359375,25260
22,the,DET,21.68812370300293,22260,Más,ADV,35.53609848022461,25260
23,religious,ADJ,19.63348960876465,22260,ateos,ADJ,35.90568923950195,22260
24,and,CCONJ,20.596670150756836,22260,menos,ADV,33.84324645996094,25260
25,the,DET,20.132301330566406,22260,la,DET,33.49030303955078,25260
26,atheists,NOUN,21.01061248779297,22260,década,NOUN,31.469982147216797,25260
27,.,PUNCT,20.94230079650879,22260,última,ADJ,33.144996643066406,25260
28,And,CCONJ,21.281888961791992,25260,ha,AUX,37.139339447021484,27260
29,for,ADP,20.213302612304688,25260,en,ADP,33.28016662597656,25260
30,the,DET,21.198122024536133,25260,quedado,VERB,36.9481315612793,27260
31,last,ADJ,21.306041717529297,25260,claro,ADJ,34.4476203918457,27260
32,decade,NOUN,19.813997268676758,25260,ateos,NOUN,33.778560638427734,31260
33,or,CCONJ,22.482269287109375,25260,significa,VERB,33.59309387207031,29260
