,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.766759872436523,13000,Les,PRON,30.014026641845703,13000
1,'m,AUX,23.198278427124023,13000,hace,AUX,34.1359977722168,13000
2,going,VERB,24.84768295288086,13000,contaré,VERB,33.936649322509766,13000
3,to,PART,22.639938354492188,13000,historia,NOUN,33.445579528808594,13000
4,tell,VERB,24.745620727539062,13000,0,0,0.0,0
5,you,PRON,22.674741744995117,13000,0,0,0.0,0
6,a,DET,20.131587982177734,13000,una,DET,34.155860900878906,13000
7,story,NOUN,19.02985382080078,13000,años,NOUN,36.18528747558594,13000
8,from,ADP,21.077470779418945,13000,de,ADP,32.797855377197266,13000
9,200,NUM,23.308609008789062,13000,200,NUM,37.11189651489258,13000
10,years,NOUN,23.0384521484375,13000,0,0,0.0,0
11,ago,ADV,20.404348373413086,13000,0,0,0.0,0
12,.,PUNCT,21.834972381591797,13000,.,PUNCT,33.238037109375,13000
13,In,ADP,20.433259963989258,16792,En,ADP,31.054706573486328,16792
14,1820,NUM,22.794658660888672,16792,1820,NOUN,34.7221565246582,16792
15,",",PUNCT,22.261022567749023,16792,el,DET,37.10615158081055,16792
16,astronomer,NOUN,21.50493049621582,16792,astrónomo,NOUN,32.136756896972656,16792
17,French,ADJ,21.179018020629883,16792,francés,ADJ,32.90941619873047,16792
18,Alexis,PROPN,22.50144386291504,16792,Alexis,PROPN,34.755001068115234,16792
19,Bouvard,PROPN,21.14620018005371,16792,Bouvard,PROPN,36.67308044433594,16792
20,0,0,0.0,0,casi,ADV,33.13582992553711,16792
21,0,0,0.0,0,se,PRON,32.099632263183594,16792
22,0,0,0.0,0,convirtió,VERB,38.01142501831055,16792
23,almost,ADV,22.623260498046875,20083,en,ADP,33.71806716918945,20083
24,became,VERB,23.563308715820312,20083,la,DET,32.448604583740234,20083
25,second,ADJ,19.734649658203125,20083,segunda,ADJ,34.202537536621094,20083
26,person,NOUN,21.76277732849121,20083,persona,NOUN,33.144351959228516,20083
27,in,ADP,20.95508575439453,20083,en,ADP,31.30605125427246,20083
28,the,DET,22.043581008911133,20083,la,DET,34.02840042114258,20083
29,history,NOUN,18.876907348632812,20083,historia,NOUN,34.27149200439453,20083
30,human,ADJ,17.823951721191406,20083,humana,ADJ,35.33848571777344,20083
