,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Six,NUM,23.476818084716797,12492,seis,NUM,36.43867874145508,12492
1,months,NOUN,22.80324363708496,12492,meses,NOUN,35.8795280456543,12492
2,ago,ADV,20.8581485748291,12492,Hace,AUX,36.163639068603516,12492
3,",",PUNCT,22.85198974609375,12492,",",PUNCT,31.09794807434082,12492
4,I,PRON,24.339658737182617,12492,0,0,0.0,0
5,got,VERB,23.244707107543945,12492,recibí,VERB,34.20555114746094,12492
6,an,DET,21.97852325439453,12492,un,DET,34.99656677246094,12492
7,email,NOUN,19.80095672607422,12492,mail,NOUN,32.02329635620117,12492
8,from,ADP,21.17177391052246,14673,de,ADP,31.52248764038086,14673
9,a,DET,24.42218780517578,14673,un,DET,37.20608901977539,14673
10,man,NOUN,22.629684448242188,14673,hombre,NOUN,31.84607696533203,14673
11,in,ADP,20.49559783935547,14673,en,ADP,31.742198944091797,14673
12,Israel,PROPN,24.38599967956543,14673,Israel,PROPN,36.08157730102539,14673
13,one,NUM,21.436159133911133,16080,que,SCONJ,32.707618713378906,16080
14,had,AUX,24.183116912841797,16080,había,AUX,35.99044418334961,16080
15,read,VERB,20.61908531188965,16080,leído,VERB,35.03470993041992,16080
16,who,PRON,21.379894256591797,16080,uno,PRON,32.32304000854492,16080
17,of,ADP,23.824735641479492,16080,de,ADP,30.03095245361328,16080
18,my,DET,21.09917640686035,16080,mis,DET,34.50946044921875,16080
19,books,NOUN,19.886241912841797,16080,libros,NOUN,34.464996337890625,16080
20,",",PUNCT,19.548198699951172,16080,",",PUNCT,31.254220962524414,16080
21,and,CCONJ,18.656200408935547,17461,y,CONJ,32.708683013916016,17461
22,the,DET,21.370641708374023,17461,el,DET,34.82268142700195,17461
23,email,NOUN,19.129135131835938,17461,mail,NOUN,32.62361145019531,17461
24,said,VERB,21.437095642089844,17461,decía,VERB,33.98806381225586,17461
25,",",PUNCT,19.94635009765625,17461,:,PUNCT,31.40049171447754,17461
26,"""",PUNCT,21.73897933959961,18964,"""",PUNCT,31.553895950317383,18964
27,You,PRON,24.530961990356445,18964,Usted,PRON,31.12537956237793,18964
28,do,AUX,21.68318748474121,18964,no,ADV,31.820283889770508,18964
29,n't,PART,25.430776596069336,18964,0,0,0.0,0
30,know,VERB,23.470245361328125,18964,conoce,VERB,36.58304214477539,18964
31,me,PRON,23.843420028686523,18964,me,PRON,32.887306213378906,18964
32,",",PUNCT,20.95195770263672,18964,",",PUNCT,28.23093605041504,18964
33,but,CCONJ,20.762563705444336,20971,pero,CONJ,34.05070114135742,20971
34,'m,AUX,22.979217529296875,20971,soy,AUX,32.50020217895508,20971
35,your,DET,22.700267791748047,20971,su,DET,30.147706985473633,20971
36,I,PRON,25.3306884765625,20971,12,NUM,31.30103874206543,20971
37,12th,ADJ,21.015832901000977,20971,°,PROPN,30.947912216186523,20971
38,cousin,NOUN,20.474531173706055,20971,primo,NOUN,28.831985473632812,20971
39,.,PUNCT,20.5051212310791,20971,"""",PUNCT,29.628700256347656,20971
40,"""",PUNCT,21.343536376953125,20971,.,PUNCT,33.19112014770508,20971
41,And,CCONJ,20.27817153930664,23443,Y,CONJ,34.38732147216797,23443
42,it,PRON,24.077871322631836,23443,decía,VERB,34.34941101074219,23443
43,said,VERB,23.530492782592773,23443,Tengo,VERB,32.58545684814453,23443
44,",",PUNCT,22.240726470947266,23443,"""",PUNCT,31.591102600097656,23443
45,"""",PUNCT,20.55339813232422,23443,:,PUNCT,33.47091293334961,23443
46,I,PRON,24.273513793945312,23443,0,0,0.0,0
47,have,AUX,23.005271911621094,23443,genealógico,ADJ,35.20097351074219,23443
48,a,DET,22.09309959411621,23443,un,DET,38.4141960144043,23443
49,family,NOUN,19.85869789123535,23443,árbol,NOUN,33.26312255859375,23443
50,tree,NOUN,18.66611099243164,23443,0,0,0.0,0
51,with,ADP,20.39814567565918,25820,con,ADP,33.195716857910156,25820
52,"80,000",NUM,22.567829132080078,25820,80,NUM,33.882022857666016,25820
53,0,0,0.0,0,000,NUM,35.24050521850586,25820
54,people,NOUN,22.16152000427246,25820,personas,NOUN,35.08013916015625,25820
55,on,ADP,19.623111724853516,25820,en,ADP,33.27102279663086,25820
56,it,PRON,22.35540199279785,25820,él,PRON,31.371870040893555,25820
57,",",PUNCT,22.093902587890625,25820,",",PUNCT,29.606534957885742,25820
58,including,VERB,23.604969024658203,25820,incluido,ADJ,32.297691345214844,25820
59,you,PRON,22.668514251708984,25820,usted,PRON,33.56943893432617,25820
60,",",PUNCT,21.026931762695312,25820,",",PUNCT,28.812726974487305,25820
61,Karl,PROPN,22.35004425048828,29724,Karl,PROPN,33.97548294067383,29724
62,Marx,PROPN,22.077007293701172,29724,Marx,PROPN,35.494564056396484,29724
63,",",PUNCT,20.75139808654785,29724,",",PUNCT,30.853899002075195,29724
64,and,CCONJ,21.814176559448242,30878,y,CONJ,33.250362396240234,30878
65,several,ADJ,21.776121139526367,30878,varios,DET,33.09890365600586,30878
66,aristocrats,NOUN,21.3487491607666,30878,aristócratas,NOUN,33.25862121582031,30878
67,European,ADJ,23.951894760131836,30878,europeos,ADJ,33.338951110839844,30878
68,.,PUNCT,21.69681739807129,30878,"""",PUNCT,31.803749084472656,30878
69,"""",PUNCT,21.371898651123047,30878,.,PUNCT,33.43315887451172,30878
70,Now,ADV,22.352909088134766,33478,Ahora,ADV,32.9697380065918,33478
71,I,PRON,25.295379638671875,33478,yo,PRON,32.25080871582031,33478
72,did,AUX,24.31447982788086,33478,",",PUNCT,29.805557250976562,33478
73,not,PART,22.924213409423828,33478,no,ADV,34.049705505371094,33478
74,know,VERB,22.776708602905273,33478,sabía,VERB,35.8627815246582,33478
75,what,PRON,20.811655044555664,33478,qué,PRON,31.484764099121094,33478
76,to,PART,21.156545639038086,33478,0,0,0.0,0
77,make,VERB,22.573570251464844,33478,hacer,VERB,35.72371292114258,33478
78,of,ADP,21.031036376953125,33478,con,ADP,33.400455474853516,33478
79,this,DET,21.242958068847656,33478,eso,PRON,31.666790008544922,33478
