,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,One,NUM,23.192468643188477,12498,Una,DET,31.24823570251465,12498
1,summer,NOUN,18.824934005737305,12498,tarde,NOUN,31.25031852722168,12498
2,in,ADP,21.09364891052246,12498,de,ADP,31.99893569946289,12498
3,afternoon,NOUN,19.372173309326172,12498,verano,NOUN,28.51173973083496,12498
4,2013,NUM,21.562942504882812,12498,de,ADP,30.427762985229492,12498
5,0,0,0.0,0,2013,NOUN,32.708831787109375,12498
6,",",PUNCT,21.58297348022461,12498,",",PUNCT,32.231082916259766,12498
7,0,0,0.0,0,la,DET,34.39093780517578,15118
8,police,NOUN,18.577333450317383,15118,policía,NOUN,35.23450469970703,15118
9,0,0,0.0,0,de,ADP,32.84674835205078,15118
10,DC,PROPN,20.543537139892578,15118,DC,PROPN,34.4215202331543,15118
11,questioned,VERB,21.98390769958496,15118,detuvo,VERB,32.56941223144531,15118
12,",",PUNCT,20.762849807739258,15118,",",PUNCT,32.16753387451172,15118
13,searched,VERB,23.204416275024414,15118,interrogó,VERB,33.3244514465332,15118
14,and,CCONJ,22.081459045410156,15118,y,CONJ,34.76218032836914,15118
15,detained,VERB,22.058414459228516,15118,registró,VERB,33.84613037109375,15118
16,0,0,0.0,0,a,ADP,35.038970947265625,15118
17,a,DET,23.91977310180664,15118,un,DET,36.90425491333008,15118
18,man,NOUN,20.182321548461914,15118,hombre,NOUN,32.59505081176758,15118
19,who,PRON,21.76309585571289,18270,que,SCONJ,32.06100845336914,18270
20,appeared,VERB,24.4644775390625,18270,parecía,AUX,36.898643493652344,18270
21,suspicious,ADJ,19.621185302734375,18270,sospechoso,ADJ,33.335426330566406,18270
22,and,CCONJ,22.655797958374023,18270,y,CONJ,33.479766845703125,18270
23,potentially,ADV,25.10112953186035,18270,potencialmente,ADV,36.748497009277344,18270
24,dangerous,ADJ,21.378808975219727,18270,peligroso,ADJ,33.28714370727539,18270
25,.,PUNCT,22.365934371948242,18270,.,PUNCT,33.12189483642578,18270
26,This,DET,22.968957901000977,22136,lo,DET,34.063514709472656,22136
27,was,AUX,25.023876190185547,22136,es,AUX,34.2799072265625,22136
28,n't,PART,25.312816619873047,22136,no,ADV,33.35036087036133,22136
29,what,PRON,21.27629280090332,22136,Esto,PRON,34.254920959472656,22136
30,I,PRON,25.251527786254883,22136,que,PRON,31.44093132019043,22136
31,was,AUX,26.33442497253418,22136,0,0,0.0,0
32,wearing,VERB,25.858089447021484,22136,vestía,VERB,35.63494873046875,22136
33,the,DET,24.07082176208496,22136,el,DET,34.670536041259766,22136
34,day,NOUN,20.035348892211914,22136,día,NOUN,32.347267150878906,22136
35,of,ADP,24.274703979492188,22136,de,ADP,30.634952545166016,22136
36,the,DET,22.604415893554688,22136,la,DET,33.35357666015625,22136
37,detention,NOUN,17.500682830810547,22136,detención,NOUN,31.50760841369629,22136
38,",",PUNCT,20.333208084106445,22136,",",PUNCT,29.893613815307617,22136
39,to,PART,21.698665618896484,22136,0,0,0.0,0
40,be,AUX,24.140499114990234,22136,0,0,0.0,0
41,fair,ADJ,22.115604400634766,22136,0,0,0.0,0
42,",",PUNCT,20.701858520507812,22136,0,0,0.0,0
43,but,CCONJ,20.556148529052734,25605,pero,CONJ,34.76438903808594,25605
44,I,PRON,25.106184005737305,25605,ello,PRON,33.23284912109375,25605
45,have,AUX,22.499706268310547,25605,tengo,VERB,36.07514572143555,25605
46,a,DET,22.140573501586914,25605,una,DET,35.22164535522461,25605
47,picture,NOUN,21.960790634155273,25605,foto,NOUN,32.57181930541992,25605
48,of,ADP,24.809534072875977,25605,de,ADP,32.328285217285156,25605
49,that,DET,18.636802673339844,25605,0,0,0.0,0
50,as,ADV,19.364688873291016,25605,también,ADV,33.5733528137207,25605
51,well,ADV,21.8259220123291,25605,0,0,0.0,0
52,.,PUNCT,21.151592254638672,25605,.,PUNCT,32.331077575683594,25605
53,I,PRON,24.846078872680664,27452,0,0,0.0,0
54,know,VERB,24.79663848876953,27452,traté,VERB,33.295841217041016,27452
55,it,PRON,23.494951248168945,27452,0,0,0.0,0
56,'s,AUX,22.498493194580078,27452,Es,AUX,34.26931381225586,27452
57,very,ADV,26.45577049255371,27452,de,ADP,32.19516372680664,27452
58,frightening,ADJ,23.4974422454834,27452,aterrador,ADJ,33.96238327026367,27452
59,--,PUNCT,21.70691680908203,27452,--,PUNCT,30.689098358154297,27452
60,try,VERB,22.83907699584961,27452,mantener,VERB,36.26408767700195,27452
61,to,PART,24.98067855834961,27452,calma,NOUN,31.573759078979492,27452
62,remain,VERB,24.919584274291992,27452,la,DET,34.44270324707031,27452
63,calm,ADJ,21.462068557739258,27452,0,0,0.0,0
64,.,PUNCT,22.17964744567871,27452,.,PUNCT,33.07090759277344,27452
65,(,PUNCT,19.138301849365234,30172,(,PUNCT,28.748825073242188,30172
66,Laughter,PROPN,20.165264129638672,30172,Risas,PROPN,34.865478515625,30172
67,),PUNCT,20.96363067626953,30172,),PUNCT,32.331058502197266,30172
68,At,ADP,20.58875846862793,31289,En,ADP,32.80522537231445,31289
69,this,DET,24.814273834228516,31289,ese,DET,35.904624938964844,31289
70,time,NOUN,21.455244064331055,31289,tiempo,NOUN,34.16074752807617,31289
71,",",PUNCT,20.727773666381836,31289,",",PUNCT,30.480009078979492,31289
72,I,PRON,24.002676010131836,31289,mis,DET,34.90251541137695,31289
73,was,AUX,25.336702346801758,31289,prácticas,NOUN,34.73337173461914,31289
74,interning,VERB,23.308095932006836,31289,hacía,VERB,36.08946228027344,31289
