,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,'s,AUX,21.681669235229492,12864,Es,AUX,32.99910354614258,12864
1,It,PRON,22.474546432495117,12864,el,DET,32.14909362792969,12864
2,5,NUM,20.729515075683594,12864,5,NUM,33.51253890991211,12864
3,August,PROPN,21.517274856567383,12864,de,ADP,33.93928909301758,12864
4,2010,NUM,19.98130226135254,12864,agosto,NOUN,30.796905517578125,12864
5,",",PUNCT,23.211585998535156,12864,",",PUNCT,29.475404739379883,12864
6,0,0,0.0,0,2010,NOUN,32.705780029296875,12864
7,.,PUNCT,20.062742233276367,12864,.,PUNCT,31.65567970275879,12864
8,A,DET,22.247358322143555,16166,Un,DET,34.68207931518555,16166
9,collapse,NOUN,23.46163558959961,16166,derrumbe,NOUN,31.1741943359375,16166
10,massive,ADJ,22.29555892944336,16166,enorme,ADJ,33.357818603515625,16166
11,at,ADP,22.034807205200195,16166,en,ADP,32.38617706298828,16166
12,the,DET,20.271772384643555,16166,la,DET,33.001007080078125,16166
13,San,PROPN,20.25620460510254,16166,mina,NOUN,31.740428924560547,16166
14,José,PROPN,21.163862228393555,16166,de,ADP,30.5555362701416,16166
15,Copper,PROPN,20.53116798400879,16166,cobre,NOUN,28.614456176757812,16166
16,in,ADP,19.599512100219727,16166,de,ADP,30.753511428833008,16166
17,Mine,PROPN,19.365943908691406,16166,San,PROPN,35.97505187988281,16166
18,Northern,PROPN,20.645322799682617,16166,José,PROPN,37.132781982421875,16166
19,0,0,0.0,0,en,ADP,30.963594436645508,16166
20,0,0,0.0,0,el,DET,33.73308563232422,16166
21,0,0,0.0,0,norte,NOUN,29.72265625,16166
22,0,0,0.0,0,de,ADP,30.028575897216797,16166
23,Chile,PROPN,20.51234245300293,16166,Chile,PROPN,37.446109771728516,16166
24,has,AUX,21.667261123657227,20305,a,ADP,31.38844108581543,20305
25,left,VERB,21.658889770507812,20305,atrapó,VERB,36.8154411315918,20305
26,33,NUM,22.929460525512695,20305,33,NUM,35.423370361328125,20305
27,men,NOUN,21.93811798095703,20305,hombres,NOUN,36.03881072998047,20305
28,trapped,VERB,23.055749893188477,20305,a,ADP,31.60799789428711,20305
29,half,DET,21.843788146972656,20305,más,ADV,35.51010513305664,20305
30,a,DET,20.033166885375977,20305,de,ADP,32.41133499145508,20305
31,mile,NOUN,18.38964080810547,20305,metros,NOUN,34.646114349365234,20305
32,--,PUNCT,18.975666046142578,20305,800,NUM,36.23670959472656,20305
