,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,our,DET,21.823986053466797,15940,nuestra,DET,34.79829788208008,16084
1,newest,ADJ,19.28801155090332,15940,última,ADJ,32.110992431640625,16084
2,dread,NOUN,19.046878814697266,15940,y,CONJ,31.73606300354004,16084
3,0,0,0.0,0,más,ADV,38.04796600341797,16084
4,0,0,0.0,0,temida,ADJ,34.2806282043457,16084
5,disease,NOUN,18.610286712646484,15940,enfermedad,NOUN,32.263633728027344,16084
6,.,PUNCT,21.978553771972656,15940,.,PUNCT,33.11001968383789,16084
7,What,PRON,20.31853675842285,19670,¿,PUNCT,30.578269958496094,19720
8,it,PRON,22.5181941986084,19670,Qué,PRON,31.608034133911133,19720
9,is,AUX,21.342872619628906,19670,es,AUX,31.07300567626953,19720
10,?,PUNCT,22.268783569335938,19670,?,PUNCT,31.594369888305664,19720
11,Where,ADV,21.19406509399414,19670,¿,PUNCT,31.01026153564453,19720
12,'d,AUX,19.39042091369629,19670,De,ADP,31.487192153930664,19720
13,it,PRON,23.708282470703125,19670,dónde,PRON,34.6474609375,19720
14,0,0,0.0,0,vino,NOUN,33.76974868774414,19720
15,0,0,0.0,0,?,PUNCT,29.80785369873047,19720
16,?,PUNCT,21.453842163085938,19670,¿,PUNCT,30.733501434326172,22518
17,0,0,0.0,0,Qué,PRON,29.577077865600586,22518
18,come,VERB,22.27373695373535,19670,hacemos,VERB,34.24944305419922,22518
19,from,ADP,19.479169845581055,19670,al,ADP,34.26554489135742,22518
20,0,0,0.0,0,respecto,NOUN,31.929431915283203,22518
21,0,0,0.0,0,?,PUNCT,30.938541412353516,22518
22,Well,INTJ,21.44322967529297,24850,Para,ADP,32.74714660644531,24892
23,most,ADJ,21.906312942504883,24850,la,DET,30.902753829956055,24892
24,adults,NOUN,21.181570053100586,24850,mayoría,NOUN,30.886024475097656,24892
25,for,ADP,21.275835037231445,24850,de,ADP,30.87934684753418,24892
26,0,0,0.0,0,los,DET,35.19459533691406,24892
27,it,PRON,24.462724685668945,24850,adultos,NOUN,35.394203186035156,24892
28,",",PUNCT,20.62518882751465,24850,",",PUNCT,30.564830780029297,24892
29,'s,AUX,21.680707931518555,24850,es,AUX,35.21480178833008,24892
30,a,DET,23.18490219116211,24850,una,DET,35.519866943359375,24892
31,disease,NOUN,18.927202224731445,24850,enfermedad,NOUN,34.80149459838867,24892
32,relatively,ADV,25.768543243408203,24850,relativamente,ADV,36.9488525390625,24892
33,mild,ADJ,20.764663696289062,24850,leve,ADJ,35.966182708740234,24892
34,--,PUNCT,20.430871963500977,24850,:,PUNCT,32.999168395996094,24892
35,a,DET,22.217981338500977,28144,un,DET,31.333786010742188,28292
36,little,ADJ,19.32159996032715,28144,poco,ADV,33.44515609741211,28292
37,0,0,0.0,0,de,ADP,29.904409408569336,28292
38,fever,NOUN,20.509510040283203,28144,fiebre,NOUN,30.810884475708008,28292
39,",",PUNCT,21.407188415527344,28144,",",PUNCT,31.818923950195312,28292
40,a,DET,21.858041763305664,28144,un,DET,31.804229736328125,28292
41,little,ADJ,17.87171745300293,28144,poco,PRON,33.29105758666992,28292
42,",",PUNCT,22.31497573852539,28144,de,ADP,30.25502586364746,28292
43,headache,NOUN,20.0166015625,28144,dolor,NOUN,31.09440803527832,28292
44,joint,ADJ,17.392662048339844,28144,de,ADP,31.752668380737305,28292
45,pain,NOUN,18.6545352935791,28144,cabeza,NOUN,29.530338287353516,28292
46,",",PUNCT,20.439495086669922,28144,",",PUNCT,30.993927001953125,28292
47,maybe,ADV,21.79722023010254,28144,dolor,NOUN,31.55889320373535,30552
48,0,0,0.0,0,de,ADP,31.030542373657227,30552
49,rash,NOUN,20.3310604095459,28144,articulaciones,NOUN,32.680023193359375,30552
50,.,PUNCT,21.128854751586914,28144,",",PUNCT,30.13100814819336,30552
51,0,0,0.0,0,tal,NOUN,34.07038497924805,30552
52,0,0,0.0,0,vez,NOUN,33.7117919921875,30552
53,a,DET,20.832252502441406,28144,un,DET,35.416160583496094,30552
54,0,0,0.0,0,sarpullido,NOUN,33.76287841796875,30552
55,0,0,0.0,0,.,PUNCT,32.954158782958984,30552
56,0,0,0.0,0,De,ADP,33.46589660644531,32802
57,0,0,0.0,0,hecho,NOUN,30.08224868774414,32802
58,0,0,0.0,0,",",PUNCT,31.072994232177734,32802
59,0,0,0.0,0,la,DET,34.80359649658203,32802
60,0,0,0.0,0,mayoría,NOUN,31.363689422607422,32802
61,0,0,0.0,0,de,ADP,30.741802215576172,32802
62,0,0,0.0,0,los,DET,34.74835968017578,32802
63,0,0,0.0,0,infectados,NOUN,34.08254623413086,32802
64,0,0,0.0,0,ni,CONJ,32.86789321899414,32802
65,0,0,0.0,0,siquiera,NOUN,34.43271255493164,32802
66,0,0,0.0,0,sabe,VERB,33.23263168334961,32802
67,0,0,0.0,0,que,SCONJ,34.10574722290039,32802
68,0,0,0.0,0,lo,PRON,32.45875549316406,32802
69,0,0,0.0,0,ha,AUX,35.33102035522461,32802
70,0,0,0.0,0,contraído,VERB,36.08158874511719,32802
71,0,0,0.0,0,.,PUNCT,33.067508697509766,32802
72,In,ADP,21.47163200378418,32830,sobre,ADP,34.17995834350586,36522
73,fact,NOUN,20.996967315673828,32830,cuanto,ADV,32.9722900390625,36522
74,",",PUNCT,21.667871475219727,32830,más,ADV,36.94333267211914,36522
75,most,ADJ,20.305261611938477,32830,Pero,CONJ,32.8172721862793,36522
76,people,NOUN,22.798952102661133,32830,virus,NOUN,34.48560333251953,36522
77,who,PRON,26.686647415161133,32830,el,DET,34.26620101928711,36522
78,get,VERB,25.690868377685547,32830,descubrimos,VERB,34.09284591674805,36522
79,it,PRON,23.663639068603516,32830,del,ADP,31.489965438842773,36522
80,do,AUX,20.16415023803711,32830,Zika,PROPN,34.70814895629883,36522
81,n't,PART,25.177330017089844,32830,0,0,0.0,0
82,even,ADV,23.132652282714844,32830,0,0,0.0,0
83,know,VERB,23.811050415039062,32830,0,0,0.0,0
84,they,PRON,21.7294864654541,32830,0,0,0.0,0
85,'ve,AUX,20.867088317871094,32830,0,0,0.0,0
86,had,AUX,22.622901916503906,32830,0,0,0.0,0
87,it,PRON,23.15029525756836,32830,0,0,0.0,0
88,.,PUNCT,22.81170082092285,32830,0,0,0.0,0
89,the,DET,18.596895217895508,40378,0,0,0.0,0
90,more,ADV,21.016294479370117,40378,más,ADV,34.010528564453125,40382
91,terrifying,ADJ,20.89586639404297,40378,miedo,NOUN,31.67095947265625,40382
92,it,PRON,22.222265243530273,40378,nos,PRON,32.89847183227539,40382
93,becomes,VERB,24.25581169128418,40378,da,VERB,33.71465301513672,40382
94,.,PUNCT,20.242557525634766,40378,.,PUNCT,32.37860107421875,40382
95,For,ADP,21.71971893310547,41950,Por,ADP,33.98276901245117,42022
96,example,NOUN,19.831340789794922,41950,ejemplo,NOUN,31.348928451538086,42022
97,",",PUNCT,23.44842529296875,41950,",",PUNCT,30.09408187866211,42022
98,0,0,0.0,0,los,DET,34.82978057861328,42022
99,doctors,NOUN,22.62800407409668,41950,médicos,NOUN,36.581504821777344,42022
100,have,AUX,22.578624725341797,41950,han,AUX,36.814247131347656,42022
101,noticed,VERB,22.705366134643555,41950,notado,VERB,35.34550094604492,42022
102,an,DET,22.213457107543945,41950,un,DET,34.946434020996094,42022
103,uptick,NOUN,20.377443313598633,41950,repunte,NOUN,32.59817886352539,42022
104,of,ADP,19.667041778564453,45481,del,ADP,33.742210388183594,45482
105,something,PRON,22.865020751953125,45481,llamado,ADJ,33.1220817565918,45482
106,syndrome,NOUN,19.174631118774414,45481,síndrome,NOUN,31.648868560791016,45482
107,called,VERB,21.796146392822266,45481,de,ADP,28.93977928161621,45482
108,Guillain,PROPN,20.364702224731445,45481,Guillain,PROPN,35.5380973815918,45482
109,-,PUNCT,22.489681243896484,45481,-,PUNCT,32.10393142700195,45482
110,Barré,PROPN,22.06881332397461,45481,Barré,PROPN,31.853252410888672,45482
111,in,ADP,20.52091407775879,45481,en,ADP,32.73639678955078,45482
112,outbreaks,NOUN,22.180126190185547,45481,brotes,NOUN,36.7418098449707,45482
113,recent,ADJ,19.942224502563477,45481,recientes,ADJ,36.58869934082031,45482
114,.,PUNCT,22.05681610107422,45481,",",PUNCT,30.83165740966797,45482
115,In,ADP,19.6196346282959,49219,a,ADP,33.38651657104492,49262
116,Guillain,PROPN,21.381898880004883,49219,que,SCONJ,33.24602127075195,49262
117,-,PUNCT,21.000307083129883,49219,ataca,VERB,36.51589584350586,49262
118,Barré,PROPN,20.871187210083008,49219,células,NOUN,35.578590393066406,49262
119,",",PUNCT,20.620826721191406,49219,.,PUNCT,32.53969955444336,49262
120,your,DET,21.33672332763672,49219,las,DET,34.929710388183594,49262
121,immune,ADJ,20.046424865722656,49219,nerviosas,ADJ,36.637977600097656,49262
122,system,NOUN,20.662803649902344,49219,través,NOUN,32.578311920166016,49262
123,attacks,VERB,22.399425506591797,49219,del,ADP,33.78559112548828,49262
124,your,DET,23.00540542602539,49219,inmunitario,ADJ,32.85444259643555,49262
125,nerve,NOUN,19.04269027709961,49219,sistema,NOUN,33.48359298706055,49262
126,cells,NOUN,20.65060043334961,49219,0,0,0.0,0
127,it,PRON,24.169591903686523,52395,Puede,AUX,34.66360855102539,52652
128,can,VERB,24.97978401184082,52395,producir,VERB,37.47633361816406,52652
129,partially,ADV,25.146867752075195,52395,parcial,ADV,32.5512580871582,52652
130,or,CCONJ,23.992979049682617,52395,parálisis,NOUN,35.49821853637695,52652
131,even,ADV,20.33268928527832,52395,o,CONJ,33.64085006713867,52652
132,totally,ADV,25.588510513305664,52395,total,ADJ,32.484127044677734,52652
133,paralyze,VERB,20.152647018432617,52395,0,0,0.0,0
134,you,PRON,23.80451774597168,52395,0,0,0.0,0
135,.,PUNCT,21.18036460876465,52395,.,PUNCT,33.12135696411133,52652
136,Fortunately,ADV,21.372554779052734,56092,Afortunadamente,ADV,34.503807067871094,56142
137,",",PUNCT,21.157581329345703,56092,",",PUNCT,31.04541015625,56142
138,'s,AUX,23.832077026367188,56092,es,AUX,35.793582916259766,56142
139,quite,ADV,24.4957332611084,56092,poco,ADV,37.9477653503418,56142
140,rare,ADJ,22.30126190185547,56092,habitual,ADJ,35.0266227722168,56142
141,",",PUNCT,22.99608612060547,56092,y,CONJ,34.32222366333008,56142
142,that,DET,19.764514923095703,56092,la,DET,35.22864532470703,56142
143,people,NOUN,24.659141540527344,56092,mayoría,NOUN,31.842891693115234,56142
144,and,CCONJ,21.019916534423828,56092,se,PRON,31.20171546936035,56142
145,recover,VERB,22.952402114868164,56092,recupera,VERB,35.2947998046875,56142
146,.,PUNCT,22.183246612548828,56092,.,PUNCT,31.576736450195312,56142
147,0,0,0.0,0,Pero,CONJ,32.271968841552734,59801
148,0,0,0.0,0,si,SCONJ,33.2760124206543,59801
149,0,0,0.0,0,están,AUX,34.87767028808594,59801
150,most,ADJ,19.697397232055664,56092,embarazadas,ADJ,30.8710880279541,59801
151,0,0,0.0,0,cuando,SCONJ,35.022701263427734,59801
152,0,0,0.0,0,lo,PRON,32.93227005004883,59801
153,0,0,0.0,0,padecen,VERB,35.615196228027344,59801
154,But,CCONJ,22.231233596801758,60040,corren,VERB,32.96441650390625,65534
155,if,SCONJ,21.238975524902344,60040,un,DET,34.40038299560547,65534
156,you,PRON,23.739694595336914,60040,0,0,0.0,0
157,'re,AUX,23.12933921813965,60040,riesgo,NOUN,33.13670349121094,65534
158,pregnant,ADJ,22.22511100769043,60040,gran,ADJ,37.34629821777344,65534
159,when,ADV,22.903675079345703,60040,.,PUNCT,32.33030700683594,65534
160,you,PRON,23.735370635986328,60040,0,0,0.0,0
161,'re,AUX,21.17068862915039,60040,0,0,0.0,0
162,infected,VERB,19.683828353881836,60040,0,0,0.0,0
163,you,PRON,22.843164443969727,65720,Sí,ADV,35.60128402709961,68523
164,'re,AUX,20.650428771972656,65720,",",PUNCT,31.581771850585938,68523
165,at,ADP,22.528581619262695,65720,de,ADP,31.51689910888672,68523
166,0,0,0.0,0,tener,VERB,36.72571563720703,68523
167,risk,NOUN,21.794578552246094,65720,niños,NOUN,35.697731018066406,68523
168,of,ADP,22.901777267456055,65720,con,ADP,33.15993118286133,68523
169,something,PRON,22.044538497924805,65720,una,DET,34.51385498046875,68523
170,0,0,0.0,0,cabeza,NOUN,32.7252082824707,68523
171,terrible,ADJ,21.90216636657715,65720,deformada,ADJ,34.58119201660156,68523
172,.,PUNCT,22.902151107788086,65720,.,PUNCT,35.061004638671875,68523
173,Here,ADV,21.401472091674805,72500,Este,PRON,32.08619689941406,72599
174,'s,AUX,20.990398406982422,72500,es,AUX,31.11024284362793,72599
175,a,DET,22.332063674926758,72500,un,DET,37.6871223449707,72599
176,baby,NOUN,22.63694190979004,72500,bebé,NOUN,34.74540328979492,72599
177,normal,ADJ,22.193073272705078,72500,normal,ADJ,36.61771011352539,72599
