,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,ago,ADV,20.29542350769043,20160,Hace,AUX,35.530006408691406,20160
1,Fifty,NUM,22.176244735717773,20160,cincuenta,NUM,34.766849517822266,20160
2,years,NOUN,22.385112762451172,20160,años,NOUN,36.37565612792969,20160
3,",",PUNCT,22.820144653320312,20160,",",PUNCT,30.160846710205078,20160
4,when,ADV,21.265636444091797,20160,cuando,SCONJ,34.80479431152344,20160
5,I,PRON,25.54207420349121,20160,comencé,PRON,31.857824325561523,20160
6,began,VERB,26.128820419311523,20160,a,ADP,33.30494689941406,20160
7,exploring,VERB,25.379018783569336,20160,explorar,VERB,36.452091217041016,20160
8,the,DET,22.422746658325195,20160,el,DET,34.91269302368164,20160
9,ocean,NOUN,18.665454864501953,20160,océano,NOUN,30.746397018432617,20160
10,",",PUNCT,20.3083553314209,20160,",",PUNCT,30.511960983276367,20160
11,no,DET,21.413516998291016,23160,nadie,PRON,34.911869049072266,23160
12,--,PUNCT,20.034893035888672,23160,-,PUNCT,31.79622459411621,23160
13,one,NOUN,18.949567794799805,23160,ni,CONJ,30.5977840423584,23160
14,not,PART,20.678668975830078,23160,Jacques,PROPN,35.75510787963867,23160
15,Jacques,PROPN,21.387657165527344,23160,Perrin,PROPN,34.74366760253906,23160
16,",",PUNCT,24.189056396484375,23160,",",PUNCT,28.068532943725586,23160
17,not,PART,19.856367111206055,23160,ni,CONJ,32.121707916259766,23160
18,Perrin,PROPN,21.95326042175293,23160,Jacques,PROPN,36.16016387939453,23160
19,Jacques,PROPN,20.549222946166992,23160,Cousteau,PROPN,35.7751350402832,23160
20,or,CCONJ,22.123607635498047,23160,o,CONJ,30.491153717041016,23160
21,Cousteau,PROPN,20.705352783203125,23160,Rachel,PROPN,36.55671691894531,23160
22,Rachel,PROPN,22.200946807861328,23160,Carson,PROPN,35.812374114990234,23160
23,Carson,PROPN,22.891889572143555,23160,se,PRON,33.249961853027344,29160
24,imagined,VERB,20.705215454101562,29160,imaginó,VERB,36.9445686340332,29160
25,that,SCONJ,22.193378448486328,29160,que,SCONJ,31.466182708740234,29160
26,do,AUX,25.136445999145508,29160,podríamos,AUX,32.12229537963867,29160
27,could,VERB,24.673316955566406,29160,hacer,VERB,34.8028564453125,29160
28,we,PRON,25.19184112548828,29160,algo,PRON,34.40748596191406,29160
29,--,PUNCT,20.121965408325195,23160,para,ADP,35.68138885498047,29160
30,harm,VERB,24.819419860839844,29160,dañar,VERB,35.99517822265625,29160
31,to,PART,23.693973541259766,29160,al,ADP,34.49733352661133,29160
32,ocean,NOUN,19.76942253112793,29160,océano,NOUN,31.036479949951172,29160
33,anything,PRON,23.813186645507812,29160,por,ADP,33.56255340576172,32160
34,the,DET,22.301485061645508,29160,lo,DET,34.38424301147461,32160
35,what,PRON,21.836318969726562,32160,que,PRON,31.894506454467773,32160
36,put,VERB,24.25874900817871,32160,poníamos,VERB,34.874000549316406,32160
37,by,ADP,20.399795532226562,32160,en,ADP,35.4492301940918,32160
38,we,PRON,25.449800491333008,32160,él,PRON,31.729827880859375,32160
39,it,PRON,22.309555053710938,32160,o,CONJ,32.35435104370117,32160
40,into,ADP,19.970491409301758,32160,por,ADP,30.687402725219727,32160
41,or,CCONJ,20.52912712097168,32160,lo,DET,34.60124206542969,32160
42,what,PRON,22.32571029663086,32160,que,PRON,30.926132202148438,32160
43,took,VERB,25.05858039855957,32160,sacábamos,VERB,32.99605178833008,32160
44,by,ADP,19.398591995239258,32160,de,ADP,29.297016143798828,32160
45,we,PRON,25.298852920532227,32160,él,PRON,29.735830307006836,32160
46,out,SCONJ,20.673067092895508,32160,.,PUNCT,31.10457992553711,32160
47,it,PRON,23.468242645263672,32160,Parecía,PROPN,34.24434280395508,35160
48,.,PUNCT,21.561237335205078,32160,",",PUNCT,30.11355209350586,35160
49,of,ADP,22.514957427978516,32160,en,ADP,34.18573760986328,35160
50,that,DET,21.7081241607666,35160,aquel,DET,34.989749908447266,35160
51,seemed,VERB,26.26264190673828,35160,tiempo,NOUN,33.678768157958984,35160
52,",",PUNCT,19.29300880432129,35160,",",PUNCT,30.092060089111328,35160
53,It,PRON,24.9777774810791,35160,que,PRON,32.77994918823242,35160
54,be,AUX,24.54415512084961,35160,era,AUX,33.403663635253906,35160
55,a,DET,22.938608169555664,35160,el,DET,32.556884765625,35160
56,time,NOUN,20.102622985839844,35160,mar,NOUN,31.033294677734375,35160
57,at,ADP,21.394283294677734,35160,del,ADP,33.35316848754883,35160
58,to,PART,21.493154525756836,35160,Edén,PROPN,36.555335998535156,35160
59,",",PUNCT,19.857343673706055,35160,.,PUNCT,32.48899459838867,35160
60,sea,NOUN,20.807466506958008,35160,Pero,CONJ,33.21065139770508,38160
61,of,ADP,23.63573455810547,35160,ahora,ADV,33.847293853759766,38160
62,we,PRON,24.972639083862305,38160,lo,PRON,29.863880157470703,38160
63,Eden,PROPN,20.575082778930664,35160,sabemos,VERB,33.500545501708984,38160
64,",",PUNCT,20.241716384887695,35160,",",PUNCT,30.436857223510742,38160
65,but,CCONJ,21.457378387451172,38160,y,CONJ,32.94528579711914,38160
66,now,ADV,22.368520736694336,38160,ahora,ADV,33.39228057861328,38160
67,know,VERB,24.466678619384766,38160,enfrentamos,VERB,35.73283767700195,38160
68,",",PUNCT,20.598384857177734,38160,la,DET,33.55270767211914,38160
69,and,CCONJ,21.604637145996094,38160,pérdida,NOUN,30.448123931884766,38160
70,now,ADV,22.90511703491211,38160,del,ADP,34.72513961791992,38160
71,we,PRON,25.857528686523438,38160,paraíso,NOUN,30.886327743530273,38160
72,are,AUX,25.56073760986328,38160,.,PUNCT,32.50234603881836,38160
73,facing,VERB,24.215190887451172,38160,Quiero,VERB,35.32393264770508,44160
74,lost,VERB,18.9965763092041,38160,compartir,VERB,35.547054290771484,44160
75,paradise,PROPN,20.744253158569336,38160,con,ADP,33.675350189208984,44160
76,I,PRON,25.129756927490234,44160,ustedes,PRON,33.87733840942383,44160
77,.,PUNCT,20.34153938293457,38160,mi,DET,35.83837127685547,47160
78,want,VERB,24.089553833007812,44160,visión,NOUN,33.48853302001953,47160
79,to,PART,24.116607666015625,44160,personal,ADJ,34.63597106933594,47160
80,with,ADP,20.723217010498047,44160,de,ADP,31.622669219970703,47160
81,my,DET,22.13479232788086,47160,los,DET,35.45083999633789,47160
82,view,NOUN,18.9545955657959,47160,cambios,NOUN,36.03471755981445,47160
83,you,PRON,22.75595474243164,44160,que,PRON,34.44813919067383,47160
84,share,VERB,27.01346778869629,44160,ocurren,VERB,35.33905029296875,47160
85,of,ADP,23.094131469726562,47160,en,ADP,33.90746307373047,47160
86,the,DET,23.117292404174805,47160,el,DET,34.26126480102539,47160
87,changes,NOUN,20.70412826538086,47160,mar,NOUN,31.235361099243164,47160
88,personal,ADJ,19.4956111907959,47160,y,CONJ,33.53458023071289,47160
89,sea,NOUN,18.627172470092773,47160,que,SCONJ,32.13347244262695,47160
90,that,DET,20.542909622192383,47160,nos,PRON,33.63050079345703,47160
91,affect,VERB,23.01178550720215,47160,afectan,VERB,38.308006286621094,47160
92,in,ADP,20.411752700805664,47160,a,ADP,32.471275329589844,47160
93,us,PRON,23.502622604370117,47160,todos,PRON,33.11327362060547,47160
94,",",PUNCT,21.34164810180664,47160,",",PUNCT,29.597911834716797,47160
95,all,DET,22.288301467895508,47160,y,CONJ,32.352577209472656,50160
96,and,CCONJ,22.463176727294922,50160,considerar,AUX,34.26716613769531,50160
97,of,ADP,23.64160919189453,47160,por,ADP,34.02130126953125,50160
98,to,PART,21.710134506225586,50160,qué,PRON,33.04149627685547,50160
99,consider,VERB,23.2770938873291,50160,importa,VERB,34.66361618041992,50160
100,why,ADV,19.77082061767578,50160,lo,DET,31.99199676513672,50160
101,it,PRON,24.280038833618164,50160,que,PRON,32.11190414428711,50160
102,that,SCONJ,19.789209365844727,50160,hemos,AUX,33.98694610595703,50160
103,matters,VERB,24.091772079467773,50160,perdido,VERB,35.23297119140625,50160
104,in,ADP,20.517122268676758,50160,en,ADP,32.64857864379883,50160
105,50,NUM,24.824485778808594,50160,50,NUM,33.94658660888672,50160
106,years,NOUN,22.336788177490234,50160,años,NOUN,35.51154327392578,50160
107,",",PUNCT,22.248382568359375,50160,-,PUNCT,31.881328582763672,54160
108,lost,VERB,20.722551345825195,50160,en,ADP,33.88027572631836,54160
109,'ve,AUX,23.34856414794922,50160,realidad,NOUN,31.83402442932129,54160
110,--,PUNCT,19.561725616455078,50160,",",PUNCT,29.71986961364746,54160
111,actually,ADV,22.417165756225586,54160,lo,DET,34.36688232421875,54160
112,we,PRON,23.35200309753418,50160,que,PRON,32.94336700439453,54160
113,'ve,AUX,23.368730545043945,54160,hemos,AUX,33.863956451416016,54160
114,taken,VERB,23.158823013305664,54160,tomado,VERB,34.945648193359375,54160
115,",",PUNCT,20.43401527404785,54160,de,ADP,31.03208351135254,54160
116,we,PRON,23.682748794555664,54160,él,PRON,29.628385543823242,54160
117,",",PUNCT,19.559478759765625,54160,",",PUNCT,30.549095153808594,54160
118,more,ADJ,20.119192123413086,57160,lo,DET,34.685062408447266,54160
119,we,PRON,22.514692306518555,54160,que,PRON,32.781654357910156,54160
120,'ve,AUX,23.516427993774414,54160,hemos,AUX,32.39369583129883,54160
121,eaten,VERB,22.624919891357422,54160,comido,VERB,35.626644134521484,54160
122,--,PUNCT,18.73340606689453,54160,-,PUNCT,32.69771194458008,54160
123,than,SCONJ,24.26163101196289,57160,más,ADV,35.511207580566406,57160
124,percent,NOUN,21.559476852416992,57160,del,ADP,33.2957878112793,57160
125,90,NUM,22.580617904663086,57160,90,NUM,33.757476806640625,57160
126,of,ADP,22.734201431274414,57160,por,ADP,36.48660659790039,57160
127,big,ADJ,19.911733627319336,57160,ciento,NUM,35.83017349243164,57160
128,in,ADP,20.937456130981445,57160,de,ADP,30.81391716003418,57160
129,the,DET,21.864450454711914,57160,los,DET,34.494384765625,57160
130,fish,NOUN,20.701034545898438,57160,peces,NOUN,35.261539459228516,57160
131,coral,ADJ,19.178363800048828,60160,grandes,ADJ,33.92735290527344,57160
132,why,ADV,22.557785034179688,60160,en,ADP,31.156421661376953,57160
133,the,DET,23.093585968017578,57160,el,DET,34.22550582885742,57160
134,sea,NOUN,18.92915916442871,57160,mar,NOUN,32.159515380859375,57160
135,;,PUNCT,18.6431827545166,57160,.,PUNCT,32.63158416748047,57160
136,should,VERB,24.487844467163086,60160,Por,ADP,34.40492248535156,60160
137,you,PRON,24.11555290222168,60160,qué,PRON,33.47970199584961,60160
138,nearly,ADV,19.4561767578125,60160,les,PRON,30.89725112915039,60160
139,half,NOUN,21.496706008911133,60160,debe,AUX,36.04100036621094,60160
140,care,VERB,24.42673110961914,60160,importar,VERB,38.653011322021484,60160
141,that,SCONJ,18.301301956176758,60160,que,SCONJ,33.628116607666016,60160
142,why,ADV,21.522891998291016,64160,cerca,ADV,37.47563171386719,60160
143,of,ADP,22.749980926513672,60160,de,ADP,31.06256675720215,60160
144,the,DET,21.18183708190918,60160,la,DET,31.235239028930664,60160
145,reefs,NOUN,20.631929397583008,60160,mitad,NOUN,31.1700496673584,60160
146,disappeared,VERB,22.789348602294922,60160,de,ADP,30.096904754638672,60160
147,a,DET,23.802309036254883,64160,los,DET,35.80974197387695,60160
148,depletion,NOUN,21.67169952392578,64160,bancos,NOUN,34.31204605102539,60160
149,of,ADP,25.56995391845703,64160,de,ADP,32.17909240722656,60160
150,mysterious,ADJ,21.650279998779297,64160,coral,PROPN,32.27177810668945,60160
151,have,AUX,22.445560455322266,60160,hayan,AUX,34.52204132080078,60160
152,should,VERB,22.41645050048828,70160,desaparecido,VERB,32.01671600341797,60160
153,;,PUNCT,17.89735984802246,60160,",",PUNCT,28.636199951171875,60160
154,in,ADP,22.25290298461914,64160,por,ADP,34.219635009765625,64160
155,oxygen,NOUN,20.56941795349121,64160,qué,PRON,34.691162109375,64160
156,Pacific,PROPN,22.20701789855957,64160,hay,AUX,33.56572723388672,64160
157,the,DET,20.65528106689453,64160,una,DET,35.509422302246094,64160
158,large,ADJ,21.168338775634766,64160,misteriosa,ADJ,34.70073318481445,64160
159,areas,NOUN,24.266862869262695,64160,baja,NOUN,33.3728141784668,64160
160,of,ADP,24.85775375366211,64160,del,ADP,34.48124313354492,64160
161,concern,VERB,20.543743133544922,70160,oxígeno,NOUN,28.657604217529297,64160
162,not,PART,22.338848114013672,70160,en,ADP,31.376672744750977,64160
163,only,ADV,22.04149627685547,70160,grandes,ADJ,34.8896598815918,64160
164,creatures,NOUN,22.208587646484375,70160,áreas,NOUN,36.32618713378906,64160
165,the,DET,20.022077560424805,70160,del,ADP,32.80204772949219,64160
166,that,DET,23.36899757385254,70160,Pacífico,PROPN,36.18672180175781,64160
167,",",PUNCT,20.396196365356445,70160,que,SCONJ,34.533653259277344,70160
168,but,CCONJ,21.176006317138672,73160,no,PART,33.38603591918945,70160
169,really,ADV,25.422725677490234,73160,sólo,ADV,35.1561164855957,70160
170,are,AUX,26.53970718383789,70160,debería,AUX,32.91462707519531,70160
171,dying,VERB,23.801511764526367,70160,importarle,VERB,31.997297286987305,70160
172,it,PRON,23.897174835205078,73160,a,ADP,33.4497184753418,70160
173,should,VERB,23.20092010498047,73160,las,DET,32.60363006591797,70160
174,.,PUNCT,22.237810134887695,73160,criaturas,NOUN,35.00776290893555,70160
175,you,PRON,22.056522369384766,73160,que,PRON,34.13018798828125,70160
176,does,AUX,25.598989486694336,76160,están,AUX,35.8260612487793,70160
177,concern,VERB,19.73588752746582,73160,muriendo,VERB,34.502410888671875,70160
178,It,PRON,24.4703426361084,76160,sino,CONJ,35.54351043701172,73160
179,",",PUNCT,21.92926597595215,76160,que,SCONJ,33.35982894897461,73160
180,you,PRON,21.97224235534668,76160,debería,VERB,30.68573760986328,73160
181,concern,NOUN,19.766939163208008,76160,preocuparlos,NOUN,31.908788681030273,73160
182,as,ADV,21.27985954284668,76160,a,ADP,33.8548469543457,73160
183,I,PRON,24.69223403930664,78160,ustedes,PRON,34.19184875488281,73160
184,.,PUNCT,20.80801773071289,76160,.,PUNCT,32.230655670166016,73160
185,well,ADV,22.485658645629883,76160,También,ADV,36.79725646972656,76160
186,haunted,VERB,22.273759841918945,78160,tiene,VERB,36.572750091552734,76160
187,'m,AUX,24.684768676757812,78160,que,SCONJ,30.439638137817383,76160
188,thought,NOUN,18.171571731567383,78160,ver,NOUN,34.95017623901367,76160
189,by,ADP,22.419187545776367,78160,con,ADP,34.810176849365234,76160
190,Ray,PROPN,20.900432586669922,78160,ustedes,PRON,34.310550689697266,76160
191,"""",PUNCT,21.899555206298828,78160,.,PUNCT,32.15831756591797,76160
192,what,PRON,23.069374084472656,78160,Me,PRON,32.90170669555664,78160
193,calls,VERB,21.93483543395996,78160,asusta,VERB,35.98961639404297,78160
194,the,DET,21.71493148803711,78160,la,DET,32.29435348510742,78160
195,tomorrow,NOUN,19.085460662841797,78160,idea,NOUN,30.258056640625,78160
196,of,ADP,22.637563705444336,78160,de,ADP,30.714122772216797,78160
197,'s,PART,19.850719451904297,78160,lo,DET,33.798805236816406,78160
198,we,PRON,24.89214324951172,83160,que,PRON,33.04352569580078,78160
199,Anderson,PROPN,23.536741256713867,78160,Ray,PROPN,35.41207504272461,78160
200,",",PUNCT,19.956130981445312,78160,Anderson,PROPN,37.98194122314453,78160
201,asking,VERB,24.32347869873047,83160,llama,VERB,32.40068817138672,78160
202,"""",PUNCT,22.546058654785156,78160,"""",PUNCT,30.56765365600586,78160
203,our,DET,23.237823486328125,83160,el,DET,33.78281784057617,78160
204,child,NOUN,17.91287612915039,78160,niño,NOUN,30.10277557373047,78160
205,did,AUX,23.756433486938477,83160,del,ADP,33.83322525024414,78160
206,why,ADV,20.63743782043457,83160,mañana,ADV,29.824085235595703,78160
207,n't,PART,24.235748291015625,83160,"""",PUNCT,31.666854858398438,78160
208,watch,NOUN,17.94508934020996,83160,",",PUNCT,30.551668167114258,78160
209,do,AUX,21.167659759521484,83160,preguntando,AUX,33.7639045715332,83160
210,on,ADP,19.00031280517578,83160,por,ADP,35.060646057128906,83160
211,something,PRON,23.266183853149414,83160,qué,PRON,34.40178298950195,83160
212,to,PART,22.39790916442871,87160,no,ADV,32.71942138671875,83160
213,save,VERB,23.10967254638672,87160,hicimos,VERB,33.88175582885742,83160
214,sharks,NOUN,20.248319625854492,87160,nada,PRON,35.5461311340332,83160
215,and,CCONJ,23.58055305480957,87160,cuando,SCONJ,32.81611251831055,83160
216,bluefin,NOUN,19.60284996032715,87160,fue,AUX,32.858367919921875,83160
217,and,CCONJ,22.56611442565918,87160,nuestro,DET,35.21275329589844,83160
218,tuna,NOUN,21.073360443115234,87160,turno,NOUN,31.303953170776367,83160
219,squids,NOUN,21.681537628173828,87160,",",PUNCT,28.925756454467773,83160
220,and,CCONJ,25.059621810913086,87160,para,ADP,36.03641891479492,87160
221,living,VERB,19.925682067871094,87160,salvar,VERB,35.931007385253906,87160
222,coral,ADJ,18.45583724975586,87160,a,ADP,33.239990234375,87160
223,the,DET,21.78801155090332,87160,los,DET,34.153839111328125,87160
224,reefs,NOUN,20.788734436035156,87160,tiburones,NOUN,34.503753662109375,87160
225,and,CCONJ,21.520105361938477,87160,y,CONJ,34.31215286254883,87160
226,while,SCONJ,19.269943237304688,92160,al,ADP,35.797672271728516,87160
227,ocean,NOUN,16.921072006225586,87160,atún,NOUN,30.59515380859375,87160
228,there,PRON,21.408754348754883,92160,de,ADP,30.777294158935547,87160
229,time,NOUN,18.078527450561523,92160,aleta,NOUN,31.476139068603516,87160
230,was,AUX,22.36859893798828,92160,azul,ADJ,31.6396541595459,87160
231,.,PUNCT,21.152957916259766,92160,",",PUNCT,30.10199737548828,87160
232,still,ADV,20.61204719543457,92160,a,ADP,32.200199127197266,87160
233,Well,INTJ,25.03814125061035,94160,los,DET,36.028282165527344,87160
234,now,ADV,19.529664993286133,94160,calamares,NOUN,34.11054229736328,87160
235,",",PUNCT,21.77960777282715,94160,",",PUNCT,31.0146541595459,87160
236,that,DET,21.22799301147461,94160,los,DET,33.74685287475586,87160
237,time,NOUN,19.558218002319336,94160,bancos,NOUN,34.20473098754883,87160
238,for,ADP,20.38848114013672,97160,de,ADP,31.882997512817383,87160
239,is,AUX,22.86224937438965,94160,coral,PROPN,31.517364501953125,87160
240,I,PRON,24.076908111572266,97160,y,CONJ,33.041316986083984,87160
241,your,DET,20.733707427978516,97160,el,DET,34.51969909667969,87160
242,help,NOUN,18.437854766845703,97160,océano,NOUN,30.482738494873047,87160
243,hope,VERB,21.16674041748047,97160,viviente,ADJ,33.164066314697266,87160
244,.,PUNCT,21.0532283782959,94160,",",PUNCT,30.204557418823242,87160
245,to,PART,21.7232608795166,100160,cuando,SCONJ,37.02191925048828,92160
246,explore,VERB,24.436725616455078,100160,todavía,ADV,36.15864944458008,92160
247,protect,VERB,23.163490295410156,100160,teníamos,VERB,31.082149505615234,92160
248,ocean,NOUN,18.097370147705078,100160,tiempo,NOUN,31.358091354370117,92160
249,the,DET,20.990497589111328,100160,.,PUNCT,31.60323715209961,92160
250,wild,PROPN,18.62922477722168,100160,Bueno,INTJ,33.237701416015625,94160
251,and,CCONJ,22.740497589111328,100160,",",PUNCT,30.893470764160156,94160
252,in,ADP,19.54625701904297,103160,ahora,ADV,31.99833106994629,94160
253,ways,NOUN,22.055158615112305,103160,es,AUX,32.7973747253418,94160
254,that,DET,22.51983070373535,103160,ese,DET,35.864078521728516,94160
255,health,NOUN,17.76293182373047,103160,momento,NOUN,33.11907196044922,94160
