,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,0,0,0.0,0,A,ADP,31.8262996673584,13208
1,you,PRON,21.968324661254883,13208,no,ADV,33.74853515625,13208
2,'ve,AUX,23.203767776489258,13208,ser,AUX,34.86760711669922,13208
3,Unless,SCONJ,21.801151275634766,13208,que,SCONJ,31.76051139831543,13208
4,quality,NOUN,18.415374755859375,13208,hayan,AUX,33.857643127441406,13208
5,spent,VERB,22.409311294555664,13208,pasado,VERB,35.51057052612305,13208
6,time,NOUN,19.456161499023438,13208,tiempo,NOUN,33.79539489746094,13208
7,on,ADP,18.432878494262695,13208,en,ADP,32.61804962158203,13208
8,the,DET,21.16335105895996,13208,la,DET,32.841461181640625,13208
9,Space,PROPN,20.410104751586914,13208,Estación,PROPN,36.27235794067383,13208
10,Station,PROPN,22.663618087768555,13208,Espacial,PROPN,34.49806213378906,13208
11,International,PROPN,22.74618911743164,13208,Internacional,PROPN,37.205467224121094,13208
12,",",PUNCT,21.70294952392578,13208,",",PUNCT,31.351398468017578,13208
13,this,DET,22.544334411621094,17375,esta,PRON,32.508243560791016,17061
14,probably,ADV,25.836400985717773,17375,no,ADV,31.24095344543457,17061
15,is,AUX,23.881328582763672,17375,es,AUX,32.96697235107422,17061
16,not,PART,22.12646484375,17375,",",PUNCT,30.26048469543457,17061
17,super,ADV,22.415666580200195,17375,probablemente,ADV,34.4041748046875,17061
18,0,0,0.0,0,",",PUNCT,31.309932708740234,17061
19,a,DET,21.010772705078125,17375,una,DET,33.7659797668457,17061
20,view,NOUN,21.049551010131836,17375,imagen,NOUN,33.1328010559082,17061
21,with,ADP,21.016582489013672,17375,con,ADP,33.299232482910156,17061
22,0,0,0.0,0,la,DET,34.748435974121094,17061
23,you,PRON,22.289621353149414,17375,que,PRON,34.17190933227539,17061
24,are,AUX,25.454458236694336,17375,estén,AUX,34.83736801147461,17061
25,0,0,0.0,0,muy,ADV,38.975830078125,17061
26,familiar,ADJ,23.665851593017578,17375,familiarizados,ADJ,36.96918869018555,17061
27,.,PUNCT,21.226423263549805,17375,.,PUNCT,33.21305465698242,17061
28,This,DET,23.461124420166016,20833,Esta,PRON,32.18370819091797,20833
29,is,AUX,24.225893020629883,20833,es,AUX,32.80021667480469,20833
30,the,DET,22.124195098876953,20833,la,DET,32.94812774658203,20833
31,east,ADJ,20.50299835205078,20833,este,PROPN,32.049774169921875,20833
32,coast,NOUN,19.471744537353516,20833,costa,NOUN,32.1489143371582,20833
33,of,ADP,22.81123924255371,20833,de,ADP,28.616987228393555,20833
34,the,DET,21.79906463623047,20833,.,PUNCT,32.26371765136719,20833
35,United,PROPN,22.83917808532715,20833,EE,PROPN,35.27138900756836,20833
36,States,PROPN,21.230554580688477,20833,UU,PROPN,30.727575302124023,20833
37,.,PUNCT,19.78092384338379,20833,.,PUNCT,32.72744369506836,20833
38,That,DET,19.888643264770508,23875,0,0,0.0,0
39,'s,AUX,21.351133346557617,23875,está,VERB,33.240943908691406,23691
40,New,PROPN,19.899642944335938,23875,Nueva,PROPN,34.87788009643555,23691
41,York,PROPN,19.887516021728516,23875,York,PROPN,34.58959197998047,23691
42,down,ADV,22.501985549926758,23875,Aquí,ADV,34.37242889404297,23691
43,there,ADV,20.5958251953125,23875,inferior,ADJ,33.635955810546875,23691
44,in,ADP,22.22242546081543,23875,en,ADP,30.783512115478516,23691
45,the,DET,20.3195858001709,23875,la,DET,31.84032440185547,23691
46,lower,ADJ,20.366811752319336,23875,derecha,ADJ,29.51374626159668,23691
47,right,NOUN,19.2037410736084,23875,parte,NOUN,30.029708862304688,23691
48,",",PUNCT,20.17313575744629,23875,",",PUNCT,29.964513778686523,23691
