,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,on,ADP,19.854904174804688,14280,de,ADP,31.748271942138672,14280
1,a,DET,23.261686325073242,14280,un,DET,37.57179260253906,14280
2,world,NOUN,19.960481643676758,14280,mundo,NOUN,32.49977111816406,14280
3,we,PRON,22.43771743774414,14280,que,PRON,34.52397537231445,14280
4,ca,VERB,24.041337966918945,14280,no,ADV,33.498451232910156,14280
5,n't,PART,26.93034553527832,14280,podemos,AUX,36.41563034057617,14280
6,see,VERB,22.329566955566406,14280,ver,VERB,36.033958435058594,14280
7,.,PUNCT,20.53852653503418,14280,.,PUNCT,34.176307678222656,14280
8,Think,VERB,21.99871253967285,16920,Piensen,VERB,29.887346267700195,16920
9,your,DET,21.500797271728516,16920,lo,DET,33.12255859375,16920
10,0,0,0.0,0,que,PRON,33.71760940551758,16920
11,0,0,0.0,0,han,AUX,35.87185287475586,16920
12,so,ADV,22.898313522338867,16920,hecho,VERB,31.376628875732422,16920
13,about,ADP,21.521869659423828,16920,durante,ADP,34.56312561035156,16920
14,far,ADV,24.060224533081055,16920,la,DET,34.4559326171875,16920
15,week,NOUN,20.941362380981445,16920,semana,NOUN,32.2302131652832,16920
16,.,PUNCT,21.658672332763672,16920,.,PUNCT,33.07496643066406,16920
17,you,PRON,23.084699630737305,18960,¿,PUNCT,31.385448455810547,18960
18,Have,AUX,21.535053253173828,18960,Han,AUX,35.26067352294922,18960
19,watched,VERB,21.029888153076172,18960,mirado,VERB,34.095787048339844,18960
20,TV,NOUN,21.36538314819336,18960,la,DET,30.653440475463867,18960
21,used,VERB,19.02220344543457,18960,TV,PROPN,33.3775520324707,18960
22,",",PUNCT,22.91237449645996,18960,",",PUNCT,30.764352798461914,18960
23,GPS,NOUN,21.60911750793457,18960,usado,ADJ,35.04960632324219,18960
24,0,0,0.0,0,el,DET,34.026371002197266,18960
25,0,0,0.0,0,GPS,PROPN,33.58008575439453,18960
