,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,On,ADP,22.167316436767578,20489,Amo,VERB,29.962512969970703,21330
1,I,PRON,23.747758865356445,20489,la,DET,33.12886047363281,21330
2,weekends,NOUN,21.51012420654297,20489,fotografía,NOUN,30.726715087890625,21330
3,",",PUNCT,22.555477142333984,20489,",",PUNCT,31.003589630126953,21330
4,love,VERB,21.682640075683594,20489,amo,VERB,32.21772384643555,21330
5,0,0,0.0,0,los,DET,37.056549072265625,21330
6,rockets,NOUN,21.090660095214844,20489,cohetes,NOUN,34.6009635925293,21330
7,.,PUNCT,20.929859161376953,20489,",",PUNCT,30.935836791992188,21330
8,I,PRON,23.677900314331055,22060,y,CONJ,34.28885269165039,23330
9,love,VERB,20.760433197021484,22060,hablaré,VERB,32.603389739990234,23330
10,photography,NOUN,18.68796730041504,22060,sobre,ADP,31.461965560913086,23330
11,",",PUNCT,22.48789405822754,22060,un,DET,36.03854751586914,23330
12,rockets,NOUN,21.034061431884766,22060,pasatiempo,NOUN,33.21619415283203,23330
13,I,PRON,23.5559024810791,22060,que,PRON,35.55283737182617,23330
14,.,PUNCT,20.929859161376953,22060,puede,AUX,35.869728088378906,23330
15,love,VERB,21.51881217956543,22060,escalar,VERB,35.0194091796875,23330
16,I,PRON,24.763471603393555,23833,les,PRON,31.801565170288086,25330
17,'m,AUX,23.233854293823242,23833,y,CONJ,33.60683059692383,25330
18,going,VERB,24.93525505065918,23833,mostraré,VERB,32.45751953125,25330
19,to,PART,23.45751953125,23833,fotos,NOUN,33.738426208496094,25330
20,talk,VERB,24.806962966918945,23833,que,PRON,33.9079475402832,25330
21,about,ADP,20.40622901916504,23833,he,AUX,35.71354675292969,25330
22,a,DET,22.209882736206055,23833,estos,DET,34.23653793334961,25330
23,hobby,NOUN,19.043869018554688,23833,años,NOUN,35.78671646118164,25330
24,that,DET,21.206666946411133,23833,0,0,0.0,0
25,can,VERB,21.864469528198242,23833,tomado,VERB,35.96403884887695,25330
26,scale,VERB,23.173885345458984,23833,0,0,0.0,0
27,and,CCONJ,20.557443618774414,26015,con,ADP,32.46561050415039,27330
28,photos,NOUN,19.103721618652344,26015,niños,NOUN,34.82209014892578,27330
29,0,0,0.0,0,como,SCONJ,34.80017852783203,27330
30,you,PRON,22.78697395324707,26015,estos,PRON,32.68598937988281,27330
31,'ve,AUX,23.74821662902832,26015,",",PUNCT,31.563203811645508,27330
32,I,PRON,25.340030670166016,26015,quienes,PRON,33.271446228027344,27330
33,over,ADP,21.430870056152344,26015,ojalá,INTJ,31.64598846435547,27330
34,taken,VERB,23.06783103942871,26015,crezcan,VERB,31.232650756835938,27330
35,show,VERB,21.699493408203125,26015,amando,VERB,34.06361389160156,27330
36,the,DET,22.032453536987305,26015,la,DET,33.067176818847656,27330
37,years,NOUN,19.387510299682617,26015,cohetería,NOUN,32.0587272644043,27330
38,with,ADP,21.497108459472656,28147,en,ADP,33.78068542480469,30330
39,kids,NOUN,22.12404441833496,28147,se,PRON,32.48530960083008,30330
40,like,SCONJ,19.248321533203125,28147,y,CONJ,32.924251556396484,30330
41,these,DET,20.459592819213867,28147,otro,DET,33.36265182495117,30330
42,",",PUNCT,21.11639976501465,28147,.,PUNCT,32.81562805175781,30330
43,that,DET,19.607467651367188,28147,Richard,PROPN,35.936180114746094,30330
44,hopefully,ADV,23.162214279174805,28147,Branson,PROPN,37.13172912597656,30330
45,will,VERB,24.829647064208984,28147,conviertan,VERB,37.49430465698242,30330
46,grow,VERB,24.392154693603516,28147,Diamandis,PROPN,36.31745529174805,30330
47,up,ADP,22.33710479736328,28147,o,CONJ,31.620405197143555,30330
48,to,PART,21.260658264160156,28147,0,0,0.0,0
49,love,VERB,19.449920654296875,28147,0,0,0.0,0
50,rocketry,NOUN,19.91692543029785,28147,0,0,0.0,0
51,and,CCONJ,20.34401512145996,31276,Mi,DET,32.90962219238281,33330
52,eventually,ADV,23.518695831298828,31276,hijo,NOUN,33.18927001953125,33330
53,become,VERB,22.095088958740234,31276,diseñó,VERB,36.187538146972656,33330
54,a,DET,22.621482849121094,31276,un,DET,37.68604278564453,33330
55,Richard,PROPN,21.785938262939453,31276,cohete,NOUN,33.22536087036133,33330
