,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.422822952270508,26396,me,PRON,30.603708267211914,26000
1,'m,AUX,22.74489974975586,26396,Muchas,DET,32.81721878051758,26000
2,often,ADV,23.025341033935547,26396,veces,NOUN,33.769012451171875,26000
3,asked,VERB,21.11141014099121,26396,preguntan,VERB,36.154483795166016,26000
4,",",PUNCT,20.159828186035156,26396,",",PUNCT,29.395328521728516,26000
5,"""",PUNCT,20.477766036987305,28848,¿,PUNCT,30.281982421875,28000
6,What,PRON,18.49387550354004,28848,qué,PRON,32.87202453613281,28000
7,surprised,VERB,21.08955955505371,28848,sabes,VERB,35.58709716796875,28000
8,you,PRON,24.618745803833008,28848,que,PRON,33.576026916503906,28000
9,about,ADP,21.62306022644043,28848,es,AUX,32.38504409790039,28000
10,the,DET,21.17762565612793,28848,lo,DET,34.31562042236328,28000
11,book,NOUN,17.879905700683594,28848,libro,NOUN,30.631254196166992,28000
12,?,PUNCT,19.5472412109375,28848,más,ADV,34.177860260009766,28000
13,"""",PUNCT,21.356653213500977,28848,tu,DET,33.25342559814453,28000
14,And,CCONJ,20.068933486938477,31320,acerca,ADV,31.515033721923828,28000
15,I,PRON,25.722110748291016,31320,te,PRON,31.61356544494629,28000
16,say,VERB,23.345659255981445,31320,sorprende,VERB,35.25074768066406,28000
17,",",PUNCT,20.347885131835938,31320,?,PUNCT,31.13068389892578,28000
18,"""",PUNCT,20.030399322509766,31320,",",PUNCT,33.15718460083008,31000
19,That,SCONJ,19.33514404296875,31320,que,SCONJ,32.130252838134766,31000
20,I,PRON,25.560205459594727,31320,yo,PRON,33.74534225463867,31000
21,got,VERB,23.384380340576172,31320,respondo,VERB,31.95753288269043,31000
22,to,PART,22.75252342224121,31320,siempre,ADV,38.02607727050781,31000
23,write,VERB,24.68455696105957,31320,haya,AUX,34.99388122558594,31000
24,it,PRON,22.654478073120117,31320,llegado,AUX,34.706153869628906,31000
25,.,PUNCT,21.664710998535156,31320,a,ADP,31.5572509765625,31000
26,"""",PUNCT,22.61444664001465,31320,.,PUNCT,33.11876678466797,31000
27,I,PRON,24.770475387573242,33501,me,PRON,31.762826919555664,33000
28,would,VERB,25.709400177001953,33501,escribirlo,VERB,35.42279815673828,31000
29,have,AUX,23.275856018066406,33501,hubiera,AUX,35.11927795410156,33000
30,never,ADV,25.3564510345459,33501,Jamás,ADV,32.277137756347656,33000
31,imagined,VERB,23.51874542236328,33501,imaginado,VERB,33.792999267578125,33000
32,that,DET,21.713720321655273,33501,siquiera,NOUN,34.069087982177734,36000
33,.,PUNCT,21.261394500732422,33501,",",PUNCT,30.817049026489258,33000
34,Not,PART,20.621917724609375,36330,Ni,CONJ,33.29731369018555,36000
35,in,ADP,21.428173065185547,36330,en,ADP,34.07429504394531,36000
36,my,DET,22.038742065429688,36330,mi,DET,34.12366485595703,36000
37,wildest,ADJ,20.73834228515625,36330,descabellado,ADJ,36.47713088989258,36000
38,dreams,NOUN,24.00691032409668,36330,sueño,NOUN,33.531185150146484,36000
39,did,AUX,22.5999698638916,36330,más,ADV,37.73059844970703,36000
40,I,PRON,24.27934455871582,36330,lo,PRON,32.620574951171875,33000
41,think,VERB,20.825056076049805,36330,Ni,CONJ,33.425201416015625,38000
42,--,PUNCT,18.552837371826172,36330,--,PUNCT,30.963302612304688,36000
43,I,PRON,24.95159149169922,38904,me,PRON,32.01477813720703,38000
44,do,AUX,24.00275230407715,38904,siquiera,NOUN,34.16444396972656,38000
45,n't,PART,25.077207565307617,38904,autor,NOUN,33.28224563598633,38000
46,even,ADV,24.238279342651367,38904,un,DET,37.9428596496582,38000
47,consider,VERB,24.429121017456055,38904,considero,VERB,36.81160354614258,38000
48,myself,PRON,22.458629608154297,38904,me,PRON,31.7576961517334,42000
49,to,PART,21.026758193969727,38904,Y,CONJ,31.32735252380371,42000
50,be,AUX,24.564632415771484,38904,.,PUNCT,31.414613723754883,38000
51,an,DET,23.33502769470215,38904,mucha,DET,34.01801300048828,42000
52,author,NOUN,20.730344772338867,38904,frequencia,NOUN,34.66398620605469,42000
53,.,PUNCT,22.38233184814453,38904,",",PUNCT,29.831506729125977,42000
54,And,CCONJ,20.14162254333496,42289,con,ADP,34.75621795654297,42000
55,I,PRON,24.72419548034668,42289,que,PRON,32.31782913208008,44000
56,'m,AUX,22.706287384033203,42289,qué,DET,34.534217834472656,44000
57,often,ADV,22.81705665588379,42289,Por,ADP,33.641483306884766,44000
58,asked,VERB,21.12571144104004,42289,preguntan,VERB,37.48887634277344,42000
59,",",PUNCT,20.159828186035156,42289,crees,NOUN,35.11653137207031,44000
60,"""",PUNCT,20.78328514099121,44511,¿,PUNCT,30.796512603759766,44000
61,Why,ADV,22.43533706665039,44511,tanta,DET,33.87462615966797,44000
62,do,AUX,24.77836036682129,44511,ha,AUX,34.80038070678711,44000
63,you,PRON,24.687305450439453,44511,gente,NOUN,32.775630950927734,44000
64,think,VERB,23.327205657958984,44511,leido,VERB,34.563777923583984,44000
65,so,ADV,21.721946716308594,44511,Todavía,ADV,33.62866973876953,47000
66,many,ADJ,21.65970230102539,44511,?,PUNCT,31.337291717529297,44000
67,people,NOUN,24.455530166625977,44511,libro,NOUN,31.057201385498047,44000
68,have,AUX,23.519500732421875,44511,se,PRON,32.65180206298828,47000
69,read,VERB,22.357669830322266,44511,venden,VERB,36.09223175048828,47000
70,this,DET,21.49662208557129,44511,tu,DET,31.98550033569336,44000
71,?,PUNCT,21.82154655456543,44511,.,PUNCT,31.33387565612793,47000
72,This,DET,23.786184310913086,47000,de,ADP,32.39894485473633,47000
73,thing,NOUN,22.681516647338867,47000,millón,NOUN,30.04611587524414,47000
74,'s,PART,20.54511260986328,47000,de,ADP,32.39481735229492,47000
75,selling,NOUN,22.302871704101562,47000,copias,NOUN,33.28144836425781,47000
76,still,ADV,22.618186950683594,47000,cerca,ADV,37.275596618652344,47000
77,about,ADP,22.940500259399414,47000,al,ADP,34.72972869873047,47000
78,a,DET,19.62907600402832,47000,creo,VERB,37.891578674316406,52000
79,million,NUM,21.295042037963867,47000,un,NUM,32.482357025146484,47000
80,copies,NOUN,20.147632598876953,47000,mes,NOUN,32.12958908081055,47000
81,a,DET,23.288097381591797,47000,el,DET,35.7469367980957,52000
82,month,NOUN,19.1697940826416,47000,vacío,NOUN,32.866943359375,52000
83,.,PUNCT,19.37078857421875,47000,es,AUX,33.60171127319336,52000
84,"""",PUNCT,21.43645477294922,47000,porque,SCONJ,34.05146026611328,52000
85,And,CCONJ,19.766687393188477,52000,que,SCONJ,31.48255729675293,52000
86,I,PRON,26.330121994018555,52000,Yo,PRON,32.64073181152344,52000
87,think,VERB,23.140182495117188,52000,creo,VERB,38.293365478515625,57000
88,it,PRON,23.4892635345459,52000,Yo,PRON,32.64279556274414,57000
89,'s,AUX,22.310888290405273,52000,en,ADP,33.15367126464844,57000
90,because,SCONJ,19.9890193939209,52000,que,SCONJ,31.291433334350586,57000
91,spiritual,ADJ,20.412925720214844,52000,espiritual,ADJ,32.380802154541016,52000
92,emptiness,NOUN,18.985010147094727,52000,momento,NOUN,30.131114959716797,57000
93,is,AUX,20.133647918701172,57000,algún,DET,35.72817611694336,57000
94,a,DET,25.289690017700195,57000,nuestras,DET,32.598358154296875,57000
95,universal,ADJ,21.315689086914062,57000,de,ADP,28.99911117553711,57000
