,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,How,ADV,22.421585083007812,18330,¿,PUNCT,29.502744674682617,18330
1,does,AUX,22.122699737548828,18330,En,ADP,32.50594711303711,18330
2,the,DET,20.003955841064453,18330,qué,DET,31.960987091064453,18330
3,news,NOUN,19.49201202392578,18330,manera,NOUN,32.81374740600586,18330
4,shape,VERB,21.07391357421875,18330,determinan,VERB,33.96110534667969,18330
5,the,DET,22.787904739379883,18330,las,DET,32.9449462890625,18330
6,way,NOUN,19.05759048461914,18330,noticias,NOUN,35.07304382324219,18330
7,we,PRON,25.528366088867188,18330,cómo,PRON,32.351417541503906,18330
8,see,VERB,24.576019287109375,18330,vemos,VERB,32.810237884521484,18330
9,the,DET,20.731006622314453,18330,el,DET,34.87477493286133,18330
10,world,NOUN,17.502124786376953,18330,mundo,NOUN,31.623369216918945,18330
11,?,PUNCT,21.54349136352539,18330,?,PUNCT,31.16675567626953,18330
12,Here,ADV,21.30448341369629,22330,Este,PRON,32.444740295410156,22330
13,'s,AUX,22.19097137451172,22330,es,AUX,30.529129028320312,22330
14,the,DET,21.843538284301758,22330,el,DET,35.978965759277344,22330
15,world,NOUN,18.264760971069336,22330,mundo,NOUN,33.54780197143555,22330
16,based,VERB,23.231061935424805,22330,basado,ADJ,35.90092468261719,22330
17,on,ADP,22.392637252807617,22330,en,ADP,32.46038055419922,22330
18,the,DET,23.657764434814453,22330,su,DET,35.15422439575195,22330
19,way,NOUN,19.62587547302246,22330,apariencia,NOUN,31.101360321044922,22330
20,it,PRON,24.90361976623535,22330,0,0,0.0,0
21,looks,VERB,24.651662826538086,22330,su,DET,35.166770935058594,22330
22,--,PUNCT,19.672224044799805,22330,",",PUNCT,29.982646942138672,22330
23,based,VERB,20.492094039916992,22330,0,0,0.0,0
24,on,ADP,21.738121032714844,22330,en,ADP,31.700817108154297,22330
25,landmass,NOUN,18.538301467895508,22330,topografía,NOUN,31.86103630065918,22330
26,.,PUNCT,21.15504264831543,22330,.,PUNCT,33.02803039550781,22330
27,And,CCONJ,21.05701446533203,28330,Y,CONJ,33.19293975830078,28330
28,here,ADV,21.363006591796875,28330,así,ADV,33.99198913574219,28330
29,'s,AUX,19.976783752441406,28330,es,AUX,32.46394729614258,28330
30,how,ADV,21.051528930664062,28330,cómo,PRON,33.60728073120117,28330
31,news,NOUN,21.17286491394043,28330,las,DET,31.609264373779297,28330
32,shapes,NOUN,21.508373260498047,28330,noticias,NOUN,35.6960334777832,28330
33,0,0,0.0,0,determinan,VERB,36.02098846435547,28330
34,Americans,PROPN,25.1859073638916,28330,lo,DET,32.57853317260742,28330
35,what,PRON,21.802555084228516,28330,que,PRON,33.185081481933594,28330
36,see,VERB,20.632631301879883,28330,ven,VERB,37.78696823120117,28330
37,0,0,0.0,0,los,DET,35.468475341796875,28330
38,0,0,0.0,0,americanos,NOUN,34.8465461730957,28330
39,.,PUNCT,20.906570434570312,28330,.,PUNCT,32.51149368286133,28330
40,This,DET,23.418455123901367,35330,Este,DET,34.5507698059082,35330
41,map,NOUN,19.607418060302734,35330,mapa,NOUN,28.12485694885254,35330
42,--,PUNCT,19.3528995513916,35330,,PROPN,32.72808837890625,35330
