,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Well,INTJ,25.490535736083984,12746,0,0,0.0,0
1,",",PUNCT,20.76592445373535,12746,.,PUNCT,33.65182113647461,12746
2,I,PRON,24.581724166870117,12746,química,ADJ,33.13068389892578,12746
3,'m,AUX,22.609262466430664,12746,Soy,AUX,32.06869888305664,12746
4,an,DET,23.9361515045166,12746,0,0,0.0,0
5,ocean,NOUN,20.072181701660156,12746,oceanógrafa,NOUN,32.54100799560547,12746
6,chemist,NOUN,18.90766143798828,12746,0,0,0.0,0
7,.,PUNCT,21.349700927734375,12746,0,0,0.0,0
8,I,PRON,25.40712547302246,14223,0,0,0.0,0
9,look,VERB,21.964759826660156,14223,Observo,VERB,32.077632904052734,14223
10,at,ADP,22.916656494140625,14223,actual,ADJ,34.02293395996094,14223
11,the,DET,22.302762985229492,14223,la,DET,33.67133712768555,14223
12,chemistry,NOUN,18.352676391601562,14223,química,NOUN,29.9759464263916,14223
13,of,ADP,22.739120483398438,14223,del,ADP,35.46828842163086,14223
14,the,DET,21.661096572875977,14223,0,0,0.0,0
15,ocean,NOUN,19.048992156982422,14223,océano,NOUN,31.213436126708984,14223
16,today,NOUN,21.30080795288086,14223,0,0,0.0,0
17,.,PUNCT,22.75045394897461,14223,.,PUNCT,32.1586799621582,14223
18,I,PRON,25.40712547302246,16366,0,0,0.0,0
19,look,VERB,21.964759826660156,16366,Estudio,VERB,31.87902069091797,16366
20,at,ADP,22.916656494140625,16366,pasada,ADJ,34.063316345214844,16366
21,the,DET,22.302762985229492,16366,la,DET,33.95375061035156,16366
22,chemistry,NOUN,18.34236717224121,16366,química,NOUN,30.520448684692383,16366
23,of,ADP,22.751522064208984,16366,del,ADP,35.270545959472656,16366
24,the,DET,21.515335083007812,16366,0,0,0.0,0
25,ocean,NOUN,18.288253784179688,16366,océano,NOUN,31.04977035522461,16366
26,in,ADP,21.664770126342773,16366,0,0,0.0,0
27,the,DET,20.854581832885742,16366,0,0,0.0,0
28,past,NOUN,17.75880241394043,16366,0,0,0.0,0
29,.,PUNCT,21.242660522460938,16366,.,PUNCT,32.203704833984375,16366
30,The,DET,23.6658878326416,19390,Y,CONJ,35.16550827026367,19390
31,way,NOUN,18.63671112060547,19390,pasado,NOUN,30.845979690551758,19390
32,I,PRON,25.558189392089844,19390,0,0,0.0,0
33,look,VERB,23.47076988220215,19390,observo,VERB,33.98029327392578,19390
34,back,ADV,22.1252384185791,19390,0,0,0.0,0
35,in,ADP,22.685544967651367,19390,0,0,0.0,0
36,the,DET,21.526594161987305,19390,el,DET,34.00460433959961,19390
37,past,NOUN,19.007890701293945,19390,0,0,0.0,0
38,is,AUX,21.68573760986328,21478,0,0,0.0,0
39,by,ADP,21.96930503845215,21478,mediante,ADP,32.798484802246094,21478
40,using,VERB,26.682966232299805,21478,fosilizados,ADJ,36.761783599853516,21478
41,the,DET,20.61384391784668,21478,de,ADP,29.589092254638672,21478
42,fossilized,ADJ,21.142230987548828,21478,profundas,ADJ,35.092010498046875,21478
43,remains,NOUN,22.31688690185547,21478,corales,NOUN,32.0527458190918,21478
44,of,ADP,23.57984161376953,21478,de,ADP,31.74476432800293,21478
45,deepwater,NOUN,20.966678619384766,21478,restos,NOUN,34.4658317565918,21478
46,corals,NOUN,21.911962509155273,21478,aguas,NOUN,35.110076904296875,21478
47,.,PUNCT,20.06717872619629,21478,.,PUNCT,33.468929290771484,21478
48,You,PRON,24.22112274169922,24653,Se,PRON,33.70217514038086,24653
49,can,VERB,23.50885009765625,24653,puede,AUX,36.54710006713867,24653
50,see,VERB,25.747865676879883,24653,ver,VERB,37.01539993286133,24653
51,an,DET,23.769332885742188,24653,una,DET,34.33205032348633,24653
52,image,NOUN,23.12413215637207,24653,imagen,NOUN,33.637088775634766,24653
53,of,ADP,25.7914981842041,24653,de,ADP,30.851591110229492,24653
54,one,NUM,20.4716739654541,24653,0,0,0.0,0
55,of,ADP,25.06507682800293,24653,de,ADP,30.483407974243164,24653
56,these,DET,23.52635955810547,24653,estos,DET,35.4632568359375,24653
57,corals,NOUN,23.48943519592285,24653,corales,NOUN,34.5798225402832,24653
58,behind,ADP,23.33123779296875,24653,tras,ADP,33.100128173828125,24653
59,me,PRON,25.690385818481445,24653,uno,PRON,31.798812866210938,24653
60,.,PUNCT,20.194185256958008,24653,.,PUNCT,33.02835464477539,24653
61,It,PRON,23.590837478637695,27319,mí,PRON,33.89106369018555,24653
