,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,It,PRON,24.344165802001953,13413,Un,DET,31.79655647277832,13413
1,was,AUX,25.046550750732422,13413,domingo,NOUN,33.987220764160156,13413
2,a,DET,24.376670837402344,13413,la,DET,33.710296630859375,13413
3,Sunday,PROPN,22.4000301361084,13413,por,ADP,32.79964828491211,13413
4,afternoon,NOUN,20.327743530273438,13413,tarde,NOUN,29.283384323120117,13413
5,back,ADV,21.141618728637695,13413,",",PUNCT,31.234230041503906,13413
6,in,ADP,20.821622848510742,13413,en,ADP,33.25559616088867,13413
7,April,PROPN,23.06440544128418,13413,abril,NOUN,35.41191101074219,13413
8,of,ADP,21.984905242919922,13413,de,ADP,31.194108963012695,13413
9,this,DET,24.48664665222168,13413,este,DET,34.338592529296875,13413
10,year,NOUN,20.926361083984375,13413,año,NOUN,33.42024612426758,13413
11,.,PUNCT,22.459577560424805,13413,",",PUNCT,29.102293014526367,13413
12,My,DET,22.705289840698242,17651,mi,DET,34.669979095458984,17651
13,phone,NOUN,21.803003311157227,17651,teléfono,NOUN,32.27532958984375,17651
14,was,AUX,24.373096466064453,17651,0,0,0.0,0
15,ringing,VERB,22.61186981201172,17651,sonó,VERB,36.08176040649414,17651
16,",",PUNCT,19.804874420166016,17651,0,0,0.0,0
17,The,DET,22.780763626098633,19524,Una,DET,32.03433609008789,19524
18,voice,NOUN,20.166357040405273,19524,voz,NOUN,32.775630950927734,19524
19,said,VERB,22.447877883911133,19524,dijo,VERB,34.83245849609375,19524
20,",",PUNCT,21.464523315429688,19524,:,PUNCT,33.51327896118164,19524
21,"""",PUNCT,19.786497116088867,19524,"""",PUNCT,31.447267532348633,19524
22,It,PRON,22.68442726135254,19524,0,0,0.0,0
23,'s,AUX,20.533403396606445,19524,Soy,AUX,33.005393981933594,19524
24,Rebecca,PROPN,22.346498489379883,19524,Rebecca,PROPN,33.042198181152344,19524
25,.,PUNCT,19.624895095825195,19524,.,PUNCT,32.80128479003906,19524
26,I,PRON,24.493515014648438,24847,te,PRON,31.92145538330078,24847
27,'m,AUX,22.916208267211914,24847,0,0,0.0,0
28,just,ADV,25.683101654052734,24847,solo,ADV,34.27809143066406,24847
29,calling,VERB,25.358949661254883,24847,para,ADP,35.25284957885742,24847
30,to,PART,21.961172103881836,24847,invitarte,PROPN,30.534332275390625,24847
31,invite,VERB,23.82915496826172,24847,llamo,VERB,33.260765075683594,24847
32,you,PRON,21.884157180786133,24847,0,0,0.0,0
33,to,ADP,21.678043365478516,27419,a,ADP,33.99557113647461,27419
34,my,DET,22.629770278930664,27419,mi,DET,33.69233703613281,27419
35,funeral,NOUN,17.369813919067383,27419,funeral,NOUN,31.03904914855957,27419
36,.,PUNCT,21.08083724975586,27419,"""",PUNCT,32.57350540161133,27419
37,"""",PUNCT,21.959604263305664,27419,.,PUNCT,33.11809158325195,27419
38,I,PRON,24.576644897460938,30330,Le,PRON,31.285032272338867,30330
39,said,VERB,23.624542236328125,30330,dije,VERB,35.46754455566406,30330
40,",",PUNCT,21.209211349487305,30330,:,PUNCT,33.038002014160156,30330
41,"""",PUNCT,19.63440704345703,30330,"""",PUNCT,30.857397079467773,30330
42,Rebecca,PROPN,21.514930725097656,30330,Rebecca,PROPN,31.521808624267578,30330
43,",",PUNCT,20.377304077148438,30330,¿,PUNCT,30.550678253173828,30330
44,what,PRON,20.3802547454834,30330,qué,DET,34.36560821533203,30330
45,are,AUX,24.275718688964844,30330,hablas,NOUN,36.352073669433594,30330
46,you,PRON,23.444717407226562,30330,",",PUNCT,29.975521087646484,30330
47,talking,VERB,25.92655372619629,30330,?,PUNCT,32.7110481262207,30330
48,about,ADP,21.085514068603516,30330,De,ADP,33.16841125488281,30330
49,?,PUNCT,21.514070510864258,30330,"""",PUNCT,32.173892974853516,30330
50,"""",PUNCT,21.714387893676758,30330,.,PUNCT,33.342742919921875,30330
51,She,PRON,24.765987396240234,33593,Me,PRON,32.83842849731445,33593
52,said,VERB,23.90101432800293,33593,respondió,VERB,38.478302001953125,33593
53,",",PUNCT,22.025836944580078,33593,:,PUNCT,32.9781608581543,33593
54,"""",PUNCT,20.28919792175293,33593,"""",PUNCT,30.97443199157715,33593
55,Joy,PROPN,18.618906021118164,33593,Joy,PROPN,30.365907669067383,33593
56,",",PUNCT,22.581668853759766,33593,",",PUNCT,30.775434494018555,33593
57,as,SCONJ,21.23263931274414,33593,0,0,0.0,0
58,my,DET,20.781675338745117,33593,mi,DET,33.559417724609375,33593
59,friend,NOUN,20.807519912719727,33593,amiga,NOUN,29.585453033447266,33593
60,",",PUNCT,22.036540985107422,33593,",",PUNCT,30.38685417175293,33593
61,you,PRON,23.45061683654785,33593,y,CONJ,33.11714553833008,33593
62,have,AUX,22.496227264404297,33593,eres,AUX,31.3362979888916,33593
63,to,PART,21.2307071685791,33593,debes,ADV,31.913799285888672,33593
64,let,VERB,25.0660343170166,33593,ir,VERB,34.573814392089844,33593
65,me,PRON,25.670007705688477,33593,0,0,0.0,0
66,go,VERB,22.8483943939209,33593,dejarme,VERB,33.512210845947266,33593
67,.,PUNCT,20.2199649810791,33593,.,PUNCT,32.97804260253906,33593
68,It,PRON,23.27544593811035,39235,0,0,0.0,0
69,'s,AUX,21.62957000732422,39235,Es,AUX,33.7160758972168,39235
70,my,DET,21.90483856201172,39235,mi,DET,35.28696823120117,39235
71,time,NOUN,19.429019927978516,39235,hora,NOUN,29.491655349731445,39235
72,.,PUNCT,20.309417724609375,39235,.,PUNCT,33.38808059692383,39235
73,"""",PUNCT,21.869850158691406,39235,"""",PUNCT,33.24150848388672,39235
74,The,DET,19.50625991821289,41854,otro,DET,36.02325439453125,41854
75,next,ADJ,21.80804443359375,41854,al,ADP,37.50005340576172,41854
76,day,NOUN,21.612314224243164,41854,día,NOUN,33.557472229003906,41854
77,",",PUNCT,20.946950912475586,41854,.,PUNCT,32.12432098388672,41854
78,she,PRON,24.462858200073242,41854,Murió,VERB,34.14240264892578,41854
79,was,AUX,25.69334602355957,41854,0,0,0.0,0
80,dead,ADJ,23.68625259399414,41854,0,0,0.0,0
81,.,PUNCT,21.0369815826416,41854,0,0,0.0,0
82,Rebecca,PROPN,22.060888290405273,46021,Rebecca,PROPN,30.414939880371094,46021
83,was,AUX,23.095640182495117,46021,tenía,VERB,35.27803421020508,46021
84,31,NUM,24.11405372619629,46021,31,NUM,34.594207763671875,46021
85,years,NOUN,23.684541702270508,46021,años,NOUN,35.511268615722656,46021
86,old,ADJ,21.777395248413086,46021,cuando,SCONJ,37.60494613647461,46021
87,when,ADV,23.827823638916016,46021,0,0,0.0,0
88,she,PRON,26.377666473388672,46021,0,0,0.0,0
89,died,VERB,26.630531311035156,46021,falleció,VERB,36.30812072753906,46021
90,.,PUNCT,21.640409469604492,46021,.,PUNCT,30.97020721435547,46021
91,She,PRON,23.86448860168457,49657,luchado,VERB,35.33861541748047,49657
92,had,AUX,23.65227699279785,49657,Había,AUX,33.86484909057617,49657
93,an,DET,23.371475219726562,49657,un,DET,33.482112884521484,49657
94,eight,NUM,22.589733123779297,49657,ocho,NUM,35.703636169433594,49657
95,-,PUNCT,22.354177474975586,49657,durante,ADP,32.18004608154297,49657
96,year,NOUN,20.860477447509766,49657,años,NOUN,36.05665969848633,49657
97,struggle,NOUN,20.57438087463379,49657,contra,ADP,32.16891098022461,49657
98,with,ADP,20.977121353149414,49657,de,ADP,35.29082107543945,49657
99,breast,NOUN,19.7108154296875,49657,cáncer,NOUN,29.336320877075195,49657
100,cancer,NOUN,19.988067626953125,49657,mama,NOUN,30.621315002441406,49657
101,.,PUNCT,22.0852108001709,49657,.,PUNCT,33.603878021240234,49657
102,It,PRON,24.73358154296875,53530,Le,PRON,28.666549682617188,53530
103,came,VERB,26.779733657836914,53530,vuelto,VERB,32.08268737792969,53530
104,back,ADV,20.51787567138672,53530,había,AUX,35.37520980834961,53530
105,three,NUM,22.90630340576172,53530,tres,NUM,35.55768966674805,53530
106,times,NOUN,21.846698760986328,53530,veces,NOUN,34.47416305541992,53530
107,.,PUNCT,20.462282180786133,53530,.,PUNCT,32.438636779785156,53530
108,0,0,0.0,0,Y,CONJ,33.599246978759766,55879
109,I,PRON,24.674150466918945,55879,yo,PRON,34.22806930541992,55879
110,her,PRON,21.26899528503418,55879,le,PRON,30.936267852783203,55879
111,failed,VERB,24.869701385498047,55879,fallé,VERB,35.72602844238281,55879
112,.,PUNCT,19.61388397216797,55879,.,PUNCT,33.001399993896484,55879
