,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.580167770385742,12844,0,0,0.0,0
1,'m,AUX,22.1976261138916,12844,0,0,0.0,0
2,here,ADV,19.519277572631836,12844,aquí,ADV,35.84722137451172,12844
3,to,PART,22.88225555419922,12844,hablarles,ADJ,35.866310119628906,12844
4,talk,VERB,24.915300369262695,12844,Estoy,VERB,31.575246810913086,12844
5,to,ADP,20.412609100341797,12844,de,ADP,29.542085647583008,12844
6,you,PRON,24.268598556518555,12844,algo,PRON,33.706783294677734,12844
7,about,ADP,20.75752067565918,12844,para,ADP,34.363868713378906,12844
8,something,PRON,22.76193618774414,12844,que,PRON,31.48465347290039,12844
9,important,ADJ,21.445785522460938,12844,importante,ADJ,33.23800277709961,12844
10,that,DET,20.770933151245117,12844,no,ADV,33.380897521972656,12844
11,may,VERB,23.091400146484375,12844,sepan,VERB,33.91741943359375,12844
12,be,AUX,25.422922134399414,12844,quizás,ADV,34.58155059814453,12844
13,new,ADJ,21.10700225830078,12844,0,0,0.0,0
14,to,ADP,20.174354553222656,12844,0,0,0.0,0
15,you,PRON,24.49673080444336,12844,0,0,0.0,0
16,.,PUNCT,21.17495346069336,12844,.,PUNCT,32.08942794799805,12844
17,The,DET,22.275415420532227,17259,Los,DET,34.416236877441406,17259
18,governments,NOUN,21.61719512939453,17259,gobernantes,NOUN,36.910404205322266,17259
19,of,ADP,23.551166534423828,17259,del,ADP,34.38096618652344,17259
20,the,DET,21.518171310424805,17259,0,0,0.0,0
21,world,NOUN,17.91646957397461,17259,mundo,NOUN,31.61693000793457,17259
22,are,AUX,22.945228576660156,18669,están,AUX,34.96241760253906,18669
23,about,ADJ,19.954395294189453,18669,a,ADP,33.03071594238281,18669
24,to,PART,22.39702033996582,18669,punto,NOUN,34.451446533203125,18669
25,an,DET,22.646526336669922,18669,de,ADP,32.450721740722656,18669
26,conduct,VERB,24.068777084350586,18669,llevar,VERB,35.96760559082031,18669
27,unintentional,ADJ,21.639598846435547,18669,a,ADP,31.860702514648438,18669
28,experiment,NOUN,22.225860595703125,18669,cabo,NOUN,33.28825378417969,18669
29,0,0,0.0,0,",",PUNCT,31.010299682617188,18669
30,0,0,0.0,0,sin,ADP,35.083492279052734,18669
31,0,0,0.0,0,saberlo,VERB,35.34611129760742,18669
32,0,0,0.0,0,",",PUNCT,30.173343658447266,18669
33,our,DET,23.81563949584961,20957,un,DET,37.79132843017578,20957
34,climate,NOUN,20.27071762084961,20957,experimento,NOUN,31.549755096435547,20957
35,on,ADP,19.911632537841797,20957,en,ADP,31.29143524169922,20957
36,0,0,0.0,0,nuestro,DET,33.57854461669922,20957
37,0,0,0.0,0,clima,NOUN,32.19942855834961,20957
38,.,PUNCT,21.463661193847656,20957,.,PUNCT,32.52348327636719,20957
39,In,ADP,20.934104919433594,22736,En,ADP,31.31634521484375,22736
40,2020,NUM,22.676559448242188,22736,2020,NOUN,34.91896057128906,22736
41,",",PUNCT,23.274028778076172,22736,",",PUNCT,31.044456481933594,22736
42,new,ADJ,20.912002563476562,22736,habrá,AUX,33.42292785644531,22736
43,rules,NOUN,23.18562889099121,22736,reglamentos,NOUN,36.010520935058594,22736
44,will,VERB,24.75290298461914,22736,para,ADP,34.96908950805664,22736
45,require,VERB,25.662944793701172,22736,que,SCONJ,33.59746170043945,22736
