,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Like,SCONJ,20.849233627319336,12760,Como,SCONJ,33.960662841796875,12760
1,every,DET,23.03611183166504,12760,todo,DET,33.76346969604492,12760
2,passionate,ADJ,18.97962188720703,12760,apasionado,ADJ,31.485675811767578,12760
3,software,NOUN,21.38572120666504,12760,ingeniero,NOUN,28.63223648071289,12760
4,engineer,NOUN,21.420724868774414,12760,software,NOUN,34.3734130859375,12760
5,out,ADV,22.728578567504883,12760,de,ADP,30.49068260192871,12760
6,there,ADV,21.53436851501465,12760,0,0,0.0,0
7,",",PUNCT,21.088199615478516,12760,",",PUNCT,30.303142547607422,12760
8,follow,VERB,23.260364532470703,16240,sigo,VERB,32.742393493652344,16240
9,I,PRON,24.726314544677734,16240,de,ADP,29.148334503173828,16240
10,closely,ADV,24.719043731689453,16240,cerca,ADV,34.750606536865234,16240
11,0,0,0.0,0,a,ADP,32.81766891479492,16240
12,0,0,0.0,0,las,DET,33.78814697265625,16240
13,companies,NOUN,21.518632888793945,16240,compañías,NOUN,34.638526916503906,16240
14,in,ADP,18.632427215576172,16240,de,ADP,31.695756912231445,16240
15,technology,NOUN,21.41189956665039,16240,tecnología,NOUN,31.27338218688965,16240
16,0,0,0.0,0,de,ADP,28.788957595825195,16240
17,Valley,PROPN,23.16765022277832,16240,Silicon,PROPN,34.63007736206055,16240
18,Silicon,PROPN,22.10589027404785,16240,Valley,PROPN,36.14690017700195,16240
19,",",PUNCT,21.30083656311035,16240,",",PUNCT,30.591766357421875,16240
20,pretty,ADV,23.225440979003906,19600,más,ADV,36.3791389465332,19600
21,0,0,0.0,0,o,CONJ,34.417911529541016,19600
22,much,ADV,21.404338836669922,19600,menos,ADV,34.7023811340332,19600
23,same,ADJ,22.855701446533203,19600,como,SCONJ,34.89164352416992,19600
24,the,DET,21.388351440429688,19600,los,DET,36.66352081298828,19600
25,way,NOUN,18.825679779052734,19600,fanáticos,NOUN,33.77212142944336,19600
26,soccer,NOUN,18.43793296813965,19600,del,ADP,34.39058303833008,19600
27,fans,NOUN,23.119848251342773,19600,fútbol,NOUN,30.766401290893555,19600
28,follow,VERB,24.350427627563477,19600,siguen,VERB,35.82569885253906,19600
29,in,ADP,21.548986434936523,19600,a,ADP,33.52482223510742,19600
30,their,DET,23.91656494140625,19600,sus,DET,34.68685531616211,19600
31,teams,NOUN,22.536701202392578,19600,equipos,NOUN,35.96230697631836,19600
32,0,0,0.0,0,en,ADP,31.947586059570312,19600
33,Europe,PROPN,24.07867431640625,19600,Europa,PROPN,37.46220779418945,19600
34,.,PUNCT,19.653356552124023,19600,.,PUNCT,31.97226905822754,19600
35,I,PRON,25.77048110961914,23640,Leo,DET,27.20665168762207,23640
36,read,VERB,24.202281951904297,23640,sobre,ADP,33.149478912353516,23640
37,articles,NOUN,19.018272399902344,23640,artículos,NOUN,35.231849670410156,23640
38,on,ADP,22.081193923950195,23640,de,ADP,32.939170837402344,23640
39,tech,NOUN,19.19651985168457,23640,blogs,PROPN,32.36336898803711,23640
40,blogs,NOUN,21.62860107421875,23640,tecnología,NOUN,29.858474731445312,23640
41,and,CCONJ,20.95592498779297,25880,y,CONJ,32.89042282104492,25880
42,listen,VERB,21.01937484741211,25880,escucho,VERB,31.56110382080078,25880
43,to,ADP,20.556861877441406,25880,en,ADP,32.13496017456055,25880
44,podcasts,NOUN,22.17705726623535,25880,podcasts,NOUN,31.655073165893555,25880
45,on,ADP,21.45292091369629,25880,0,0,0.0,0
46,my,DET,21.58833885192871,25880,el,DET,33.89944076538086,25880
47,phone,NOUN,20.207841873168945,25880,teléfono,NOUN,31.527307510375977,25880
48,.,PUNCT,21.28046226501465,25880,.,PUNCT,32.201171875,25880
49,But,CCONJ,22.72329330444336,29080,Pero,CONJ,33.060638427734375,29080
50,after,ADP,19.573041915893555,29080,de,ADP,31.382463455200195,29080
51,I,PRON,24.93924903869629,29080,después,ADV,34.8767204284668,29080
52,finish,VERB,23.331029891967773,29080,terminar,VERB,37.54163360595703,29080
53,the,DET,21.40472984313965,29080,el,DET,33.15660095214844,29080
54,article,NOUN,17.794010162353516,29080,artículo,NOUN,30.60244369506836,29080
55,",",PUNCT,20.035707473754883,29080,",",PUNCT,31.148090362548828,29080
56,lock,VERB,21.93621253967285,30920,bloqueo,PROPN,31.580381393432617,30920
57,my,DET,21.6783504486084,30920,el,DET,34.51203918457031,30920
58,phone,NOUN,18.599821090698242,30920,teléfono,NOUN,30.99074935913086,30920
59,and,CCONJ,22.567913055419922,30920,y,CONJ,34.00081253051758,30920
60,unplug,VERB,18.87184715270996,30920,desconecto,NOUN,32.5316276550293,30920
61,the,DET,22.01383399963379,30920,los,DET,35.18937683105469,30920
62,headphones,NOUN,19.271076202392578,30920,auriculares,NOUN,35.86399841308594,30920
63,",",PUNCT,20.39908790588379,30920,",",PUNCT,29.184782028198242,30920
64,I,PRON,24.94717025756836,34280,y,CONJ,32.809974670410156,34280
65,'m,AUX,23.368928909301758,34280,estoy,AUX,33.385581970214844,34280
66,back,ADV,20.292034149169922,34280,de,ADP,30.481887817382812,34280
67,in,ADP,22.84859848022461,34280,en,ADP,31.445701599121094,34280
68,sub,NOUN,20.30385398864746,34280,vuelta,NOUN,30.69929313659668,34280
69,-,PUNCT,19.977069854736328,34280,el,DET,34.81018829345703,34280
70,Saharan,PROPN,20.605878829956055,34280,África,PROPN,35.981754302978516,34280
71,Africa,PROPN,23.05411720275879,34280,subsahariana,ADJ,32.26670455932617,34280
72,",",PUNCT,22.120227813720703,34280,",",PUNCT,29.858991622924805,34280
73,where,ADV,20.42409324645996,36520,donde,SCONJ,32.46805953979492,36520
74,the,DET,23.059715270996094,36520,el,DET,36.12545394897461,36520
75,landscape,NOUN,18.874141693115234,36520,paisaje,NOUN,30.543994903564453,36520
76,is,AUX,24.709087371826172,36520,es,AUX,32.67353057861328,36520
77,not,PART,23.627477645874023,36520,0,0,0.0,0
78,quite,ADV,22.883764266967773,36520,no,ADV,32.2922477722168,36520
79,the,DET,22.925573348999023,36520,el,DET,32.116512298583984,36520
80,same,ADJ,21.046239852905273,36520,mismo,PRON,35.522430419921875,36520
81,.,PUNCT,22.16101837158203,36520,.,PUNCT,32.65821075439453,36520
82,We,PRON,24.763219833374023,40160,Tenemos,VERB,31.458629608154297,40160
83,have,AUX,24.541519165039062,40160,de,ADP,32.916404724121094,40160
84,long,ADJ,21.532962799072266,40160,prolongados,ADJ,33.773502349853516,40160
85,and,CCONJ,24.943706512451172,40160,y,CONJ,35.46769332885742,40160
86,frequent,ADJ,21.988534927368164,40160,frecuentes,ADJ,34.261558532714844,40160
87,power,NOUN,20.441513061523438,40160,energía,NOUN,29.99432373046875,40160
88,outages,NOUN,21.475906372070312,40160,apagones,NOUN,33.733428955078125,40160
89,",",PUNCT,20.8822021484375,40160,",",PUNCT,30.531709671020508,40160
90,low,ADJ,19.42976951599121,43720,baja,ADJ,32.90773010253906,43720
91,penetration,NOUN,19.473031997680664,43720,penetración,NOUN,28.947948455810547,43720
92,of,ADP,21.728609085083008,43720,de,ADP,30.89072608947754,43720
93,computers,NOUN,19.620073318481445,43720,computadoras,NOUN,31.807973861694336,43720
94,",",PUNCT,19.96385955810547,43720,",",PUNCT,30.46881866455078,43720
95,internet,NOUN,20.57423973083496,45800,lentas,NOUN,34.31254577636719,45800
96,connections,NOUN,20.785837173461914,45800,conexiones,NOUN,34.841278076171875,45800
97,slow,ADJ,20.29102325439453,45800,a,ADP,31.429439544677734,45800
98,0,0,0.0,0,Internet,PROPN,35.80984878540039,45800
99,and,CCONJ,19.0103702545166,47760,y,CONJ,34.3260383605957,47760
100,a,DET,22.391895294189453,47760,muchos,DET,35.2667121887207,47760
101,lot,NOUN,22.010744094848633,47760,pacientes,NOUN,36.85592269897461,47760
102,0,0,0.0,0,que,PRON,35.56350326538086,47760
103,visiting,VERB,25.187711715698242,47760,visitan,VERB,35.58927917480469,47760
104,patients,NOUN,21.617822647094727,47760,hospitales,NOUN,35.494083404541016,47760
105,of,ADP,25.171131134033203,47760,con,ADP,32.11280822753906,47760
106,hospitals,NOUN,22.36636734008789,47760,poco,ADV,35.16716384887695,47760
107,understaffed,ADJ,21.869415283203125,47760,personal,ADJ,33.57075881958008,47760
108,.,PUNCT,20.499439239501953,47760,.,PUNCT,33.39698791503906,47760
109,Since,SCONJ,22.578702926635742,52040,Desde,ADP,34.54319381713867,52040
110,the,DET,20.474294662475586,52040,la,DET,33.03207015991211,52040
111,HIV,PROPN,22.321773529052734,52040,VIH,PROPN,34.85982131958008,52040
112,epidemic,NOUN,18.504549026489258,52040,epidemia,NOUN,32.779579162597656,52040
113,",",PUNCT,20.767593383789062,52040,",",PUNCT,29.661954879760742,52040
114,for,ADP,22.643274307250977,54200,de,ADP,31.128036499023438,52040
115,increasing,VERB,24.248552322387695,54200,los,DET,34.37714385986328,52040
116,volumes,NOUN,22.73473358154297,54200,hospitales,NOUN,36.20342254638672,52040
117,of,ADP,23.974872589111328,54200,0,0,0.0,0
118,patients,NOUN,22.63215446472168,54200,0,0,0.0,0
119,.,PUNCT,20.515304565429688,54200,0,0,0.0,0
120,For,ADP,22.629135131835938,62720,Para,ADP,32.570621490478516,62580
121,such,ADJ,22.158220291137695,62720,tecnológicos,ADJ,36.413475036621094,62580
122,environments,NOUN,22.444185256958008,62720,entornos,NOUN,36.2242431640625,62580
123,",",PUNCT,21.470232009887695,62720,estos,DET,35.6424446105957,62580
124,importing,VERB,22.50539207458496,64480,importar,VERB,33.71208190917969,62580
125,technology,NOUN,20.379714965820312,64480,sistemas,NOUN,35.49445724487305,62580
126,systems,NOUN,21.754528045654297,64480,0,0,0.0,0
127,developed,VERB,21.621118545532227,64480,0,0,0.0,0
128,elsewhere,ADV,20.400390625,64480,0,0,0.0,0
129,has,AUX,23.260927200317383,64480,0,0,0.0,0
130,not,PART,23.493581771850586,64480,0,0,0.0,0
131,worked,VERB,20.676105499267578,64480,0,0,0.0,0
132,",",PUNCT,20.279891967773438,64480,0,0,0.0,0
133,but,CCONJ,21.502403259277344,68400,0,0,0.0,0
134,in,ADP,20.829607009887695,68400,0,0,0.0,0
135,2006,NUM,22.124025344848633,68400,0,0,0.0,0
136,",",PUNCT,22.926898956298828,68400,0,0,0.0,0
137,I,PRON,25.666473388671875,68400,0,0,0.0,0
138,joined,VERB,24.794204711914062,68400,0,0,0.0,0
139,Baobab,PROPN,20.082307815551758,68400,0,0,0.0,0
140,Health,PROPN,21.69533348083496,68400,0,0,0.0,0
141,",",PUNCT,21.724483489990234,68400,0,0,0.0,0
142,a,DET,22.594079971313477,71640,0,0,0.0,0
143,team,NOUN,20.03279685974121,71640,0,0,0.0,0
144,that,DET,21.895954132080078,71640,0,0,0.0,0
145,uses,VERB,24.412986755371094,71640,0,0,0.0,0
146,locally,ADV,25.934377670288086,71640,0,0,0.0,0
147,based,VERB,20.864076614379883,71640,0,0,0.0,0
148,engineers,NOUN,20.135276794433594,71640,0,0,0.0,0
149,that,DET,19.826263427734375,75200,0,0,0.0,0
150,are,AUX,24.77001190185547,75200,0,0,0.0,0
151,addressing,VERB,24.29871940612793,75200,0,0,0.0,0
152,health,NOUN,20.073137283325195,75200,0,0,0.0,0
153,care,NOUN,20.012704849243164,75200,0,0,0.0,0
154,challenges,NOUN,22.4751033782959,75200,0,0,0.0,0
155,in,ADP,21.36329460144043,75200,0,0,0.0,0
156,Malawi,PROPN,24.136632919311523,75200,0,0,0.0,0
157,.,PUNCT,20.027748107910156,75200,0,0,0.0,0
158,We,PRON,24.39674186706543,81720,0,0,0.0,0
159,designed,VERB,23.109834671020508,81720,0,0,0.0,0
160,an,DET,22.93181610107422,81720,0,0,0.0,0
161,electronic,ADJ,21.455650329589844,81720,0,0,0.0,0
162,health,NOUN,21.330066680908203,81720,0,0,0.0,0
163,record,NOUN,19.351112365722656,81720,0,0,0.0,0
164,system,NOUN,20.983318328857422,81720,0,0,0.0,0
165,that,DET,18.752269744873047,85160,0,0,0.0,0
166,is,AUX,24.115644454956055,85160,0,0,0.0,0
167,used,VERB,22.902725219726562,85160,0,0,0.0,0
168,by,ADP,22.325363159179688,85160,0,0,0.0,0
169,health,NOUN,21.248065948486328,85160,0,0,0.0,0
