,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.01418113708496,13375,diseñador,ADJ,33.52534866333008,13375
1,'m,AUX,23.283878326416016,13375,Soy,AUX,30.60932731628418,13375
2,a,DET,22.570831298828125,13375,de,ADP,31.39458656311035,13375
3,protein,NOUN,19.032934188842773,13375,proteínas,NOUN,32.294029235839844,13375
4,designer,NOUN,18.410900115966797,13375,0,0,0.0,0
5,.,PUNCT,21.01097297668457,13375,",",PUNCT,31.304275512695312,13375
6,And,CCONJ,19.821733474731445,16917,y,CONJ,34.9520263671875,16917
7,I,PRON,24.650745391845703,16917,contarles,ADJ,33.10508728027344,16917
8,'d,VERB,22.82797622680664,16917,quisiera,VERB,30.588594436645508,16917
9,like,VERB,21.206453323364258,16917,sobre,ADP,34.15321731567383,16917
10,to,PART,22.74174690246582,16917,0,0,0.0,0
11,discuss,VERB,25.72606086730957,16917,0,0,0.0,0
12,a,DET,21.718896865844727,16917,un,DET,35.01940155029297,16917
13,new,ADJ,22.64894676208496,16917,nuevo,ADJ,36.61131286621094,16917
14,type,NOUN,21.551156997680664,16917,medicina,NOUN,30.390485763549805,16917
15,of,ADP,24.318429946899414,16917,de,ADP,30.348268508911133,16917
16,medicine,NOUN,19.784700393676758,16917,tipo,NOUN,32.20734786987305,16917
17,.,PUNCT,20.713071823120117,16917,.,PUNCT,33.72956085205078,16917
18,It,PRON,23.209735870361328,19875,Se,PRON,33.45494842529297,19875
19,made,VERB,21.815235137939453,19875,crea,VERB,36.39179992675781,19875
20,'s,AUX,22.454566955566406,19875,a,ADP,34.805118560791016,19875
21,molecule,NOUN,21.163070678710938,19875,partir,NOUN,33.818603515625,19875
22,from,ADP,21.359594345092773,19875,de,ADP,32.45397186279297,19875
23,a,DET,22.178760528564453,19875,una,DET,35.77964401245117,19875
24,peptide,NOUN,20.807249069213867,19875,molécula,NOUN,33.299015045166016,19875
25,called,VERB,19.426584243774414,19875,llamada,ADJ,32.942657470703125,19875
26,constrained,ADJ,22.453044891357422,19875,péptido,ADJ,32.55938720703125,19875
27,a,DET,22.035856246948242,19875,inhibidor,ADJ,31.789554595947266,19875
28,.,PUNCT,20.9743709564209,19875,.,PUNCT,31.688650131225586,19875
29,constrained,VERB,21.76106834411621,24000,Existen,VERB,34.07186508178711,24000
30,a,DET,23.3295841217041,24000,pocos,DET,32.66283416748047,24000
31,There,PRON,21.502655029296875,24000,fármacos,NOUN,34.74030685424805,24000
32,few,ADJ,20.696914672851562,24000,con,ADP,32.96109390258789,24000
