,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,CCONJ,19.380374908447266,12952,0,0,0.0,0
1,this,DET,22.559669494628906,12952,la,DET,33.78717041015625,12952
2,is,AUX,23.534622192382812,12952,Es,AUX,35.284664154052734,12952
3,the,DET,24.430992126464844,12952,esta,DET,32.38117980957031,12952
4,first,ADJ,19.66400909423828,12952,primera,ADJ,36.63777160644531,12952
5,time,NOUN,18.41901206970215,12952,vez,NOUN,33.38452911376953,12952
6,I,PRON,24.568872451782227,12952,que,PRON,33.27197265625,12952
7,'ve,AUX,22.434520721435547,12952,0,0,0.0,0
8,told,VERB,22.983617782592773,12952,comparto,VERB,33.46006774902344,12952
9,this,DET,22.74224853515625,12952,el,DET,31.511722564697266,12952
10,story,NOUN,19.515031814575195,12952,público,NOUN,29.46303939819336,12952
11,in,ADP,20.195066452026367,12952,con,ADP,31.899158477783203,12952
12,public,NOUN,18.885887145996094,12952,historia,NOUN,33.18549346923828,12952
13,",",PUNCT,20.732057571411133,12952,",",PUNCT,29.130687713623047,12952
14,the,DET,19.984085083007812,15882,los,DET,35.12419128417969,16078
15,aspects,NOUN,20.37085723876953,15882,aspectos,NOUN,36.270015716552734,16078
16,personal,ADJ,19.498170852661133,15882,personales,ADJ,35.80885696411133,16078
17,it,PRON,23.092906951904297,15882,",",PUNCT,32.123931884765625,16078
18,of,ADP,24.917715072631836,15882,al,ADP,34.11412048339844,16078
19,0,0,0.0,0,menos,ADV,35.4202880859375,16078
20,.,PUNCT,21.455562591552734,15882,.,PUNCT,33.28973388671875,16078
21,Yogi,PROPN,20.47600555419922,19056,Yogi,PROPN,35.02954864501953,19056
22,Berra,PROPN,23.537242889404297,19056,Berra,PROPN,36.291996002197266,19056
23,was,AUX,23.36977767944336,19056,fue,AUX,32.66645050048828,19056
24,a,DET,24.716981887817383,19056,un,DET,37.95668029785156,19056
25,world,NOUN,21.296146392822266,19056,jugador,NOUN,32.805809020996094,19056
26,-,PUNCT,20.371103286743164,19056,de,ADP,31.265697479248047,19056
27,player,NOUN,20.46420669555664,19056,béisbol,NOUN,31.422578811645508,19056
28,baseball,NOUN,19.280282974243164,19056,muy,ADV,36.2845573425293,19056
29,famous,ADJ,20.25655746459961,19056,famoso,ADJ,35.195533752441406,19056
30,who,PRON,24.205839157104492,19056,que,PRON,33.40968322753906,19056
31,said,VERB,22.27922248840332,19056,dijo,VERB,37.654945373535156,19056
32,",",PUNCT,20.424850463867188,19056,:,PUNCT,32.663841247558594,19056
33,"""",PUNCT,20.687593460083008,24157,"""",PUNCT,32.343013763427734,24157
34,If,SCONJ,22.051546096801758,24157,Si,SCONJ,32.5246696472168,24157
35,you,PRON,24.962038040161133,24157,te,PRON,33.15026092529297,24157
36,come,VERB,22.332202911376953,24157,encuentras,VERB,31.818960189819336,24157
37,to,ADP,19.931612014770508,24157,con,ADP,33.018951416015625,24157
38,a,DET,23.248170852661133,24157,un,DET,38.00856018066406,24157
39,fork,NOUN,19.960851669311523,24157,obstáculo,NOUN,32.53749465942383,24157
40,in,ADP,22.437589645385742,24157,en,ADP,30.66388702392578,24157
41,the,DET,22.176000595092773,24157,el,DET,33.91643524169922,24157
42,road,NOUN,15.767561912536621,24157,camino,NOUN,30.729705810546875,24157
43,",",PUNCT,21.002784729003906,24157,",",PUNCT,30.623872756958008,24157
44,take,VERB,22.948715209960938,24157,supéralo,PROPN,32.58763122558594,24157
45,it,PRON,22.53972816467285,24157,0,0,0.0,0
46,.,PUNCT,21.24284553527832,24157,.,PUNCT,32.853057861328125,24157
47,"""",PUNCT,22.358661651611328,24157,"""",PUNCT,31.031015396118164,24157
48,Researchers,NOUN,23.738447189331055,27069,investigadores,NOUN,36.972110748291016,27069
49,had,AUX,22.48372459411621,27069,Los,DET,34.469200134277344,27069
50,been,AUX,24.91110610961914,27069,han,AUX,35.1990852355957,27069
51,",",PUNCT,21.12413787841797,27069,estudiado,VERB,34.455135345458984,27069
52,for,ADP,21.90835952758789,27069,por,ADP,31.684940338134766,27069
53,more,ADJ,19.482446670532227,27069,más,ADV,34.33179473876953,27069
54,than,SCONJ,22.671049118041992,27069,de,ADP,31.10397720336914,27069
55,a,DET,22.954030990600586,27069,un,DET,33.655250549316406,27069
56,century,NOUN,19.613248825073242,27069,siglo,NOUN,32.44209289550781,27069
57,",",PUNCT,20.476402282714844,27069,0,0,0.0,0
58,studying,VERB,22.95392608642578,30592,0,0,0.0,0
59,the,DET,21.96479034423828,30592,el,DET,36.07061767578125,30592
60,immune,ADJ,19.67001724243164,30592,inmunitario,ADJ,32.83282470703125,30592
61,system,NOUN,20.104398727416992,30592,sistema,NOUN,33.258426666259766,30592
62,as,SCONJ,22.2938289642334,30592,como,SCONJ,37.37033462524414,30592
63,a,DET,23.076223373413086,30592,de,ADP,31.15081787109375,30592
64,way,NOUN,21.907695770263672,30592,forma,NOUN,35.078224182128906,30592
65,to,PART,22.000633239746094,30592,al,ADP,35.00252151489258,30592
66,fight,VERB,23.704450607299805,30592,combatir,VERB,35.49065017700195,30592
67,cancer,NOUN,21.01839256286621,30592,cáncer,NOUN,32.179656982421875,30592
68,",",PUNCT,21.507266998291016,30592,",",PUNCT,28.466114044189453,30592
69,and,CCONJ,21.22409439086914,34482,y,CONJ,33.31070327758789,34482
70,0,0,0.0,0,las,DET,33.8875732421875,34482
71,vaccines,NOUN,22.956905364990234,34482,vacunas,NOUN,34.20307540893555,34482
72,0,0,0.0,0,contra,ADP,33.79900360107422,34482
73,",",PUNCT,21.023117065429688,34482,el,DET,31.948352813720703,34482
74,cancer,NOUN,18.285505294799805,34482,cáncer,NOUN,30.311063766479492,34482
75,have,AUX,22.16880989074707,34482,han,AUX,32.32809066772461,34482
76,been,AUX,22.4659481048584,34482,sido,AUX,35.624568939208984,34482
77,disappointing,ADJ,22.036916732788086,34482,decepcionantes,ADJ,36.317012786865234,34482
78,.,PUNCT,22.0180721282959,34482,",",PUNCT,32.204654693603516,34482
79,unfortunately,ADV,22.80000114440918,34482,desafortunadamente,ADV,33.967041015625,34482
80,",",PUNCT,20.07257080078125,34482,.,PUNCT,32.6179084777832,34482
81,They,PRON,23.815065383911133,37966,como,SCONJ,35.353729248046875,38082
82,'ve,AUX,21.753759384155273,37966,el,DET,32.70973587036133,38082
83,only,ADV,22.61045265197754,37966,0,0,0.0,0
84,worked,VERB,19.94389533996582,37966,cervical,ADJ,31.830078125,38082
85,in,ADP,23.060993194580078,37966,o,CONJ,32.405338287353516,38082
86,cancers,NOUN,23.580453872680664,37966,cáncer,NOUN,32.570106506347656,38082
87,caused,VERB,22.48343276977539,37966,el,DET,33.11461639404297,38082
88,by,ADP,21.953466415405273,37966,hepático,ADJ,32.927066802978516,38082
89,viruses,NOUN,22.490684509277344,37966,cáncer,NOUN,30.472557067871094,38082
90,",",PUNCT,21.710046768188477,37966,.,PUNCT,32.77025604248047,38082
91,So,ADV,19.337608337402344,45129,Los,DET,34.691593170166016,45129
92,cancer,NOUN,19.73076820373535,45129,investigadores,NOUN,36.40718078613281,45129
93,researchers,NOUN,23.445051193237305,45129,cáncer,NOUN,31.46415138244629,45129
94,basically,ADV,23.889463424682617,45129,prácticamente,ADV,32.50275421142578,45129
95,gave,VERB,22.807310104370117,45129,descartaron,VERB,33.57050323486328,45129
96,up,ADP,20.581928253173828,45129,del,ADP,32.82964324951172,45129
97,on,ADP,21.365291595458984,45129,0,0,0.0,0
98,the,DET,23.3720703125,45129,la,DET,33.15149688720703,45129
99,idea,NOUN,20.15785789489746,45129,idea,NOUN,28.710519790649414,45129
100,of,ADP,20.58160400390625,47963,de,ADP,31.94009780883789,48109
101,using,VERB,26.626815795898438,47963,usar,VERB,36.48846435546875,48109
102,the,DET,20.61927032470703,47963,el,DET,34.937007904052734,48109
103,system,NOUN,19.975461959838867,47963,sistema,NOUN,33.54814910888672,48109
104,immune,ADJ,19.655553817749023,47963,inmunitario,ADJ,34.0223274230957,48109
105,to,PART,23.450143814086914,47963,para,ADP,35.4944953918457,48109
106,fight,VERB,24.72218132019043,47963,combatir,VERB,36.31085968017578,48109
107,0,0,0.0,0,al,ADP,35.514705657958984,48109
108,cancer,NOUN,20.473247528076172,47963,cáncer,NOUN,33.06022262573242,48109
109,.,PUNCT,21.67857551574707,47963,.,PUNCT,33.037723541259766,48109
110,And,CCONJ,19.48713493347168,52127,Y,CONJ,33.114990234375,52127
111,the,DET,21.546804428100586,52127,el,DET,36.10153579711914,52127
112,system,NOUN,20.572107315063477,52127,sistema,NOUN,33.05714797973633,52127
113,immune,ADJ,19.431777954101562,52127,inmunitario,ADJ,32.44863510131836,52127
114,",",PUNCT,20.947641372680664,52127,",",PUNCT,30.168912887573242,52127
115,in,ADP,19.917552947998047,52127,de,ADP,32.83352279663086,52127
116,any,DET,23.228496551513672,52127,todas,DET,37.02218246459961,52127
117,case,NOUN,18.73342514038086,52127,formas,NOUN,34.996498107910156,52127
118,",",PUNCT,19.831584930419922,52127,",",PUNCT,30.916959762573242,52127
119,did,AUX,23.549909591674805,52127,no,ADV,33.65284729003906,52127
120,evolve,VERB,22.83693504333496,52127,evolucionó,VERB,35.28189468383789,52127
121,not,PART,23.16739845275879,52127,para,ADP,34.672908782958984,52127
122,fight,VERB,26.140451431274414,52127,combatir,VERB,37.47163009643555,52127
123,to,PART,23.44081687927246,52127,al,ADP,35.224796295166016,52127
124,cancer,NOUN,20.840129852294922,52127,cáncer,NOUN,32.27565383911133,52127
125,;,PUNCT,18.72456932067871,52127,",",PUNCT,28.47295379638672,52127
126,it,PRON,24.36448860168457,56147,sino,CONJ,33.24531936645508,56147
127,evolved,VERB,24.942903518676758,56147,eliminar,VERB,37.93606185913086,56147
128,to,PART,23.67999839782715,56147,0,0,0.0,0
129,fight,VERB,26.712543487548828,56147,patógenos,ADJ,31.82084846496582,56147
130,pathogens,NOUN,22.42900276184082,56147,invasores,NOUN,36.023956298828125,56147
131,invading,VERB,20.917234420776367,56147,externos,ADJ,34.52645492553711,56147
132,from,ADP,22.77293586730957,56147,para,ADP,34.4666748046875,56147
133,the,DET,21.140750885009766,56147,0,0,0.0,0
134,outside,NOUN,18.65385627746582,56147,0,0,0.0,0
135,.,PUNCT,22.44258689880371,56147,.,PUNCT,32.87043762207031,56147
136,So,ADV,20.207670211791992,59962,Es,NOUN,33.57216262817383,59962
137,job,NOUN,21.308799743652344,59962,decir,NOUN,34.59601593017578,59962
138,0,0,0.0,0,",",PUNCT,30.145782470703125,59962
139,its,DET,23.028438568115234,59962,su,DET,35.266292572021484,59962
140,to,PART,24.44698715209961,59962,función,NOUN,33.54337692260742,59962
141,is,AUX,22.30583953857422,59962,es,AUX,33.399330139160156,59962
142,kill,VERB,26.172033309936523,59962,eliminar,VERB,34.88945770263672,59962
143,bacteria,NOUN,21.604686737060547,59962,bacterias,NOUN,33.656158447265625,59962
144,and,CCONJ,23.81310272216797,59962,y,CONJ,34.07897186279297,59962
145,viruses,NOUN,22.37763786315918,59962,virus,NOUN,32.916664123535156,59962
146,.,PUNCT,22.00762367248535,59962,.,PUNCT,32.28919219970703,59962
147,the,DET,22.631752014160156,63479,El,DET,36.15181350708008,63479
148,reason,NOUN,20.25724983215332,63479,sistema,NOUN,34.05718231201172,63479
149,immune,ADJ,19.044893264770508,63479,inmunitario,ADJ,33.03860855102539,63479
150,And,CCONJ,19.12027931213379,63479,tiene,VERB,33.50741195678711,63479
151,system,NOUN,21.992786407470703,63479,problemas,NOUN,34.95859909057617,63479
152,has,AUX,23.789287567138672,63479,con,ADP,34.46751022338867,63479
153,the,DET,20.308738708496094,63479,la,DET,34.021156311035156,63479
154,trouble,NOUN,21.93869972229004,63479,mayoría,NOUN,31.416805267333984,63479
155,with,ADP,21.914113998413086,63479,de,ADP,30.530054092407227,63479
156,most,ADJ,22.30891990661621,63479,los,DET,35.06766128540039,63479
157,cancers,NOUN,20.969932556152344,63479,cánceres,NOUN,36.6326789855957,63479
158,is,AUX,20.902389526367188,66847,no,ADV,36.13662338256836,66847
159,that,SCONJ,21.396135330200195,66847,porque,SCONJ,35.5769157409668,66847
160,it,PRON,24.94734001159668,66847,se,PRON,34.71961212158203,66847
161,does,AUX,25.985538482666016,66847,0,0,0.0,0
162,n't,PART,25.899206161499023,66847,0,0,0.0,0
163,invade,VERB,22.072406768798828,66847,trata,VERB,36.31959915161133,66847
164,from,ADP,21.292724609375,66847,de,ADP,31.555994033813477,66847
165,the,DET,21.22150230407715,66847,externos,ADJ,34.294864654541016,66847
166,outside,NOUN,19.308042526245117,66847,invasores,NOUN,34.72682571411133,66847
167,;,PUNCT,19.447477340698242,66847,",",PUNCT,31.35089683532715,66847
168,0,0,0.0,0,sino,CONJ,33.777198791503906,70315
169,from,ADP,21.671754837036133,70315,de,ADP,31.5332088470459,70315
170,it,PRON,22.472272872924805,70315,algo,PRON,33.4212532043457,70315
171,0,0,0.0,0,que,PRON,32.61178207397461,70315
172,0,0,0.0,0,se,PRON,32.04912567138672,70315
173,evolves,VERB,22.679187774658203,70315,origina,VERB,33.34349822998047,70315
174,0,0,0.0,0,en,ADP,32.91841125488281,70315
175,its,DET,24.70733070373535,70315,las,DET,33.19379425048828,70315
176,cells,NOUN,23.1929988861084,70315,células,NOUN,35.7605094909668,70315
177,own,ADJ,22.148183822631836,70315,propias,ADJ,37.12734603881836,70315
178,.,PUNCT,21.367700576782227,70315,.,PUNCT,33.7617301940918,70315
179,And,CCONJ,20.068321228027344,74337,0,0,0.0,0
180,so,ADV,19.12531089782715,74337,bien,ADV,32.97964859008789,74337
181,either,CCONJ,20.037336349487305,74337,o,CONJ,33.136634826660156,74337
182,the,DET,21.033008575439453,74337,El,DET,36.165435791015625,74337
183,immune,ADJ,19.4487361907959,74337,inmunitario,ADJ,34.09231948852539,74337
184,system,NOUN,21.623023986816406,74337,sistema,NOUN,33.769813537597656,74337
185,does,AUX,23.946985244750977,74337,no,ADV,32.391990661621094,74337
186,not,PART,24.688583374023438,74337,al,ADP,33.80746078491211,74337
187,recognize,VERB,24.967390060424805,74337,identifica,VERB,34.87166976928711,74337
188,the,DET,21.591764450073242,74337,un,DET,38.04256820678711,74337
189,cancer,NOUN,19.56031608581543,74337,cáncer,NOUN,33.639488220214844,74337
190,as,SCONJ,21.757352828979492,74337,como,SCONJ,35.55613708496094,74337
191,a,DET,23.577857971191406,74337,0,0,0.0,0
192,problem,NOUN,20.00424575805664,74337,problema,NOUN,32.83503723144531,74337
193,",",PUNCT,21.336015701293945,74337,",",PUNCT,29.369300842285156,74337
194,or,CCONJ,21.055465698242188,78568,o,CONJ,33.64781951904297,78568
195,attacks,VERB,22.719236373901367,78568,ataca,VERB,33.37750244140625,78568
196,it,PRON,22.403730392456055,78568,tanto,ADV,36.21616744995117,78568
197,a,DET,22.731271743774414,78568,al,ADP,33.20436477661133,78568
198,cancer,NOUN,19.08582305908203,78568,cáncer,NOUN,32.27210235595703,78568
199,and,CCONJ,21.868228912353516,78568,como,SCONJ,33.848873138427734,78568
200,also,ADV,21.475318908691406,78568,a,ADP,34.52779006958008,78568
201,our,DET,22.429357528686523,78568,las,DET,33.8030891418457,78568
202,cells,NOUN,22.452960968017578,78568,células,NOUN,35.58897018432617,78568
203,normal,ADJ,22.159761428833008,78568,saludables,ADJ,34.078861236572266,78568
204,",",PUNCT,20.892587661743164,78568,",",PUNCT,32.47935104370117,78568
205,leading,VERB,20.598295211791992,81877,provocando,VERB,33.6282958984375,81877
206,to,ADP,22.315610885620117,81877,así,ADV,36.89802169799805,81877
207,diseases,NOUN,22.79696273803711,81877,enfermedades,NOUN,33.61264419555664,81877
208,autoimmune,VERB,22.239582061767578,81877,autoinmunitarias,ADJ,36.848388671875,81877
209,like,SCONJ,20.158100128173828,81877,como,SCONJ,35.6757926940918,83959
210,colitis,NOUN,20.392732620239258,81877,colitis,PROPN,31.881380081176758,83959
211,or,CCONJ,25.89057731628418,81877,o,CONJ,33.34299087524414,83959
212,sclerosis,NOUN,20.076515197753906,81877,esclerosis,NOUN,31.91013526916504,83959
213,multiple,ADJ,19.040508270263672,81877,múltiple,ADJ,30.810171127319336,83959
214,.,PUNCT,22.18943214416504,81877,.,PUNCT,33.56438064575195,83959
215,So,ADV,19.525440216064453,86991,¿,PUNCT,30.91021156311035,86991
216,how,ADV,21.605188369750977,86991,Cómo,PRON,32.87101364135742,86991
217,do,AUX,23.035621643066406,86991,solucionar,VERB,35.49350357055664,86991
218,you,PRON,24.31431007385254,86991,esto,PRON,34.537933349609375,86991
219,get,AUX,24.385950088500977,86991,0,0,0.0,0
220,around,ADP,24.08368682861328,86991,0,0,0.0,0
221,that,DET,20.708078384399414,86991,0,0,0.0,0
222,?,PUNCT,22.16868782043457,86991,?,PUNCT,32.63855743408203,86991
223,Our,DET,22.38340950012207,88814,Nuestra,DET,31.139787673950195,88814
224,answer,NOUN,22.973669052124023,88814,respuesta,NOUN,32.457786560058594,88814
225,turned,VERB,25.30449867248535,88814,0,0,0.0,0
226,out,ADP,21.53822898864746,88814,los,DET,36.29753112792969,88814
