,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Good,ADJ,19.32961082458496,12160,Buenos,ADJ,33.18754577636719,12160
1,morning,NOUN,18.127838134765625,12160,días,NOUN,33.992881774902344,12160
2,.,PUNCT,21.791719436645508,12160,.,PUNCT,32.010318756103516,12160
3,Let,VERB,22.083070755004883,14160,Miremos,VERB,31.953126907348633,14160
4,look,VERB,25.684104919433594,14160,por,ADP,32.42055892944336,14160
5,a,DET,21.981855392456055,14160,un,DET,35.104408264160156,14160
6,minute,NOUN,19.262269973754883,14160,instante,NOUN,33.23267364501953,14160
7,for,ADP,20.084842681884766,14160,a,ADP,33.65011215209961,14160
8,'s,PRON,22.099979400634766,14160,uno,PRON,33.281829833984375,14160
9,at,ADP,21.80373764038086,14160,de,ADP,30.77351951599121,14160
10,the,DET,19.57640838623047,14160,los,DET,34.5892448425293,14160
11,0,0,0.0,0,más,ADV,34.993404388427734,14160
12,greatest,ADJ,20.976722717285156,14160,grandes,ADJ,35.085567474365234,14160
13,icon,NOUN,19.040315628051758,14160,íconos,NOUN,35.209495544433594,14160
14,of,ADP,23.455408096313477,14160,de,ADP,31.12525177001953,14160
15,all,DET,21.346940994262695,14160,todos,PRON,30.780807495117188,14160
16,",",PUNCT,19.15489959716797,14160,",",PUNCT,32.105812072753906,14160
17,Leonardo,PROPN,21.81254768371582,14160,Leonardo,PROPN,32.19034194946289,14160
18,da,PROPN,19.547731399536133,14160,da,ADP,31.009531021118164,14160
19,Vinci,PROPN,22.71086311340332,14160,Vinci,PROPN,36.805660247802734,14160
20,.,PUNCT,20.649272918701172,14160,.,PUNCT,31.49117088317871,14160
21,We,PRON,23.49098014831543,19160,Todos,PRON,29.86017417907715,19160
22,'re,AUX,22.10334587097168,19160,estamos,AUX,34.2413330078125,19160
23,all,ADV,22.939006805419922,19160,0,0,0.0,0
24,familiar,ADJ,21.72475814819336,19160,familiarizados,ADJ,34.928585052490234,19160
25,with,ADP,21.417129516601562,19160,con,ADP,33.63977813720703,19160
26,his,DET,24.524152755737305,19160,su,DET,33.3118782043457,19160
27,fantastic,ADJ,20.225645065307617,19160,fantástico,ADJ,32.6279296875,19160
28,work,NOUN,20.2730655670166,19160,trabajo,NOUN,32.222904205322266,19160
29,--,PUNCT,20.284011840820312,19160,",",PUNCT,30.3131103515625,19160
30,his,DET,24.078594207763672,22160,sus,DET,32.50476837158203,22160
31,drawings,NOUN,19.223529815673828,22160,dibujos,NOUN,34.60520935058594,22160
32,",",PUNCT,21.076276779174805,22160,",",PUNCT,30.367578506469727,22160
33,his,DET,23.90327262878418,22160,sus,DET,31.974355697631836,22160
34,paintings,NOUN,20.099790573120117,22160,pinturas,NOUN,34.08259582519531,22160
35,",",PUNCT,20.99422264099121,22160,",",PUNCT,30.064228057861328,22160
36,his,DET,23.407651901245117,22160,sus,DET,32.4897346496582,22160
37,inventions,NOUN,19.49967384338379,22160,inventos,NOUN,33.814300537109375,22160
38,",",PUNCT,22.790287017822266,22160,",",PUNCT,30.702289581298828,22160
39,his,DET,23.170127868652344,22160,sus,DET,32.801963806152344,22160
40,writings,NOUN,21.159160614013672,22160,escritos,NOUN,34.94956970214844,22160
41,.,PUNCT,21.071292877197266,22160,.,PUNCT,33.06989288330078,22160
42,But,CCONJ,22.126976013183594,25160,Pero,CONJ,33.491554260253906,25160
43,we,PRON,25.63023567199707,25160,no,ADV,33.726226806640625,25160
44,do,AUX,22.067495346069336,25160,0,0,0.0,0
45,not,PART,23.543254852294922,25160,0,0,0.0,0
46,know,VERB,22.85704803466797,25160,conocemos,VERB,35.870521545410156,25160
47,his,DET,23.123130798339844,25160,su,DET,34.10379409790039,25160
48,face,NOUN,21.328325271606445,25160,rostro,NOUN,32.90448760986328,25160
49,.,PUNCT,21.839580535888672,25160,.,PUNCT,33.16018295288086,25160
50,Thousands,NOUN,21.86745262145996,27160,Miles,NUM,33.229305267333984,27160
51,of,ADP,21.156545639038086,27160,de,ADP,32.156070709228516,27160
52,books,NOUN,22.14539337158203,27160,libros,NOUN,33.297935485839844,27160
53,have,AUX,21.559598922729492,27160,se,PRON,33.32582092285156,27160
54,been,AUX,25.023242950439453,27160,han,AUX,35.40629577636719,27160
55,written,VERB,24.735666275024414,27160,escrito,VERB,33.69089126586914,27160
56,0,0,0.0,0,acerca,ADV,35.46376419067383,27160
57,about,ADP,23.39435386657715,27160,de,ADP,33.831295013427734,27160
58,him,PRON,24.380884170532227,27160,él,PRON,29.978008270263672,27160
59,",",PUNCT,20.565805435180664,27160,",",PUNCT,30.37371063232422,27160
60,but,CCONJ,21.675491333007812,30160,pero,CONJ,34.09282684326172,30160
61,there,PRON,23.69923973083496,30160,sigue,VERB,35.80807876586914,30160
62,'s,AUX,20.46946144104004,30160,vigente,ADJ,34.12015151977539,30160
63,controversy,NOUN,18.616241455078125,30160,controversia,NOUN,31.83940315246582,30160
