,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,When,ADV,23.168216705322266,13722,De,ADP,33.94297409057617,13722
1,I,PRON,25.083349227905273,13722,niña,NOUN,29.16432762145996,13722
2,was,AUX,24.189685821533203,13722,tenía,VERB,34.938499450683594,13722
3,a,DET,24.895174026489258,13722,la,DET,33.11292266845703,13722
4,kid,NOUN,19.081830978393555,13722,miedo,NOUN,31.785917282104492,13722
5,",",PUNCT,21.282997131347656,13722,",",PUNCT,31.78190803527832,13722
6,I,PRON,24.266624450683594,13722,0,0,0.0,0
7,was,AUX,25.1864013671875,13722,0,0,0.0,0
8,afraid,ADJ,21.558364868164062,13722,0,0,0.0,0
9,of,ADP,21.995882034301758,13722,a,ADP,32.96636962890625,13722
10,the,DET,21.115962982177734,13722,0,0,0.0,0
11,dark,NOUN,19.02507781982422,13722,oscuridad,NOUN,31.988222122192383,13722
12,.,PUNCT,21.321889877319336,13722,.,PUNCT,33.22620391845703,13722
13,The,DET,21.81962776184082,18032,La,DET,34.55905532836914,18032
14,darkness,NOUN,19.613988876342773,18032,oscuridad,NOUN,33.322792053222656,18032
15,is,AUX,25.26401138305664,18032,es,AUX,34.76502990722656,18032
16,where,ADV,21.181339263916016,18032,donde,PRON,30.765350341796875,18032
17,the,DET,21.52033805847168,18032,los,DET,36.2131462097168,18032
18,monsters,NOUN,22.25246810913086,18032,monstruos,NOUN,35.452476501464844,18032
19,are,AUX,21.937477111816406,18032,están,VERB,36.87077713012695,18032
20,.,PUNCT,20.382259368896484,18032,.,PUNCT,32.03151321411133,18032
21,And,CCONJ,20.306211471557617,21540,Y,CONJ,34.04438400268555,21540
22,I,PRON,24.444026947021484,21540,tenía,VERB,37.043617248535156,21540
23,had,AUX,23.904375076293945,21540,de,ADP,31.602996826171875,21540
24,this,DET,24.456464767456055,21540,esa,DET,34.34153747558594,21540
25,little,ADJ,20.509098052978516,21540,pequeña,ADJ,35.96433639526367,21540
26,night,NOUN,19.37009048461914,21540,luz,NOUN,31.6964054107666,21540
27,light,NOUN,20.289094924926758,21540,noche,NOUN,30.91649055480957,21540
28,outside,ADV,19.502485275268555,21540,fuera,ADV,32.04061508178711,21540
29,of,ADP,23.506635665893555,21540,de,ADP,30.151845932006836,21540
30,my,DET,19.813623428344727,21540,mi,DET,34.715824127197266,21540
31,bedroom,NOUN,19.163915634155273,21540,habitación,NOUN,31.159055709838867,21540
32,so,SCONJ,18.917430877685547,26671,para,ADP,35.72614288330078,26671
33,that,SCONJ,21.275049209594727,26671,que,SCONJ,33.666351318359375,26671
34,it,PRON,25.599308013916016,26671,se,PRON,31.839508056640625,26671
35,would,VERB,25.45290756225586,26671,oscureciera,VERB,34.71352005004883,26671
36,never,ADV,26.391281127929688,26671,nunca,ADV,34.9901237487793,26671
37,get,AUX,25.4567928314209,26671,0,0,0.0,0
38,too,ADV,22.88054847717285,26671,demasiado,ADV,34.702030181884766,26671
39,dark,ADJ,24.310665130615234,26671,0,0,0.0,0
40,.,PUNCT,22.370798110961914,26671,.,PUNCT,33.724853515625,26671
41,But,CCONJ,22.192543029785156,29973,Pero,CONJ,32.03828430175781,29973
42,over,ADP,20.207794189453125,29973,con,ADP,32.091922760009766,29973
43,0,0,0.0,0,el,DET,33.317623138427734,29973
44,time,NOUN,19.10407066345215,29973,tiempo,NOUN,32.06220626831055,29973
45,",",PUNCT,21.60320472717285,29973,",",PUNCT,29.854278564453125,29973
46,my,DET,20.105775833129883,29973,mi,DET,32.76382064819336,29973
47,fear,NOUN,21.172739028930664,29973,miedo,NOUN,30.75690460205078,29973
48,of,ADP,22.14430809020996,29973,a,ADP,33.034812927246094,29973
49,the,DET,21.88726234436035,29973,la,DET,33.04579544067383,29973
50,dark,NOUN,19.64798927307129,29973,oscuridad,NOUN,31.957447052001953,29973
51,0,0,0.0,0,se,PRON,31.474716186523438,29973
52,turned,VERB,20.741199493408203,29973,convirtió,VERB,37.76848602294922,29973
