,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,This,DET,21.735191345214844,14048,Este,PRON,32.40241241455078,14048
1,one,NOUN,21.608501434326172,14048,es,AUX,31.223846435546875,14048
2,'s,PART,22.898435592651367,14048,personal,ADJ,34.67069625854492,14048
3,personal,NOUN,19.675392150878906,14048,0,0,0.0,0
4,.,PUNCT,21.623947143554688,14048,.,PUNCT,33.10763168334961,14048
5,I,PRON,25.111661911010742,17309,Sé,AUX,31.138765335083008,17309
6,know,VERB,24.583309173583984,17309,lo,DET,33.141597747802734,17309
7,what,PRON,21.237972259521484,17309,que,PRON,33.42582321166992,17309
8,it,PRON,23.4096622467041,17309,0,0,0.0,0
9,'s,AUX,22.647924423217773,17309,hacer,AUX,35.5504035949707,17309
10,like,ADJ,19.84317970275879,17309,que,SCONJ,32.8265380859375,17309
11,to,PART,22.92613410949707,17309,gobierno,PROPN,31.3887996673584,17309
12,have,AUX,24.204017639160156,17309,es,AUX,35.39280700683594,17309
13,the,DET,22.88273048400879,17309,el,DET,35.72455596923828,17309
14,government,NOUN,20.263385772705078,17309,0,0,0.0,0
15,say,VERB,21.632450103759766,17309,diga,VERB,33.0062141418457,17309
16,",",PUNCT,20.595006942749023,17309,:,PUNCT,31.71854591369629,17309
17,"""",PUNCT,21.190404891967773,20620,"""",PUNCT,32.830074310302734,20620
18,We,PRON,23.936979293823242,20620,Te,PRON,29.17807960510254,20620
19,'re,AUX,23.864469528198242,20620,vamos,AUX,33.308536529541016,20620
20,going,VERB,25.84238052368164,20620,a,ADP,34.832740783691406,20620
21,to,PART,23.555191040039062,20620,0,0,0.0,0
22,kill,VERB,26.0403995513916,20620,matar,VERB,36.842830657958984,20620
23,you,PRON,23.310651779174805,20620,0,0,0.0,0
24,in,ADP,21.337196350097656,20620,en,ADP,33.04816436767578,20620
25,the,DET,23.450542449951172,20620,la,DET,32.85458755493164,20620
26,morning,NOUN,17.270950317382812,20620,mañana,NOUN,31.23682403564453,20620
27,.,PUNCT,19.36170196533203,20620,.,PUNCT,33.37214279174805,20620
28,"""",PUNCT,20.843896865844727,20620,"""",PUNCT,32.49309539794922,20620
29,I,PRON,25.111661911010742,24314,Sé,AUX,31.11979866027832,24314
30,know,VERB,24.583309173583984,24314,lo,DET,33.19957733154297,24314
31,what,PRON,21.237972259521484,24314,que,PRON,33.350608825683594,24314
32,it,PRON,23.410598754882812,24314,0,0,0.0,0
33,'s,AUX,22.735898971557617,24314,es,AUX,35.40587615966797,24314
34,like,ADJ,20.07978057861328,24314,de,ADP,32.04405975341797,24314
35,to,PART,24.556669235229492,24314,con,ADP,34.22575759887695,24314
36,leave,VERB,24.703149795532227,24314,salir,VERB,36.26082229614258,24314
37,a,DET,21.770145416259766,24314,un,DET,35.25755310058594,24314
38,country,NOUN,21.376195907592773,24314,país,NOUN,31.873756408691406,24314
39,on,ADP,20.497941970825195,24314,de,ADP,33.93296813964844,24314
40,six,NUM,24.180591583251953,24314,seis,NUM,33.99831771850586,24314
41,hours,NOUN,20.758920669555664,24314,anticipación,NOUN,30.75133514404297,24314
42,',PART,21.83702278137207,24314,0,0,0.0,0
43,notice,NOUN,19.075902938842773,24314,horas,NOUN,34.820289611816406,24314
