,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Unless,SCONJ,22.479703903198242,12160,Si,SCONJ,34.69430160522461,12160
1,we,PRON,24.70328140258789,12160,no,ADV,35.69382858276367,12160
2,do,AUX,24.017013549804688,12160,hacemos,VERB,36.33091735839844,12160
3,something,PRON,23.315109252929688,12160,nada,PRON,34.59640884399414,12160
4,to,PART,23.420305252075195,12160,para,ADP,34.675819396972656,12160
5,prevent,VERB,25.94554901123047,12160,evitarlo,VERB,35.717628479003906,12160
6,it,PRON,21.084884643554688,12160,0,0,0.0,0
7,",",PUNCT,20.986888885498047,12160,",",PUNCT,30.643648147583008,12160
8,over,ADP,20.68730926513672,14160,en,ADP,33.95811462402344,14160
9,the,DET,20.495161056518555,14160,los,DET,34.07590103149414,14160
10,next,ADJ,19.712421417236328,14160,próximos,NOUN,32.338314056396484,14160
11,40,NUM,22.20941925048828,14160,40,NUM,33.21653747558594,14160
12,years,NOUN,22.933603286743164,14160,años,NOUN,37.30575180053711,14160
13,were,ADP,18.336284637451172,14160,0,0,0.0,0
14,facing,VERB,25.680221557617188,14160,tendremos,VERB,31.731672286987305,14160
15,an,DET,21.17279624938965,14160,una,DET,33.98233413696289,14160
16,epidemic,NOUN,19.8625431060791,14160,epidemia,NOUN,33.184715270996094,14160
17,of,ADP,22.081153869628906,17160,de,ADP,31.1616268157959,17160
18,neurologic,ADJ,20.332164764404297,17160,neurológicas,ADJ,34.23833084106445,17160
19,diseases,NOUN,21.93606948852539,17160,enfermedades,NOUN,35.15127944946289,17160
20,on,ADP,21.930877685546875,17160,a,ADP,30.59590721130371,17160
21,a,DET,20.58515167236328,17160,0,0,0.0,0
22,global,ADJ,20.92998695373535,17160,global,ADJ,33.78673553466797,17160
23,scale,NOUN,20.216432571411133,17160,escala,NOUN,30.589441299438477,17160
24,.,PUNCT,20.791872024536133,17160,.,PUNCT,33.597660064697266,17160
25,A,DET,22.49956512451172,20160,Un,DET,34.52233123779297,20160
26,thought,NOUN,19.683956146240234,20160,pronóstico,NOUN,33.6404914855957,20160
27,0,0,0.0,0,muy,ADV,37.70252990722656,20160
28,cheery,ADJ,19.330698013305664,20160,alentador,ADJ,36.3033332824707,20160
29,.,PUNCT,20.740907669067383,20160,.,PUNCT,32.26704788208008,20160
30,On,ADP,21.94098663330078,24160,En,ADP,32.072784423828125,24160
31,this,DET,25.013792037963867,24160,este,DET,35.14617156982422,24160
32,map,NOUN,19.18848419189453,24160,mapa,NOUN,29.292245864868164,24160
33,",",PUNCT,21.675167083740234,24160,",",PUNCT,29.756431579589844,24160
34,every,DET,20.588558197021484,24160,cada,DET,34.76541519165039,24160
35,country,NOUN,18.963245391845703,24160,país,NOUN,31.28754234313965,24160
36,0,0,0.0,0,pintado,ADJ,35.33882141113281,24160
37,colored,VERB,20.364980697631836,24160,de,ADP,30.73517417907715,24160
38,thats,PROPN,22.479673385620117,24160,azul,PROPN,30.954742431640625,24160
39,blue,NOUN,19.15550994873047,24160,",",PUNCT,30.347917556762695,24160
40,has,AUX,20.136703491210938,27160,tiene,VERB,36.69990158081055,27160
41,more,ADJ,20.39647102355957,27160,mayor,ADJ,34.436981201171875,27160
42,than,SCONJ,22.95529556274414,27160,más,ADV,36.93461227416992,27160
43,20,NUM,22.547134399414062,27160,20,NUM,32.455116271972656,27160
44,percent,NOUN,22.802064895629883,27160,%,SYM,32.04499053955078,27160
45,of,ADP,23.727914810180664,27160,de,ADP,32.45405960083008,27160
46,its,DET,22.926815032958984,27160,su,DET,34.94038772583008,27160
47,population,NOUN,21.866994857788086,27160,población,NOUN,31.673383712768555,27160
48,over,ADP,20.148229598999023,27160,del,ADP,34.6939582824707,27160
49,the,DET,23.000085830688477,27160,0,0,0.0,0
50,age,NOUN,19.580923080444336,27160,años,NOUN,36.04610061645508,27160
51,of,ADP,23.19938850402832,27160,de,ADP,33.31767654418945,27160
52,65,NUM,21.406972885131836,27160,65,NUM,36.13872146606445,27160
53,.,PUNCT,22.053701400756836,27160,.,PUNCT,33.246925354003906,27160
54,0,0,0.0,0,Este,PRON,32.4508056640625,31160
55,is,AUX,24.41312599182129,31160,es,AUX,30.46295166015625,31160
56,the,DET,22.05006217956543,31160,el,DET,34.569366455078125,31160
57,world,NOUN,19.233469009399414,31160,mundo,NOUN,30.613813400268555,31160
58,in,ADP,20.971036911010742,31160,en,ADP,31.77934455871582,31160
59,This,DET,23.596261978149414,31160,el,DET,34.45225524902344,31160
60,we,PRON,24.430492401123047,31160,que,PRON,33.35643768310547,31160
61,live,VERB,23.88924217224121,31160,vivimos,VERB,33.770050048828125,31160
62,.,PUNCT,21.756895065307617,31160,",",PUNCT,30.7076473236084,31160
63,And,CCONJ,20.22068977355957,33160,y,CONJ,33.98744201660156,33160
64,this,DET,23.59680938720703,33160,este,PRON,31.92230796813965,33160
65,is,AUX,24.708147048950195,33160,es,AUX,31.282150268554688,33160
66,the,DET,21.586563110351562,33160,el,DET,34.89957809448242,33160
67,world,NOUN,18.150117874145508,33160,mundo,NOUN,30.60574722290039,33160
68,in,ADP,20.833866119384766,33160,en,ADP,31.765260696411133,33160
69,your,DET,22.534971237182617,33160,el,DET,34.03007125854492,33160
70,will,VERB,27.139686584472656,33160,que,PRON,33.3953971862793,33160
71,live,VERB,22.920703887939453,33160,vivirán,VERB,34.67255401611328,33160
72,0,0,0.0,0,nuestros,DET,33.59003448486328,33160
73,children,NOUN,21.972341537475586,33160,hijos,NOUN,36.178653717041016,33160
74,.,PUNCT,21.95485496520996,33160,.,PUNCT,33.33256530761719,33160
75,For,ADP,21.267322540283203,37160,Durante,ADP,32.47442626953125,37160
76,"12,000",NUM,23.3204288482666,37160,"12,000",NUM,33.910133361816406,37160
77,years,NOUN,21.877492904663086,37160,años,NOUN,34.89323425292969,37160
78,",",PUNCT,20.852697372436523,37160,",",PUNCT,31.498727798461914,37160
79,the,DET,20.740802764892578,37160,la,DET,34.66211700439453,37160
80,distribution,NOUN,18.897689819335938,37160,distribución,NOUN,31.96261215209961,37160
81,of,ADP,22.6143798828125,37160,de,ADP,30.26829719543457,37160
82,the,DET,22.807743072509766,37160,la,DET,33.66172790527344,37160
83,ages,NOUN,20.496417999267578,37160,edad,NOUN,30.174530029296875,37160
84,in,ADP,21.399154663085938,37160,en,ADP,30.653966903686523,37160
85,population,NOUN,20.383581161499023,37160,población,NOUN,31.622026443481445,37160
86,human,ADJ,19.76858139038086,37160,humana,ADJ,35.365760803222656,37160
87,has,AUX,21.06218910217285,41160,ha,AUX,35.81098937988281,41160
88,looked,VERB,21.229026794433594,41160,sido,AUX,33.808956146240234,41160
89,like,SCONJ,19.39459800720215,41160,como,SCONJ,34.31850051879883,41160
90,a,DET,21.39030647277832,41160,una,DET,32.549591064453125,41160
91,pyramid,NOUN,17.98041534423828,41160,pirámide,NOUN,30.56903839111328,41160
92,",",PUNCT,19.867673873901367,41160,",",PUNCT,32.44466018676758,41160
93,with,ADP,20.224056243896484,41160,con,ADP,31.938657760620117,41160
94,the,DET,20.69930076599121,41160,los,DET,36.48842239379883,41160
95,oldest,ADJ,24.34519386291504,41160,0,0,0.0,0
96,on,ADP,19.91409683227539,41160,arriba,ADV,33.62774658203125,41160
97,top,NOUN,17.714923858642578,41160,ancianos,NOUN,36.2088737487793,41160
98,.,PUNCT,20.512718200683594,41160,.,PUNCT,33.22954559326172,41160
99,Its,PROPN,20.449052810668945,44160,Pero,CONJ,33.57003402709961,44160
100,already,ADV,22.077041625976562,44160,ahora,ADV,33.505130767822266,44160
101,0,0,0.0,0,esta,DET,33.604591369628906,44160
102,out,ADP,21.38797950744629,44160,pirámide,NOUN,32.20453643798828,44160
103,0,0,0.0,0,está,AUX,35.6033935546875,44160
