,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,It,PRON,24.260221481323242,12667,todos,PRON,33.53632354736328,12667
1,may,VERB,23.94095802307129,12667,Parecería,AUX,31.02819061279297,12667
2,seem,VERB,22.622785568237305,12667,0,0,0.0,0
3,like,SCONJ,20.863412857055664,12667,que,SCONJ,31.714981079101562,12667
4,we,PRON,22.966508865356445,12667,parados,ADJ,33.85521697998047,12667
5,'re,AUX,22.606107711791992,12667,estamos,AUX,33.8074951171875,12667
6,all,DET,22.936664581298828,12667,0,0,0.0,0
7,standing,VERB,22.19608497619629,12667,0,0,0.0,0
8,on,ADP,20.64114761352539,12667,en,ADP,34.41606521606445,12667
9,solid,ADJ,19.158355712890625,12667,firme,ADJ,32.63328170776367,12667
10,earth,NOUN,20.128524780273438,12667,tierra,NOUN,33.611839294433594,12667
11,right,ADV,23.288328170776367,12667,ahora,ADV,33.918087005615234,12667
12,now,ADV,25.56542205810547,12667,0,0,0.0,0
13,",",PUNCT,21.078250885009766,12667,",",PUNCT,31.250030517578125,12667
14,but,CCONJ,21.72650146484375,15977,pero,CONJ,32.456878662109375,15977
15,we,PRON,24.297170639038086,15977,lo,PRON,31.297040939331055,15977
16,'re,AUX,22.628498077392578,15977,no,ADV,34.92558670043945,15977
17,not,PART,20.105783462524414,15977,estamos,VERB,33.40834426879883,15977
18,.,PUNCT,22.292871475219727,15977,.,PUNCT,32.91780471801758,15977
19,The,DET,21.822397232055664,17753,Las,DET,29.841495513916016,17753
20,rocks,NOUN,22.09185218811035,17753,rocas,NOUN,33.81166076660156,17753
21,and,CCONJ,21.242048263549805,17753,y,CONJ,33.18973922729492,17753
22,the,DET,18.552797317504883,17753,la,DET,34.38703536987305,17753
23,dirt,NOUN,19.038131713867188,17753,tierra,NOUN,30.390886306762695,17753
24,underneath,ADP,20.124011993408203,17753,de,ADP,31.611703872680664,17753
25,us,PRON,22.760974884033203,17753,nosotros,PRON,31.738414764404297,17753
26,are,AUX,23.431486129760742,17753,están,AUX,35.92267608642578,17753
27,crisscrossed,VERB,21.36712074279785,17753,debajo,ADV,31.633291244506836,17753
28,by,ADP,23.372886657714844,17753,con,ADP,34.61183166503906,17753
29,tiny,ADJ,19.57303237915039,17753,entrecruzadas,ADJ,33.36454391479492,17753
30,little,ADJ,18.956005096435547,17753,pequeñas,ADJ,36.013671875,17753
31,fractures,NOUN,20.700597763061523,17753,fracturas,NOUN,33.596187591552734,17753
32,and,CCONJ,18.772140502929688,22174,y,CONJ,33.45767593383789,22174
33,empty,ADJ,20.388643264770508,22174,vacíos,ADJ,35.770660400390625,22174
34,spaces,NOUN,21.238832473754883,22174,espacios,NOUN,34.57970428466797,22174
35,.,PUNCT,20.296630859375,22174,.,PUNCT,31.455509185791016,22174
36,And,CCONJ,21.03673553466797,23597,Y,CONJ,32.69316482543945,23597
37,these,DET,21.49884033203125,23597,esos,DET,32.278419494628906,23597
38,empty,ADJ,19.77022361755371,23597,vacíos,ADJ,35.541343688964844,23597
39,spaces,NOUN,22.577245712280273,23597,espacios,NOUN,35.14656448364258,23597
40,are,AUX,24.589393615722656,23597,están,AUX,34.056522369384766,23597
41,filled,VERB,23.447772979736328,23597,llenos,ADJ,35.85309600830078,23597
42,with,ADP,23.484947204589844,23597,de,ADP,30.780426025390625,23597
43,astronomical,ADJ,20.472143173217773,23597,astronómicas,ADJ,34.52464294433594,23597
44,quantities,NOUN,22.124286651611328,23597,cantidades,NOUN,35.13339614868164,23597
45,of,ADP,23.271345138549805,23597,de,ADP,31.721242904663086,23597
46,microbes,NOUN,19.6448974609375,23597,microbios,NOUN,31.639280319213867,23597
47,",",PUNCT,21.064682006835938,23597,",",PUNCT,30.331993103027344,23597
48,such,ADJ,20.106313705444336,28550,0,0,0.0,0
49,as,SCONJ,23.980602264404297,28550,como,SCONJ,35.101890563964844,28550
50,these,DET,24.053007125854492,28550,estos,PRON,32.8730583190918,28550
51,ones,NOUN,19.36575698852539,28550,0,0,0.0,0
52,.,PUNCT,20.5677433013916,28550,.,PUNCT,32.152339935302734,28550
53,The,DET,19.82353401184082,30866,Lo,DET,31.764829635620117,30866
54,deepest,ADJ,20.603832244873047,30866,profundo,ADJ,34.91841125488281,30866
55,that,DET,22.081043243408203,30866,más,ADV,36.72886657714844,30866
56,we,PRON,24.930259704589844,30866,que,SCONJ,32.332275390625,30866
57,found,VERB,25.772174835205078,30866,encontramos,VERB,34.61425018310547,30866
58,microbes,NOUN,19.719295501708984,30866,microbios,ADJ,32.50200653076172,30866
59,so,ADV,23.025625228881836,30866,hasta,ADP,35.21468734741211,30866
60,far,ADV,23.587608337402344,30866,ahora,ADV,31.724573135375977,30866
61,into,ADP,20.298019409179688,30866,en,ADP,32.7013053894043,30866
62,the,DET,20.985544204711914,30866,la,DET,33.18891525268555,30866
63,earth,NOUN,19.29233169555664,30866,tierra,NOUN,31.537181854248047,30866
64,is,AUX,22.20379638671875,34253,es,AUX,36.36954116821289,34253
65,five,NUM,21.73757553100586,34253,cinco,NUM,32.546295166015625,34253
66,kilometers,NOUN,21.374204635620117,34253,kilómetros,NOUN,36.75813674926758,34253
67,down,ADP,21.925880432128906,34253,hacia,ADP,31.272974014282227,34253
68,0,0,0.0,0,abajo,ADV,34.68339920043945,34253
69,.,PUNCT,22.028282165527344,34253,.,PUNCT,33.40107345581055,34253
70,So,ADV,19.489713668823242,36165,Entonces,ADV,34.979591369628906,36165
71,like,INTJ,21.620290756225586,36165,te,PRON,32.40977478027344,36165
72,",",PUNCT,22.21735954284668,36165,",",PUNCT,30.66864013671875,36165
73,if,SCONJ,21.26749610900879,36165,si,SCONJ,32.40277099609375,36165
74,you,PRON,24.962968826293945,36165,tú,PRON,31.280975341796875,36165
75,pointed,VERB,24.639801025390625,36165,apuntas,VERB,33.447608947753906,36165
76,yourself,PRON,24.312803268432617,36165,mismo,PRON,31.15172576904297,36165
77,at,ADP,22.84255599975586,36165,al,ADP,35.22358322143555,36165
78,the,DET,20.77914810180664,36165,0,0,0.0,0
79,ground,NOUN,17.209333419799805,36165,suelo,NOUN,32.07233428955078,36165
80,and,CCONJ,20.84851837158203,38345,y,CONJ,34.33353805541992,38345
81,took,VERB,24.656883239746094,38345,sales,ADJ,32.03226852416992,38345
82,off,ADP,22.665151596069336,38345,hacia,ADP,34.38983154296875,38345
83,running,VERB,22.070898056030273,38345,corriendo,VERB,34.259525299072266,38345
84,into,ADP,19.944814682006836,38345,0,0,0.0,0
85,the,DET,22.91153907775879,38345,el,DET,35.144554138183594,38345
86,ground,NOUN,19.161945343017578,38345,suelo,NOUN,31.112545013427734,38345
87,",",PUNCT,20.83443260192871,38345,",",PUNCT,29.944915771484375,38345
88,you,PRON,23.976436614990234,40688,podrías,NOUN,33.40678405761719,40688
89,could,VERB,24.325952529907227,40688,correr,VERB,35.78909683227539,40688
90,run,VERB,23.83062171936035,40688,toda,DET,35.16810989379883,40688
91,an,DET,20.79461669921875,40688,una,DET,33.1332893371582,40688
92,entire,ADJ,19.652631759643555,40688,de,ADP,30.734819412231445,40688
93,5,NUM,20.844928741455078,40688,5,NUM,33.12233352661133,40688
94,K,NOUN,20.493703842163086,40688,carrera,NOUN,32.93040084838867,40688
95,race,NOUN,18.09741973876953,40688,K,PROPN,29.70862579345703,40688
96,and,CCONJ,23.91514778137207,40688,y,CONJ,33.07011413574219,40688
97,microbes,NOUN,19.45639991760254,40688,microbios,NOUN,35.09245681762695,40688
98,would,VERB,25.000255584716797,40688,los,DET,35.22136306762695,40688
99,line,VERB,24.959686279296875,40688,alinearían,VERB,33.52217483520508,40688
100,your,DET,23.218507766723633,40688,todo,DET,35.01754379272461,40688
101,whole,ADJ,19.284955978393555,40688,tu,DET,33.05112075805664,40688
102,path,NOUN,20.9935359954834,40688,camino,NOUN,33.18041229248047,40688
103,.,PUNCT,20.771060943603516,40688,.,PUNCT,31.290584564208984,40688
104,So,ADV,19.58426856994629,45044,Puede,AUX,33.11394500732422,45044
105,you,PRON,24.152118682861328,45044,0,0,0.0,0
106,may,VERB,22.441162109375,45044,que,SCONJ,32.32123947143555,45044
107,not,PART,24.472230911254883,45044,0,0,0.0,0
108,have,AUX,23.213321685791016,45044,ser,AUX,35.71815872192383,45044
109,ever,ADV,24.87291717529297,45044,nunca,ADV,37.73366165161133,45044
110,thought,VERB,22.09455108642578,45044,pensaste,VERB,35.02641677856445,45044
111,about,ADP,22.591533660888672,45044,en,ADP,35.478057861328125,45044
112,these,DET,23.30577278137207,45044,estos,DET,34.865760803222656,45044
113,microbes,NOUN,19.805238723754883,45044,microbios,NOUN,34.1259765625,45044
114,that,DET,20.421192169189453,47592,la,DET,32.6086311340332,47592
115,are,AUX,24.42466163635254,47592,están,VERB,35.28361511230469,47592
116,deep,ADJ,22.685882568359375,47592,que,SCONJ,31.831192016601562,47592
117,inside,ADJ,19.435041427612305,47592,terrestre,ADJ,32.02349853515625,47592
