,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,In,ADP,20.898048400878906,12180,Recientemente,ADV,35.357208251953125,12360
1,the,DET,22.010696411132812,12180,0,0,0.0,0
2,last,ADJ,21.702518463134766,12180,0,0,0.0,0
3,couple,NOUN,20.547622680664062,12180,0,0,0.0,0
4,of,ADP,22.84998893737793,12180,0,0,0.0,0
5,years,NOUN,19.857219696044922,12180,0,0,0.0,0
6,",",PUNCT,20.291296005249023,12180,",",PUNCT,30.630481719970703,12360
7,I,PRON,25.16486358642578,13980,produje,NOUN,30.04928970336914,14080
8,have,AUX,23.099668502807617,13980,"""",PUNCT,32.759212493896484,14080
9,produced,VERB,22.718225479125977,13980,La,DET,34.206626892089844,14080
10,what,PRON,20.7764949798584,13980,serie,NOUN,30.235305786132812,14080
11,I,PRON,25.358192443847656,13980,de,ADP,32.23783493041992,14080
12,call,VERB,23.77748680114746,13980,los,DET,35.61798858642578,14080
13,"""",PUNCT,20.326414108276367,13980,centros,NOUN,36.96510696411133,14080
14,The,PROPN,18.746231079101562,13980,comerciales,ADJ,35.215789794921875,14080
15,Dead,PROPN,21.888090133666992,13980,abandonados,ADJ,34.303714752197266,14080
16,Mall,PROPN,21.954145431518555,13980,0,0,0.0,0
17,Series,PROPN,18.983768463134766,13980,0,0,0.0,0
18,",",PUNCT,21.019784927368164,13980,",",PUNCT,30.62737464904785,14080
19,"""",PUNCT,21.758134841918945,13980,"""",PUNCT,31.561809539794922,14080
20,32,NUM,21.365978240966797,16740,con,ADP,34.2409782409668,17086
21,short,ADJ,20.197378158569336,16740,un,DET,33.71636962890625,17086
22,films,NOUN,19.838354110717773,16740,total,NOUN,33.11260986328125,17086
23,and,CCONJ,23.05325698852539,16740,hasta,ADP,34.683963775634766,17086
24,counting,VERB,22.215375900268555,16740,ahora,ADV,33.11997604370117,17086
25,about,ADP,19.205242156982422,16740,de,ADP,31.89873504638672,17086
26,dead,ADJ,21.08979034423828,16740,32,NUM,35.5823860168457,17086
27,malls,NOUN,19.94635581970215,16740,cortometrajes,NOUN,35.601837158203125,17086
28,0,0,0.0,0,sobre,ADP,34.860939025878906,17086
29,0,0,0.0,0,el,DET,34.918174743652344,17086
30,0,0,0.0,0,tema,NOUN,30.109493255615234,17086
31,.,PUNCT,20.628877639770508,16740,.,PUNCT,32.4649772644043,17086
32,Now,ADV,23.397476196289062,19020,no,ADV,34.57964324951172,19896
33,",",PUNCT,21.480592727661133,19020,0,0,0.0,0
34,for,ADP,21.676029205322266,19020,Para,ADP,33.60906982421875,19896
35,those,DET,22.18879508972168,19020,los,DET,37.0240364074707,19896
36,of,ADP,21.841859817504883,19020,con,ADP,32.87031936645508,19896
37,you,PRON,22.02934455871582,19020,que,PRON,35.07115936279297,19896
38,who,PRON,22.37443733215332,19020,que,PRON,31.97927474975586,19896
39,are,AUX,25.8188419342041,19020,estén,AUX,36.1575927734375,19896
40,not,PART,25.89556121826172,19020,0,0,0.0,0
41,familiar,ADJ,22.757186889648438,19020,familiarizados,ADJ,35.73233413696289,19896
42,with,ADP,21.639238357543945,19020,significa,VERB,33.209861755371094,19896
43,what,PRON,19.659488677978516,19020,esto,PRON,33.923336029052734,19896
44,a,DET,20.215959548950195,19020,lo,DET,35.076019287109375,19896
45,dead,ADJ,21.531763076782227,19020,0,0,0.0,0
46,mall,NOUN,20.126070022583008,19020,0,0,0.0,0
47,is,AUX,21.390270233154297,19020,0,0,0.0,0
48,",",PUNCT,20.489418029785156,19020,",",PUNCT,27.480464935302734,19896
49,it,PRON,23.71917152404785,23460,se,PRON,34.74444580078125,23640
50,'s,AUX,21.594284057617188,23460,trata,VERB,37.00883483886719,23640
51,basically,ADV,23.839590072631836,23460,básicamente,ADV,35.299739837646484,23640
52,shopping,NOUN,21.980539321899414,23460,de,ADP,31.861679077148438,23640
53,a,DET,20.951696395874023,23460,un,DET,35.02912139892578,23640
54,mall,NOUN,19.261943817138672,23460,centro,NOUN,32.59020233154297,23640
55,0,0,0.0,0,comercial,ADJ,34.72231674194336,23640
56,that,DET,18.295541763305664,25900,que,PRON,32.31062316894531,26080
57,has,AUX,23.848743438720703,25900,0,0,0.0,0
58,fallen,VERB,22.594253540039062,25900,pasa,VERB,37.41111373901367,26080
59,into,ADP,21.699581146240234,25900,por,ADP,34.213584899902344,26080
60,hard,ADJ,20.2856502532959,25900,difíciles,ADJ,35.36447525024414,26080
61,times,NOUN,19.921483993530273,25900,tiempos,NOUN,35.1005973815918,26080
62,.,PUNCT,20.122169494628906,25900,.,PUNCT,33.42770004272461,26080
63,either,ADV,22.340721130371094,29020,Así,ADV,35.53911590576172,29200
64,So,SCONJ,19.828046798706055,29020,que,SCONJ,32.243900299072266,29200
65,it,PRON,23.808073043823242,29020,tiene,VERB,37.55654525756836,29200
66,has,AUX,24.938682556152344,29020,pocas,DET,37.481536865234375,29200
67,shops,NOUN,21.29589080810547,29020,tiendas,NOUN,34.43196487426758,29200
68,few,ADJ,20.959135055541992,29020,y,CONJ,31.64692497253418,29200
69,and,CCONJ,24.78782844543457,29020,aún,ADV,36.46720504760742,29200
70,fewer,ADJ,20.331069946289062,29020,menos,ADV,35.020511627197266,29200
71,shoppers,NOUN,20.20446014404297,29020,clientes,NOUN,34.09303283691406,29200
72,",",PUNCT,20.17430305480957,29020,",",PUNCT,31.324296951293945,29200
73,or,CCONJ,20.683223724365234,31820,o,CONJ,32.952999114990234,32000
74,'s,AUX,22.090396881103516,31820,fue,AUX,32.585205078125,32000
75,abandoned,VERB,23.596744537353516,31820,abandonado,VERB,33.61924362182617,32000
76,and,CCONJ,21.884363174438477,31820,y,CONJ,32.68083190917969,32000
77,it,PRON,23.824853897094727,31820,se,PRON,31.274621963500977,32000
78,crumbling,VERB,22.297916412353516,31820,deteriora,VERB,32.93288803100586,32000
79,into,ADP,24.245140075683594,31820,hasta,ADP,35.54364013671875,32000
80,0,0,0.0,0,quedar,VERB,35.234474182128906,32000
81,0,0,0.0,0,en,ADP,34.767032623291016,32000
82,ruin,NOUN,20.25534439086914,31820,ruinas,NOUN,34.17271041870117,32000
83,.,PUNCT,21.56161880493164,31820,.,PUNCT,32.895057678222656,32000
84,Penny,PROPN,22.372608184814453,37100,JCPenney,PROPN,33.04878616333008,37170
85,No,DET,22.16683578491211,37100,ya,ADV,34.2314338684082,37170
86,0,0,0.0,0,no,ADV,33.1071891784668,37170
87,'s,PART,18.670536041259766,37100,está,AUX,36.37033462524414,37170
88,at,ADP,21.203227996826172,37100,de,ADP,30.04752540588379,37170
89,sale,NOUN,20.456501007080078,37100,rebajas,NOUN,35.08824157714844,37170
90,.,PUNCT,20.480384826660156,37100,.,PUNCT,32.97624588012695,37170
91,(,PUNCT,19.138301849365234,38340,(,PUNCT,28.748825073242188,38696
92,Laughter,PROPN,20.165264129638672,38340,Risas,PROPN,34.865478515625,38696
93,),PUNCT,20.96363067626953,38340,),PUNCT,32.331058502197266,38696
94,I,PRON,24.9362735748291,40180,Comencé,AUX,29.82188606262207,40360
95,started,VERB,26.433982849121094,40180,a,ADP,32.75471115112305,40360
96,producing,VERB,25.949682235717773,40180,producir,VERB,36.67660140991211,40360
97,this,DET,22.09943389892578,40180,esta,DET,35.17628479003906,40360
98,series,NOUN,18.373075485229492,40180,serie,NOUN,35.87540817260742,40360
99,0,0,0.0,0,a,ADP,32.400611877441406,40360
100,0,0,0.0,0,principios,NOUN,32.54070281982422,40360
101,0,0,0.0,0,de,ADP,30.685300827026367,40360
102,0,0,0.0,0,2015,NOUN,33.55400848388672,40360
103,kind,ADV,21.38991928100586,45460,después,ADV,34.10198974609375,45530
104,after,ADP,21.53766441345215,45460,de,ADP,31.78313446044922,45530
105,going,VERB,25.887630462646484,45460,pasar,VERB,35.87415313720703,45530
106,through,ADP,21.122922897338867,45460,por,ADP,33.5069465637207,45530
107,a,DET,22.19350242614746,45460,una,DET,36.315765380859375,45530
108,period,NOUN,21.23815155029297,45460,fase,NOUN,34.45608139038086,45530
