,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Guys,NOUN,21.141725540161133,13734,Gente,NOUN,29.38663673400879,13734
1,",",PUNCT,21.907196044921875,13734,",",PUNCT,30.735441207885742,13734
2,we,PRON,24.114023208618164,13734,tenemos,VERB,36.27170181274414,13734
3,an,DET,21.958179473876953,13734,un,DET,38.72426223754883,13734
4,issue,NOUN,21.03363800048828,13734,problema,NOUN,33.07780838012695,13734
5,have,AUX,23.089733123779297,13734,.,PUNCT,31.93807029724121,13734
6,.,PUNCT,22.69359016418457,13734,(,PUNCT,28.748825073242188,16254
7,0,0,0.0,0,Risas,PROPN,34.865478515625,16254
8,0,0,0.0,0,),PUNCT,32.331058502197266,16254
9,(,PUNCT,19.138301849365234,16294,El,DET,35.32555389404297,17336
10,Laughter,PROPN,20.165264129638672,16294,crecimiento,NOUN,32.667850494384766,17336
11,0,0,0.0,0,se,PRON,31.674144744873047,17336
12,0,0,0.0,0,está,AUX,37.27979278564453,17336
13,0,0,0.0,0,desvaneciendo,VERB,36.43996810913086,17336
14,),PUNCT,20.96363067626953,16294,",",PUNCT,32.586524963378906,17336
15,0,0,0.0,0,y,CONJ,33.347068786621094,17336
16,0,0,0.0,0,eso,PRON,32.97312927246094,17336
17,0,0,0.0,0,es,AUX,32.87713623046875,17336
18,0,0,0.0,0,un,DET,36.45650863647461,17336
19,0,0,0.0,0,gran,ADJ,36.37369155883789,17336
20,0,0,0.0,0,problema,NOUN,32.634864807128906,17336
21,0,0,0.0,0,.,PUNCT,31.937894821166992,17336
22,Our,DET,23.640031814575195,21136,Nuestra,DET,32.82875442504883,21136
23,economy,NOUN,21.082902908325195,21136,economía,NOUN,34.494712829589844,21136
24,global,ADJ,19.966060638427734,21136,global,ADJ,35.592864990234375,21136
25,stops,VERB,21.409954071044922,21136,deja,AUX,36.318389892578125,21136
26,0,0,0.0,0,de,ADP,32.847434997558594,21136
27,growing,VERB,20.504642486572266,21136,crecer,VERB,36.46844482421875,21136
28,.,PUNCT,21.406274795532227,21136,.,PUNCT,33.76981735229492,21136
29,And,CCONJ,20.446739196777344,24018,Y,CONJ,32.7960319519043,24018
30,not,PART,23.972238540649414,24018,no,ADV,33.868431091308594,24018
31,'s,AUX,22.018939971923828,24018,es,AUX,35.40401077270508,24018
32,it,PRON,24.17626190185547,24018,algo,PRON,34.679473876953125,24018
33,new,ADJ,21.15180778503418,24018,nuevo,ADJ,33.47887420654297,24018
34,.,PUNCT,21.317302703857422,24018,.,PUNCT,32.96933364868164,24018
35,actually,ADV,27.274179458618164,25441,El,DET,35.037174224853516,25517
36,Growth,NOUN,21.088470458984375,25441,crecimiento,NOUN,33.72695541381836,25517
37,has,AUX,20.802644729614258,25441,ha,AUX,33.60746765136719,25517
38,declined,VERB,22.111427307128906,25441,disminuido,VERB,35.42915725708008,25517
39,for,ADP,21.795061111450195,25441,durante,ADP,35.68136978149414,25517
40,the,DET,21.131458282470703,25441,los,DET,34.91633605957031,25517
41,last,ADJ,20.29233169555664,25441,últimos,ADJ,33.57023620605469,25517
42,50,NUM,23.7073974609375,25441,50,NUM,35.44770431518555,25517
43,years,NOUN,23.101613998413086,25441,años,NOUN,35.74118423461914,25517
44,.,PUNCT,20.868896484375,25441,.,PUNCT,33.357276916503906,25517
45,If,SCONJ,21.96753692626953,29213,Si,SCONJ,34.281715393066406,29213
46,we,PRON,25.32927703857422,29213,así,ADV,35.62112808227539,29213
47,continue,VERB,24.627437591552734,29213,seguimos,VERB,34.9846305847168,29213
48,like,SCONJ,21.596370697021484,29213,que,SCONJ,32.39226531982422,29213
49,this,DET,21.24308204650879,29213,0,0,0.0,0
50,",",PUNCT,21.451778411865234,29213,",",PUNCT,33.624107360839844,29213
51,we,PRON,23.716829299926758,29213,0,0,0.0,0
52,need,VERB,22.725919723510742,29213,aprender,VERB,36.42043685913086,29213
53,to,PART,22.289051055908203,29213,0,0,0.0,0
54,learn,VERB,23.54123306274414,29213,tenemos,VERB,34.9213981628418,29213
55,how,ADV,22.472545623779297,31777,a,ADP,33.05078887939453,31823
56,to,PART,22.579383850097656,31777,0,0,0.0,0
57,live,VERB,22.25691032409668,31777,vivir,VERB,34.51961135864258,31823
58,in,ADP,22.631898880004883,31777,en,ADP,34.97236633300781,31823
59,a,DET,23.08761215209961,31777,un,DET,38.71190643310547,31823
60,world,NOUN,20.640077590942383,31777,mundo,NOUN,31.448074340820312,31823
61,with,ADP,20.927066802978516,31777,sin,ADP,34.26875305175781,31823
62,no,DET,21.260669708251953,31777,la,DET,33.38008499145508,31823
63,growth,NOUN,19.83132553100586,31777,crecimiento,NOUN,33.30543518066406,31823
64,in,ADP,20.24042510986328,31777,en,ADP,32.533321380615234,31823
65,the,DET,21.26885414123535,31777,0,0,0.0,0
66,next,ADJ,21.123703002929688,31777,próxima,ADJ,33.05392074584961,31823
67,decade,NOUN,19.037424087524414,31777,década,NOUN,32.25135040283203,31823
68,.,PUNCT,20.674551010131836,31777,.,PUNCT,33.80280685424805,31823
69,This,DET,23.400123596191406,36249,Esto,PRON,33.21651840209961,36249
70,is,AUX,25.404821395874023,36249,es,AUX,32.77805709838867,36249
71,scary,ADJ,22.48293685913086,36249,aterrador,ADJ,34.04191970825195,36249
72,when,ADV,21.345726013183594,36249,",",PUNCT,30.26759910583496,36249
