,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.749500274658203,19330,Empecé,AUX,34.84513473510742,19330
1,started,VERB,25.56094741821289,19330,a,ADP,33.257720947265625,19330
2,juggling,VERB,23.404891967773438,19330,hacer,VERB,35.207279205322266,19330
3,a,DET,21.249286651611328,19330,mucho,DET,36.54995346069336,19330
4,long,ADJ,20.303586959838867,19330,hace,AUX,33.593746185302734,19330
5,time,NOUN,20.461820602416992,19330,malabares,NOUN,35.27778244018555,19330
6,ago,ADV,19.179903030395508,19330,mucho,ADV,32.995540618896484,21330
7,",",PUNCT,21.307861328125,19330,pero,CONJ,34.80912780761719,21330
8,but,CCONJ,20.863256454467773,21330,tiempo,NOUN,34.74877166748047,19330
9,long,ADV,21.439327239990234,21330,antes,ADV,34.594146728515625,21330
10,before,ADP,20.481491088867188,21330,era,AUX,34.818931579589844,21330
11,that,DET,18.977840423583984,21330,golfista,NOUN,35.62376403808594,21330
12,",",PUNCT,21.363874435424805,21330,",",PUNCT,29.71345329284668,21330
13,I,PRON,24.809688568115234,21330,eso,PRON,31.419328689575195,21330
14,was,AUX,23.77663230895996,21330,es,AUX,32.006168365478516,21330
15,a,DET,23.069425582885742,21330,lo,DET,33.79335403442383,21330
16,golfer,NOUN,18.387836456298828,21330,golfista,NOUN,35.810123443603516,21330
17,",",PUNCT,20.59870719909668,21330,",",PUNCT,32.90898513793945,21330
18,and,CCONJ,18.31005096435547,21330,golfista,NOUN,32.74361038208008,27330
19,that,DET,19.871768951416016,21330,Y,CONJ,31.342321395874023,27330
20,'s,AUX,22.930156707763672,21330,era,AUX,34.6812858581543,21330
21,what,PRON,22.798433303833008,21330,que,PRON,32.02904510498047,21330
22,I,PRON,25.010820388793945,21330,que,PRON,32.72236633300781,27330
23,was,AUX,25.624298095703125,21330,era,AUX,33.61569595336914,27330
24,",",PUNCT,19.461095809936523,21330,.,PUNCT,32.01776885986328,21330
25,a,DET,20.867021560668945,21330,y,CONJ,34.056610107421875,27330
26,golfer,NOUN,18.81591033935547,21330,niño,NOUN,31.703859329223633,27330
27,.,PUNCT,21.81894874572754,21330,de,ADP,30.580791473388672,31330
28,And,CCONJ,20.193347930908203,27330,una,PRON,32.04594421386719,31330
29,as,SCONJ,22.022666931152344,27330,como,SCONJ,36.959678649902344,27330
30,a,DET,23.742820739746094,27330,las,DET,33.32057189941406,31330
31,golfer,NOUN,19.874746322631836,27330,cosas,NOUN,34.46152114868164,31330
32,and,CCONJ,22.749839782714844,27330,que,PRON,33.847591400146484,31330
33,as,SCONJ,21.731945037841797,27330,que,SCONJ,31.987327575683594,34330
34,a,DET,24.998228073120117,27330,salía,VERB,35.5745735168457,31330
35,kid,NOUN,18.53577995300293,27330,naturalmente,ADV,35.75529098510742,31330
36,",",PUNCT,20.72336769104004,27330,me,PRON,33.43113708496094,31330
37,one,NUM,21.70728874206543,31330,me,PRON,33.29488754272461,34330
38,of,ADP,24.59723472595215,31330,acompañó,VERB,37.730560302734375,34330
39,the,DET,21.113510131835938,31330,toda,DET,32.78709411621094,34330
40,things,NOUN,21.648975372314453,31330,vida,NOUN,30.917255401611328,34330
41,that,DET,22.6750545501709,31330,mi,DET,33.856746673583984,34330
42,really,ADV,21.58237648010254,31330,es,AUX,32.728572845458984,34330
43,sort,ADV,23.097694396972656,31330,la,DET,32.527767181396484,34330
44,of,ADV,21.71776008605957,31330,idea,NOUN,30.504026412963867,34330
