,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,was,AUX,21.445886611938477,15420,fue,AUX,33.93341827392578,15420
1,when,ADV,21.29725456237793,15420,cuando,SCONJ,33.85613250732422,15420
2,he,PRON,25.91141700744629,15420,0,0,0.0,0
3,walked,VERB,26.017215728759766,15420,salió,VERB,34.57632064819336,15420
4,out,ADP,21.427295684814453,15420,por,ADP,33.50337219238281,15420
5,the,DET,21.539291381835938,15420,la,DET,33.94272232055664,15420
6,front,ADJ,17.81089973449707,15420,principal,ADJ,34.88037109375,15420
7,door,NOUN,20.743955612182617,15420,puerta,NOUN,32.664695739746094,15420
8,on,ADP,18.64307975769043,17780,de,ADP,30.61721420288086,17780
9,his,DET,24.08808708190918,17780,la,DET,31.989227294921875,17780
10,way,NOUN,19.73722267150879,17780,camino,NOUN,31.005321502685547,17780
11,to,ADP,20.004865646362305,17780,a,ADP,31.44119644165039,17780
12,school,NOUN,20.909912109375,17780,escuela,NOUN,31.048538208007812,17780
13,.,PUNCT,21.452484130859375,17780,.,PUNCT,33.3914680480957,17780
14,He,PRON,25.122615814208984,20300,una,DET,34.32863998413086,20300
15,called,VERB,23.938962936401367,20300,Dijo,VERB,34.45435333251953,20300
16,out,ADP,21.089218139648438,20300,en,ADP,31.24249267578125,20300
17,one,NUM,23.518085479736328,20300,0,0,0.0,0
18,word,NOUN,19.832965850830078,20300,palabra,NOUN,32.63591384887695,20300
19,in,ADP,20.745084762573242,20300,0,0,0.0,0
20,the,DET,22.650785446166992,20300,la,DET,34.02701950073242,20300
21,darkness,NOUN,17.711267471313477,20300,oscuridad,NOUN,32.0148811340332,20300
22,:,PUNCT,19.045610427856445,20300,:,PUNCT,32.707435607910156,20300
23,"""",PUNCT,19.040987014770508,23140,"""",PUNCT,32.719139099121094,23140
24,Bye,PROPN,20.664857864379883,23140,Adiós,INTJ,31.799320220947266,23140
25,.,PUNCT,20.553346633911133,23140,"""",PUNCT,31.078895568847656,23140
26,"""",PUNCT,22.52084732055664,23140,.,PUNCT,33.46217346191406,23140
27,was,AUX,22.37889862060547,24820,Era,AUX,33.793521881103516,24820
28,It,PRON,23.090181350708008,24820,el,DET,33.579830169677734,24820
29,20,NUM,19.76736068725586,24820,20,NUM,32.90066909790039,24820
30,April,PROPN,21.471712112426758,24820,de,ADP,32.95578384399414,24820
31,",",PUNCT,24.27082061767578,24820,abril,NOUN,31.8912410736084,24820
32,0,0,0.0,0,de,ADP,33.860774993896484,24820
33,1999,NUM,22.77663803100586,24820,1999,NUM,31.495635986328125,24820
34,.,PUNCT,20.42861557006836,24820,.,PUNCT,31.708751678466797,24820
35,Later,ADV,21.294702529907227,28700,Más,ADV,34.051239013671875,28700
36,0,0,0.0,0,tarde,ADV,36.430267333984375,28700
37,that,DET,22.173208236694336,28700,esa,DET,33.502559661865234,28700
38,morning,NOUN,20.24945068359375,28700,mañana,NOUN,32.953834533691406,28700
39,",",PUNCT,19.366052627563477,28700,",",PUNCT,29.84748077392578,28700
40,at,ADP,22.463848114013672,28700,en,ADP,32.81121063232422,28700
41,Columbine,PROPN,19.834794998168945,28700,la,DET,32.85757064819336,28700
42,High,PROPN,19.40970230102539,28700,escuela,NOUN,31.3770809173584,28700
43,0,0,0.0,0,secundaria,ADJ,31.747610092163086,28700
44,School,PROPN,20.774240493774414,28700,Columbine,PROPN,33.892669677734375,28700
45,",",PUNCT,21.491153717041016,28700,",",PUNCT,29.985403060913086,28700
46,my,DET,22.308544158935547,31780,mi,DET,34.401649475097656,31780
47,son,NOUN,18.490571975708008,31780,hijo,NOUN,31.486621856689453,31780
48,Dylan,PROPN,22.399019241333008,31780,Dylan,PROPN,33.464881896972656,31780
49,and,CCONJ,21.617570877075195,31780,y,CONJ,32.359619140625,31780
50,his,DET,22.523374557495117,31780,su,DET,32.69438934326172,31780
51,friend,NOUN,20.86586570739746,31780,amigo,NOUN,30.32444953918457,31780
52,Eric,PROPN,21.663877487182617,31780,Eric,PROPN,33.386802673339844,31780
53,killed,VERB,20.761253356933594,34740,asesinaron,VERB,33.71897888183594,34740
54,0,0,0.0,0,a,ADP,31.568134307861328,34740
55,12,NUM,23.85003089904785,34740,12,NUM,33.36463928222656,34740
56,students,NOUN,21.171405792236328,34740,estudiantes,NOUN,37.20782470703125,34740
