,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.46967124938965,15560,cuando,SCONJ,35.050174713134766,17260
1,was,AUX,24.173065185546875,15560,ví,VERB,30.0900821685791,17260
2,only,ADV,23.163890838623047,15560,a,ADP,32.24496841430664,17260
3,four,NUM,22.831951141357422,15560,mi,DET,32.559425354003906,17260
4,years,NOUN,23.455974578857422,15560,madre,NOUN,32.49422073364258,17260
5,old,ADJ,21.741546630859375,15560,llenar,VERB,32.715049743652344,17260
6,0,0,0.0,0,una,DET,34.543331146240234,17260
7,0,0,0.0,0,lavadora,NOUN,32.30418395996094,17260
8,0,0,0.0,0,de,ADP,29.772518157958984,17260
9,0,0,0.0,0,ropa,NOUN,31.746112823486328,17260
10,when,ADV,23.031091690063477,17625,por,ADP,34.99562072753906,20260
11,I,PRON,25.3704891204834,17625,primera,ADJ,34.211639404296875,20260
12,saw,VERB,24.37141990661621,17625,en,ADP,31.99627685546875,20260
13,my,DET,24.045591354370117,17625,su,DET,34.10514450073242,20260
14,mother,NOUN,19.648128509521484,17625,vez,NOUN,31.283126831054688,20260
15,load,VERB,20.069202423095703,17625,0,0,0.0,0
16,a,DET,20.5935001373291,17625,.,PUNCT,33.558536529541016,20260
17,washing,NOUN,20.29966163635254,17625,vida,NOUN,32.456233978271484,20260
18,machine,NOUN,19.17881202697754,17625,0,0,0.0,0
19,was,AUX,23.12274932861328,23203,Fue,AUX,31.727270126342773,23260
20,That,DET,19.763731002807617,23203,un,DET,35.57575988769531,23260
21,great,ADJ,20.691808700561523,23203,gran,ADJ,34.26374435424805,23260
22,day,NOUN,21.704687118530273,23203,dia,NOUN,31.062280654907227,23260
23,for,ADP,20.857769012451172,23203,para,ADP,33.18621063232422,23260
24,a,DET,24.757797241210938,23203,mi,PROPN,32.861820220947266,23260
25,mother,NOUN,19.28997230529785,23203,madre,NOUN,31.200899124145508,23260
26,.,PUNCT,21.23636817932129,23203,.,PUNCT,33.130859375,23260
27,0,0,0.0,0,Ella,PRON,31.299365997314453,25260
28,0,0,0.0,0,y,CONJ,34.3976936340332,25260
29,my,DET,22.261756896972656,23203,mi,DET,33.06974411010742,25260
30,0,0,0.0,0,padre,NOUN,31.519046783447266,25260
31,0,0,0.0,0,habían,AUX,33.888206481933594,25260
32,0,0,0.0,0,ahorrado,VERB,34.99633026123047,25260
33,0,0,0.0,0,durante,ADP,34.074790954589844,25260
34,0,0,0.0,0,años,NOUN,36.62162780761719,25260
35,My,DET,22.672096252441406,25691,esa,DET,34.88945007324219,28260
36,mother,NOUN,20.72919464111328,25691,para,ADP,35.898468017578125,28260
37,and,CCONJ,25.377843856811523,25691,0,0,0.0,0
38,father,NOUN,20.41286849975586,25691,lavadora,NOUN,33.6712760925293,28260
39,had,AUX,23.777814865112305,25691,poder,AUX,36.16242218017578,28260
40,been,AUX,25.803592681884766,25691,.,PUNCT,33.09524917602539,28260
41,saving,VERB,21.619632720947266,25691,comprar,VERB,34.70753479003906,28260
42,money,NOUN,20.647228240966797,25691,0,0,0.0,0
43,for,ADP,20.90312957763672,25691,0,0,0.0,0
44,years,NOUN,20.91289710998535,25691,0,0,0.0,0
45,to,PART,22.196640014648438,28560,Y,CONJ,32.73655319213867,30260
46,be,AUX,26.23377227783203,28560,el,DET,34.63355255126953,30260
47,able,ADJ,24.214570999145508,28560,día,NOUN,33.72465515136719,30260
48,to,PART,24.82639503479004,28560,que,PRON,32.00434494018555,30260
49,buy,VERB,24.855182647705078,28560,iban,VERB,35.54995346069336,30260
50,that,DET,20.501123428344727,28560,a,ADP,34.43316650390625,30260
51,machine,NOUN,17.852197647094727,28560,usarla,PROPN,29.75163459777832,30260
52,",",PUNCT,20.395503997802734,28560,",",PUNCT,30.10159683227539,30260
53,and,CCONJ,18.899620056152344,30624,hasta,ADV,36.044593811035156,32260
54,the,DET,23.36220359802246,30624,mi,DET,33.849876403808594,32260
55,first,ADJ,20.605712890625,30624,a,ADP,31.650142669677734,32260
56,day,NOUN,20.663097381591797,30624,abuela,NOUN,32.67536163330078,32260
57,it,PRON,22.34423065185547,30624,0,0,0.0,0
58,was,AUX,26.311670303344727,30624,0,0,0.0,0
59,going,VERB,24.39539337158203,30624,invitaron,VERB,33.72403335571289,32260
60,to,PART,21.802270889282227,30624,0,0,0.0,0
61,be,AUX,25.439422607421875,30624,0,0,0.0,0
62,used,VERB,22.785860061645508,30624,0,0,0.0,0
63,",",PUNCT,20.44260025024414,30624,0,0,0.0,0
64,even,ADV,21.052642822265625,32694,a,ADP,34.035945892333984,34260
65,Grandma,PROPN,20.795135498046875,32694,0,0,0.0,0
66,was,AUX,23.31671142578125,32694,0,0,0.0,0
67,invited,VERB,22.918975830078125,32694,ver,VERB,35.960086822509766,34260
68,to,PART,22.76535415649414,32694,0,0,0.0,0
69,see,VERB,22.35441017150879,32694,0,0,0.0,0
70,the,DET,20.754549026489258,32694,la,DET,35.31098556518555,34260
71,machine,NOUN,17.705608367919922,32694,lavadora,NOUN,32.46949005126953,34260
72,.,PUNCT,20.71842384338379,32694,.,PUNCT,32.85874938964844,34260
73,(,PUNCT,19.138301849365234,35857,Y,CONJ,33.46371078491211,36260
74,Laughter,PROPN,20.165264129638672,35857,mi,DET,34.784080505371094,36260
75,0,0,0.0,0,abuela,NOUN,32.863197326660156,36260
76,0,0,0.0,0,estaba,AUX,34.615211486816406,36260
77,0,0,0.0,0,más,ADV,37.74298095703125,36260
78,0,0,0.0,0,emocionada,ADJ,33.59615707397461,36260
79,0,0,0.0,0,aún,ADV,34.09800338745117,36260
80,),PUNCT,20.96363067626953,35857,.,PUNCT,33.23360824584961,36260
81,And,CCONJ,20.934246063232422,37017,Durante,ADP,35.55009078979492,39260
82,Grandma,PROPN,23.42716407775879,37017,su,DET,34.411041259765625,39260
83,was,AUX,23.38174819946289,37017,vida,NOUN,32.08614730834961,39260
84,even,ADV,23.107685089111328,37017,0,0,0.0,0
85,more,ADV,25.056533813476562,37017,0,0,0.0,0
86,excited,ADJ,23.114212036132812,37017,0,0,0.0,0
87,.,PUNCT,22.765974044799805,37017,0,0,0.0,0
88,Throughout,ADP,20.424470901489258,39560,siempre,ADV,36.28169631958008,41260
89,her,DET,23.1619930267334,39560,tuvo,VERB,36.96419906616211,41260
90,",",PUNCT,21.653188705444336,39560,que,SCONJ,31.821311950683594,41260
91,she,PRON,24.524829864501953,39560,calentar,VERB,34.99774169921875,41260
92,life,NOUN,20.347036361694336,39560,agua,NOUN,32.2348747253418,41260
93,had,AUX,24.17040252685547,39560,con,ADP,33.60785675048828,41260
94,been,AUX,25.0975341796875,39560,leña,PROPN,33.4045295715332,41260
95,",",PUNCT,20.40176010131836,39560,",",PUNCT,31.147415161132812,41260
96,0,0,0.0,0,y,CONJ,34.53773880004883,43260
97,heating,VERB,21.91922950744629,39560,lavar,VERB,35.500186920166016,43260
98,0,0,0.0,0,la,DET,33.28511428833008,43260
99,firewood,NOUN,19.14817237854004,39560,ropa,NOUN,33.096092224121094,43260
100,with,ADP,21.265714645385742,39560,a,ADP,33.60483169555664,43260
101,water,NOUN,21.067975997924805,39560,mano,NOUN,28.99538803100586,43260
102,and,CCONJ,19.89885902404785,43884,para,ADP,34.30772018432617,45260
103,she,PRON,25.27214241027832,43884,siete,NUM,34.935455322265625,45260
104,had,AUX,22.200529098510742,43884,iba,AUX,33.81814956665039,47260
105,hand,NOUN,21.991647720336914,43884,hijos,NOUN,34.82023239135742,45260
106,-,PUNCT,22.27307891845703,43884,.,PUNCT,33.28829574584961,45260
107,washed,ADJ,20.12125587463379,43884,ahora,ADV,32.92677307128906,47260
108,laundry,NOUN,19.08412742614746,43884,Y,CONJ,33.84043502807617,47260
109,for,ADP,23.10630226135254,43884,a,ADP,32.99595260620117,47260
110,seven,NUM,24.76825523376465,43884,presenciar,VERB,36.156612396240234,47260
111,children,NOUN,23.760173797607422,43884,0,0,0.0,0
112,.,PUNCT,22.074708938598633,43884,0,0,0.0,0
113,she,PRON,23.89413833618164,47918,cómo,PRON,35.786380767822266,50260
114,now,ADV,22.321331024169922,47918,la,DET,33.938873291015625,50260
115,And,CCONJ,21.11726951599121,47918,electricidad,NOUN,32.36246871948242,50260
116,going,VERB,24.676435470581055,47918,hacía,VERB,33.349483489990234,50260
117,was,AUX,25.780317306518555,47918,ese,DET,34.52342224121094,50260
118,to,PART,22.866140365600586,47918,trabajo,NOUN,33.596134185791016,50260
119,",",PUNCT,21.864919662475586,47918,.,PUNCT,31.123510360717773,50260
120,do,AUX,21.94118881225586,47918,Mi,DET,32.7006721496582,53260
121,electricity,NOUN,20.0338191986084,47918,madre,NOUN,33.24692153930664,53260
122,watch,VERB,25.348268508911133,47918,abrió,VERB,37.34386444091797,53260
123,that,DET,23.288686752319336,47918,la,DET,34.92998504638672,53260
124,work,NOUN,21.065980911254883,47918,puerta,NOUN,32.22885513305664,53260
125,0,0,0.0,0,con,ADP,31.608701705932617,53260
126,0,0,0.0,0,cuidado,NOUN,30.875694274902344,53260
127,.,PUNCT,22.144800186157227,47918,",",PUNCT,30.120595932006836,53260
128,My,DET,22.859622955322266,53560,0,0,0.0,0
129,mother,NOUN,22.195119857788086,53560,ropa,NOUN,31.72372055053711,57260
