,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.245372772216797,12920,0,0,0.0,0
1,come,VERB,23.86029624938965,12920,Vengo,VERB,33.88880920410156,12920
2,from,ADP,19.652755737304688,12920,de,ADP,29.757577896118164,12920
3,a,DET,23.631019592285156,12920,una,DET,34.20126724243164,12920
4,family,NOUN,20.55150032043457,12920,familia,NOUN,32.145530700683594,12920
5,of,ADP,24.402698516845703,12920,de,ADP,31.161270141601562,12920
6,five,NUM,22.758520126342773,12920,cinco,NUM,34.12235641479492,12920
7,brothers,NOUN,21.633167266845703,12920,hermanos,NOUN,34.45417022705078,12920
8,",",PUNCT,20.313526153564453,12920,",",PUNCT,30.961650848388672,12920
9,all,DET,20.752958297729492,15520,todos,DET,33.13847351074219,15520
10,scientists,NOUN,19.8254337310791,15520,científicos,NOUN,33.30683135986328,15520
11,and,CCONJ,23.753114700317383,15520,e,CONJ,33.57655334472656,15520
12,engineers,NOUN,20.226587295532227,15520,ingenieros,NOUN,34.29609680175781,15520
13,.,PUNCT,20.70882797241211,15520,.,PUNCT,33.13666534423828,15520
14,A,DET,21.06291961669922,18000,unos,DET,32.43818664550781,18000
15,few,ADJ,22.32706642150879,18000,Hace,AUX,35.54191207885742,18000
16,years,NOUN,21.667898178100586,18000,años,NOUN,36.16562271118164,18000
17,ago,ADV,20.859407424926758,18000,0,0,0.0,0
18,",",PUNCT,22.409360885620117,18000,",",PUNCT,30.455516815185547,18000
19,I,PRON,24.79434585571289,18000,les,PRON,32.466068267822266,18000
20,sent,VERB,27.516223907470703,18000,envié,VERB,35.32513427734375,18000
21,them,PRON,22.98007583618164,18000,siguiente,ADJ,35.40428924560547,18000
22,the,DET,22.976058959960938,18000,el,DET,35.07948684692383,18000
23,following,VERB,20.581029891967773,18000,electrónico,ADJ,34.21112823486328,18000
24,email,NOUN,19.5960693359375,18000,correo,NOUN,35.29098892211914,18000
25,:,PUNCT,18.320266723632812,18000,:,PUNCT,32.69026565551758,18000
26,"""",PUNCT,20.956327438354492,22920,"""",PUNCT,30.821435928344727,22920
27,Dear,ADJ,20.567508697509766,22920,Queridos,NUM,32.849098205566406,22920
28,brothers,NOUN,21.010408401489258,22920,hermanos,NOUN,34.39378356933594,22920
29,",",PUNCT,23.09370994567871,22920,",",PUNCT,31.421550750732422,22920
30,I,PRON,23.406946182250977,22920,se,PRON,32.32005310058594,22920
31,hope,VERB,21.51706314086914,22920,espero,VERB,35.740264892578125,22920
32,this,DET,24.375905990600586,22920,que,SCONJ,33.35462188720703,22920
33,message,NOUN,19.778045654296875,22920,0,0,0.0,0
34,finds,VERB,22.510828018188477,22920,encuentren,VERB,36.418338775634766,22920
35,you,PRON,25.00731658935547,22920,0,0,0.0,0
36,well,ADV,23.126008987426758,22920,bien,ADV,33.561214447021484,22920
37,.,PUNCT,21.245576858520508,22920,.,PUNCT,32.05245590209961,22920
38,I,PRON,25.551698684692383,26560,Les,PRON,26.817955017089844,26560
39,am,AUX,23.047054290771484,26560,0,0,0.0,0
