,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,the,DET,22.246944427490234,12160,La,DET,34.30451202392578,12160
1,question,NOUN,19.818485260009766,12160,cuestión,NOUN,32.61019515991211,12160
2,So,ADV,19.414012908935547,12160,es,AUX,34.384647369384766,12160
3,is,AUX,21.96364402770996,12160,saber,AUX,33.88945007324219,12160
4,what,PRON,19.83342742919922,12160,qué,PRON,32.466033935546875,12160
5,is,AUX,24.76582145690918,12160,es,AUX,33.08787536621094,12160
6,",",PUNCT,21.961305618286133,12160,lo,DET,35.81560516357422,12160
7,invisible,ADJ,21.215364456176758,12160,invisible,ADJ,32.76461410522461,12160
8,?,PUNCT,22.05805015563965,12160,.,PUNCT,33.01775360107422,12160
9,There,PRON,21.164430618286133,17160,En,ADP,33.79631423950195,17160
10,more,ADJ,21.82978057861328,17160,realidad,NOUN,32.57426071166992,17160
11,is,AUX,23.59691047668457,17160,es,AUX,33.942508697509766,17160
12,than,SCONJ,19.09202766418457,17160,mucho,ADV,32.910499572753906,17160
13,actually,ADV,22.218799591064453,17160,más,ADV,35.38331985473633,17160
14,of,ADP,24.432186126708984,17160,de,ADP,30.190011978149414,17160
15,",",PUNCT,19.49109649658203,17160,lo,DET,32.9566535949707,17160
16,you,PRON,23.933713912963867,17160,que,PRON,34.30321502685547,17160
17,it,PRON,22.652372360229492,17160,se,PRON,32.31846618652344,17160
18,think,VERB,21.869770050048828,17160,piensa,VERB,36.01534652709961,17160
19,.,PUNCT,21.448631286621094,17160,.,PUNCT,31.509807586669922,17160
20,Everything,PRON,23.181425094604492,20160,Cada,DET,33.87464141845703,20160
21,",",PUNCT,22.632797241210938,20160,",",PUNCT,32.77827453613281,20160
22,I,PRON,24.38914680480957,20160,cosa,NOUN,32.23042297363281,20160
23,would,VERB,26.360706329345703,20160,digamos,VERB,32.5698356628418,20160
24,say,VERB,23.683324813842773,20160,0,0,0.0,0
25,.,PUNCT,20.1575927734375,20160,",",PUNCT,32.31045150756836,20160
26,Everything,PRON,21.998001098632812,20160,cosa,NOUN,33.96261215209961,20160
27,that,DET,24.335689544677734,20160,cada,DET,34.61365509033203,20160
28,matters,VERB,23.290075302124023,20160,sustancial,ADJ,34.35459518432617,20160
29,except,SCONJ,21.426340103149414,23160,salvo,ADP,33.690086364746094,23160
30,every,DET,23.217247009277344,23160,cada,DET,35.67212677001953,23160
31,thing,NOUN,20.62466812133789,23160,cosa,NOUN,31.974151611328125,23160
32,and,CCONJ,20.706544876098633,23160,y,CONJ,33.13834762573242,23160
33,except,SCONJ,19.894847869873047,23160,la,DET,33.460575103759766,23160
34,matter,NOUN,17.313505172729492,23160,sustancia,NOUN,30.445602416992188,23160
35,.,PUNCT,21.62942886352539,23160,(,PUNCT,30.691036224365234,23160
36,0,0,0.0,0,materia,NOUN,29.305992126464844,23160
37,0,0,0.0,0,),PUNCT,33.03828048706055,23160
38,0,0,0.0,0,.,PUNCT,33.69144821166992,23160
39,can,VERB,23.7176513671875,29160,Vemos,VERB,31.77121353149414,29160
40,We,PRON,24.158897399902344,29160,la,DET,31.78775405883789,29160
41,see,VERB,22.987560272216797,29160,sustancia,NOUN,30.860177993774414,29160
42,.,PUNCT,21.204593658447266,29160,(,PUNCT,30.593698501586914,29160
43,matter,NOUN,21.55727767944336,29160,materia,NOUN,29.496688842773438,29160
44,But,CCONJ,22.4631404876709,29160,),PUNCT,32.37096405029297,29160
45,'s,AUX,22.259742736816406,29160,pero,CONJ,34.71459197998047,29160
46,ca,VERB,24.266605377197266,29160,no,ADV,31.690603256225586,29160
47,n't,PART,26.313405990600586,29160,de,ADP,32.95291519165039,29160
48,we,PRON,24.63756561279297,29160,qué,PRON,33.693416595458984,29160
49,what,PRON,20.806344985961914,29160,se,PRON,33.7868766784668,29160
50,see,VERB,22.490726470947266,29160,trata,VERB,35.72049331665039,29160
51,the,DET,21.91864585876465,29160,lo,DET,31.49185562133789,29160
52,matter,NOUN,16.884183883666992,29160,sustancial,ADJ,32.53256607055664,29160
53,.,PUNCT,22.36616325378418,29160,.,PUNCT,33.34906005859375,29160
54,As,SCONJ,20.0564022064209,33160,Como,SCONJ,35.08521270751953,33160
55,in,ADP,21.968299865722656,33160,en,ADP,33.80935287475586,33160
56,this,DET,22.913557052612305,33160,esta,DET,34.711647033691406,33160
57,sentence,NOUN,19.9519100189209,33160,frase,NOUN,33.9023323059082,33160
58,cryptic,ADJ,19.867944717407227,33160,críptica,ADJ,33.71025466918945,33160
59,I,PRON,25.08081817626953,33160,que,PRON,34.601051330566406,33160
60,The,DET,22.106874465942383,33160,hace,AUX,36.320491790771484,33160
61,recently,ADV,24.81572151184082,33160,poco,ADV,37.140506744384766,33160
62,found,VERB,24.63176155090332,33160,encontré,VERB,33.60917663574219,33160
63,in,ADP,19.658157348632812,33160,en,ADP,32.92913818359375,33160
