,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,When,ADV,23.168216705322266,13150,Cuando,SCONJ,35.16402053833008,13150
1,I,PRON,25.083349227905273,13150,0,0,0.0,0
2,was,AUX,24.17884063720703,13150,era,AUX,34.495521545410156,13150
3,a,DET,24.986806869506836,13150,0,0,0.0,0
4,kid,NOUN,18.470012664794922,13150,niña,NOUN,29.275558471679688,13150
5,",",PUNCT,21.463897705078125,13150,",",PUNCT,30.66444969177246,13150
6,I,PRON,24.513362884521484,14349,muchos,PRON,35.22246170043945,14349
7,was,AUX,25.051807403564453,14349,estaba,AUX,34.196842193603516,14349
8,",",PUNCT,20.049009323120117,14349,",",PUNCT,30.191364288330078,14349
9,like,SCONJ,19.81238555908203,14349,como,SCONJ,36.06025695800781,14349
10,many,ADJ,21.32483673095703,14349,fascinada,ADJ,33.025733947753906,14349
11,of,ADP,22.766141891479492,14349,de,ADP,30.846179962158203,14349
12,you,PRON,21.488380432128906,14349,Uds.,PROPN,34.339149475097656,14349
13,in,ADP,19.49773406982422,14349,en,ADP,32.465309143066406,14349
14,this,DET,25.188430786132812,14349,esta,DET,32.66119384765625,14349
15,room,NOUN,19.107952117919922,14349,sala,NOUN,32.68796920776367,14349
16,",",PUNCT,19.76287078857422,14349,",",PUNCT,30.80521583557129,14349
17,very,ADV,23.693628311157227,14349,0,0,0.0,0
18,much,ADV,23.06493377685547,14349,0,0,0.0,0
19,fascinated,VERB,21.03204917907715,14349,0,0,0.0,0
20,by,ADP,21.84487533569336,14349,por,ADP,33.846744537353516,14349
21,Star,PROPN,21.689132690429688,14349,Wars,PROPN,34.6705207824707,14349
22,Wars,PROPN,21.099374771118164,14349,Star,PROPN,35.08978271484375,14349
23,",",PUNCT,18.96811866760254,14349,",",PUNCT,30.42597198486328,14349
24,and,CCONJ,19.7093505859375,19273,y,CONJ,32.271331787109375,19273
25,what,PRON,19.278915405273438,19273,que,PRON,32.932342529296875,19273
26,fascinated,VERB,21.46186065673828,19273,fascinaba,VERB,35.034629821777344,19273
27,me,PRON,22.794565200805664,19273,me,PRON,31.835750579833984,19273
28,the,DET,20.048860549926758,19273,lo,DET,35.15358352661133,19273
29,most,ADJ,19.779144287109375,19273,más,ADV,34.14188766479492,19273
30,is,AUX,20.8906192779541,19273,era,AUX,32.39226150512695,19273
31,this,DET,21.768260955810547,19273,esa,DET,35.05345916748047,19273
32,notion,NOUN,21.82536506652832,19273,noción,NOUN,34.4180908203125,19273
33,of,ADP,24.541086196899414,19273,de,ADP,31.149229049682617,19273
34,the,DET,20.49901580810547,19273,la,DET,31.806560516357422,19273
35,Force,PROPN,18.245361328125,19273,Fuerza,PROPN,36.56071090698242,19273
36,",",PUNCT,20.769386291503906,19273,",",PUNCT,29.75920295715332,19273
37,this,DET,24.46854019165039,23773,esa,DET,33.666778564453125,23773
38,energy,NOUN,21.186796188354492,23773,energía,NOUN,33.34788513183594,23773
39,0,0,0.0,0,que,PRON,33.450382232666016,23773
40,connects,VERB,22.344139099121094,23773,conecta,VERB,36.40883255004883,23773
41,and,CCONJ,22.59109115600586,23773,a,ADP,34.99906921386719,23773
42,all,DET,21.139198303222656,23773,todas,DET,35.183414459228516,23773
43,that,DET,22.7427921295166,23773,las,DET,33.126277923583984,23773
44,people,NOUN,21.164627075195312,23773,personas,NOUN,35.56574630737305,23773
45,0,0,0.0,0,y,CONJ,33.34632110595703,23773
46,all,DET,19.95977783203125,23773,todos,DET,32.12179183959961,23773
47,0,0,0.0,0,los,DET,35.72751235961914,23773
48,objects,NOUN,19.926359176635742,23773,objetos,NOUN,35.663177490234375,23773
49,and,CCONJ,21.473106384277344,26907,y,CONJ,32.588104248046875,26907
50,allows,VERB,21.58251953125,26907,permite,VERB,36.22419738769531,26907
51,you,PRON,23.389446258544922,26907,te,PRON,31.594594955444336,26907
52,to,PART,23.393789291381836,26907,personas,NOUN,36.73881530761719,26907
53,feel,VERB,25.84471321105957,26907,sentir,VERB,38.26188278198242,26907
54,people,NOUN,22.564666748046875,26907,siquiera,NOUN,33.60234069824219,26907
55,that,SCONJ,21.55249786376953,26907,ni,CONJ,34.07032012939453,26907
56,you,PRON,24.080211639404297,26907,que,PRON,32.99367141723633,26907
57,ca,VERB,23.246381759643555,26907,puedes,AUX,32.51470184326172,26907
58,n't,PART,24.816125869750977,26907,0,0,0.0,0
59,even,ADV,22.188993453979492,26907,0,0,0.0,0
60,see,VERB,22.14872169494629,26907,ver,VERB,34.45132064819336,26907
61,.,PUNCT,21.206708908081055,26907,.,PUNCT,34.327110290527344,26907
62,And,CCONJ,19.996356964111328,30753,Y,CONJ,32.541419982910156,30753
63,I,PRON,27.075191497802734,30753,muchas,DET,34.33551025390625,30753
64,remember,VERB,24.117773056030273,30753,recuerdo,VERB,35.883323669433594,30753
65,many,ADJ,19.61521339416504,30753,sentada,ADJ,31.41262435913086,30753
66,nights,NOUN,19.26526641845703,30753,noches,NOUN,34.1868782043457,30753
67,",",PUNCT,21.751741409301758,30753,",",PUNCT,33.44093704223633,30753
68,I,PRON,24.3027286529541,30753,0,0,0.0,0
69,would,VERB,26.715089797973633,30753,0,0,0.0,0
70,be,AUX,25.865825653076172,30753,estando,AUX,35.8180046081543,30753
71,sitting,VERB,22.811994552612305,30753,0,0,0.0,0
72,at,ADP,23.799097061157227,30753,en,ADP,32.44212341308594,30753
73,home,NOUN,20.745223999023438,30753,casa,NOUN,31.066301345825195,30753
74,",",PUNCT,20.458173751831055,30753,",",PUNCT,30.855064392089844,30753
75,just,ADV,21.176143646240234,33865,como,SCONJ,35.05934524536133,33865
76,",",PUNCT,19.423036575317383,33865,me,PRON,32.64966583251953,33865
77,like,INTJ,20.437368392944336,33865,y,CONJ,32.350887298583984,33865
78,",",PUNCT,22.753604888916016,33865,",",PUNCT,32.07506561279297,33865
79,concentrating,VERB,20.569082260131836,33865,enfocaba,VERB,33.45879364013672,33865
80,and,CCONJ,23.636287689208984,33865,tratando,AUX,34.53104019165039,33865
81,focusing,VERB,21.102441787719727,33865,concentraba,VERB,32.80234909057617,33865
82,",",PUNCT,21.693525314331055,33865,de,ADP,31.878860473632812,33865
83,trying,VERB,22.5800724029541,33865,sentir,VERB,38.487464904785156,33865
84,to,PART,24.159509658813477,33865,0,0,0.0,0
85,feel,VERB,25.73897361755371,33865,Fuerza,PROPN,35.43722915649414,33865
86,the,DET,21.074440002441406,33865,la,DET,31.642379760742188,33865
87,Force,NOUN,18.416015625,33865,0,0,0.0,0
88,",",PUNCT,21.916345596313477,33865,",",PUNCT,29.777292251586914,33865
89,and,CCONJ,19.615882873535156,38624,y,CONJ,33.89702606201172,38624
90,I,PRON,26.64157485961914,38624,nada,PRON,34.92518997192383,38624
91,did,AUX,23.593997955322266,38624,no,ADV,34.58646774291992,38624
92,n't,PART,26.560447692871094,38624,0,0,0.0,0
93,feel,VERB,23.063947677612305,38624,sentía,VERB,36.52590560913086,38624
94,anything,PRON,22.63847541809082,38624,se,PRON,34.45761489868164,38624
95,",",PUNCT,18.419130325317383,38624,",",PUNCT,32.87274169921875,38624
96,do,AUX,21.102659225463867,38624,no,ADV,31.994985580444336,38624
97,n't,PART,24.579696655273438,38624,0,0,0.0,0
98,worry,VERB,21.812545776367188,38624,preocupen,VERB,33.613712310791016,38624
99,.,PUNCT,20.56989860534668,38624,.,PUNCT,31.666658401489258,38624
100,(,PUNCT,19.138301849365234,41211,(,PUNCT,28.748825073242188,41211
101,Laughter,PROPN,20.165264129638672,41211,Risas,PROPN,34.865478515625,41211
102,),PUNCT,20.96363067626953,41211,),PUNCT,32.331058502197266,41211
103,And,CCONJ,21.97210693359375,43092,Y,CONJ,33.729339599609375,43092
104,later,ADV,21.14274024963379,43092,más,ADV,36.50647735595703,43092
105,0,0,0.0,0,tarde,ADV,35.9178581237793,43092
106,in,ADP,21.051170349121094,43092,en,ADP,33.984928131103516,43092
107,a,DET,22.77988052368164,43092,la,DET,33.34703063964844,43092
108,life,NOUN,18.900468826293945,43092,vida,NOUN,31.025012969970703,43092
109,",",PUNCT,22.51845932006836,43092,",",PUNCT,30.4083251953125,43092
110,I,PRON,25.0870361328125,43092,me,PRON,32.10944747924805,43092
111,became,VERB,27.105487823486328,43092,convertí,VERB,34.97977066040039,43092
112,scientist,NOUN,20.028987884521484,43092,en,ADP,32.78448486328125,43092
113,0,0,0.0,0,científica,PROPN,31.960372924804688,43092
114,.,PUNCT,21.49939727783203,43092,.,PUNCT,33.84984588623047,43092
115,I,PRON,25.32232666015625,45966,Me,PRON,30.207740783691406,45966
116,joined,VERB,24.873188018798828,45966,uní,VERB,33.09199523925781,45966
117,0,0,0.0,0,a,ADP,32.503662109375,45966
118,the,DET,22.110864639282227,45966,la,DET,31.50583839416504,45966
119,faculty,NOUN,18.326801300048828,45966,facultad,NOUN,31.792287826538086,45966
120,and,CCONJ,24.75757598876953,45966,de,ADP,30.29318618774414,45966
121,MIT,PROPN,22.689720153808594,45966,MIT,PROPN,33.75174331665039,45966
122,started,VERB,24.108917236328125,45966,y,CONJ,32.72010803222656,45966
123,0,0,0.0,0,comencé,AUX,31.45698356628418,45966
124,on,ADP,21.572845458984375,45966,a,ADP,33.504493713378906,45966
125,working,VERB,24.641862869262695,45966,trabajar,VERB,36.494361877441406,45966
126,0,0,0.0,0,en,ADP,34.70878601074219,45966
127,signals,NOUN,21.517433166503906,45966,señales,NOUN,36.99119567871094,45966
128,wireless,ADJ,19.11785316467285,45966,inalámbricas,ADJ,37.133262634277344,45966
129,.,PUNCT,21.106721878051758,45966,.,PUNCT,33.91012954711914,45966
130,These,DET,21.311847686767578,51184,Estas,PRON,30.315919876098633,51184
131,are,AUX,23.209747314453125,51184,son,AUX,33.54924774169922,51184
132,things,NOUN,25.888212203979492,51184,cosas,NOUN,33.716060638427734,51184
133,like,SCONJ,18.576025009155273,51184,como,SCONJ,35.059364318847656,51184
134,Wi,PROPN,18.562196731567383,51184,Wi,PROPN,31.55766487121582,51184
135,-,PUNCT,19.188505172729492,51184,-,PUNCT,32.001407623291016,51184
136,Fi,PROPN,19.731700897216797,51184,Fi,PROPN,27.92930793762207,51184
137,or,CCONJ,23.099294662475586,51184,o,CONJ,31.294612884521484,51184
138,cellular,ADJ,19.997581481933594,51184,celulares,ADJ,35.12885665893555,51184
139,systems,NOUN,21.801387786865234,51184,sistemas,NOUN,35.27085494995117,51184
140,",",PUNCT,20.060930252075195,51184,",",PUNCT,31.570659637451172,51184
141,and,CCONJ,19.626510620117188,54351,e,CONJ,33.85022735595703,54351
142,I,PRON,26.467294692993164,54351,hice,VERB,35.97165298461914,54351
143,did,AUX,24.551538467407227,54351,0,0,0.0,0
144,a,DET,23.541425704956055,54351,mucho,DET,34.82587814331055,54351
145,lot,NOUN,23.340232849121094,54351,trabajo,NOUN,34.63406753540039,54351
146,of,ADP,25.57489776611328,54351,en,ADP,34.1005973815918,54351
147,work,NOUN,22.404462814331055,54351,dominio,NOUN,34.36735916137695,54351
148,in,ADP,20.79693603515625,54351,0,0,0.0,0
149,that,DET,23.295101165771484,54351,ese,DET,37.11125183105469,54351
150,domain,NOUN,20.767210006713867,54351,0,0,0.0,0
151,.,PUNCT,21.206443786621094,54351,.,PUNCT,31.783674240112305,54351
152,But,CCONJ,21.081409454345703,57489,Pero,CONJ,34.10177230834961,57489
153,",",PUNCT,19.436433792114258,57489,",",PUNCT,30.835155487060547,57489
154,then,ADV,20.935583114624023,57489,una,DET,32.87616729736328,57489
155,0,0,0.0,0,vez,NOUN,32.505340576171875,57489
156,again,ADV,20.868419647216797,57489,más,ADV,34.77701187133789,57489
157,",",PUNCT,19.828073501586914,57489,",",PUNCT,31.246532440185547,57489
158,this,DET,21.390962600708008,57489,esta,DET,34.63400650024414,57489
159,thing,NOUN,22.323211669921875,57489,cosa,NOUN,33.788333892822266,57489
160,kept,VERB,23.370119094848633,57489,de,ADP,31.370527267456055,57489
161,me,PRON,24.27935218811035,57489,la,DET,31.91301727294922,57489
162,Force,PROPN,19.594308853149414,57489,Fuerza,PROPN,37.80632400512695,57489
163,0,0,0.0,0,no,ADV,32.85444259643555,57489
164,nagging,VERB,23.70265769958496,57489,dejaba,VERB,35.965457916259766,57489
165,0,0,0.0,0,de,ADP,31.6715030670166,57489
166,0,0,0.0,0,fastidiarme,NOUN,28.055805206298828,57489
167,",",PUNCT,20.141435623168945,57489,",",PUNCT,28.781829833984375,57489
168,and,CCONJ,20.57366180419922,62102,y,CONJ,32.49908447265625,62102
169,at,ADP,21.426389694213867,62102,en,ADP,32.93229675292969,62102
170,some,DET,23.1326847076416,62102,algún,DET,35.5498046875,62102
171,point,NOUN,19.71340560913086,62102,momento,NOUN,32.05038070678711,62102
172,",",PUNCT,21.286184310913086,62102,",",PUNCT,30.194849014282227,62102
173,I,PRON,23.45413589477539,62102,pensé,VERB,31.485563278198242,62102
174,was,AUX,24.26285171508789,62102,0,0,0.0,0
175,just,ADV,23.63591957092285,62102,0,0,0.0,0
176,like,INTJ,19.34649658203125,62102,0,0,0.0,0
177,",",PUNCT,21.664670944213867,62102,:,PUNCT,31.9832763671875,62102
178,"""",PUNCT,20.917285919189453,64051,"""",PUNCT,31.227909088134766,64051
179,Wait,VERB,21.077556610107422,64051,0,0,0.0,0
180,a,DET,22.086864471435547,64051,Un,DET,33.51142883300781,64051
181,minute,NOUN,17.752456665039062,64051,momento,NOUN,31.364336013793945,64051
182,",",PUNCT,20.120031356811523,64051,",",PUNCT,30.612363815307617,64051
183,these,DET,21.38533592224121,64051,estas,DET,34.72303771972656,64051
184,wireless,ADJ,19.310396194458008,64051,inalámbricas,ADJ,37.21269607543945,64051
185,signals,NOUN,21.644397735595703,64051,señales,NOUN,37.18687438964844,64051
186,--,PUNCT,21.06707000732422,64051,"""",PUNCT,32.06877899169922,64051
187,they,PRON,24.588411331176758,64051,0,0,0.0,0
188,are,AUX,25.24110221862793,64051,son,AUX,35.64347839355469,64051
189,like,SCONJ,19.06277847290039,64051,como,SCONJ,35.262569427490234,64051
190,the,DET,19.756147384643555,64051,la,DET,29.821619033813477,64051
191,Force,PROPN,19.431629180908203,64051,Fuerza,PROPN,35.42310333251953,64051
192,.,PUNCT,20.93473243713379,64051,.,PUNCT,33.011924743652344,64051
193,"""",PUNCT,21.15072250366211,64051,0,0,0.0,0
194,So,CCONJ,20.69540786743164,68727,Así,ADV,37.04951858520508,68727
195,if,SCONJ,21.347822189331055,68727,si,SCONJ,33.38329315185547,68727
196,you,PRON,25.12984275817871,68727,",",PUNCT,29.22675895690918,68727
197,think,VERB,22.973312377929688,68727,piensan,VERB,34.994537353515625,68727
198,about,ADP,21.438724517822266,68727,0,0,0.0,0
199,it,PRON,22.483673095703125,68727,lo,PRON,31.977638244628906,68727
200,",",PUNCT,21.353897094726562,68727,",",PUNCT,28.827009201049805,68727
201,wireless,ADJ,17.99396514892578,69945,inalámbricas,ADJ,36.3693962097168,69945
202,signals,NOUN,20.271636962890625,69945,señales,NOUN,36.106876373291016,69945
203,",",PUNCT,22.830385208129883,69945,las,DET,31.805370330810547,69945
204,they,PRON,23.742172241210938,69945,el,DET,35.6551628112793,69945
205,travel,VERB,21.745647430419922,69945,viajan,VERB,35.938106536865234,69945
206,through,ADP,20.304832458496094,69945,por,ADP,32.583343505859375,69945
207,space,NOUN,17.533689498901367,69945,espacio,NOUN,30.649423599243164,69945
208,",",PUNCT,21.99713897705078,69945,",",PUNCT,28.319429397583008,69945
209,they,PRON,26.437368392944336,72600,0,0,0.0,0
210,go,VERB,23.358055114746094,72600,pasan,VERB,35.98447036743164,72600
211,through,ADP,22.177865982055664,72600,por,ADP,34.0838623046875,72600
212,obstacles,NOUN,20.30103302001953,72600,obstáculos,NOUN,32.55906295776367,72600
213,and,CCONJ,23.19556999206543,72600,",",PUNCT,31.97570037841797,72600
214,walls,NOUN,20.747173309326172,72600,paredes,NOUN,32.88071060180664,72600
215,and,CCONJ,24.255294799804688,72600,y,CONJ,33.662967681884766,72600
216,occlusions,NOUN,19.624814987182617,72600,oclusiones,NOUN,32.9556770324707,72600
