,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,A,DET,23.45823860168457,12645,Una,DET,31.756271362304688,12645
1,herd,NOUN,19.96628189086914,12645,manada,NOUN,31.131614685058594,12645
2,of,ADP,24.389179229736328,12645,de,ADP,30.731006622314453,12645
3,wildebeests,NOUN,20.850271224975586,12645,ñus,PROPN,30.78851318359375,12645
4,",",PUNCT,21.335575103759766,12645,",",PUNCT,28.350860595703125,12645
5,a,DET,21.098445892333984,12645,un,DET,34.30864334106445,12645
6,shoal,NOUN,18.270463943481445,12645,banco,NOUN,31.018787384033203,12645
7,of,ADP,22.26103973388672,12645,de,ADP,32.522438049316406,12645
8,fish,NOUN,17.789350509643555,12645,peces,NOUN,31.305160522460938,12645
9,",",PUNCT,20.50312042236328,12645,",",PUNCT,30.91980743408203,12645
10,a,DET,23.038593292236328,15196,una,DET,32.12929153442383,15196
11,flock,NOUN,20.104524612426758,15196,bandada,NOUN,32.502769470214844,15196
12,of,ADP,22.28251075744629,15196,de,ADP,30.857337951660156,15196
13,birds,NOUN,18.714967727661133,15196,pájaros,NOUN,33.18244171142578,15196
14,.,PUNCT,22.442432403564453,15196,.,PUNCT,33.37637710571289,15196
15,Many,ADJ,21.40108299255371,16825,Muchos,DET,31.825586318969727,16825
16,animals,NOUN,23.570846557617188,16825,animales,NOUN,35.36697006225586,16825
17,0,0,0.0,0,se,PRON,33.70256042480469,16825
18,gather,VERB,22.842798233032227,16825,reúnen,VERB,37.21718978881836,16825
19,in,ADP,21.979867935180664,16825,en,ADP,32.991355895996094,16825
20,large,ADJ,21.269935607910156,16825,grandes,ADJ,34.16547393798828,16825
21,groups,NOUN,21.46359634399414,16825,grupos,NOUN,35.23878479003906,16825
22,that,DET,19.609949111938477,18893,que,SCONJ,32.39292907714844,18893
23,are,AUX,22.517131805419922,18893,son,AUX,32.815372467041016,18893
24,0,0,0.0,0,algunos,PRON,35.60502243041992,18893
25,among,ADP,21.15425682067871,18893,de,ADP,31.40746307373047,18893
26,the,DET,20.403690338134766,18893,los,DET,36.04938888549805,18893
27,spectacles,NOUN,20.505964279174805,18893,espectáculos,NOUN,34.222747802734375,18893
28,most,ADV,20.183013916015625,18893,más,ADV,36.27089309692383,18893
29,wonderful,ADJ,18.51443862915039,18893,maravillosos,ADJ,37.64433670043945,18893
30,in,ADP,20.648229598999023,20879,en,ADP,32.947513580322266,20879
31,the,DET,21.830331802368164,20879,el,DET,35.06454086303711,20879
32,natural,ADJ,20.946285247802734,20879,natural,ADJ,34.565940856933594,20879
33,world,NOUN,19.04021453857422,20879,mundo,NOUN,31.921798706054688,20879
34,.,PUNCT,21.57799530029297,20879,.,PUNCT,33.62269973754883,20879
35,But,CCONJ,20.904937744140625,22597,Pero,CONJ,33.488460540771484,22597
36,why,ADV,20.97832489013672,22597,¿,PUNCT,28.551963806152344,22597
37,do,AUX,23.453922271728516,22597,por,ADP,33.979496002197266,22597
38,0,0,0.0,0,qué,PRON,33.71220779418945,22597
39,0,0,0.0,0,se,PRON,31.886180877685547,22597
40,form,VERB,23.19668960571289,22597,forman,VERB,38.19762420654297,22597
41,these,DET,21.12077522277832,22597,estos,DET,35.5952033996582,22597
42,groups,NOUN,21.31903076171875,22597,grupos,NOUN,34.315650939941406,22597
43,?,PUNCT,21.450016021728516,22597,?,PUNCT,32.16108322143555,22597
44,The,DET,21.354928970336914,25321,Las,DET,31.533964157104492,25321
45,answers,NOUN,23.29450798034668,25321,respuestas,NOUN,35.97508239746094,25321
46,0,0,0.0,0,más,ADV,37.63685989379883,25321
47,common,ADJ,19.62087631225586,25321,comunes,ADJ,34.6976318359375,25321
48,include,VERB,24.82649040222168,25321,incluyen,VERB,37.68549728393555,25321
49,things,NOUN,22.747154235839844,25321,cosas,NOUN,33.21995162963867,25321
50,like,SCONJ,17.870573043823242,25321,como,SCONJ,34.70003128051758,25321
51,seeking,VERB,23.376279830932617,26958,la,DET,34.76520919799805,26958
52,safety,NOUN,19.419633865356445,26958,búsqueda,NOUN,30.05331802368164,26958
53,in,ADP,21.469148635864258,26958,de,ADP,30.27082633972168,26958
54,numbers,NOUN,20.657554626464844,26958,seguridad,NOUN,31.095346450805664,26958
55,in,ADP,20.735620498657227,26958,en,ADP,31.194612503051758,26958
56,or,CCONJ,23.76168441772461,26958,los,DET,34.6004524230957,26958
57,hunting,NOUN,21.315778732299805,26958,números,NOUN,34.23313522338867,26958
58,0,0,0.0,0,o,CONJ,33.31251525878906,26958
59,0,0,0.0,0,la,DET,33.693206787109375,26958
60,packs,NOUN,19.75105857849121,26958,caza,NOUN,29.320831298828125,26958
61,0,0,0.0,0,en,ADP,33.29068374633789,26958
62,0,0,0.0,0,grupos,NOUN,33.75663375854492,26958
63,or,CCONJ,21.538969039916992,29924,o,CONJ,34.26683807373047,29924
64,gathering,VERB,20.751474380493164,29924,reunirse,PROPN,31.377429962158203,29924
65,to,PART,23.182476043701172,29924,para,ADP,35.82304763793945,29924
66,mate,VERB,23.529193878173828,29924,aparearse,PROPN,32.15434646606445,29924
67,or,CCONJ,23.565523147583008,29924,o,CONJ,33.98180389404297,29924
68,breed,VERB,21.641515731811523,29924,reproducirse,PROPN,32.07254409790039,29924
69,",",PUNCT,20.76595115661621,29924,",",PUNCT,32.26980972290039,29924
70,and,CCONJ,18.691295623779297,32420,y,CONJ,33.776031494140625,32420
71,all,DET,21.63072395324707,32420,todas,DET,33.51789855957031,32420
72,of,ADP,22.074466705322266,32420,0,0,0.0,0
73,these,DET,22.855817794799805,32420,estas,DET,31.57364845275879,32420
74,explanations,NOUN,21.378135681152344,32420,explicaciones,NOUN,34.37831115722656,32420
75,",",PUNCT,19.984134674072266,32420,",",PUNCT,31.12611961364746,32420
76,while,SCONJ,19.90353012084961,34088,aunque,SCONJ,36.20592498779297,34088
77,often,ADV,20.269010543823242,34088,a,ADP,31.052160263061523,34088
78,0,0,0.0,0,menudo,NOUN,31.557653427124023,34088
79,true,ADJ,19.970340728759766,34088,verdaderas,ADJ,30.85368537902832,34088
80,",",PUNCT,19.54683494567871,34088,",",PUNCT,30.883333206176758,34088
81,make,VERB,22.304594039916992,35325,hacen,VERB,35.90708541870117,35325
82,a,DET,21.77327537536621,35325,una,DET,35.262062072753906,35325
83,huge,ADJ,22.481691360473633,35325,gran,ADJ,36.90720748901367,35325
84,assumption,NOUN,20.823423385620117,35325,suposición,NOUN,32.87060546875,35325
85,about,ADP,22.73179054260254,35325,sobre,ADP,31.7514591217041,35325
86,animal,NOUN,19.903919219970703,35325,el,DET,34.487571716308594,35325
87,behavior,NOUN,20.637466430664062,35325,comportamiento,NOUN,31.809898376464844,35325
88,0,0,0.0,0,animal,ADJ,33.510520935058594,35325
89,",",PUNCT,22.60649871826172,35325,",",PUNCT,29.753517150878906,35325
90,that,SCONJ,18.532787322998047,38368,que,SCONJ,31.748977661132812,38368
91,the,DET,21.077219009399414,38368,los,DET,34.87944030761719,38368
92,animals,NOUN,24.198556900024414,38368,animales,NOUN,36.40019607543945,38368
93,are,AUX,22.40045738220215,38368,están,AUX,35.30188751220703,38368
94,in,ADP,23.644987106323242,38368,en,ADP,33.86392593383789,38368
95,control,NOUN,19.91083335876465,38368,control,NOUN,32.26372146606445,38368
96,of,ADP,24.276464462280273,38368,de,ADP,30.468908309936523,38368
97,their,DET,24.021453857421875,38368,sus,DET,31.471797943115234,38368
98,own,ADJ,22.566204071044922,38368,propias,ADJ,36.45563888549805,38368
99,actions,NOUN,23.914392471313477,38368,acciones,NOUN,36.71900939941406,38368
100,",",PUNCT,21.243013381958008,38368,",",PUNCT,31.489299774169922,38368
101,that,SCONJ,20.886289596557617,41545,que,SCONJ,31.770076751708984,41545
102,they,PRON,25.168306350708008,41545,0,0,0.0,0
103,are,AUX,25.14592933654785,41545,están,AUX,35.30769729614258,41545
104,in,ADP,21.976791381835938,41545,a,ADP,33.73806381225586,41545
105,charge,NOUN,21.01776695251465,41545,cargo,NOUN,30.19626235961914,41545
106,of,ADP,24.143178939819336,41545,de,ADP,30.603586196899414,41545
107,their,DET,23.90255355834961,41545,sus,DET,32.556060791015625,41545
108,bodies,NOUN,20.812278747558594,41545,cuerpos,NOUN,35.20896530151367,41545
109,.,PUNCT,21.040571212768555,41545,.,PUNCT,33.18368911743164,41545
110,And,CCONJ,19.573471069335938,43796,Y,CONJ,34.92130661010742,43796
111,that,DET,18.496915817260742,43796,que,SCONJ,31.530759811401367,43796
112,0,0,0.0,0,a,ADP,32.810298919677734,43796
113,0,0,0.0,0,menudo,NOUN,32.004173278808594,43796
114,not,PART,22.27194595336914,43796,ese,PRON,32.495819091796875,43796
115,often,ADV,22.231807708740234,43796,no,ADV,33.47291946411133,43796
116,is,AUX,22.978038787841797,43796,es,AUX,32.74147033691406,43796
117,the,DET,21.399856567382812,43796,el,DET,33.13261795043945,43796
118,case,NOUN,17.63639259338379,43796,caso,NOUN,31.28704261779785,43796
119,.,PUNCT,22.258161544799805,43796,.,PUNCT,31.953445434570312,43796
120,This,DET,24.128543853759766,47223,Esta,PRON,32.16416931152344,47223
121,is,AUX,21.46885871887207,47223,es,AUX,31.50609588623047,47223
122,Artemia,PROPN,20.993165969848633,47223,Artemia,PROPN,35.24463653564453,47223
123,",",PUNCT,20.538511276245117,47223,",",PUNCT,28.580350875854492,47223
124,a,DET,21.347658157348633,47223,un,DET,34.51122283935547,47223
125,brine,NOUN,18.920679092407227,47223,camarón,NOUN,31.356237411499023,47223
126,0,0,0.0,0,de,ADP,30.677417755126953,47223
127,shrimp,NOUN,19.90315055847168,47223,salmuera,NOUN,31.60333251953125,47223
128,.,PUNCT,20.786346435546875,47223,.,PUNCT,33.242530822753906,47223
129,You,PRON,24.6651554107666,50147,lo,PRON,31.380624771118164,50147
