,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.67081642150879,12659,0,0,0.0,0
1,'m,AUX,22.58260726928711,12659,Soy,AUX,30.27534294128418,12659
2,an,DET,22.220224380493164,12659,un,DET,38.96565246582031,12659
3,exhausted,ADJ,21.617591857910156,12659,agotado,ADJ,34.9088249206543,12659
4,dad,NOUN,19.197298049926758,12659,padre,NOUN,34.9819450378418,12659
5,.,PUNCT,19.64492416381836,12659,",",PUNCT,30.13324546813965,12659
6,Currently,ADV,20.118623733520508,15310,actualmente,ADV,35.99516296386719,15310
7,owned,VERB,22.382827758789062,15310,0,0,0.0,0
8,and,CCONJ,22.397327423095703,15310,0,0,0.0,0
9,dominated,VERB,24.539669036865234,15310,mini,PROPN,32.2379264831543,15310
10,by,ADP,22.065771102905273,15310,por,ADP,32.579429626464844,15310
11,two,NUM,22.584115982055664,15310,dos,NUM,35.146080017089844,15310
12,mini,ADJ,19.94725227355957,15310,dominado,ADJ,35.20000076293945,15310
13,dictators,NOUN,19.191221237182617,15310,dictadores,NOUN,33.01044845581055,15310
14,",",PUNCT,20.26569175720215,15310,0,0,0.0,0
15,who,PRON,21.743852615356445,19389,que,SCONJ,32.390865325927734,19389
16,rule,VERB,22.26131248474121,19389,gobiernan,VERB,37.183860778808594,19389
17,my,DET,23.23611831665039,19389,mi,DET,36.62001419067383,19389
18,life,NOUN,20.709997177124023,19389,vida,NOUN,33.226837158203125,19389
19,with,ADP,21.48799705505371,19389,con,ADP,33.332725524902344,19389
20,iron,NOUN,20.91358757019043,19389,puño,NOUN,32.60646057128906,19389
21,an,DET,22.5733585357666,19389,de,ADP,29.94426727294922,19389
22,fist,NOUN,21.093048095703125,19389,acero,NOUN,30.83661651611328,19389
23,0,0,0.0,0,a,ADP,33.93424606323242,19389
24,their,DET,22.89557647705078,19389,la,DET,31.590356826782227,19389
25,diapers,NOUN,20.37132453918457,19389,vez,NOUN,36.10924530029297,19389
26,while,SCONJ,22.36298942565918,19389,que,SCONJ,31.926761627197266,19389
27,wearing,VERB,29.008834838867188,19389,usan,VERB,35.146114349365234,19389
28,Huggies,PROPN,20.49985122680664,19389,pañales,ADJ,33.47475051879883,19389
29,.,PUNCT,20.079465866088867,19389,.,PUNCT,33.247596740722656,19389
30,(,PUNCT,19.138301849365234,23595,(,PUNCT,28.748825073242188,23595
31,Laughter,PROPN,20.165264129638672,23595,Risas,PROPN,34.865478515625,23595
32,),PUNCT,20.96363067626953,23595,),PUNCT,32.331058502197266,23595
33,Now,ADV,22.500394821166992,24976,Probablemente,ADV,32.04854965209961,24976
34,probably,ADV,22.03534507751465,24976,debido,ADJ,34.28544616699219,24976
35,because,SCONJ,21.069717407226562,24976,a,ADP,31.029600143432617,24976
36,I,PRON,23.411001205444336,24976,0,0,0.0,0
37,'ve,AUX,22.085779190063477,24976,haber,AUX,38.50242233276367,24976
38,been,AUX,26.50247573852539,24976,demasiado,DET,34.43508529663086,24976
39,drowning,VERB,22.761962890625,24976,pasado,VERB,36.77008056640625,24976
40,in,ADP,20.688568115234375,24976,con,ADP,33.761627197265625,24976
