,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,You,PRON,24.09397315979004,12680,Nunca,ADV,32.267948150634766,12680
1,I,PRON,24.711593627929688,12680,me,PRON,31.78782081604004,12680
2,know,VERB,23.52245330810547,12680,propuse,VERB,34.48446273803711,12680
3,did,AUX,24.4688663482666,12680,ser,AUX,34.59852600097656,12680
4,set,VERB,22.14862823486328,12680,experta,VERB,34.164344787597656,12680
5,n't,PART,24.421463012695312,12680,en,ADP,35.79630661010742,12680
6,parenting,NOUN,20.251224517822266,12680,crianza,NOUN,30.655426025390625,12680
7,out,ADP,21.196941375732422,12680,de,ADP,30.81943702697754,12680
8,to,PART,22.03189468383789,12680,hijos,NOUN,34.10087585449219,12680
9,",",PUNCT,20.77170181274414,12680,.,PUNCT,33.247867584228516,12680
10,a,DET,22.67763900756836,12680,De,ADP,33.4271125793457,16496
11,expert,NOUN,19.25625991821289,12680,hecho,NOUN,29.970258712768555,16496
12,.,PUNCT,22.361465454101562,12680,",",PUNCT,29.33199691772461,16496
13,0,0,0.0,0,no,ADV,31.759258270263672,16496
14,be,AUX,24.7250919342041,12680,estoy,AUX,35.91743087768555,16496
15,0,0,0.0,0,muy,ADV,38.40908432006836,16496
16,0,0,0.0,0,interesada,ADJ,35.82289505004883,16496
17,0,0,0.0,0,en,ADP,34.22443771362305,16496
18,0,0,0.0,0,la,DET,33.604530334472656,16496
19,0,0,0.0,0,crianza,NOUN,30.17469596862793,16496
20,0,0,0.0,0,de,ADP,31.41439437866211,16496
21,0,0,0.0,0,los,DET,35.6993293762207,16496
22,0,0,0.0,0,hijos,NOUN,35.34422302246094,16496
23,0,0,0.0,0,",",PUNCT,31.84625244140625,16496
24,0,0,0.0,0,per,ADP,30.63527488708496,16496
25,0,0,0.0,0,se,PRON,33.72347640991211,16496
26,0,0,0.0,0,.,PUNCT,33.71337127685547,16496
27,'s,AUX,22.787824630737305,21080,Es,AUX,36.31679153442383,21080
28,It,PRON,22.852489471435547,21080,solo,ADJ,35.26262664794922,21080
29,that,SCONJ,20.59412956237793,21080,que,SCONJ,33.62415313720703,21080
30,'s,AUX,22.57386589050293,21080,hay,AUX,33.366127014160156,21080
31,there,PRON,24.540021896362305,21080,un,DET,36.316184997558594,21080
32,a,DET,20.84996223449707,21080,cierto,DET,37.382747650146484,21080
33,just,ADV,24.589784622192383,21080,estilo,NOUN,33.38428497314453,21080
34,certain,ADJ,22.223323822021484,21080,de,ADP,31.348291397094727,21080
35,style,NOUN,21.205642700195312,21080,crianza,NOUN,30.550853729248047,21080
36,of,ADP,23.46283721923828,21080,en,ADP,32.21290588378906,21080
37,these,DET,23.12796974182129,21080,estos,DET,34.63307571411133,21080
38,days,NOUN,20.55691146850586,21080,días,NOUN,35.29885482788086,21080
39,0,0,0.0,0,que,SCONJ,31.928874969482422,25016
40,parenting,VERB,23.841835021972656,21080,echa,VERB,36.448150634765625,25016
41,0,0,0.0,0,a,ADP,34.21086883544922,25016
42,0,0,0.0,0,perder,VERB,35.90806579589844,25016
43,0,0,0.0,0,a,ADP,33.49285888671875,25016
44,0,0,0.0,0,los,DET,36.465641021728516,25016
45,0,0,0.0,0,niños,NOUN,35.43803787231445,25016
46,0,0,0.0,0,",",PUNCT,30.737838745117188,25016
47,messing,VERB,22.65755844116211,25040,obstaculizando,VERB,34.0279426574707,28192
48,that,DET,18.912334442138672,25040,sus,DET,34.15463638305664,28192
49,kind,ADV,22.470272064208984,25040,posibilidades,NOUN,35.69160079956055,28192
50,is,AUX,23.919761657714844,25040,de,ADP,31.54824447631836,28192
51,kids,NOUN,21.02297592163086,25040,convertirse,NOUN,31.929489135742188,28192
52,up,ADP,23.02854347229004,25040,en,ADP,34.676883697509766,28192
53,of,ADV,22.565969467163086,25040,ellos,PRON,31.86292266845703,28192
54,0,0,0.0,0,mismos,PRON,31.031543731689453,28192
55,",",PUNCT,20.43596076965332,25040,.,PUNCT,33.14080810546875,28192
56,impeding,VERB,25.734996795654297,28239,Un,DET,33.814552307128906,33249
57,their,DET,23.89177703857422,28239,cierto,DET,37.203590393066406,33249
58,chances,NOUN,23.152114868164062,28239,estilo,NOUN,33.43147277832031,33249
59,to,PART,24.211318969726562,28239,de,ADP,31.329055786132812,33249
60,develop,VERB,26.504337310791016,28239,crianza,NOUN,30.558914184570312,33249
61,into,ADP,22.10622787475586,28239,en,ADP,32.21290588378906,33249
62,.,PUNCT,22.047998428344727,28239,estos,DET,34.63307571411133,33249
63,theirselves,NOUN,20.98493003845215,28239,días,NOUN,35.29885482788086,33249
64,There,PRON,22.575454711914062,33320,se,PRON,32.22697830200195,35465
65,'s,AUX,22.476789474487305,33320,que,SCONJ,33.8719367980957,35465
66,a,DET,20.51972770690918,33320,0,0,0.0,0
67,certain,ADJ,22.298349380493164,33320,mucho,ADV,31.99759864807129,35465
68,style,NOUN,21.26305389404297,33320,.,PUNCT,34.04180145263672,35465
69,of,ADP,23.46283721923828,33320,0,0,0.0,0
70,parenting,VERB,23.841835021972656,33320,usa,VERB,34.88275909423828,35465
71,these,DET,23.12796974182129,33320,0,0,0.0,0
72,days,NOUN,20.55691146850586,33320,0,0,0.0,0
73,that,DET,18.628787994384766,35560,Lo,DET,33.13908386230469,36801
74,'s,AUX,21.72645378112793,35560,estoy,AUX,35.219566345214844,36801
75,getting,VERB,22.171092987060547,35560,diciendo,VERB,32.02602767944336,36801
76,in,ADP,21.185039520263672,35560,que,PRON,31.67593765258789,36801
77,the,DET,23.571626663208008,35560,es,AUX,34.556365966796875,36801
78,way,NOUN,20.350749969482422,35560,que,SCONJ,33.3470573425293,36801
79,.,PUNCT,21.483810424804688,35560,0,0,0.0,0
80,I,PRON,25.123271942138672,36920,mucho,DET,35.05742263793945,38417
81,guess,VERB,22.456283569335938,36920,pasamos,VERB,35.480255126953125,38417
82,what,PRON,19.821426391601562,36920,tiempo,NOUN,34.25728988647461,38417
83,I,PRON,25.4967041015625,36920,preocupados,ADJ,33.155879974365234,38417
84,'m,AUX,23.788734436035156,36920,0,0,0.0,0
