,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.576717376708984,12860,0,0,0.0,0
1,'m,AUX,22.092649459838867,12860,para,ADP,33.5109748840332,12860
2,here,ADV,19.019079208374023,12860,aquí,ADV,35.987449645996094,12860
3,to,PART,24.38742446899414,12860,ofrecerles,NOUN,33.726505279541016,12860
4,offer,VERB,25.162656784057617,12860,Estoy,VERB,31.60285186767578,12860
5,you,PRON,22.240821838378906,12860,nueva,ADJ,34.377445220947266,12860
6,a,DET,21.372940063476562,12860,una,DET,33.085994720458984,12860
7,new,ADJ,22.70113754272461,12860,artificial,ADJ,34.17179870605469,16634
8,way,NOUN,22.083452224731445,12860,forma,NOUN,34.9210205078125,12860
9,to,PART,22.92200469970703,12860,de,ADP,31.557538986206055,12860
10,think,VERB,23.533485412597656,12860,pensar,VERB,35.73072814941406,12860
11,about,ADP,21.433351516723633,12860,sobre,ADP,31.272802352905273,12860
12,my,DET,20.642248153686523,12860,la,DET,34.31244659423828,16634
13,field,NOUN,18.202415466308594,12860,inteligencia,NOUN,32.31900405883789,16634
14,",",PUNCT,20.09303092956543,12860,.,PUNCT,33.87983703613281,16634
15,think,VERB,23.867918014526367,18427,Creo,VERB,35.96243667602539,18427
16,I,PRON,25.490894317626953,18427,que,SCONJ,31.425765991210938,18427
17,the,DET,22.771371841430664,18427,el,DET,33.70269012451172,18427
18,purpose,NOUN,20.142620086669922,18427,objetivo,NOUN,30.995159149169922,18427
19,of,ADP,24.134981155395508,18427,de,ADP,30.93892478942871,18427
20,0,0,0.0,0,la,DET,33.32512283325195,18427
21,AI,PROPN,20.135000228881836,18427,IA,PROPN,35.58880615234375,18427
22,is,AUX,21.4654483795166,20465,es,AUX,34.235435485839844,20465
23,empower,VERB,24.0267276763916,20465,capacitar,VERB,36.77185821533203,20465
24,to,PART,23.185213088989258,20465,a,ADP,33.445858001708984,20465
25,0,0,0.0,0,los,DET,35.75434875488281,20465
26,humans,NOUN,23.008464813232422,20465,humanos,NOUN,34.08102035522461,20465
27,with,ADP,21.690513610839844,20465,con,ADP,32.50308609008789,20465
28,0,0,0.0,0,la,DET,33.3336067199707,20465
29,intelligence,NOUN,18.962549209594727,20465,inteligencia,NOUN,31.754680633544922,20465
30,0,0,0.0,0,de,ADP,30.786128997802734,20465
31,0,0,0.0,0,la,DET,32.34892654418945,20465
32,machine,NOUN,19.767099380493164,20465,máquina,NOUN,31.28707504272461,20465
33,.,PUNCT,20.702409744262695,20465,.,PUNCT,33.33882522583008,20465
34,0,0,0.0,0,Y,CONJ,35.22766876220703,24856
