,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,And,CCONJ,19.059011459350586,14392,sabemos,VERB,34.120033264160156,12365
1,that,DET,20.276660919189453,14392,que,SCONJ,31.033767700195312,12365
2,'s,AUX,23.137285232543945,14392,es,AUX,35.03614044189453,12365
3,what,PRON,22.722572326660156,14392,Todos,PRON,32.996070861816406,12365
4,I,PRON,24.662616729736328,14392,ahorrar,VERB,34.02592849731445,12365
5,'m,AUX,22.59309196472168,14392,deberíamos,AUX,30.77153205871582,12365
6,here,ADV,19.17593002319336,14392,importante,ADJ,35.46152877807617,12365
7,to,PART,23.016380310058594,14392,y,CONJ,34.76198196411133,12365
8,teach,VERB,25.790800094604492,14392,hacerlo,VERB,33.51023864746094,12365
9,you,PRON,23.21280288696289,14392,que,PRON,32.598487854003906,12365
10,.,PUNCT,21.326622009277344,14392,.,PUNCT,33.242515563964844,12365
11,Your,DET,21.950159072875977,16242,Pero,CONJ,33.71680450439453,15816
12,savings,NOUN,21.250810623168945,16242,",",PUNCT,28.948280334472656,15816
13,behavior,NOUN,20.690759658813477,16242,general,NOUN,30.550025939941406,15816
14,is,AUX,24.843374252319336,16242,en,ADP,32.25619888305664,15816
15,n't,PART,23.675724029541016,16242,",",PUNCT,30.573314666748047,15816
16,a,DET,22.46410369873047,16242,cada,DET,34.93312072753906,15816
17,question,NOUN,22.129737854003906,16242,vez,NOUN,31.84154510498047,15816
18,of,ADP,24.425687789916992,16242,ahorramos,VERB,32.88046646118164,15816
19,how,ADV,23.43767547607422,16242,menos,ADV,36.8635139465332,15816
20,smart,ADJ,22.221824645996094,16242,.,PUNCT,33.41613006591797,15816
21,you,PRON,22.22962188720703,16242,0,0,0.0,0
22,are,AUX,24.977615356445312,16242,0,0,0.0,0
23,or,CCONJ,20.859424591064453,19099,[,PROPN,35.17890930175781,18477
24,how,ADV,24.303895950317383,19099,0,0,0.0,0
25,much,ADV,24.29787254333496,19099,trabajamos,VERB,32.74525833129883,18477
26,willpower,ADJ,19.926189422607422,19099,],ADJ,30.346935272216797,18477
27,you,PRON,23.78298568725586,19099,Cómo,PRON,34.17404556274414,18477
28,have,AUX,23.34583282470703,19099,0,0,0.0,0
29,.,PUNCT,21.028491973876953,19099,0,0,0.0,0
30,The,DET,22.85247230529785,20633,0,0,0.0,0
31,amount,NOUN,19.167835235595703,20633,0,0,0.0,0
32,we,PRON,22.7247314453125,20633,0,0,0.0,0
33,save,VERB,20.909759521484375,20633,0,0,0.0,0
34,depends,VERB,21.48606300354004,20633,0,0,0.0,0
35,on,ADP,21.417491912841797,20633,0,0,0.0,0
36,the,DET,21.273387908935547,20633,0,0,0.0,0
37,environmental,ADJ,20.74590492248535,20633,0,0,0.0,0
38,cues,NOUN,20.752445220947266,20633,0,0,0.0,0
39,around,ADP,25.432464599609375,20633,0,0,0.0,0
40,us,PRON,25.00883674621582,20633,0,0,0.0,0
41,.,PUNCT,21.125877380371094,20633,0,0,0.0,0
42,Let,VERB,23.154056549072266,23934,Sabemos,VERB,31.60958480834961,22822
43,me,PRON,25.62339973449707,23934,que,PRON,32.39899444580078,22822
44,give,VERB,24.387475967407227,23934,tenemos,VERB,35.03117370605469,22822
45,you,PRON,23.496835708618164,23934,que,SCONJ,30.839820861816406,22822
46,an,DET,22.251924514770508,23934,lo,DET,34.78548049926758,22822
47,example,NOUN,19.280479431152344,23934,hacer,VERB,36.969207763671875,22822
48,.,PUNCT,22.246156692504883,23934,.,PUNCT,33.95947265625,22822
49,We,PRON,24.46206283569336,25371,cómo,PRON,32.417083740234375,24433
50,ran,VERB,26.3896541595459,25371,hacerlo,VERB,32.75163269042969,24433
51,a,DET,23.344791412353516,25371,La,DET,33.43655014038086,24433
52,study,NOUN,18.84636878967285,25371,pregunta,NOUN,32.796119689941406,24433
53,in,ADP,19.541622161865234,25371,es,AUX,33.444461822509766,24433
54,which,DET,21.222675323486328,25371,0,0,0.0,0
55,",",PUNCT,21.066818237304688,25371,.,PUNCT,33.95252227783203,24433
56,in,ADP,19.369375228881836,25371,0,0,0.0,0
57,one,NUM,22.664743423461914,25371,0,0,0.0,0
58,group,NOUN,18.390439987182617,25371,0,0,0.0,0
59,",",PUNCT,19.459115982055664,25371,0,0,0.0,0
60,we,PRON,25.404638290405273,27903,que,PRON,32.518272399902344,26592
61,showed,VERB,24.996746063232422,27903,voy,VERB,33.16893005371094,26592
62,people,NOUN,22.224397659301758,27903,es,AUX,33.16935729980469,26592
