,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.806184768676758,12160,No,ADV,32.37495422363281,12160
1,do,AUX,23.955398559570312,12160,Empecé,AUX,34.90806198120117,14160
2,n't,PART,26.15682029724121,12160,inglés,NOUN,31.845502853393555,12160
3,speak,VERB,23.305280685424805,12160,hablo,VERB,35.43967819213867,12160
4,English,PROPN,19.724590301513672,12160,a,ADP,33.528079986572266,14160
5,.,PUNCT,20.200422286987305,12160,.,PUNCT,31.583969116210938,12160
6,I,PRON,25.118236541748047,14160,inglés,NOUN,32.81482696533203,14160
7,start,VERB,23.91965675354004,14160,hablar,VERB,36.043025970458984,14160
8,speaking,VERB,23.803993225097656,14160,hace,AUX,34.9127082824707,14160
9,English,PROPN,20.439237594604492,14160,un,DET,33.463233947753906,14160
10,",",PUNCT,20.324077606201172,14160,año,NOUN,32.722042083740234,14160
11,learning,VERB,21.149988174438477,14160,o,CONJ,32.99631881713867,14160
12,English,PROPN,18.825307846069336,14160,Hablo,PROPN,33.16954040527344,18160
13,",",PUNCT,21.470136642456055,14160,.,PUNCT,33.9720573425293,14160
14,about,ADV,19.444522857666016,14160,menos,ADV,35.99304962158203,14160
15,a,DET,22.811874389648438,14160,francés,ADJ,33.44535827636719,18160
16,year,NOUN,21.065202713012695,14160,francés,NOUN,30.090620040893555,18160
17,ago,ADV,19.679529190063477,14160,más,ADV,35.36323928833008,14160
18,.,PUNCT,22.076385498046875,14160,",",PUNCT,29.056947708129883,18160
19,I,PRON,25.973468780517578,18160,con,ADP,32.11256408691406,18160
20,speak,VERB,23.29301643371582,18160,y,CONJ,34.25784683227539,18160
21,French,PROPN,21.36821746826172,18160,crecí,PROPN,34.882080078125,18160
22,and,CCONJ,20.323955535888672,18160,mi,DET,34.07928466796875,18160
23,I,PRON,26.16035270690918,18160,que,SCONJ,32.12379837036133,18160
24,grew,VERB,25.53024673461914,18160,franglés,VERB,34.59798812866211,18160
25,up,ADP,20.156269073486328,18160,inglés,NOUN,32.19147872924805,18160
26,with,ADP,22.577573776245117,18160,en,ADP,32.11375045776367,25160
27,French,PROPN,21.534027099609375,18160,"""",PUNCT,31.979904174804688,18160
28,",",PUNCT,22.557422637939453,18160,"""",PUNCT,31.0096435546875,18160
29,so,ADV,19.180566787719727,18160,así,ADV,33.28216552734375,18160
30,my,DET,22.110483169555664,18160,el,DET,33.408531188964844,25160
31,English,PROPN,19.806337356567383,18160,Nací,PROPN,30.25757598876953,25160
32,is,AUX,20.952510833740234,18160,es,AUX,31.56500244140625,18160
33,Franglais,PROPN,20.31704330444336,18160,Congo,PROPN,35.87651824951172,25160
34,.,PUNCT,21.352645874023438,18160,.,PUNCT,33.46709060668945,18160
35,I,PRON,24.898250579833984,25160,occidental,ADJ,33.536346435546875,25160
36,'m,AUX,23.132644653320312,25160,fui,AUX,31.92763900756836,30160
37,born,VERB,23.271318435668945,25160,en,ADP,32.03349304199219,25160
38,in,ADP,22.97694969177246,25160,de,ADP,29.722015380859375,25160
39,the,DET,20.98996925354004,25160,esta,DET,36.392234802246094,25160
40,Western,PROPN,21.7921199798584,25160,por,ADP,30.99214744567871,25160
41,Congo,PROPN,21.17754554748535,25160,y,CONJ,34.24174499511719,30160
42,",",PUNCT,21.158090591430664,25160,",",PUNCT,30.54490852355957,25160
43,in,ADP,19.609012603759766,25160,a,ADP,32.4517707824707,30160
44,an,DET,24.50689697265625,25160,la,DET,33.74134826660156,30160
45,area,NOUN,22.646230697631836,25160,zona,NOUN,33.314178466796875,25160
46,around,ADV,19.570064544677734,25160,aquí,ADV,33.87627029418945,25160
47,here,ADV,20.52173614501953,25160,universidad,PROPN,32.480464935302734,30160
48,",",PUNCT,20.957338333129883,25160,.,PUNCT,31.991483688354492,30160
49,and,CCONJ,20.391090393066406,30160,Kisangani,PROPN,38.128204345703125,30160
50,then,ADV,21.783018112182617,30160,Cuando,SCONJ,34.70523452758789,35160
51,went,VERB,22.155405044555664,30160,terminé,VERB,33.36305618286133,35160
52,to,ADP,18.771257400512695,30160,en,ADP,33.40741729736328,30160
53,university,NOUN,18.641067504882812,30160,zona,NOUN,33.596519470214844,35160
54,in,ADP,21.440275192260742,30160,a,ADP,34.80862808227539,35160
55,Kisangani,PROPN,22.45128059387207,30160,fui,AUX,31.051633834838867,35160
56,.,PUNCT,18.917207717895508,30160,",",PUNCT,30.039567947387695,35160
57,And,CCONJ,20.912473678588867,35160,esta,DET,34.84265899658203,35160
58,after,ADP,19.28923797607422,35160,de,ADP,29.9337215423584,35160
59,I,PRON,26.000215530395508,35160,el,DET,33.416202545166016,35160
60,finished,VERB,23.735612869262695,35160,Bosque,PROPN,34.83344650268555,35160
61,",",PUNCT,22.483217239379883,35160,.,PUNCT,31.637924194335938,35160
62,I,PRON,24.885107040405273,35160,que,PRON,33.527687072753906,39160
63,went,VERB,24.84904670715332,35160,haciendo,VERB,31.815458297729492,39160
64,to,ADP,17.987394332885742,35160,Pero,CONJ,32.01649856567383,39160
65,this,DET,23.4111385345459,35160,lo,DET,34.72356414794922,39160
66,area,NOUN,22.048580169677734,35160,he,AUX,33.02064514160156,39160
67,",",PUNCT,21.53982162475586,35160,...,PUNCT,32.282588958740234,39160
68,the,DET,20.689655303955078,35160,estado,AUX,35.47294235229492,39160
69,Ituri,PROPN,22.04897689819336,35160,Ituri,PROPN,36.62207794189453,35160
70,Forest,PROPN,20.15963363647461,35160,cuando,SCONJ,36.460689544677734,41160
71,.,PUNCT,19.172035217285156,35160,",",PUNCT,32.68935775756836,41160
72,But,CCONJ,22.076364517211914,39160,14,NUM,36.08511734008789,41160
73,what,PRON,21.60961151123047,39160,unos,PRON,31.656707763671875,41160
74,I,PRON,25.209985733032227,39160,años,NOUN,34.42189025878906,41160
75,'ve,AUX,22.67241859436035,39160,en,ADP,33.02903747558594,41160
76,been,AUX,25.265541076660156,39160,crecí,NOUN,34.608131408691406,41160
77,doing,VERB,22.552309036254883,39160,tenía,VERB,36.231998443603516,41160
78,--,PUNCT,19.891286849975586,39160,casa,NOUN,31.36336326599121,41160
79,when,ADV,23.491117477416992,41160,de,ADP,29.692535400390625,41160
80,I,PRON,24.98923683166504,41160,mi,DET,32.629112243652344,41160
81,was,AUX,24.813547134399414,41160,era,AUX,34.85341262817383,48160
82,about,ADV,20.381473541259766,41160,tío,NOUN,31.82627296447754,41160
83,14,NUM,23.316360473632812,41160,Y,CONJ,33.935142517089844,48160
84,",",PUNCT,22.650854110717773,41160,.,PUNCT,32.67964553833008,41160
85,I,PRON,25.330163955688477,41160,mi,DET,34.05059814453125,48160
86,grew,VERB,25.74640464782715,41160,soldado,VERB,34.539798736572266,48160
87,in,ADP,20.01577377319336,41160,y,CONJ,33.943443298339844,51160
88,my,DET,22.374303817749023,41160,mi,DET,32.86054992675781,51160
89,uncle,NOUN,18.02703094482422,41160,padre,NOUN,32.4857292175293,48160
90,'s,PART,23.33039093017578,41160,pescador,ADJ,32.40493392944336,51160
91,house,NOUN,20.820587158203125,41160,tío,NOUN,31.789461135864258,51160
92,.,PUNCT,21.631425857543945,41160,",",PUNCT,29.11325454711914,48160
93,And,CCONJ,20.410547256469727,48160,y,CONJ,33.381004333496094,51160
94,my,DET,22.811185836791992,48160,también,ADV,33.136024475097656,51160
95,father,NOUN,20.101957321166992,48160,furtivo,ADJ,33.801971435546875,51160
96,was,AUX,24.078645706176758,48160,hice,VERB,34.68896484375,55160
97,a,DET,23.969568252563477,48160,Lo,DET,32.923038482666016,55160
98,soldier,NOUN,19.666364669799805,48160,que,PRON,29.926321029663086,55160
99,",",PUNCT,20.859230041503906,48160,.,PUNCT,33.010215759277344,51160
100,and,CCONJ,20.0585994720459,51160,de,ADP,30.97357749938965,55160
101,my,DET,20.849454879760742,51160,los,DET,34.27942657470703,55160
102,uncle,NOUN,20.067588806152344,51160,14,NUM,32.708091735839844,55160
103,was,AUX,24.040590286254883,51160,fue,AUX,33.51344299316406,55160
104,a,DET,24.9847412109375,51160,los,DET,33.06806945800781,55160
105,fisherman,NOUN,18.400938034057617,51160,17,NUM,33.81671905517578,55160
106,and,CCONJ,23.788484573364258,51160,a,ADP,32.65495681762695,55160
107,also,ADV,21.14059829711914,51160,",",PUNCT,31.32731056213379,55160
108,a,DET,20.653303146362305,51160,ayudaba,VERB,35.47793960571289,60160
109,poacher,NOUN,18.00705909729004,51160,colmillos,NOUN,32.749107360839844,60160
110,.,PUNCT,22.495210647583008,51160,",",PUNCT,31.74432373046875,60160
