,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Let,VERB,23.46898078918457,15260,Comenzaré,VERB,31.481569290161133,15260
1,me,PRON,25.474010467529297,15260,0,0,0.0,0
2,begin,VERB,23.955114364624023,15260,0,0,0.0,0
3,with,ADP,21.384113311767578,15260,con,ADP,32.86255645751953,15260
4,four,NUM,23.31537628173828,15260,cuatro,NUM,34.37810134887695,15260
5,words,NOUN,21.6495304107666,15260,palabras,NOUN,33.29878616333008,15260
6,that,DET,21.263225555419922,18260,que,SCONJ,31.22437858581543,18260
7,will,VERB,24.331762313842773,18260,servirán,VERB,35.4503173828125,18260
8,provide,VERB,26.221799850463867,18260,de,ADP,32.812416076660156,18260
9,the,DET,22.675365447998047,18260,0,0,0.0,0
10,context,NOUN,19.2114315032959,18260,contexto,NOUN,30.03676986694336,18260
11,for,ADP,20.5953369140625,18260,para,ADP,33.916038513183594,18260
12,this,DET,23.43343734741211,18260,esta,DET,34.054115295410156,18260
13,week,NOUN,19.903661727905273,18260,semana,NOUN,32.36570739746094,18260
14,",",PUNCT,19.827533721923828,18260,;,PUNCT,30.55397605895996,18260
15,four,NUM,22.85773277282715,20260,cuatro,NUM,34.658843994140625,20260
16,words,NOUN,22.383907318115234,20260,palabras,NOUN,34.35484313964844,20260
17,that,DET,22.753080368041992,20260,que,PRON,34.211334228515625,20260
18,will,VERB,23.772180557250977,20260,vienen,AUX,36.47258377075195,20260
19,come,VERB,25.240253448486328,20260,a,ADP,32.33439254760742,20260
20,to,PART,21.182722091674805,20260,0,0,0.0,0
21,define,VERB,22.63113021850586,20260,definir,VERB,33.69318771362305,20260
22,this,DET,21.83287811279297,22260,este,DET,35.37944030761719,22260
23,century,NOUN,20.35702896118164,22260,siglo,NOUN,34.39076614379883,22260
24,.,PUNCT,20.332063674926758,22260,.,PUNCT,31.99496078491211,22260
25,Here,ADV,22.0929012298584,24260,0,0,0.0,0
26,they,PRON,24.490468978881836,24260,éstas,PRON,32.22060775756836,24260
27,are,AUX,24.266786575317383,24260,Son,AUX,33.458858489990234,24260
28,:,PUNCT,20.892963409423828,24260,:,PUNCT,32.136959075927734,24260
29,The,DET,21.203296661376953,26260,La,DET,31.268814086914062,26260
30,Earth,PROPN,21.628719329833984,26260,Tierra,PROPN,35.62445831298828,26260
31,is,AUX,22.90505599975586,26260,está,AUX,33.630706787109375,26260
32,full,ADJ,22.12544822692871,26260,llena,ADJ,31.676788330078125,26260
33,.,PUNCT,22.244020462036133,26260,.,PUNCT,32.686622619628906,26260
34,It,PRON,23.265178680419922,29260,0,0,0.0,0
35,'s,AUX,22.905269622802734,29260,Está,AUX,36.39815139770508,29260
36,full,ADJ,21.631662368774414,29260,llena,ADJ,32.92816162109375,29260
37,of,ADP,24.161113739013672,29260,de,ADP,29.43344497680664,29260
38,us,PRON,22.387535095214844,29260,nosotros,PRON,31.29108428955078,29260
39,",",PUNCT,21.832151412963867,29260,",",PUNCT,29.085844039916992,29260
40,it,PRON,23.361909866333008,29260,0,0,0.0,0
41,'s,AUX,22.239534378051758,29260,0,0,0.0,0
42,full,ADJ,21.619945526123047,29260,llena,ADJ,30.208375930786133,29260
43,of,ADP,22.999908447265625,29260,de,ADP,28.668020248413086,29260
44,our,DET,22.468494415283203,29260,0,0,0.0,0
