,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,few,ADJ,22.29175567626953,12222,Hace,AUX,35.54143142700195,12231
1,A,DET,21.06291961669922,12222,unos,DET,32.45513153076172,12231
2,years,NOUN,21.500734329223633,12222,años,NOUN,35.957611083984375,12231
3,",",PUNCT,20.418540954589844,12222,",",PUNCT,30.676254272460938,12231
4,ago,ADV,21.107316970825195,12222,mi,DET,33.6558952331543,12231
5,obsession,NOUN,20.38087272644043,12222,obsesión,NOUN,31.889394760131836,12231
6,with,ADP,21.3012638092041,12222,por,ADP,33.532630920410156,12231
7,my,DET,20.606319427490234,12222,la,DET,35.021690368652344,12231
8,productivity,NOUN,18.97970962524414,12222,productividad,NOUN,31.10573959350586,12231
9,got,VERB,19.559419631958008,14863,agravó,VERB,36.98830032348633,15211
10,so,ADV,23.51812744140625,14863,tanto,ADV,33.2724723815918,15211
11,bad,ADJ,23.43911361694336,14863,0,0,0.0,0
12,that,SCONJ,19.91224479675293,14863,que,SCONJ,32.785003662109375,15211
13,I,PRON,25.422691345214844,14863,se,PRON,31.566102981567383,15211
14,suffered,VERB,24.13426971435547,14863,sufrí,VERB,33.029232025146484,15211
15,an,DET,24.41093635559082,14863,un,DET,35.82936477661133,15211
16,episode,NOUN,20.580556869506836,14863,episodio,NOUN,30.957843780517578,15211
17,of,ADP,22.457706451416016,14863,de,ADP,30.652318954467773,15211
18,burnout,NOUN,21.72797966003418,14863,agotamiento,NOUN,29.877178192138672,15211
19,that,DET,19.48678207397461,18372,y,CONJ,31.891170501708984,18721
20,scared,VERB,23.712194442749023,18372,asusté,VERB,34.7417106628418,18721
21,the,DET,20.612031936645508,18372,0,0,0.0,0
22,hell,NOUN,20.238628387451172,18372,mucho,ADV,33.3577880859375,18721
23,out,SCONJ,21.553768157958984,18372,0,0,0.0,0
24,of,ADP,23.50212287902832,18372,0,0,0.0,0
25,me,PRON,24.49951171875,18372,me,PRON,28.732858657836914,18721
26,.,PUNCT,20.60601234436035,18372,.,PUNCT,33.3853645324707,18721
27,talking,VERB,21.337175369262695,20282,Hablo,VERB,33.677757263183594,20631
28,'m,AUX,22.294313430786133,20282,de,ADP,30.09507179260254,20631
29,I,PRON,24.99657440185547,20282,insomnio,PROPN,31.65041732788086,20631
30,",",PUNCT,20.6580753326416,20282,",",PUNCT,30.845422744750977,20631
31,insomnia,NOUN,18.835205078125,20282,aumento,NOUN,30.948366165161133,20631
32,weight,NOUN,18.660432815551758,20282,de,ADP,29.468801498413086,20631
33,gain,NOUN,17.601360321044922,20282,peso,NOUN,31.120521545410156,20631
34,",",PUNCT,24.679841995239258,20282,",",PUNCT,29.65369415283203,20631
35,hair,NOUN,18.606800079345703,20282,pérdida,NOUN,31.069570541381836,20631
36,loss,NOUN,18.95729637145996,20282,de,ADP,30.650367736816406,20631
37,works,NOUN,19.221311569213867,20282,cabello,NOUN,32.203147888183594,20631
38,--,PUNCT,20.53997230529785,20282,",",PUNCT,29.416004180908203,20631
39,the,DET,18.55097007751465,20282,todo,PRON,33.92239761352539,20631
40,.,PUNCT,21.574851989746094,20282,.,PUNCT,33.172515869140625,20631
41,was,AUX,23.573402404785156,24122,Estaba,AUX,34.31321334838867,24471
42,so,ADV,22.515256881713867,24122,tan,ADV,36.81510925292969,24471
43,0,0,0.0,0,sobrecargada,ADJ,35.09006881713867,24471
44,overworked,VERB,22.598325729370117,24122,de,ADP,31.208349227905273,24471
45,that,SCONJ,21.194791793823242,24122,trabajo,NOUN,33.014896392822266,24471
46,I,PRON,24.1650390625,24122,que,PRON,33.483360290527344,24471
47,my,DET,21.791645050048828,24122,mi,DET,32.81270980834961,24471
48,brain,NOUN,19.63599967956543,24122,cabeza,NOUN,29.782133102416992,24471
49,literally,ADV,21.54180145263672,26492,literalmente,ADV,31.471921920776367,26841
50,could,VERB,24.803394317626953,26492,no,ADV,32.150291442871094,26841
51,n't,PART,27.175386428833008,26492,podía,AUX,35.821712493896484,26841
52,come,VERB,23.19548225402832,26492,pensar,VERB,38.500274658203125,26841
53,up,ADP,21.36297035217285,26492,nuevas,ADJ,34.859676361083984,26841
54,with,ADP,22.107807159423828,26492,0,0,0.0,0
55,another,DET,22.64207649230957,26492,0,0,0.0,0
56,idea,NOUN,21.439104080200195,26492,ideas,NOUN,36.14006805419922,26841
57,.,PUNCT,22.568771362304688,26492,.,PUNCT,33.662960052490234,26841
58,That,DET,19.332012176513672,29142,Es,NOUN,33.53741455078125,29491
59,indicated,VERB,21.979581832885742,29142,decir,NOUN,34.435760498046875,29491
60,to,ADP,20.61589813232422,29142,",",PUNCT,29.877487182617188,29491
61,me,PRON,24.854536056518555,29142,0,0,0.0,0
62,that,SCONJ,21.35538101196289,29142,atada,ADJ,35.8660888671875,29491
63,my,DET,22.243520736694336,29142,mi,DET,33.590362548828125,29491
64,identity,NOUN,20.290796279907227,29142,identidad,NOUN,32.58367156982422,29491
65,was,AUX,24.457881927490234,29142,estaba,AUX,33.69899368286133,29491
66,linked,VERB,22.73687171936035,29142,0,0,0.0,0
67,with,ADP,23.165651321411133,29142,a,ADP,33.2107048034668,29491
68,this,DET,22.13140296936035,29142,esta,DET,34.85622024536133,29491
69,idea,NOUN,22.40273094177246,29142,productividad,NOUN,30.83928680419922,29491
70,of,ADP,25.542722702026367,29142,de,ADP,33.23874282836914,29491
71,productivity,NOUN,19.376741409301758,29142,idea,NOUN,32.49244689941406,29491
72,.,PUNCT,21.37592315673828,29142,.,PUNCT,33.04571533203125,29491
73,[,PUNCT,18.857423782348633,33541,[,PROPN,34.33953094482422,33890
74,The,DET,21.879722595214844,33541,Nuestra,DET,30.334087371826172,33890
75,Way,NOUN,20.38370704650879,33541,forma,NOUN,34.70131301879883,33890
76,We,PRON,20.439542770385742,33541,de,ADP,31.133960723876953,33890
77,Work,VERB,21.040700912475586,33541,trabajar,VERB,36.8810920715332,33890
78,],PUNCT,24.77660369873047,33541,],ADJ,30.18019676208496,33890
79,Do,AUX,21.96122169494629,37872,¿,PUNCT,30.4943790435791,38221
80,you,PRON,24.32007598876953,37872,Sientes,NOUN,32.75728988647461,38221
81,feel,VERB,25.555011749267578,37872,culpa,VERB,33.69996643066406,38221
82,guilty,ADJ,23.922977447509766,37872,0,0,0.0,0
83,if,SCONJ,21.9484920501709,37872,si,SCONJ,33.39463806152344,38221
84,you,PRON,24.12708282470703,37872,no,ADV,35.771995544433594,38221
85,have,AUX,24.48094367980957,37872,sido,AUX,34.75490188598633,38221
86,n't,PART,25.836721420288086,37872,0,0,0.0,0
87,been,AUX,23.840084075927734,37872,has,AUX,31.677160263061523,38221
