,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,At,ADP,21.054655075073242,25000,En,ADP,33.03230285644531,25000
1,the,DET,23.03807258605957,25000,la,DET,33.12942886352539,25000
2,break,NOUN,18.421875,25000,pausa,NOUN,32.35190200805664,25000
3,",",PUNCT,20.339908599853516,25000,",",PUNCT,31.743980407714844,25000
4,by,ADP,23.212684631347656,25000,varias,DET,35.31218719482422,25000
5,people,NOUN,21.146501541137695,25000,personas,NOUN,34.639892578125,25000
6,I,PRON,24.180973052978516,25000,me,PRON,31.077556610107422,25000
7,asked,VERB,21.9209041595459,25000,preguntaron,VERB,33.66764831542969,25000
8,several,ADJ,22.34697914123535,25000,Y,CONJ,34.24938201904297,27000
9,And,CCONJ,19.262245178222656,27000,este,PRON,32.782840728759766,27000
10,was,AUX,24.501861572265625,25000,será,AUX,32.22541427612305,27000
11,this,DET,25.10457992553711,27000,mi,DET,31.583280563354492,27000
12,only,ADJ,19.140188217163086,27000,único,ADJ,35.84577560424805,27000
13,will,VERB,23.495620727539062,27000,comentario,NOUN,32.02179718017578,27000
14,on,ADP,20.61116600036621,27000,al,ADP,35.54136657714844,27000
15,comment,NOUN,19.920299530029297,27000,respecto,NOUN,30.941097259521484,27000
16,.,PUNCT,21.01949691772461,27000,.,PUNCT,32.527896881103516,27000
17,my,DET,23.489553451538086,27000,Y,CONJ,34.76387023925781,32000
18,it,PRON,23.200557708740234,27000,que,SCONJ,34.04700469970703,32000
19,be,AUX,24.710006713867188,27000,es,AUX,33.093711853027344,32000
20,And,CCONJ,19.622695922851562,32000,que,SCONJ,32.730262756347656,32000
21,",",PUNCT,20.31626319885254,32000,",",PUNCT,31.969280242919922,32000
22,is,ADV,22.337919235229492,32000,a,ADP,32.973793029785156,32000
23,that,DET,18.37993049621582,32000,mi,DET,31.95135498046875,32000
24,understand,VERB,21.631317138671875,32000,entender,VERB,32.43659973144531,32000
25,that,DET,20.631515502929688,34000,los,DET,34.875999450683594,34000
26,I,PRON,24.16571617126465,32000,optimistas,NOUN,35.02753448486328,34000
27,optimists,VERB,24.118005752563477,34000,viven,VERB,37.33549880981445,34000
28,greatly,ADV,26.294677734375,34000,mucho,ADV,35.20749282836914,34000
29,outlive,ADJ,21.07563018798828,34000,más,ADV,34.86118698120117,34000
30,What,PRON,21.99913787841797,41000,que,SCONJ,31.530635833740234,34000
31,.,PUNCT,21.260637283325195,34000,los,DET,34.10427474975586,34000
32,pessimists,NOUN,22.66160011291504,34000,pesimistas,NOUN,34.1191291809082,34000
33,(,PUNCT,19.138301849365234,36000,.,PUNCT,32.868934631347656,34000
34,),PUNCT,20.96363067626953,36000,(,PUNCT,28.748825073242188,36000
35,Laughter,PROPN,20.165264129638672,36000,Risas,PROPN,34.865478515625,36000
36,going,VERB,25.052330017089844,41000,),PUNCT,32.331058502197266,36000
37,'m,AUX,24.10745620727539,41000,Lo,DET,32.90911865234375,41000
38,I,PRON,24.74542236328125,41000,que,PRON,31.771902084350586,41000
39,tell,VERB,25.227619171142578,41000,voy,VERB,32.93418502807617,41000
