,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,The,DET,19.235153198242188,16260,La,DET,33.522010803222656,16260
1,greatest,ADJ,20.465234756469727,16260,gran,ADJ,35.9725456237793,16260
2,irony,NOUN,21.798973083496094,16260,ironía,NOUN,31.361923217773438,16260
3,in,ADP,20.713226318359375,16260,de,ADP,31.15803337097168,16260
4,0,0,0.0,0,la,DET,32.66564178466797,16260
5,health,NOUN,18.50446319580078,16260,salud,NOUN,33.20426559448242,16260
6,global,ADJ,20.021451950073242,16260,global,ADJ,34.29532241821289,16260
7,0,0,0.0,0,es,AUX,32.87490463256836,16260
8,0,0,0.0,0,que,SCONJ,33.807804107666016,16260
9,0,0,0.0,0,la,DET,32.64175796508789,16260
10,0,0,0.0,0,mayor,ADJ,34.625518798828125,16260
11,0,0,0.0,0,carga,NOUN,32.925559997558594,16260
12,is,AUX,21.196168899536133,18260,de,ADP,30.932870864868164,18260
13,countries,NOUN,18.90427589416504,18260,enfermedades,NOUN,33.90250015258789,18260
14,the,DET,19.16118049621582,18260,la,PRON,29.83238983154297,18260
15,poorest,ADJ,22.489953994750977,18260,tienen,VERB,36.850406646728516,18260
16,that,SCONJ,18.764759063720703,18260,que,SCONJ,32.575565338134766,18260
17,0,0,0.0,0,soportar,VERB,32.898704528808594,18260
18,the,DET,22.21479606628418,20260,los,DET,34.18486785888672,20260
19,disease,NOUN,19.508031845092773,20260,países,NOUN,36.0916633605957,20260
20,carry,VERB,21.90702247619629,20260,más,ADV,38.496360778808594,20260
21,largest,ADJ,22.251766204833984,20260,pobres,ADJ,37.23765182495117,20260
22,0,0,0.0,0,del,ADP,34.11933517456055,20260
23,burden,NOUN,19.892187118530273,20260,mundo,NOUN,31.270002365112305,20260
24,.,PUNCT,21.64326286315918,20260,.,PUNCT,32.158660888671875,20260
25,If,SCONJ,21.931316375732422,23260,Si,SCONJ,32.391048431396484,23260
26,we,PRON,25.543977737426758,23260,0,0,0.0,0
