,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.039289474487305,13429,contarles,ADJ,31.528575897216797,13429
1,want,VERB,23.988927841186523,13429,Quiero,VERB,32.69314193725586,13429
2,to,PART,23.53995704650879,13429,0,0,0.0,0
3,tell,VERB,25.26236915588379,13429,0,0,0.0,0
4,you,PRON,22.640195846557617,13429,de,ADP,31.84016227722168,13429
5,a,DET,21.92215919494629,13429,una,DET,32.08072280883789,13429
6,love,NOUN,18.92722511291504,13429,amor,NOUN,29.258955001831055,13429
7,story,NOUN,21.577131271362305,13429,historia,NOUN,31.99488639831543,13429
8,.,PUNCT,22.238540649414062,13429,",",PUNCT,31.363718032836914,13429
9,But,CCONJ,21.96930503845215,16190,pero,CONJ,33.3851203918457,16190
10,it,PRON,25.25227165222168,16190,no,ADV,33.962066650390625,16190
11,does,AUX,26.164081573486328,16190,tiene,VERB,35.60493087768555,16190
12,n't,PART,25.520925521850586,16190,0,0,0.0,0
13,have,AUX,24.021211624145508,16190,0,0,0.0,0
14,a,DET,21.58613395690918,16190,un,DET,36.36677551269531,16190
15,happy,ADJ,19.89723014831543,16190,feliz,ADJ,34.887908935546875,16190
16,ending,NOUN,21.426513671875,16190,final,NOUN,31.32150650024414,16190
17,.,PUNCT,21.397932052612305,16190,.,PUNCT,33.960670471191406,16190
18,Once,ADV,22.037199020385742,19333,Érase,PRON,29.675262451171875,19333
19,upon,SCONJ,20.658987045288086,19333,0,0,0.0,0
20,a,DET,23.08218765258789,19333,una,DET,32.01778793334961,19333
21,time,NOUN,19.32107162475586,19333,vez,NOUN,32.839725494384766,19333
22,",",PUNCT,21.05392074584961,19333,",",PUNCT,30.32978057861328,19333
23,I,PRON,24.35776710510254,19333,yo,PRON,31.667787551879883,19333
24,was,AUX,24.30154037475586,19333,era,AUX,34.19887924194336,19333
25,a,DET,24.973224639892578,19333,una,DET,33.303375244140625,19333
26,stubborn,ADJ,23.45233726501465,19333,de,ADP,31.899917602539062,19333
27,five,NUM,23.410940170288086,19333,cinco,NUM,35.04958724975586,19333
28,-,PUNCT,23.08833122253418,19333,terca,NOUN,30.792333602905273,19333
29,year,NOUN,20.962739944458008,19333,años,NOUN,36.28704833984375,19333
30,-,PUNCT,23.482196807861328,19333,0,0,0.0,0
31,old,ADJ,20.776668548583984,19333,0,0,0.0,0
32,who,PRON,21.300378799438477,23053,que,SCONJ,33.791961669921875,23053
33,decided,VERB,22.850933074951172,23053,decidió,VERB,35.4098014831543,23053
34,to,PART,22.808753967285156,23053,convertirse,PROPN,33.140625,23053
35,become,VERB,24.3407039642334,23053,en,ADP,32.98644256591797,23053
36,a,DET,21.667768478393555,23053,bióloga,PROPN,30.243162155151367,23053
37,marine,ADJ,20.144304275512695,23053,marina,PROPN,32.60768127441406,23053
38,biologist,NOUN,18.593868255615234,23053,0,0,0.0,0
39,.,PUNCT,22.974550247192383,23053,.,PUNCT,32.35877990722656,23053
40,Thirty,NUM,23.10371971130371,26527,34,NUM,33.85920333862305,26527
41,-,PUNCT,21.825820922851562,26527,",",PUNCT,31.401424407958984,26527
42,four,NUM,25.007326126098633,26527,400,NUM,35.51093292236328,26527
43,years,NOUN,21.210737228393555,26527,años,NOUN,34.95711135864258,26527
44,",",PUNCT,21.21613121032715,26527,un,DET,35.80173110961914,26527
45,400,NUM,21.98758316040039,26527,y,CONJ,34.07687759399414,26527
46,scuba,NOUN,19.162883758544922,26527,inmersiones,NOUN,34.41893005371094,26527
47,dives,NOUN,22.10468864440918,26527,doctorado,NOUN,30.45555305480957,26527
48,and,CCONJ,22.549880981445312,26527,más,ADV,36.23350524902344,26527
49,one,NUM,20.661880493164062,26527,0,0,0.0,0
50,PhD,NOUN,18.511438369750977,26527,0,0,0.0,0
51,later,ADV,20.50875473022461,26527,tarde,ADV,34.1535530090332,26527
52,",",PUNCT,20.025094985961914,26527,",",PUNCT,31.212827682495117,26527
53,I,PRON,24.700241088867188,31014,sigo,NOUN,33.12189483642578,31014
54,'m,AUX,23.34613609313965,31014,0,0,0.0,0
55,still,ADV,26.335758209228516,31014,enamorada,ADJ,33.28517150878906,31014
56,completely,ADV,25.060405731201172,31014,completamente,ADV,36.21950912475586,31014
57,enamored,VERB,24.120784759521484,31014,0,0,0.0,0
58,with,ADP,22.773380279541016,31014,del,ADP,36.101661682128906,31014
59,the,DET,22.071754455566406,31014,0,0,0.0,0
60,ocean,NOUN,19.421245574951172,31014,océano,NOUN,30.959699630737305,31014
61,.,PUNCT,21.103992462158203,31014,.,PUNCT,32.222923278808594,31014
62,I,PRON,24.152725219726562,34800,0,0,0.0,0
63,spent,VERB,24.47770881652832,34800,Pasé,VERB,33.02784729003906,34800
64,a,DET,24.169946670532227,34800,una,DET,33.97172164916992,34800
65,decade,NOUN,18.749568939208984,34800,década,NOUN,34.28278350830078,34800
66,working,VERB,22.128589630126953,34800,trabajando,VERB,35.467140197753906,34800
67,with,ADP,22.8585205078125,34800,con,ADP,33.149940490722656,34800
68,fishing,NOUN,23.481199264526367,34800,pesqueras,ADJ,34.12235641479492,34800
69,communities,NOUN,22.004560470581055,34800,comunidades,NOUN,35.28509521484375,34800
70,in,ADP,20.84882926940918,37411,en,ADP,32.34775161743164,37411
71,the,DET,22.786766052246094,37411,el,DET,34.85759353637695,37411
72,Caribbean,PROPN,21.673837661743164,37411,Caribe,PROPN,35.55665969848633,37411
73,",",PUNCT,18.86310577392578,37411,",",PUNCT,30.43290901184082,37411
74,counting,VERB,20.14189910888672,38617,contando,VERB,31.981151580810547,38617
75,fish,NOUN,17.59064483642578,38617,peces,NOUN,32.267333984375,38617
76,",",PUNCT,20.924755096435547,38617,",",PUNCT,31.896011352539062,38617
77,interviewing,VERB,22.980390548706055,38617,entrevistando,VERB,35.68844223022461,38617
78,0,0,0.0,0,a,ADP,33.284645080566406,38617
79,fishermen,NOUN,22.062715530395508,38617,pescadores,NOUN,33.94544219970703,38617
80,",",PUNCT,20.0716609954834,38617,",",PUNCT,30.545835494995117,38617
81,redesigning,VERB,24.71552848815918,41036,rediseñando,VERB,33.86894607543945,41036
82,fishing,NOUN,20.18614959716797,41036,artes,NOUN,33.245948791503906,41036
83,0,0,0.0,0,de,ADP,33.35729217529297,41036
84,gear,NOUN,15.576943397521973,41036,pesca,NOUN,30.929494857788086,41036
85,and,CCONJ,23.904821395874023,41036,y,CONJ,34.085899353027344,41036
86,developing,VERB,19.914371490478516,41036,desarrollando,VERB,34.15348815917969,41036
87,policy,NOUN,19.706819534301758,41036,políticas,NOUN,34.69880676269531,41036
88,.,PUNCT,21.840774536132812,41036,.,PUNCT,33.04499435424805,41036
