,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Chris,PROPN,22.610933303833008,12126,en,ADP,33.46223068237305,14350
1,Anderson,PROPN,22.087812423706055,12126,los,DET,34.351139068603516,14350
2,:,PUNCT,18.83967399597168,12126,años,NOUN,35.10359573364258,14350
3,OK,INTJ,21.334232330322266,12126,sesenta,NOUN,29.56712532043457,14350
4,",",PUNCT,20.275596618652344,12126,",",PUNCT,29.441722869873047,14350
5,Stewart,PROPN,21.577421188354492,12126,que,SCONJ,34.04863739013672,14350
6,",",PUNCT,21.617090225219727,12126,parece,VERB,36.190677642822266,14350
7,in,ADP,19.72332763671875,14421,en,ADP,33.255088806152344,14350
8,the,DET,21.384021759033203,14421,el,DET,33.774024963378906,14350
9,',NOUN,18.333391189575195,14421,68,NUM,33.053375244140625,14350
10,60s,NOUN,19.12526512145996,14421,revista,NOUN,30.265907287597656,14350
11,",",PUNCT,21.636274337768555,14421,",",PUNCT,32.34288787841797,14350
12,you,PRON,19.305818557739258,14421,me,PRON,33.267173767089844,14350
13,--,PUNCT,21.081987380981445,14421,.,PUNCT,33.6712760925293,14350
14,I,PRON,25.5751953125,14421,esta,DET,33.42384719848633,14350
15,think,VERB,23.520545959472656,14421,fundó,VERB,34.75447463989258,14350
16,it,PRON,24.707340240478516,14421,Stewart,PROPN,33.29859924316406,19809
17,was,AUX,23.639583587646484,14421,Brand,PROPN,35.66147232055664,19809
18,',PUNCT,19.480426788330078,14421,:,PUNCT,30.84070587158203,19809
19,68,NUM,20.413610458374023,14421,¡,PUNCT,31.91490936279297,19809
20,--,PUNCT,21.42885398864746,14421,!,PUNCT,29.07326316833496,19809
21,you,PRON,22.65647315979004,14421,Bravo,INTJ,31.953536987304688,19809
22,founded,VERB,23.17751693725586,14421,",",PUNCT,29.92936134338379,19809
23,this,DET,22.877239227294922,14421,la,DET,33.26541519165039,19809
24,magazine,NOUN,18.441883087158203,14421,es,AUX,35.78030014038086,19809
25,.,PUNCT,21.302610397338867,14421,",",PUNCT,30.354032516479492,19809
26,Stewart,PROPN,22.062179565429688,19887,original,ADJ,33.49214172363281,19809
27,Brand,NOUN,19.959598541259766,19887,CA,NOUN,31.384302139282227,22960
28,:,PUNCT,21.37371826171875,19887,.,PUNCT,33.657752990722656,19809
29,Bravo,PROPN,22.37580680847168,19887,de,ADP,32.079498291015625,19809
30,!,PUNCT,20.107887268066406,19887,:,PUNCT,33.88936996459961,22960
31,It,PRON,24.838687896728516,19887,encontrar,VERB,36.49784469604492,19809
32,'s,AUX,23.309528350830078,19887,es,AUX,34.60759353637695,19809
33,the,DET,21.275794982910156,19887,Sí,ADV,29.824644088745117,22960
34,original,ADJ,19.8215274810791,19887,difícil,ADJ,37.11578369140625,19809
35,one,NOUN,18.33299446105957,19887,número,NOUN,32.46696853637695,22960
36,.,PUNCT,20.838346481323242,19887,.,PUNCT,30.77716064453125,22960
37,That,DET,19.4250545501709,21983,El,DET,33.32529830932617,22960
38,'s,AUX,23.9295711517334,21983,",",PUNCT,29.564306259155273,22960
39,hard,ADJ,23.054000854492188,21983,primer,ADJ,35.4555778503418,22960
40,to,PART,24.1510066986084,21983,¿,PUNCT,29.78592300415039,22960
41,find,VERB,25.524982452392578,21983,no,ADV,31.776168823242188,22960
42,.,PUNCT,21.467708587646484,21983,?,PUNCT,31.975727081298828,22960
43,CA,PROPN,20.993635177612305,23176,Por,ADP,33.70378494262695,25343
44,:,PUNCT,19.155183792114258,23176,¿,PUNCT,30.757648468017578,25343
45,Right,INTJ,21.61467170715332,23176,qué,PRON,32.552711486816406,25343
46,.,PUNCT,21.208343505859375,23176,la,DET,32.27268600463867,25343
47,Issue,VERB,19.417421340942383,23176,tuvo,VERB,36.26755142211914,25343
48,One,NUM,21.80439567565918,23176,revista,NOUN,32.064788818359375,25343
49,",",PUNCT,21.36246109008789,23176,un,DET,37.39765167236328,25343
50,right,ADJ,22.146459579467773,23176,grande,ADJ,35.03178787231445,25343
51,?,PUNCT,21.987510681152344,23176,tan,ADV,36.35930633544922,25343
52,SB,PROPN,20.97089195251465,24564,impacto,NOUN,34.313140869140625,25343
53,:,PUNCT,19.218576431274414,24564,?,PUNCT,32.95927047729492,25343
54,Mm,INTJ,19.752592086791992,24564,SB,NOUN,30.79155158996582,29381
55,hmm,INTJ,20.50629997253418,24564,En,ADP,31.45938491821289,29381
56,.,PUNCT,22.418588638305664,24564,:,PUNCT,32.42809295654297,29381
57,CA,PROPN,20.565109252929688,25740,ese,DET,37.43505859375,29381
58,:,PUNCT,18.42674446105957,25740,momento,NOUN,32.81703567504883,29381
59,Why,ADV,22.899166107177734,25740,yo,PRON,32.2553596496582,29381
60,did,AUX,23.935216903686523,25740,era,AUX,33.693267822265625,29381
61,that,DET,19.840795516967773,25740,la,DET,33.35441970825195,29381
62,make,VERB,22.12384605407715,25740,de,ADP,30.21782684326172,29381
63,so,ADV,21.226985931396484,25740,parte,NOUN,30.467769622802734,29381
64,much,ADJ,23.516504287719727,25740,constituida,ADJ,34.3773193359375,33775
65,impact,NOUN,20.150667190551758,25740,contracultura,NOUN,29.79905891418457,29381
66,?,PUNCT,20.849197387695312,25740,",",PUNCT,29.48326873779297,29381
67,SB,PROPN,20.59759521484375,29381,Nueva,PROPN,35.522193908691406,33775
68,:,PUNCT,19.11220932006836,29381,que,SCONJ,32.05545425415039,33775
69,Counterculture,PROPN,19.997859954833984,29381,Izquierda,PROPN,35.51288604736328,33775
70,was,AUX,21.373334884643555,29381,estaba,AUX,35.8812255859375,33775
71,the,DET,23.89341926574707,29381,la,DET,33.16767501831055,33775
72,main,ADJ,21.255922317504883,29381,y,CONJ,34.03322982788086,33775
73,event,NOUN,21.859773635864258,29381,hippies,NOUN,34.0374870300293,33775
74,that,DET,19.610841751098633,29381,Esos,DET,28.99080467224121,37740
75,I,PRON,24.816654205322266,29381,.,PUNCT,31.584209442138672,33775
76,was,AUX,25.480894088745117,29381,eran,AUX,35.256290435791016,37740
77,part,NOUN,20.152162551879883,29381,contemporáneos,NOUN,35.5088996887207,37740
78,of,ADP,19.728031158447266,29381,mis,DET,33.4038200378418,37740
79,at,ADP,21.049970626831055,29381,por,ADP,36.980491638183594,33775
80,the,DET,20.638965606689453,29381,la,DET,34.1357536315918,37740
81,time,NOUN,17.544069290161133,29381,gente,NOUN,33.23831558227539,37740
82,",",PUNCT,20.726613998413086,29381,",",PUNCT,31.28372573852539,37740
83,and,CCONJ,20.49004364013672,33869,un,DET,32.14213562011719,37740
84,it,PRON,24.909576416015625,33869,que,PRON,33.69926452636719,37740
85,was,AUX,23.78531837463379,33869,era,AUX,33.201393127441406,37740
86,made,VERB,22.992197036743164,33869,poco,ADV,34.955780029296875,37740
87,up,ADP,21.03811264038086,33869,menor,ADJ,35.87462615966797,37740
88,of,ADP,24.078859329223633,33869,que,SCONJ,29.199098587036133,37740
89,hippies,NOUN,20.324678421020508,33869,método,NOUN,30.62849998474121,42335
90,and,CCONJ,22.090925216674805,33869,yo,PRON,32.565494537353516,37740
91,New,PROPN,16.925052642822266,33869,Y,CONJ,34.14491271972656,42335
92,Left,PROPN,19.789674758911133,33869,de,ADP,29.028390884399414,42335
93,.,PUNCT,20.607173919677734,33869,.,PUNCT,32.96708679199219,37740
94,That,DET,19.05481719970703,37797,mi,DET,32.67414093017578,42335
95,was,AUX,24.536090850830078,37797,es,AUX,33.66856002807617,42335
96,sort,ADV,21.328828811645508,37797,en,ADP,33.652122497558594,42335
97,of,ADV,23.122920989990234,37797,fijarme,ADJ,35.180137634277344,42335
98,my,DET,21.033126831054688,37797,la,DET,32.58131790161133,42335
99,contemporaries,NOUN,18.6199893951416,37797,trabajo,NOUN,31.912126541137695,42335
100,",",PUNCT,19.187942504882812,37797,...,PUNCT,30.10011100769043,42335
101,the,DET,19.656333923339844,39725,interesante,ADJ,34.53466796875,42335
102,people,NOUN,20.050060272216797,39725,corriente,NOUN,29.75349998474121,42335
103,I,PRON,25.342735290527344,39725,y,CONJ,31.734346389770508,47390
104,was,AUX,24.757671356201172,39725,de,ADP,30.03302764892578,47390
105,just,ADV,26.33684539794922,39725,ahí,ADV,33.246070861816406,47390
106,slightly,ADV,24.954540252685547,39725,miro,VERB,35.677555084228516,47390
107,older,ADJ,22.397367477416992,39725,opuesta,ADJ,33.11759948730469,47390
108,than,SCONJ,20.593183517456055,39725,en,ADP,32.277408599853516,47390
109,.,PUNCT,21.32781982421875,39725,.,PUNCT,33.23936080932617,47390
110,And,CCONJ,20.922197341918945,42381,dirección,NOUN,31.264297485351562,47390
111,my,DET,20.644088745117188,42381,la,DET,34.19970703125,47390
112,mode,NOUN,19.30451011657715,42381,CA,NOUN,30.364301681518555,49374
113,is,AUX,22.466569900512695,42381,:,PUNCT,30.200881958007812,49374
114,to,PART,23.901092529296875,42381,(,PUNCT,26.913158416748047,49374
115,look,VERB,24.84663200378418,42381,Risas,PROPN,33.4056396484375,49374
116,at,ADP,20.627334594726562,42381,para,ADP,35.33722686767578,50654
117,where,ADV,21.31073760986328,42381,),PUNCT,32.35784149169922,49374
118,the,DET,21.344152450561523,42381,:,PUNCT,30.07362937927246,50654
119,interesting,ADJ,21.76885986328125,42381,Me,PRON,28.961769104003906,50654
120,flow,NOUN,19.655641555786133,42381,SB,NOUN,30.926660537719727,50654
121,is,AUX,20.012550354003906,42381,fui,AUX,32.77008056640625,50654
122,and,CCONJ,20.732437133789062,47606,hacer,VERB,36.835304260253906,50654
123,then,ADV,22.63120460510254,47606,eso,PRON,32.62766647338867,50654
124,look,VERB,21.297401428222656,47606,entrenaron,VERB,33.2255859375,50654
125,in,ADP,21.87757682800293,47606,del,ADP,35.03281784057617,50654
126,the,DET,21.57866859436035,47606,cuando,SCONJ,35.289695739746094,50654
127,other,ADJ,22.81341552734375,47606,oficial,ADJ,33.3377685546875,50654
128,direction,NOUN,20.98394203186035,47606,heurística,NOUN,33.96303176879883,53752
129,.,PUNCT,21.042924880981445,47606,.,PUNCT,33.77416229248047,50654
130,CA,PROPN,20.760234832763672,49595,ejército,PROPN,32.13283157348633,50654
131,:,PUNCT,18.202054977416992,49595,es,AUX,34.28459548950195,53752
132,(,PUNCT,21.166650772094727,49595,También,ADV,35.35408020019531,53752
133,Laughs,PROPN,19.186025619506836,49595,una,DET,34.89078903198242,53752
134,),PUNCT,21.569759368896484,49595,barata,ADJ,35.32899475097656,53752
135,SB,PROPN,21.15387725830078,51009,para,ADP,34.702980041503906,53752
136,:,PUNCT,18.223209381103516,51009,originalidades,NOUN,34.33395767211914,53752
137,Partly,ADV,20.290687561035156,51009,no,ADV,33.94477462768555,56779
138,",",PUNCT,21.361425399780273,51009,:,PUNCT,32.14533233642578,53752
139,I,PRON,25.14011001586914,51009,donde,PRON,30.330852508544922,56779
140,was,AUX,24.492591857910156,51009,mires,NOUN,33.866031646728516,56779
141,trained,VERB,22.233976364135742,51009,encontrar,VERB,37.188724517822266,53752
142,to,PART,20.656490325927734,51009,todos,PRON,33.12828826904297,56779
143,do,AUX,22.63759422302246,51009,están,AUX,35.44882583618164,56779
144,that,DET,20.014856338500977,51009,mirando,VERB,35.05247497558594,56779
145,as,SCONJ,22.112926483154297,51009,mira,VERB,34.138267517089844,56779
146,an,DET,24.95391273498535,51009,la,DET,34.23285675048828,56779
147,army,NOUN,22.09674072265625,51009,en,ADP,32.44882583618164,56779
148,officer,NOUN,21.464935302734375,51009,dirección,NOUN,31.199222564697266,56779
149,",",PUNCT,21.368938446044922,51009,",",PUNCT,30.874265670776367,56779
150,but,CCONJ,21.625961303710938,53677,opuesta,ADJ,33.12358856201172,56779
151,partly,ADV,20.173641204833984,53677,El,DET,34.45956802368164,60296
152,",",PUNCT,19.559846878051758,53677,.,PUNCT,33.23936080932617,56779
153,it,PRON,23.22437286376953,53677,asunto,NOUN,32.195335388183594,60296
154,'s,AUX,21.502601623535156,53677,es,AUX,33.20088195800781,60296
155,just,ADV,25.151594161987305,53677,con,ADP,32.00315856933594,60296
156,a,DET,22.711381912231445,53677,la,DET,33.23412322998047,60296
157,cheap,ADJ,20.274394989013672,53677,contracultura,NOUN,30.953521728515625,60296
158,heuristic,ADJ,18.807016372680664,53677,románticos,ADJ,35.979576110839844,60296
159,to,PART,23.836788177490234,53677,que,SCONJ,32.993186950683594,60296
160,find,VERB,26.2635498046875,53677,los,DET,35.613616943359375,60296
161,originalities,NOUN,21.257497787475586,53677,hippies,NOUN,35.09419250488281,60296
162,:,PUNCT,18.89573860168457,53677,muy,ADV,36.883792877197266,60296
163,do,AUX,23.164892196655273,56734,eran,AUX,36.980323791503906,60296
164,n't,PART,25.746492385864258,56734,y,CONJ,32.3996696472168,64331
165,look,VERB,23.35214614868164,56734,estaban,VERB,33.81863784790039,64331
166,where,ADV,21.56962013244629,56734,en,ADP,31.320648193359375,64331
167,everybody,PRON,23.182729721069336,56734,contra,NOUN,29.300254821777344,64331
168,else,ADV,25.425960540771484,56734,de,ADP,31.158645629882812,64331
169,is,AUX,24.978675842285156,56734,la,DET,33.27952194213867,64331
170,looking,VERB,23.71686553955078,56734,tecnología,NOUN,30.215776443481445,64331
171,",",PUNCT,21.279733657836914,56734,",",PUNCT,33.03041458129883,64331
172,look,VERB,20.725481033325195,59227,exceptuando,VERB,35.761192321777344,64331
173,the,DET,22.547435760498047,59227,el,DET,35.65450668334961,64331
