,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,"""",PUNCT,19.092575073242188,20805,Tengo,VERB,34.03266525268555,15260
1,Chris,PROPN,18.952104568481445,20805,carrera,NOUN,33.03120040893555,15260
2,",",PUNCT,22.24664306640625,20805,.,PUNCT,33.27593994140625,15260
3,you,PRON,23.529224395751953,20805,Lo,PRON,31.54411506652832,17260
4,have,AUX,22.515182495117188,20805,sé,VERB,33.56287384033203,17260
5,a,DET,21.524160385131836,20805,una,DET,34.89922332763672,15260
6,strange,ADJ,20.016769409179688,20805,extraña,ADJ,35.18102264404297,15260
7,career,NOUN,22.07932472229004,20805,colegas,NOUN,35.85733413696289,17260
8,.,PUNCT,21.24237060546875,20805,porque,SCONJ,34.41796112060547,17260
9,"""",PUNCT,20.825319290161133,20805,",",PUNCT,30.51296615600586,17260
10,(,PUNCT,19.138301849365234,22695,"""",PUNCT,30.907695770263672,20260
11,Laughter,PROPN,20.165264129638672,22695,Chris,PROPN,30.397846221923828,20260
12,),PUNCT,20.96363067626953,22695,:,PUNCT,33.064170837402344,20260
13,And,CCONJ,19.4842586517334,24362,y,CONJ,35.57038879394531,20260
14,I,PRON,25.450870513916016,24362,se,PRON,32.777244567871094,17260
15,can,VERB,24.36234474182129,24362,dicen,VERB,33.16347885131836,20260
16,see,VERB,25.323854446411133,24362,acercan,VERB,38.276145935058594,17260
17,their,DET,23.01610565185547,24362,mis,DET,33.41767883300781,17260
18,point,NOUN,17.935096740722656,24362,carrera,NOUN,32.042293548583984,20260
19,",",PUNCT,21.417251586914062,24362,",",PUNCT,30.466798782348633,20260
20,because,SCONJ,19.833040237426758,25705,extraña,ADJ,34.09019470214844,20260
21,I,PRON,25.518959045410156,25705,"""",PUNCT,32.328468322753906,20260
22,started,VERB,23.941904067993164,25705,tienes,VERB,31.989425659179688,20260
23,my,DET,22.41320037841797,25705,una,DET,33.32059860229492,20260
24,career,NOUN,20.879505157470703,25705,.,PUNCT,33.212677001953125,20260
25,as,SCONJ,22.879364013671875,25705,(,PUNCT,28.748825073242188,22260
26,a,DET,23.2646541595459,25705,mi,DET,34.317771911621094,26260
27,theoretical,ADJ,20.423725128173828,25705,Risas,PROPN,34.865478515625,22260
28,nuclear,ADJ,20.288599014282227,25705,Y,CONJ,32.414215087890625,24260
29,physicist,NOUN,20.231550216674805,25705,),PUNCT,32.331058502197266,22260
30,.,PUNCT,21.134933471679688,25705,",",PUNCT,29.160348892211914,24260
31,And,CCONJ,20.15443992614746,30260,porque,SCONJ,34.919368743896484,26260
32,I,PRON,25.609365463256836,30260,lo,PRON,30.1637020111084,24260
33,was,AUX,25.752399444580078,30260,comencé,PROPN,33.47028350830078,26260
34,thinking,VERB,23.705799102783203,30260,entiendo,VERB,34.96238327026367,24260
35,about,ADP,22.864517211914062,30260,en,ADP,32.43666458129883,30260
36,quarks,NOUN,20.7331485748291,30260,carrera,NOUN,30.91025733947754,26260
37,and,CCONJ,24.659650802612305,30260,como,SCONJ,36.035423278808594,28260
38,gluons,NOUN,21.902328491210938,30260,físico,NOUN,33.407493591308594,28260
39,and,CCONJ,24.504003524780273,30260,teórico,ADJ,35.56237030029297,28260
40,heavy,ADJ,18.96735191345215,30260,nuclear,ADJ,32.98564147949219,28260
41,ion,NOUN,20.301328659057617,30260,Pensaba,VERB,35.01482009887695,30260
42,collisions,NOUN,21.3380069732666,30260,quarks,NOUN,30.53404998779297,30260
43,",",PUNCT,21.469141006469727,30260,.,PUNCT,34.04738235473633,28260
44,and,CCONJ,19.818994522094727,34448,",",PUNCT,30.36302947998047,30260
45,I,PRON,25.413118362426758,34448,en,ADP,30.384092330932617,30260
46,was,AUX,24.33656883239746,34448,gluones,NOUN,32.84656524658203,30260
47,only,ADV,23.62537956237793,34448,de,ADP,32.100399017333984,32260
48,14,NUM,23.89305877685547,34448,en,ADP,33.17371368408203,32260
49,years,NOUN,23.746381759643555,34448,colisiones,NOUN,31.257736206054688,32260
50,old,ADJ,20.607080459594727,34448,pesados,ADJ,35.01706314086914,32260
51,--,PUNCT,19.957151412963867,34448,",",PUNCT,30.32578468322754,30260
52,No,INTJ,22.862531661987305,36853,iones,NOUN,33.0889778137207,32260
53,",",PUNCT,20.80243492126465,36853,",",PUNCT,30.535249710083008,32260
54,no,INTJ,21.807373046875,36853,y,CONJ,33.521427154541016,34260
55,",",PUNCT,21.594396591186523,36853,.,PUNCT,33.21208190917969,34260
56,I,PRON,23.73420524597168,36853,tan,ADV,36.223514556884766,34260
57,was,AUX,24.38017463684082,36853,sólo,ADV,35.13941192626953,34260
58,n't,PART,23.968820571899414,36853,tenía,VERB,35.845916748046875,34260
59,14,NUM,23.01490020751953,36853,14,NUM,33.906558990478516,34260
60,years,NOUN,23.42024040222168,36853,años,NOUN,35.0250129699707,34260
61,old,ADJ,22.430309295654297,36853,No,ADV,33.110755920410156,36260
62,.,PUNCT,20.27842140197754,36853,",",PUNCT,30.938884735107422,36260
63,But,CCONJ,22.208253860473633,40497,no,ADV,33.0645866394043,36260
64,after,ADP,21.004810333251953,40497,tenía,VERB,35.13959503173828,36260
65,that,DET,20.140491485595703,40497,14,NUM,30.024059295654297,36260
66,",",PUNCT,20.68903923034668,40497,.,PUNCT,33.860721588134766,36260
67,I,PRON,23.836563110351562,43056,ello,PRON,33.549957275390625,40260
68,actually,ADV,24.198270797729492,43056,después,ADV,33.78990936279297,40260
69,had,AUX,21.52578353881836,43056,Pero,CONJ,33.182952880859375,40260
70,my,DET,22.971588134765625,43056,mi,DET,33.32516098022461,42260
71,own,ADJ,22.15854263305664,43056,propio,ADJ,33.906005859375,42260
72,lab,NOUN,21.887649536132812,43056,laboratorio,NOUN,33.3432731628418,42260
73,in,ADP,20.52738380432129,45021,de,ADP,31.800065994262695,40260
74,the,DET,22.9846248626709,45021,el,DET,34.01540756225586,44260
75,Computational,PROPN,20.3907413482666,45021,tuve,VERB,34.601497650146484,42260
76,Neuroscience,PROPN,19.514101028442383,45021,en,ADP,32.25752258300781,44260
77,department,NOUN,17.15644645690918,45021,departamento,NOUN,30.621797561645508,44260
78,",",PUNCT,21.11726951599121,45021,",",PUNCT,30.701744079589844,40260
79,and,CCONJ,19.775978088378906,47160,de,ADP,31.730241775512695,44260
80,I,PRON,25.291316986083984,47160,neurociencia,NOUN,31.185710906982422,44260
81,was,AUX,23.84032440185547,47160,estaba,AUX,37.12539291381836,46260
82,n't,PART,24.74884796142578,47160,computacional,ADJ,33.785484313964844,44260
83,doing,VERB,23.981277465820312,47160,y,CONJ,33.51214599609375,46260
84,any,DET,23.0302791595459,47160,no,ADV,34.38582992553711,46260
85,neuroscience,NOUN,21.873048782348633,47160,neurociencia,NOUN,32.417755126953125,46260
86,.,PUNCT,21.83351707458496,47160,",",PUNCT,30.973661422729492,44260
87,Later,ADV,21.605327606201172,48912,Después,ADV,33.74168014526367,48260
