,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.34656524658203,15260,Estoy,VERB,31.717205047607422,15260
1,'m,AUX,22.549556732177734,15260,0,0,0.0,0
2,actually,ADV,24.550247192382812,15260,aquí,ADV,37.488548278808594,15260
3,here,ADV,20.783071517944336,15260,0,0,0.0,0
4,to,PART,21.973581314086914,17260,para,ADP,36.61677551269531,17260
5,make,VERB,24.9228458404541,17260,desafiar,VERB,36.45029067993164,17260
6,a,DET,22.714008331298828,17260,la,DET,33.33485794067383,17260
7,challenge,NOUN,20.329675674438477,17260,gente,NOUN,31.777448654174805,17260
8,to,ADP,22.180904388427734,17260,a,ADP,33.21205520629883,17260
9,people,NOUN,21.3847599029541,17260,0,0,0.0,0
10,.,PUNCT,21.81081771850586,17260,.,PUNCT,32.92230987548828,17260
11,I,PRON,24.996747970581055,19260,ya,ADV,34.18956756591797,19260
12,know,VERB,23.399229049682617,19260,que,SCONJ,33.88227462768555,19260
13,there,PRON,23.598722457885742,19260,se,PRON,32.70954513549805,19260
14,have,AUX,22.92407989501953,19260,Sé,AUX,32.32732391357422,19260
15,been,AUX,25.478431701660156,19260,han,AUX,36.71859359741211,19260
16,many,ADJ,22.438623428344727,19260,muchos,DET,35.46405029296875,19260
17,challenges,NOUN,22.777006149291992,19260,desafíos,NOUN,33.73579406738281,19260
18,made,VERB,22.80727195739746,19260,planteado,VERB,34.25923156738281,19260
19,to,ADP,21.46847915649414,19260,0,0,0.0,0
20,people,NOUN,21.847248077392578,19260,0,0,0.0,0
21,.,PUNCT,21.649320602416992,19260,.,PUNCT,33.7823600769043,19260
22,The,DET,21.11023712158203,22260,el,DET,33.24120330810547,22260
23,one,NOUN,18.100730895996094,22260,Pero,CONJ,32.62696075439453,22260
24,I,PRON,23.955461502075195,22260,que,PRON,33.52799987792969,22260
25,'m,AUX,23.404537200927734,22260,0,0,0.0,0
26,going,VERB,24.651714324951172,22260,propongo,VERB,36.14048385620117,22260
27,to,PART,22.148466110229492,22260,0,0,0.0,0
28,make,VERB,23.47252655029297,22260,0,0,0.0,0
29,is,AUX,20.86568832397461,24260,estriba,VERB,33.77030944824219,24260
30,that,SCONJ,21.4281005859375,24260,en,ADP,30.6802978515625,24260
31,it,PRON,24.113664627075195,24260,que,PRON,33.82378005981445,24260
32,is,AUX,23.95655632019043,24260,llegó,VERB,36.43970489501953,24260
33,time,NOUN,19.52507972717285,24260,hora,NOUN,32.972721099853516,24260
34,for,ADP,19.789674758911133,24260,de,ADP,32.374977111816406,24260
35,us,PRON,24.50348663330078,24260,la,DET,34.82432556152344,24260
36,to,PART,21.834640502929688,24260,0,0,0.0,0
37,reclaim,VERB,23.677549362182617,24260,recuperar,VERB,35.124996185302734,24260
38,what,DET,20.17257308959961,26260,el,DET,35.06890106201172,26260
39,peace,NOUN,19.29442024230957,26260,significado,NOUN,32.1962890625,26260
40,really,ADV,22.689655303955078,26260,real,ADJ,31.265682220458984,26260
41,means,VERB,22.06035614013672,26260,de,ADP,32.73809051513672,26260
42,0,0,0.0,0,la,DET,31.123586654663086,26260
43,0,0,0.0,0,paz,NOUN,30.0493106842041,26260
44,.,PUNCT,21.233797073364258,26260,.,PUNCT,33.786529541015625,26260
45,my,DET,20.161943435668945,29260,La,DET,33.32107925415039,29260
46,Peace,NOUN,22.075284957885742,29260,paz,NOUN,31.107633590698242,29260
47,not,PART,21.677825927734375,29260,no,ADV,32.123714447021484,29260
48,is,AUX,22.84282684326172,29260,es,AUX,33.11257553100586,29260
49,"""",PUNCT,19.745269775390625,29260,"""",PUNCT,33.1204719543457,29260
50,",",PUNCT,21.283084869384766,29260,¡,PUNCT,32.70940399169922,29260
51,Kumbaya,PROPN,19.12006378173828,29260,Kumbayá,PROPN,30.35177230834961,29260
52,.,PUNCT,20.351594924926758,29260,",",PUNCT,30.290807723999023,29260
53,Lord,PROPN,21.399911880493164,29260,Señor,PROPN,32.576900482177734,29260
54,"""",PUNCT,21.76262664794922,29260,!,PUNCT,30.003515243530273,29260
55,0,0,0.0,0,"""",PUNCT,31.114076614379883,29260
56,0,0,0.0,0,.,PUNCT,33.24623107910156,29260
57,0,0,0.0,0,La,DET,33.331478118896484,32260
58,Peace,NOUN,22.02753448486328,32260,paz,NOUN,31.088865280151367,32260
59,not,PART,23.001550674438477,32260,no,ADV,32.11123275756836,32260
60,is,AUX,23.70381736755371,32260,es,AUX,34.43246078491211,32260
61,the,DET,22.58356285095215,32260,la,DET,33.26536178588867,32260
62,dove,NOUN,17.88742446899414,32260,paloma,NOUN,29.521398544311523,32260
63,and,CCONJ,21.372295379638672,32260,y,CONJ,31.32469367980957,32260
64,the,DET,18.709415435791016,32260,el,DET,34.51972961425781,32260
65,--,PUNCT,19.76605796813965,32260,arco,PROPN,30.187883377075195,32260
66,rainbow,NOUN,19.961231231689453,32260,iris,PROPN,32.340763092041016,32260
67,as,ADV,20.16682243347168,35260,-por,ADV,32.702510833740234,35260
68,lovely,ADJ,20.658151626586914,35260,adorables,ADJ,33.843780517578125,35260
69,as,SCONJ,21.505464553833008,35260,más,ADV,34.411354064941406,35260
70,they,PRON,25.416526794433594,35260,que,PRON,32.965579986572266,35260
71,are,AUX,24.247024536132812,35260,sean,AUX,33.63972473144531,35260
72,.,PUNCT,20.43213653564453,35260,.,PUNCT,31.215919494628906,35260
73,When,ADV,22.509315490722656,38260,Cuando,SCONJ,33.328208923339844,38260
74,I,PRON,25.57502555847168,38260,0,0,0.0,0
75,see,VERB,25.155227661132812,38260,veo,VERB,33.55922317504883,38260
76,the,DET,21.88819694519043,38260,los,DET,35.803497314453125,38260
77,symbols,NOUN,19.658855438232422,38260,símbolos,NOUN,34.465187072753906,38260
78,of,ADP,20.790767669677734,40260,del,ADP,33.029048919677734,40260
79,the,DET,21.119966506958008,40260,arco,PROPN,30.522798538208008,40260
80,rainbow,PROPN,18.83226203918457,40260,iris,PROPN,32.31564712524414,40260
81,and,CCONJ,20.562679290771484,40260,y,CONJ,31.391029357910156,40260
82,the,DET,19.696331024169922,40260,la,DET,31.935651779174805,40260
83,dove,NOUN,18.183557510375977,40260,paloma,NOUN,30.289690017700195,40260
84,",",PUNCT,21.285690307617188,40260,de,ADP,32.73180389404297,40260
85,I,PRON,24.539043426513672,42260,la,DET,32.96523666381836,42260
86,think,VERB,22.13912010192871,42260,pienso,VERB,33.19240951538086,42260
87,of,ADP,22.38726043701172,42260,en,ADP,32.749000549316406,42260
88,personal,ADJ,20.413557052612305,42260,personal,ADJ,34.69904327392578,42260
89,serenity,NOUN,19.2578067779541,42260,serenidad,NOUN,34.394989013671875,42260
90,.,PUNCT,20.764034271240234,42260,.,PUNCT,33.841064453125,42260
91,I,PRON,24.492916107177734,45260,la,DET,33.247581481933594,45260
92,think,VERB,22.1673641204834,45260,Pienso,VERB,32.387908935546875,45260
93,of,ADP,23.343080520629883,45260,en,ADP,33.12796401977539,45260
94,meditation,NOUN,17.877037048339844,45260,meditación,NOUN,31.66204833984375,45260
95,.,PUNCT,21.384374618530273,45260,.,PUNCT,33.56636047363281,45260
96,I,PRON,24.978042602539062,47260,No,ADV,32.61514663696289,47260
