,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,we,PRON,23.54275131225586,15292,solemos,AUX,31.14849090576172,15292
1,tend,VERB,23.82555389404297,15292,pensar,VERB,37.137420654296875,15292
2,to,PART,22.2122745513916,15292,en,ADP,33.391693115234375,15292
3,think,VERB,24.459091186523438,15292,nevadas,ADJ,32.959800720214844,15292
4,of,ADP,22.802818298339844,15292,del,ADP,32.03420639038086,15292
5,the,DET,20.46795082092285,15292,las,DET,33.073814392089844,15292
6,snow,NOUN,21.15720558166504,15292,montañas,NOUN,35.45009994506836,15292
7,-,PUNCT,23.471187591552734,15292,",",PUNCT,30.643898010253906,15292
8,capped,VERB,20.52205467224121,15292,Himalaya,PROPN,35.6070442199707,15292
9,mountains,NOUN,22.213706970214844,15292,0,0,0.0,0
10,-,PUNCT,20.892545700073242,19019,en,ADP,33.79874038696289,19019
11,the,DET,20.125158309936523,19019,las,DET,32.06398010253906,19019
12,crystal,NOUN,19.240886688232422,19019,tranquilas,NOUN,33.744197845458984,19019
13,clear,PROPN,18.516775131225586,19019,aguas,ADJ,33.67435073852539,19019
14,still,ADV,19.34221649169922,19019,cristalinas,ADJ,33.52760696411133,19019
15,waters,NOUN,19.984834671020508,19019,de,ADP,31.50800132751465,19019
16,its,DET,23.983566284179688,19019,sus,DET,31.739580154418945,19019
17,alpine,NOUN,19.71076011657715,19019,lagos,NOUN,33.62614822387695,19019
18,of,ADP,24.616315841674805,19019,de,ADP,32.57171630859375,19019
19,lakes,NOUN,22.536727905273438,19019,montaña,NOUN,29.649106979370117,19019
20,",",PUNCT,20.943618774414062,19019,",",PUNCT,30.7996768951416,19019
21,or,CCONJ,19.619409561157227,22468,o,CONJ,31.50463104248047,22468
22,0,0,0.0,0,en,ADP,31.913909912109375,22468
23,the,DET,20.984113693237305,22468,la,DET,32.330665588378906,22468
24,huge,ADJ,20.5831241607666,22468,enorme,ADJ,33.07805252075195,22468
25,expanse,NOUN,19.642648696899414,22468,extensión,NOUN,30.771177291870117,22468
26,of,ADP,24.26001739501953,22468,de,ADP,29.1848201751709,22468
27,its,DET,23.204273223876953,22468,sus,DET,31.597593307495117,22468
28,grasslands,NOUN,21.17022705078125,22468,pastizales,NOUN,35.301849365234375,22468
29,.,PUNCT,19.337139129638672,22468,.,PUNCT,33.32878494262695,22468
30,What,PRON,19.9829044342041,25514,que,PRON,30.777196884155273,25514
31,some,DET,21.774385452270508,25514,Lo,DET,32.99709701538086,25514
32,of,ADP,22.50741958618164,25514,no,ADV,33.11897277832031,25514
33,us,PRON,23.202869415283203,25514,algunos,PRON,34.742488861083984,25514
34,may,VERB,22.901185989379883,25514,advierten,VERB,36.56916046142578,25514
35,not,PART,25.20231056213379,25514,0,0,0.0,0
36,realize,VERB,22.92580223083496,25514,0,0,0.0,0
37,is,AUX,20.756473541259766,27721,es,AUX,33.572879791259766,27721
38,that,SCONJ,19.800310134887695,27721,que,SCONJ,33.70805740356445,27721
39,in,ADP,21.00784683227539,27721,en,ADP,33.107276916503906,27721
40,the,DET,22.035951614379883,27721,las,DET,34.123104095458984,27721
41,foothills,NOUN,20.682600021362305,27721,estribaciones,NOUN,34.69241714477539,27721
42,0,0,0.0,0,del,ADP,34.004112243652344,27721
43,Himalayan,PROPN,22.257753372192383,27721,Himalaya,PROPN,36.01870346069336,27721
44,",",PUNCT,20.400358200073242,27721,",",PUNCT,30.632369995117188,27721
45,0,0,0.0,0,donde,PRON,32.48522186279297,30045
46,the,DET,22.353137969970703,30045,el,DET,35.05670928955078,30045
47,climate,NOUN,19.92365074157715,30045,clima,NOUN,30.22626304626465,30045
48,is,AUX,24.626209259033203,30045,es,AUX,36.0824089050293,30045
49,much,ADV,24.479305267333984,30045,mucho,ADV,33.34934616088867,30045
50,where,ADV,20.7236385345459,30045,más,ADV,36.73679733276367,30045
51,warmer,ADJ,20.95787239074707,30045,cálido,ADJ,35.119083404541016,30045
52,and,CCONJ,18.581533432006836,32219,y,CONJ,32.39534378051758,32219
53,the,DET,21.0350399017334,32219,el,DET,35.3551139831543,32219
54,landscape,NOUN,18.990568161010742,32219,paisaje,NOUN,31.167823791503906,32219
55,much,ADV,18.74560546875,32219,mucho,ADV,33.455543518066406,32219
56,greener,PROPN,18.632375717163086,32219,más,ADV,34.91924285888672,32219
57,0,0,0.0,0,verde,ADJ,36.104576110839844,32219
58,",",PUNCT,21.88542366027832,32219,",",PUNCT,30.499805450439453,32219
59,there,PRON,20.643604278564453,34307,0,0,0.0,0
60,lives,VERB,23.04514503479004,34307,vive,VERB,37.141212463378906,34307
61,a,DET,23.268844604492188,34307,una,DET,35.143646240234375,34307
62,great,ADJ,19.29945945739746,34307,gran,ADJ,37.18056106567383,34307
63,diversity,NOUN,22.301759719848633,34307,diversidad,NOUN,32.986995697021484,34307
64,of,ADP,25.197397232055664,34307,de,ADP,31.159564971923828,34307
65,wildlife,NOUN,19.46089744567871,34307,fauna,NOUN,30.201181411743164,34307
66,",",PUNCT,21.771984100341797,34307,",",PUNCT,30.679441452026367,34307
67,including,VERB,23.20059585571289,36733,incluyendo,VERB,34.030635833740234,36733
68,the,DET,21.585771560668945,36733,el,DET,37.29685592651367,36733
69,one,NUM,19.789207458496094,36733,rinoceronte,NOUN,31.06795883178711,36733
70,-,PUNCT,22.397253036499023,36733,de,ADP,30.282190322875977,36733
71,horned,VERB,23.40725326538086,36733,un,DET,35.37944030761719,36733
72,rhinoceros,NOUN,21.138689041137695,36733,cuerno,NOUN,31.859237670898438,36733
73,",",PUNCT,21.452896118164062,36733,",",PUNCT,29.289306640625,36733
74,the,DET,19.542037963867188,39469,el,DET,34.065792083740234,39469
75,elephant,NOUN,17.198944091796875,39469,elefante,NOUN,31.53719711303711,39469
76,Asian,ADJ,22.194461822509766,39469,asiático,ADJ,33.19413757324219,39469
77,and,CCONJ,19.951749801635742,41143,y,CONJ,32.51139831542969,41143
78,the,DET,21.747922897338867,41143,el,DET,33.01291275024414,41143
79,tiger,NOUN,19.285287857055664,41143,tigre,NOUN,27.38949203491211,41143
80,0,0,0.0,0,de,ADP,31.414569854736328,41143
81,Bengal,PROPN,21.789794921875,41143,Bengala,PROPN,37.199249267578125,41143
82,.,PUNCT,21.65500831604004,41143,.,PUNCT,32.0134391784668,41143
83,But,CCONJ,22.38219451904297,43218,Pero,CONJ,33.54403305053711,43218
84,",",PUNCT,18.860458374023438,43218,",",PUNCT,29.49319076538086,43218
85,unfortunately,ADV,22.121749877929688,43218,por,ADP,32.92079544067383,43218
86,animals,NOUN,23.182579040527344,43218,desgracia,NOUN,30.86932373046875,43218
87,0,0,0.0,0,",",PUNCT,30.849021911621094,43218
88,these,DET,21.540210723876953,43218,estos,DET,33.8510627746582,43218
89,0,0,0.0,0,animales,NOUN,35.62501525878906,43218
90,are,AUX,21.62401008605957,45070,están,AUX,34.790802001953125,45070
91,under,ADP,21.28665542602539,45070,bajo,ADP,33.22013854980469,45070
92,0,0,0.0,0,la,DET,34.428035736083984,45070
93,constant,ADJ,19.80780601501465,45070,constante,ADJ,33.756317138671875,45070
94,threat,NOUN,21.437023162841797,45070,amenaza,NOUN,32.50759506225586,45070
95,from,ADP,22.677154541015625,45070,de,ADP,31.534135818481445,45070
96,0,0,0.0,0,los,DET,35.944580078125,45070
97,poachers,NOUN,21.302791595458984,45070,cazadores,NOUN,36.919822692871094,45070
98,0,0,0.0,0,furtivos,ADJ,36.15643310546875,45070
99,and,CCONJ,21.8624324798584,47733,que,SCONJ,31.340486526489258,47733
100,who,PRON,20.739795684814453,47733,los,PRON,31.026844024658203,47733
101,hunt,VERB,20.875885009765625,47733,persiguen,VERB,35.314849853515625,47733
102,body,NOUN,20.909650802612305,47733,y,CONJ,32.54198455810547,47733
103,them,PRON,24.473125457763672,47733,los,PRON,32.0253791809082,47733
104,kill,VERB,22.117752075195312,47733,matan,VERB,35.47276306152344,47733
105,for,ADP,23.296369552612305,47733,por,ADP,33.438499450683594,47733
106,their,DET,23.73603057861328,47733,sus,DET,33.7684211730957,47733
107,parts,NOUN,21.048303604125977,47733,partes,NOUN,36.538970947265625,47733
108,.,PUNCT,21.863252639770508,47733,.,PUNCT,33.46757888793945,47733
109,To,PART,20.78666114807129,51045,Para,ADP,34.59129333496094,51045
110,stop,VERB,25.572128295898438,51045,detener,VERB,38.297122955322266,51045
111,the,DET,23.620996475219727,51045,la,DET,34.915916442871094,51045
112,killing,NOUN,20.05162239074707,51045,matanza,NOUN,31.66819190979004,51045
113,of,ADP,25.059253692626953,51045,de,ADP,30.676074981689453,51045
114,these,DET,23.918113708496094,51045,estos,DET,35.563392639160156,51045
115,animals,NOUN,23.290220260620117,51045,animales,NOUN,36.075923919677734,51045
116,",",PUNCT,19.983001708984375,51045,",",PUNCT,30.896432876586914,51045
117,battalions,NOUN,21.392343521118164,53254,se,PRON,31.51597023010254,53254
118,and,CCONJ,24.790939331054688,53254,envían,VERB,32.867942810058594,53254
119,soldiers,NOUN,22.32645606994629,53254,batallones,NOUN,34.61528778076172,53254
120,of,ADP,22.874671936035156,53254,de,ADP,31.526945114135742,53254
121,rangers,NOUN,21.129056930541992,53254,soldados,NOUN,33.83696746826172,53254
122,0,0,0.0,0,y,CONJ,33.34632110595703,53254
123,0,0,0.0,0,guardas,ADJ,32.951351165771484,53254
124,are,AUX,22.97268295288086,55852,a,ADP,32.18632125854492,55852
125,sent,VERB,22.713703155517578,55852,proteger,VERB,34.92601776123047,55852
126,to,PART,22.399641036987305,55852,los,DET,34.74117660522461,55852
127,protect,VERB,22.62578010559082,55852,0,0,0.0,0
128,Nepal,PROPN,21.17229461669922,55852,Nepal,PROPN,36.26498031616211,55852
129,'s,PART,21.06907081604004,55852,de,ADP,29.014917373657227,55852
130,national,ADJ,21.88910484313965,55852,nacionales,ADJ,34.66609191894531,55852
131,parks,NOUN,21.04640007019043,55852,parques,NOUN,34.449886322021484,55852
132,",",PUNCT,20.67938995361328,55852,",",PUNCT,30.4051570892334,55852
133,but,CCONJ,20.77614974975586,59101,pero,CONJ,32.771263122558594,59101
134,that,DET,18.77545928955078,59101,no,ADV,32.94476318359375,59101
135,is,AUX,25.30087661743164,59101,es,AUX,35.819427490234375,59101
136,not,PART,23.205678939819336,59101,0,0,0.0,0
137,an,DET,21.442975997924805,59101,0,0,0.0,0
138,easy,ADJ,22.86471939086914,59101,fácil,ADJ,36.3485107421875,59101
139,task,NOUN,20.645654678344727,59101,tarea,NOUN,34.76597595214844,59101
140,",",PUNCT,22.0378475189209,59101,",",PUNCT,29.728313446044922,59101
141,because,SCONJ,21.459209442138672,60726,porque,SCONJ,36.83183670043945,60726
142,these,DET,23.83796501159668,60726,estos,DET,34.31324768066406,60726
143,soldiers,NOUN,25.403989791870117,60726,soldados,NOUN,36.891815185546875,60726
144,have,AUX,21.91385841369629,60726,tienen,VERB,35.413230895996094,60726
145,to,PART,22.35445785522461,60726,que,SCONJ,31.619571685791016,60726
146,patrol,VERB,24.346786499023438,60726,patrullar,VERB,34.70864486694336,60726
147,thousands,NOUN,21.15743637084961,63397,miles,NUM,33.93911361694336,63397
148,of,ADP,22.260746002197266,63397,de,ADP,30.887069702148438,63397
149,hectares,NOUN,22.261743545532227,63397,hectáreas,NOUN,36.36955642700195,63397
150,of,ADP,21.701557159423828,63397,de,ADP,31.334379196166992,63397
151,forests,NOUN,20.674537658691406,63397,bosques,NOUN,32.03022003173828,63397
152,on,ADP,19.070919036865234,63397,a,ADP,32.72136688232422,63397
153,foot,NOUN,20.171262741088867,63397,pie,NOUN,32.174278259277344,63397
154,or,CCONJ,21.73648452758789,66388,o,CONJ,31.656890869140625,66388
155,0,0,0.0,0,en,ADP,32.98975372314453,66388
156,backs,NOUN,21.67560386657715,66388,lomos,NOUN,32.1389045715332,66388
157,0,0,0.0,0,de,ADP,28.231555938720703,66388
158,elephant,NOUN,18.236600875854492,66388,elefante,NOUN,32.76926803588867,66388
159,.,PUNCT,21.54058265686035,66388,.,PUNCT,33.00621032714844,66388
160,also,ADV,25.04094696044922,68029,También,ADV,35.15634536743164,68029
161,is,AUX,25.435182571411133,68029,es,AUX,34.365604400634766,68029
162,risky,ADJ,21.19294548034668,68029,riesgoso,ADJ,35.420555114746094,68029
163,for,ADP,21.663742065429688,68029,para,ADP,34.56870651245117,68029
164,these,DET,24.08160972595215,68029,estos,DET,35.22626876831055,68029
165,soldiers,NOUN,20.545433044433594,68029,soldados,NOUN,36.029327392578125,68029
166,It,PRON,24.307235717773438,68029,cuando,SCONJ,35.05078125,68029
167,when,ADV,23.81760025024414,70514,0,0,0.0,0
168,they,PRON,25.565401077270508,70514,los,DET,36.84351348876953,70514
169,get,VERB,24.077322006225586,70514,enfrentan,VERB,34.44347381591797,70514
170,into,ADP,20.629230499267578,70514,con,ADP,32.4884033203125,70514
171,gunfights,NOUN,22.241106033325195,70514,cazadores,NOUN,36.81983184814453,70514
172,with,ADP,23.586896896362305,70514,furtivos,ADJ,35.481658935546875,70514
173,poachers,NOUN,23.13686752319336,70514,tiroteos,NOUN,33.4459228515625,70514
174,",",PUNCT,20.63960075378418,70514,",",PUNCT,30.310022354125977,70514
175,and,CCONJ,21.02788543701172,72895,y,CONJ,32.97528076171875,72895
176,therefore,ADV,21.114532470703125,72895,por,ADP,32.39076232910156,72895
177,0,0,0.0,0,eso,PRON,32.52669143676758,72895
178,is,AUX,22.655195236206055,72895,en,ADP,33.29661560058594,72895
179,Nepal,PROPN,20.297311782836914,72895,Nepal,PROPN,35.42486572265625,72895
180,always,ADV,24.1724853515625,72895,se,PRON,30.66111183166504,72895
181,looking,VERB,26.36614418029785,72895,buscan,VERB,37.843658447265625,72895
182,for,ADP,22.18561363220215,74911,de,ADP,29.770160675048828,74911
183,new,ADJ,21.43633460998535,74911,nuevas,ADJ,34.22713851928711,74911
184,ways,NOUN,21.538150787353516,74911,formas,NOUN,34.605690002441406,74911
185,to,PART,21.9188175201416,74911,0,0,0.0,0
186,help,VERB,23.99700355529785,74911,proteger,VERB,36.07036590576172,74911
187,with,ADP,23.098827362060547,74911,0,0,0.0,0
188,protecting,VERB,25.31363868713379,74911,0,0,0.0,0
189,the,DET,21.793724060058594,74911,los,DET,35.5118408203125,74911
190,forests,NOUN,19.13054656982422,74911,bosques,NOUN,33.654937744140625,74911
191,and,CCONJ,21.097332000732422,78207,y,CONJ,33.7353630065918,78207
192,0,0,0.0,0,la,DET,34.6629753112793,78207
193,wildlife,NOUN,17.52091407775879,78207,fauna,NOUN,30.649463653564453,78207
194,.,PUNCT,22.066221237182617,78207,.,PUNCT,32.92842102050781,78207
195,Well,INTJ,22.238706588745117,80184,0,0,0.0,0
196,recently,ADV,21.746728897094727,80184,Recientemente,ADV,33.50584411621094,80184
197,",",PUNCT,21.176664352416992,80184,0,0,0.0,0
198,Nepal,PROPN,20.598865509033203,80184,Nepal,PROPN,34.191810607910156,80184
199,acquired,VERB,23.56624984741211,80184,adquirió,VERB,36.44221496582031,80184
200,a,DET,23.12412452697754,80184,una,DET,35.192264556884766,80184
201,new,ADJ,21.92726707458496,80184,nueva,ADJ,35.13364791870117,80184
202,tool,NOUN,21.781375885009766,80184,herramienta,NOUN,32.70223617553711,80184
203,in,ADP,20.624725341796875,82693,para,ADP,36.28192138671875,82693
204,0,0,0.0,0,enfrentar,VERB,36.33445358276367,82693
205,the,DET,22.982769012451172,82693,el,DET,35.278255462646484,82693
206,fight,NOUN,21.559396743774414,82693,crimen,NOUN,32.755985260009766,82693
207,against,ADP,23.284528732299805,82693,contra,ADP,30.53902244567871,82693
208,wildlife,NOUN,18.697128295898438,82693,la,DET,34.23457336425781,82693
209,crime,NOUN,19.269981384277344,82693,fauna,NOUN,31.524276733398438,82693
210,",",PUNCT,20.44365692138672,82693,",",PUNCT,30.038867950439453,82693
211,and,CCONJ,20.2296085357666,85406,y,CONJ,34.00868606567383,85406
212,are,AUX,22.917118072509766,85406,son,AUX,32.91114807128906,85406
213,these,DET,21.720067977905273,85406,los,DET,35.306827545166016,85406
214,drones,NOUN,22.166208267211914,85406,drones,NOUN,32.73344039916992,85406
215,",",PUNCT,20.012527465820312,85406,",",PUNCT,30.651479721069336,85406
216,or,CCONJ,20.05126953125,87112,o,CONJ,33.5059928894043,87112
217,more,ADV,21.331323623657227,87112,",",PUNCT,30.677783966064453,87112
218,specifically,ADV,22.748537063598633,87112,más,ADV,33.43932342529297,87112
219,0,0,0.0,0,específicamente,ADJ,34.07525634765625,87112
220,",",PUNCT,22.64100456237793,87112,",",PUNCT,30.003637313842773,87112
221,0,0,0.0,0,los,DET,33.08346939086914,87112
222,drones,NOUN,20.999624252319336,87112,drones,NOUN,33.65428924560547,87112
223,0,0,0.0,0,de,ADP,32.57428741455078,87112
224,conservation,NOUN,19.554622650146484,87112,conservación,NOUN,31.818893432617188,87112
225,.,PUNCT,21.022979736328125,87112,.,PUNCT,33.030216217041016,87112
226,For,ADP,20.260276794433594,90386,Desde,ADP,33.5338020324707,90386
227,0,0,0.0,0,hace,AUX,34.3255500793457,90386
228,about,ADV,19.6307373046875,90386,cerca,ADV,36.855655670166016,90386
229,now,ADV,21.14092445373535,90386,de,ADP,32.70515441894531,90386
230,a,DET,21.752304077148438,90386,un,DET,31.919219970703125,90386
231,year,NOUN,20.982666015625,90386,año,NOUN,32.260372161865234,90386
232,",",PUNCT,20.780986785888672,90386,",",PUNCT,30.050979614257812,90386
233,I,PRON,20.919200897216797,90386,junto,ADJ,32.44386672973633,90386
234,and,CCONJ,19.645540237426758,90386,con,ADP,31.49820327758789,90386
235,my,DET,19.642263412475586,90386,mis,DET,33.27295684814453,90386
236,colleagues,NOUN,19.04427146911621,90386,colegas,NOUN,36.03252410888672,90386
237,have,AUX,21.297622680664062,92900,hemos,AUX,34.37883377075195,92900
238,been,AUX,25.01350975036621,92900,0,0,0.0,0
239,building,VERB,24.469327926635742,92900,construido,VERB,32.90100860595703,92900
240,drones,NOUN,21.855735778808594,92900,drones,NOUN,32.65772247314453,92900
241,for,ADP,22.564300537109375,92900,para,ADP,34.898250579833984,92900
242,Nepal,PROPN,20.54584503173828,92900,Nepal,PROPN,34.07231521606445,92900
243,and,CCONJ,21.243927001953125,95160,y,CONJ,34.02831268310547,95160
244,training,VERB,21.54155921936035,95160,capacitado,ADJ,34.556800842285156,95160
245,the,DET,21.682212829589844,95160,al,ADP,34.107887268066406,95160
246,park,NOUN,16.921789169311523,95160,personal,NOUN,29.635679244995117,95160
247,0,0,0.0,0,de,ADP,32.53244400024414,95160
248,personnel,NOUN,17.41411018371582,95160,protección,NOUN,29.987207412719727,95160
249,0,0,0.0,0,del,ADP,33.764217376708984,95160
250,protection,NOUN,18.73468780517578,95160,parque,NOUN,31.84861946105957,95160
251,on,ADP,20.215896606445312,97658,en,ADP,32.48078536987305,97658
252,the,DET,23.581453323364258,97658,el,DET,33.395877838134766,97658
253,use,NOUN,19.47574806213379,97658,uso,NOUN,30.878633499145508,97658
254,of,ADP,23.781465530395508,97658,de,ADP,31.08085823059082,97658
255,these,DET,22.481611251831055,97658,estos,DET,34.421321868896484,97658
256,drones,NOUN,21.509920120239258,97658,drones,NOUN,33.404335021972656,97658
257,.,PUNCT,21.202768325805664,97658,.,PUNCT,33.20262145996094,97658
258,does,AUX,22.969593048095703,99636,Un,DET,32.41975402832031,99636
259,only,ADV,22.695032119750977,99636,dron,VERB,32.168212890625,99636
260,Not,PART,21.43860626220703,99636,no,PART,31.702556610107422,99636
261,drone,NOUN,21.038698196411133,99636,solo,NOUN,35.343223571777344,99636
262,give,VERB,22.49090576171875,99636,da,VERB,33.200225830078125,99636
263,a,DET,22.1784610748291,99636,una,DET,33.357933044433594,99636
264,you,PRON,22.6353816986084,99636,vista,NOUN,31.779640197753906,99636
265,0,0,0.0,0,del,ADP,34.94874572753906,99636
266,0,0,0.0,0,paisaje,NOUN,31.27640151977539,99636
267,0,0,0.0,0,a,ADP,32.140174865722656,99636
268,0,0,0.0,0,vuelo,NOUN,30.862735748291016,99636
269,0,0,0.0,0,de,ADP,31.03104591369629,99636
270,0,0,0.0,0,pájaro,NOUN,28.718929290771484,99636
271,0,0,0.0,0,",",PUNCT,28.707481384277344,99636
272,but,CCONJ,21.1086483001709,103742,sino,CONJ,35.77811813354492,103742
273,it,PRON,23.13444709777832,103742,que,SCONJ,33.3541259765625,103742
274,also,ADV,25.183408737182617,103742,también,ADV,36.41775894165039,103742
275,allows,VERB,24.266578674316406,103742,permite,VERB,35.7923698425293,103742
276,you,PRON,23.30811882019043,103742,una,DET,35.14324951171875,103742
277,to,PART,21.73296546936035,103742,captura,NOUN,32.807891845703125,103742
278,capture,VERB,24.053499221801758,103742,en,ADP,32.4318733215332,103742
279,detailed,VERB,19.268709182739258,103742,detalle,NOUN,29.856840133666992,103742
280,",",PUNCT,19.79578971862793,103742,",",PUNCT,29.575355529785156,103742
281,-,PUNCT,21.69131851196289,106777,de,ADP,30.831378936767578,106777
282,resolution,NOUN,22.219690322875977,106777,imágenes,NOUN,30.68839454650879,106777
283,of,ADP,23.408172607421875,106777,de,ADP,31.348190307617188,106777
284,high,ADJ,20.07133674621582,106777,alta,ADJ,33.586299896240234,106777
285,images,NOUN,22.208221435546875,106777,resolución,NOUN,31.302486419677734,106777
286,on,ADP,20.51764678955078,106777,de,ADP,31.663898468017578,106777
287,the,DET,22.68770980834961,106777,los,DET,35.8717041015625,106777
288,objects,NOUN,21.980018615722656,106777,objetos,NOUN,34.73503494262695,106777
289,0,0,0.0,0,en,ADP,32.73430633544922,106777
290,0,0,0.0,0,el,DET,34.99229431152344,106777
291,ground,NOUN,18.65018653869629,106777,suelo,NOUN,30.39810562133789,106777
292,.,PUNCT,20.892797470092773,106777,.,PUNCT,31.89181900024414,106777
293,This,DET,21.167869567871094,110759,Esto,PRON,33.657989501953125,110759
294,",",PUNCT,22.237987518310547,110759,",",PUNCT,32.02271270751953,110759
295,for,ADP,21.51336097717285,110759,por,ADP,33.90719223022461,110759
296,example,NOUN,18.958187103271484,110759,ejemplo,NOUN,31.11819076538086,110759
297,",",PUNCT,21.28044891357422,110759,",",PUNCT,29.426002502441406,110759
298,is,AUX,21.074914932250977,110759,es,AUX,36.89754104614258,110759
299,a,DET,24.570785522460938,110759,un,DET,35.32011795043945,110759
300,pair,NOUN,21.19886589050293,110759,par,NOUN,31.378868103027344,110759
301,of,ADP,24.94561195373535,110759,de,ADP,31.346267700195312,110759
302,rhinoceros,NOUN,19.274429321289062,110759,rinocerontes,NOUN,35.339637756347656,110759
303,taking,VERB,23.18202018737793,114268,que,SCONJ,32.178993225097656,114268
304,cooling,VERB,21.596784591674805,114268,toman,VERB,35.62237548828125,114268
305,a,DET,21.576749801635742,114268,un,DET,37.051517486572266,114268
306,bath,NOUN,20.46001434326172,114268,baño,NOUN,33.154296875,114268
307,hot,ADJ,19.9592227935791,114268,refrescante,ADJ,33.602378845214844,114268
308,on,ADP,20.9541015625,114268,en,ADP,33.248565673828125,114268
309,a,DET,22.1324462890625,114268,un,DET,36.68404006958008,114268
310,summer,NOUN,17.833728790283203,114268,día,NOUN,33.0241584777832,114268
311,0,0,0.0,0,caluroso,ADJ,33.75230026245117,114268
