,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,ADV,18.83515167236328,15260,Bien,ADV,32.93559265136719,15260
1,today,NOUN,21.75189781188965,15260,0,0,0.0,0
2,",",PUNCT,21.94601058959961,15260,",",PUNCT,29.340299606323242,15260
3,I,PRON,24.192249298095703,15260,hoy,ADV,33.23353958129883,15260
4,want,VERB,25.187559127807617,15260,quisiera,VERB,31.511558532714844,15260
5,us,PRON,24.18467903137207,15260,que,SCONJ,30.783634185791016,15260
6,to,PART,20.691238403320312,15260,0,0,0.0,0
7,reflect,VERB,23.444013595581055,15260,reflexionemos,VERB,32.720706939697266,15260
8,on,ADP,19.972335815429688,17260,sobre,ADP,33.395809173583984,17260
9,the,DET,23.156940460205078,17260,la,DET,32.0913200378418,17260
10,demise,NOUN,19.90011978149414,17260,decadencia,NOUN,29.150346755981445,17260
11,of,ADP,23.30483627319336,17260,de,ADP,31.901119232177734,17260
12,0,0,0.0,0,los,DET,33.64171600341797,17260
13,guys,NOUN,21.231931686401367,17260,jóvenes,NOUN,36.373233795166016,17260
14,.,PUNCT,21.461130142211914,17260,.,PUNCT,32.78790283203125,17260
15,0,0,0.0,0,Los,DET,34.20206832885742,19260
16,Guys,NOUN,23.214553833007812,19260,muchachos,NOUN,32.328895568847656,19260
17,are,AUX,25.95301628112793,19260,están,AUX,35.31072235107422,19260
18,flaming,VERB,26.11737632751465,19260,"""",PUNCT,33.6600456237793,19260
19,out,ADP,22.045549392700195,19260,en,ADP,33.426673889160156,19260
20,0,0,0.0,0,llamas,NOUN,32.50188064575195,19260
21,;,PUNCT,18.57485008239746,19260,"""",PUNCT,31.201326370239258,19260
22,academically,ADV,23.6876220703125,19260,académicamente,ADV,34.02040481567383,19260
23,0,0,0.0,0,;,PUNCT,31.197208404541016,19260
24,they,PRON,24.020498275756836,21260,0,0,0.0,0
25,'re,AUX,24.077835083007812,21260,están,AUX,34.96875762939453,21260
26,wiping,VERB,26.065200805664062,21260,fracasando,VERB,34.32637023925781,21260
27,out,ADP,22.56610679626465,21260,con,ADP,33.54404067993164,21260
28,socially,ADV,24.56953239440918,21260,socialmente,ADV,37.22026443481445,21260
29,with,ADP,21.455114364624023,21260,las,DET,33.760555267333984,21260
30,girls,NOUN,19.79738426208496,21260,chicas,NOUN,35.92460632324219,21260
31,and,CCONJ,20.548852920532227,23260,y,CONJ,34.90873336791992,23260
32,sexually,ADV,21.687490463256836,23260,sexualmente,ADV,32.84334945678711,23260
33,with,ADP,21.547208786010742,23260,con,ADP,33.437198638916016,23260
34,0,0,0.0,0,las,DET,32.26765441894531,23260
35,women,NOUN,21.411537170410156,23260,mujeres,NOUN,35.094017028808594,23260
