,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,At,ADP,20.955245971679688,12904,A,ADP,34.324039459228516,12904
1,age,NOUN,19.47055435180664,12904,años,NOUN,34.368133544921875,12904
2,four,NUM,18.857332229614258,12904,cuatro,NUM,36.14239501953125,12904
3,",",PUNCT,22.237062454223633,12904,los,DET,34.53303146362305,12904
4,I,PRON,24.709558486938477,12904,0,0,0.0,0
5,found,VERB,26.21924591064453,12904,encontré,VERB,31.138010025024414,12904
6,a,DET,23.55345344543457,12904,un,DET,35.54762268066406,12904
7,garden,NOUN,18.88904571533203,12904,jardín,NOUN,31.803098678588867,12904
8,",",PUNCT,20.158191680908203,12904,",",PUNCT,30.331199645996094,12904
9,living,VERB,21.797195434570312,15849,viviendo,VERB,34.76325225830078,15849
10,0,0,0.0,0,debajo,ADV,35.63690185546875,15849
11,underneath,ADP,21.462684631347656,15849,del,ADP,35.11529541015625,15849
12,kitchen,NOUN,18.922176361083984,15849,suelo,NOUN,30.62863540649414,15849
13,0,0,0.0,0,de,ADP,29.46579933166504,15849
14,the,DET,22.051990509033203,15849,la,DET,33.15043640136719,15849
15,floor,NOUN,20.250581741333008,15849,cocina,NOUN,32.54508972167969,15849
16,.,PUNCT,20.138145446777344,15849,.,PUNCT,33.74342727661133,15849
17,It,PRON,24.03690528869629,18778,Se,PRON,32.59121322631836,18778
18,was,AUX,25.327354431152344,18778,detrás,ADV,33.12838363647461,18778
19,hiding,VERB,24.4394588470459,18778,escondía,VERB,33.72789001464844,18778
20,behind,ADP,19.07496452331543,18778,de,ADP,32.26494598388672,18778
21,leftover,NOUN,20.086637496948242,18778,trozos,NOUN,33.26462173461914,18778
22,patches,NOUN,21.80289077758789,18778,abandonados,ADJ,32.56101989746094,18778
23,of,ADP,22.9981632232666,18778,de,ADP,30.43105125427246,18778
24,linoleum,NOUN,18.94366455078125,18778,linóleo,NOUN,30.849353790283203,18778
25,on,ADP,19.954113006591797,22276,en,ADP,32.74638748168945,22276
26,the,DET,22.639081954956055,22276,el,DET,34.60130310058594,22276
27,worn,VERB,18.903175354003906,22276,0,0,0.0,0
28,-,PUNCT,18.840715408325195,22276,gastado,ADJ,36.45152282714844,22276
29,out,ADP,22.530420303344727,22276,que,PRON,34.20206069946289,22276
30,floor,NOUN,19.566177368164062,22276,piso,NOUN,33.092857360839844,22276
31,my,DET,23.57280921936035,22276,mi,DET,33.28273010253906,22276
32,mother,NOUN,20.402835845947266,22276,madre,NOUN,32.54780578613281,22276
33,was,AUX,25.411426544189453,22276,hecho,AUX,31.872350692749023,22276
34,having,VERB,24.469608306884766,22276,sacar,VERB,36.680137634277344,22276
35,removed,VERB,20.58888053894043,22276,había,AUX,35.308448791503906,22276
36,.,PUNCT,21.15822982788086,22276,.,PUNCT,34.70279312133789,22276
37,The,DET,22.37569808959961,26061,El,DET,34.165958404541016,26061
38,workman,NOUN,21.504154205322266,26061,hombre,NOUN,31.780067443847656,26061
39,was,AUX,26.207632064819336,26061,estaba,AUX,33.06678009033203,26061
40,busy,ADJ,21.53818130493164,26061,ocupado,ADJ,34.93352508544922,26061
41,when,ADV,22.047304153442383,26061,trabajando,AUX,35.40728759765625,26061
42,0,0,0.0,0,cuando,SCONJ,33.37938690185547,26061
43,the,DET,21.56805992126465,26061,el,DET,35.350860595703125,26061
44,garden,NOUN,19.60442543029785,26061,jardín,NOUN,32.577239990234375,26061
45,caught,VERB,23.48130989074707,26061,captó,VERB,36.47273254394531,26061
46,my,DET,21.837881088256836,26061,mi,DET,34.71918487548828,26061
47,attention,NOUN,19.023801803588867,26061,atención,NOUN,31.810317993164062,26061
48,.,PUNCT,20.828813552856445,26061,.,PUNCT,32.75716018676758,26061
49,My,DET,23.450990676879883,29919,Mis,DET,32.499481201171875,29919
50,eyes,NOUN,22.773164749145508,29919,ojos,NOUN,33.271400451660156,29919
51,became,VERB,26.23985481262207,29919,se,PRON,32.882904052734375,29919
52,glued,VERB,21.25298500061035,29919,pegaron,VERB,37.238677978515625,29919
53,to,ADP,22.071109771728516,29919,a,ADP,35.285980224609375,29919
54,the,DET,22.780614852905273,29919,los,DET,34.71320343017578,29919
55,patterns,NOUN,20.58785629272461,29919,patrones,NOUN,35.10894012451172,29919
56,of,ADP,24.019744873046875,29919,de,ADP,32.12892150878906,29919
57,embroidered,ADJ,22.225414276123047,29919,bordadas,ADJ,33.149620056152344,29919
58,roses,NOUN,21.018014907836914,29919,rosas,NOUN,35.143653869628906,29919
59,blooming,VERB,24.26740074157715,35394,floreciendo,VERB,36.035770416259766,35394
60,across,ADP,20.36507225036621,35394,en,ADP,33.847694396972656,35394
61,my,DET,21.613872528076172,35394,el,DET,34.40711212158203,35394
62,childhood,NOUN,21.540874481201172,35394,paisaje,NOUN,31.512802124023438,35394
63,0,0,0.0,0,de,ADP,31.192272186279297,35394
64,0,0,0.0,0,mi,DET,33.061519622802734,35394
65,landscape,NOUN,19.538644790649414,35394,niñez,NOUN,32.641849517822266,35394
66,.,PUNCT,21.687755584716797,35394,.,PUNCT,32.38732147216797,35394
67,I,PRON,25.316041946411133,38164,Las,DET,29.03147315979004,38164
68,saw,VERB,26.826889038085938,38164,vi,PROPN,30.89699935913086,38164
