,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,(,PUNCT,18.395471572875977,22040,¡,PUNCT,33.51715087890625,25034
1,Swat,PROPN,22.46120262145996,22040,Muerto,INTJ,29.744277954101562,25034
2,),PUNCT,20.797374725341797,22040,!,PUNCT,30.024770736694336,25034
3,Mosquitoes,NOUN,19.25567054748535,27960,Mosquitos,NOUN,32.95864486694336,28017
4,.,PUNCT,18.959104537963867,27960,.,PUNCT,31.196514129638672,28017
5,0,0,0.0,0,Los,DET,33.257232666015625,28017
6,0,0,0.0,0,odio,NOUN,30.099605560302734,28017
7,0,0,0.0,0,.,PUNCT,31.212722778320312,28017
8,I,PRON,24.753395080566406,29880,¿,PUNCT,29.50470733642578,31741
9,hate,VERB,24.157194137573242,29880,Uds.,PROPN,34.49378967285156,31741
10,them,PRON,25.064096450805664,29880,no,ADV,31.24580955505371,31741
11,.,PUNCT,21.503942489624023,29880,?,PUNCT,31.249147415161133,31741
12,?,PUNCT,22.40424156188965,32120,¿,PUNCT,30.25482940673828,33509
13,n't,PART,23.171897888183594,32120,Ese,DET,34.56680679321289,33509
14,you,PRON,22.70172882080078,32120,zumbido,NOUN,34.00588607788086,33509
15,Do,AUX,21.687049865722656,32120,horrible,ADJ,34.35496139526367,33509
16,0,0,0.0,0,en,ADP,31.02058219909668,33509
17,0,0,0.0,0,los,DET,34.899932861328125,33509
18,0,0,0.0,0,oídos,NOUN,34.344547271728516,33509
19,0,0,0.0,0,toda,DET,29.766889572143555,33509
20,0,0,0.0,0,la,DET,30.704999923706055,33509
21,0,0,0.0,0,noche,NOUN,31.12081527709961,33509
22,?,PUNCT,21.54486656188965,36600,¿,PUNCT,29.103818893432617,36600
23,absolutely,ADV,23.484895706176758,36600,Saber,AUX,31.72015953063965,36600
24,you,PRON,26.144634246826172,36600,que,SCONJ,33.503047943115234,36600
25,drives,VERB,22.669668197631836,36600,quiere,VERB,37.033573150634766,36600
26,crazy,ADJ,21.282649993896484,36600,clavarte,SCONJ,33.36471939086914,36600
27,that,DET,20.065818786621094,36600,una,DET,33.371734619140625,36600
28,0,0,0.0,0,aguja,NOUN,31.084686279296875,36600
29,0,0,0.0,0,en,ADP,32.562232971191406,36600
30,0,0,0.0,0,la,DET,32.576942443847656,36600
31,0,0,0.0,0,piel,NOUN,30.0306453704834,36600
32,Knowing,VERB,21.31339454650879,39280,y,CONJ,32.925113677978516,41185
33,that,SCONJ,21.848390579223633,39280,chuparte,PROPN,30.693403244018555,41185
34,she,PRON,26.947139739990234,39280,sangre,NOUN,30.76136589050293,41185
35,wants,VERB,24.590511322021484,39280,?,PUNCT,30.90355110168457,41185
36,to,PART,23.653034210205078,39280,Es,AUX,33.45988464355469,41185
37,stick,VERB,23.237751007080078,39280,horrible,ADJ,35.577640533447266,41185
38,a,DET,21.036165237426758,39280,",",PUNCT,29.58530616760254,41185
39,needle,NOUN,20.245450973510742,39280,¿,PUNCT,29.76339340209961,41185
40,in,ADP,20.9904842376709,39280,cierto,ADJ,34.14530944824219,41185
41,your,DET,22.305156707763672,39280,?,PUNCT,33.869266510009766,41185
42,skin,NOUN,20.95332145690918,39280,0,0,0.0,0
43,0,0,0.0,0,De,ADP,33.378265380859375,45271
44,awful,ADJ,21.029062271118164,43520,hecho,NOUN,30.580303192138672,45271
45,",",PUNCT,21.01447105407715,43520,",",PUNCT,30.374555587768555,45271
46,0,0,0.0,0,solo,ADV,33.41959762573242,45271
47,'s,AUX,23.74890899658203,43520,hay,AUX,34.68766784667969,45271
48,That,DET,19.266761779785156,43520,una,DET,34.29017639160156,45271
49,?,PUNCT,22.250864028930664,43520,cosa,NOUN,34.311561584472656,45271
50,right,ADJ,22.845781326293945,43520,buena,ADJ,34.41279983520508,45271
51,0,0,0.0,0,que,PRON,33.368011474609375,45271
52,0,0,0.0,0,se,PRON,31.10901641845703,45271
53,0,0,0.0,0,me,PRON,34.916656494140625,45271
54,0,0,0.0,0,ocurre,VERB,35.63108825683594,45271
55,In,ADP,21.424591064453125,45280,de,ADP,31.846864700317383,48652
56,fact,NOUN,21.400449752807617,45280,cuando,SCONJ,36.386688232421875,48652
57,",",PUNCT,20.992938995361328,45280,.,PUNCT,33.78715133666992,48652
58,there,PRON,23.512861251831055,45280,se,PRON,33.8283576965332,48652
59,'s,AUX,21.606863021850586,45280,0,0,0.0,0
60,only,ADV,20.325239181518555,45280,0,0,0.0,0
61,one,NUM,20.504060745239258,45280,0,0,0.0,0
62,good,ADJ,19.476919174194336,45280,0,0,0.0,0
63,thing,NOUN,20.723400115966797,45280,mosquitos,NOUN,33.25690460205078,48652
64,I,PRON,24.7325382232666,45280,0,0,0.0,0
65,can,VERB,24.65889549255371,45280,trata,VERB,37.1237907409668,48652
66,think,VERB,24.611980438232422,45280,0,0,0.0,0
67,of,ADP,23.011354446411133,45280,0,0,0.0,0
68,when,ADV,21.711292266845703,45280,0,0,0.0,0
69,it,PRON,25.48636817932129,45280,0,0,0.0,0
70,gets,VERB,25.039216995239258,45280,0,0,0.0,0
71,to,ADP,21.446054458618164,45280,0,0,0.0,0
72,mosquitoes,NOUN,21.58619499206543,45280,0,0,0.0,0
73,.,PUNCT,20.756567001342773,45280,0,0,0.0,0
74,When,ADV,23.003019332885742,51000,Cuando,SCONJ,35.27172088623047,51032
75,fly,VERB,24.431201934814453,51000,vuelan,VERB,35.14170455932617,51032
76,they,PRON,26.428625106811523,51000,en,ADP,35.396644592285156,51032
77,our,DET,22.505229949951172,51000,mi,DET,34.4289436340332,51032
78,bedroom,NOUN,19.9588680267334,51000,habitación,NOUN,29.657302856445312,51032
79,into,ADP,20.751787185668945,51000,de,ADP,31.315366744995117,51032
80,night,NOUN,19.352582931518555,51000,noche,NOUN,31.346439361572266,51032
81,",",PUNCT,20.306400299072266,51000,",",PUNCT,30.69818115234375,51032
82,0,0,0.0,0,prefieren,VERB,35.384735107421875,53743
83,0,0,0.0,0,picar,VERB,35.926021575927734,53743
84,at,ADP,22.218542098999023,51000,a,ADP,32.20840835571289,53743
85,0,0,0.0,0,mi,DET,34.19818115234375,53743
86,0,0,0.0,0,esposa,NOUN,31.18242835998535,53743
87,0,0,0.0,0,.,PUNCT,33.0832633972168,53743
88,But,CCONJ,20.567182540893555,56840,Fascinante,ADV,33.402740478515625,56848
89,that,DET,20.478511810302734,56840,",",PUNCT,30.881954193115234,56848
90,'s,AUX,23.98676872253418,56840,¿,PUNCT,29.62548065185547,56848
91,fascinating,ADJ,19.250673294067383,56840,cierto,ADJ,34.21333694458008,56848
92,",",PUNCT,19.406314849853516,56840,?,PUNCT,33.876495361328125,56848
93,?,PUNCT,22.395153045654297,56840,¿,PUNCT,30.745241165161133,58057
94,right,ADJ,22.164350509643555,56840,Por,ADP,33.59054183959961,58057
95,0,0,0.0,0,qué,PRON,33.83559036254883,58057
96,0,0,0.0,0,la,PRON,30.204147338867188,58057
97,0,0,0.0,0,pican,VERB,34.34282684326172,58057
98,0,0,0.0,0,más,ADV,36.5129280090332,58057
99,0,0,0.0,0,a,ADP,32.15318298339844,58057
100,0,0,0.0,0,ella,PRON,30.281343460083008,58057
101,0,0,0.0,0,que,SCONJ,33.30311584472656,58057
102,0,0,0.0,0,a,ADP,31.053543090820312,58057
103,0,0,0.0,0,mí,PRON,33.86006546020508,58057
104,0,0,0.0,0,?,PUNCT,32.96353530883789,58057
105,And,CCONJ,19.435874938964844,62600,La,DET,34.54839324951172,62663
106,answer,NOUN,19.378704071044922,62600,respuesta,NOUN,32.4166145324707,62663
107,is,AUX,23.772075653076172,62600,es,AUX,31.295074462890625,62663
108,the,DET,22.10030746459961,62600,el,DET,34.8737907409668,62663
109,smell,NOUN,19.798276901245117,62600,olor,NOUN,30.770763397216797,62663
110,",",PUNCT,20.6253662109375,62600,",",PUNCT,29.856769561767578,62663
111,0,0,0.0,0,su,DET,35.54508972167969,62663
112,0,0,0.0,0,olor,NOUN,34.08048629760742,62663
113,0,0,0.0,0,corporal,ADJ,34.346229553222656,62663
114,0,0,0.0,0,.,PUNCT,33.56133270263672,62663
115,the,DET,20.718481063842773,65040,Y,CONJ,32.50177764892578,66855
116,smell,NOUN,18.70708465576172,65040,ya,ADV,35.08846664428711,66855
117,of,ADP,22.663049697875977,65040,que,SCONJ,33.356380462646484,66855
118,her,DET,20.528295516967773,65040,todos,PRON,35.079219818115234,66855
119,0,0,0.0,0,olemos,VERB,35.11074447631836,66855
120,.,PUNCT,21.76137351989746,65040,diferente,ADJ,30.938901901245117,66855
121,0,0,0.0,0,y,CONJ,32.41379928588867,66855
122,body,NOUN,19.88199234008789,65040,producimos,NOUN,33.17571258544922,66855
123,0,0,0.0,0,químicos,ADJ,32.545310974121094,66855
124,And,CCONJ,20.390520095825195,67120,en,ADP,33.27421569824219,69505
125,since,SCONJ,21.901288986206055,67120,piel,NOUN,32.594844818115234,69505
126,we,PRON,22.161724090576172,67120,que,PRON,31.985389709472656,69505
127,all,DET,21.470199584960938,67120,nuestra,DET,33.808998107910156,69505
128,smell,VERB,21.364185333251953,67120,atraen,VERB,37.2220573425293,69505
129,different,ADJ,20.76947021484375,67120,o,CONJ,34.00598907470703,69505
130,and,CCONJ,22.050251007080078,67120,0,0,0.0,0
131,produce,VERB,21.84974479675293,67120,repelen,VERB,32.470603942871094,69505
132,chemicals,NOUN,22.348590850830078,67120,mosquitos,NOUN,33.61628723144531,69505
133,on,ADP,20.998851776123047,67120,",",PUNCT,30.873666763305664,69505
134,our,DET,21.651615142822266,67120,0,0,0.0,0
135,skin,NOUN,20.38033103942871,67120,0,0,0.0,0
136,some,DET,22.013628005981445,73960,0,0,0.0,0
137,of,ADP,22.448823928833008,73960,para,ADP,34.6284294128418,73982
138,us,PRON,22.40275764465332,73960,algunos,PRON,33.640846252441406,73982
139,are,AUX,24.477149963378906,73960,somos,AUX,33.41658401489258,73982
140,just,ADV,25.662490844726562,73960,más,ADV,36.470638275146484,73982
141,more,ADV,24.556835174560547,73960,ellos,PRON,35.00669860839844,73982
142,attractive,ADJ,22.8089599609375,73960,atractivos,ADJ,36.71487045288086,73982
143,than,SCONJ,22.83639907836914,73960,otros,PRON,33.20037078857422,73982
144,others,NOUN,23.286840438842773,73960,que,PRON,32.233985900878906,73982
145,.,PUNCT,21.183622360229492,73960,.,PUNCT,33.670528411865234,73982
146,my,DET,22.87810516357422,77360,Mi,DET,34.79322052001953,77414
147,wife,NOUN,21.64142608642578,77360,esposa,NOUN,31.33582878112793,77414
148,smells,VERB,24.272897720336914,77360,huele,PROPN,34.311363220214844,77414
149,nicer,ADJ,21.89434814453125,77360,mejor,ADJ,33.75008010864258,77414
150,than,SCONJ,21.675678253173828,77360,que,SCONJ,30.659738540649414,77414
151,I,PRON,23.575944900512695,77360,yo,PRON,31.721162796020508,77414
152,",",PUNCT,21.303298950195312,77360,",",PUNCT,31.118209838867188,77414
153,do,AUX,22.30255699157715,77360,o,CONJ,33.14562225341797,77414
154,So,ADV,19.749658584594727,77360,simplemente,ADV,34.80378723144531,77414
155,more,ADJ,21.7777042388916,77360,apesto,ADJ,33.02042007446289,80644
156,just,ADV,27.23302459716797,77360,más,ADV,36.55988693237305,80644
157,or,CCONJ,19.626203536987305,77360,que,SCONJ,33.69975662231445,80644
158,I,PRON,24.97010612487793,77360,ella,PRON,33.32296371459961,80644
159,0,0,0.0,0,.,PUNCT,32.69764709472656,80644
160,than,SCONJ,21.32284927368164,77360,Como,SCONJ,35.293556213378906,83430
161,0,0,0.0,0,sea,NOUN,31.905609130859375,83430
162,.,PUNCT,22.386573791503906,77360,",",PUNCT,28.97596549987793,83430
163,does,AUX,23.591642379760742,77360,los,DET,34.06267547607422,83430
164,0,0,0.0,0,mosquitos,NOUN,34.10838317871094,83430
165,she,PRON,24.677474975585938,77360,nos,PRON,34.35149383544922,83430
166,stink,VERB,22.354148864746094,77360,encuentran,VERB,37.20149612426758,83430
167,0,0,0.0,0,en,ADP,33.31436538696289,83430
168,0,0,0.0,0,la,DET,32.99649429321289,83430
169,0,0,0.0,0,oscuridad,NOUN,31.53128433227539,83430
170,Either,DET,20.122453689575195,83560,el,DET,35.58938980102539,87011
171,way,NOUN,18.450401306152344,83560,por,ADP,32.850685119628906,87011
172,",",PUNCT,21.966482162475586,83560,.,PUNCT,31.498300552368164,87011
173,mosquitoes,NOUN,21.88347816467285,83560,olfato,NOUN,30.493431091308594,87011
174,find,VERB,25.37460708618164,83560,huelen,VERB,34.62257766723633,87011
175,us,PRON,24.175140380859375,83560,Nos,PRON,32.9911994934082,87011
176,in,ADP,22.872209548950195,83560,.,PUNCT,32.10472106933594,87011
177,the,DET,21.684263229370117,83560,mi,DET,33.32378387451172,89746
178,dark,NOUN,19.944929122924805,83560,doctorado,NOUN,31.5255184173584,89746
179,by,ADP,21.697193145751953,83560,Durante,ADP,34.58826446533203,89746
180,sniffing,VERB,25.799776077270508,83560,quise,VERB,31.08962631225586,89746
181,us,PRON,24.06300163269043,83560,0,0,0.0,0
182,out,ADP,23.533063888549805,83560,exactamente,ADV,35.731285095214844,89746
183,.,PUNCT,22.790485382080078,83560,",",PUNCT,29.36578369140625,89746
184,They,PRON,25.06131362915039,83560,0,0,0.0,0
185,smell,VERB,23.246171951293945,83560,saber,VERB,33.46021270751953,89746
186,us,PRON,25.27726936340332,83560,0,0,0.0,0
187,.,PUNCT,21.41559600830078,83560,0,0,0.0,0
188,And,CCONJ,20.98491096496582,89800,qué,INTJ,29.235515594482422,92456
189,during,ADP,23.309457778930664,89800,de,ADP,30.494747161865234,92456
190,my,DET,21.857805252075195,89800,nuestra,DET,34.66106033325195,92456
191,PhD,NOUN,19.46768569946289,89800,piel,NOUN,32.0938720703125,92456
192,",",PUNCT,22.944923400878906,89800,",",PUNCT,30.213050842285156,92456
193,I,PRON,24.05500030517578,89800,químicos,ADJ,31.80860137939453,92456
194,wanted,VERB,24.675201416015625,89800,usaban,VERB,32.41464614868164,92456
195,to,PART,22.434635162353516,89800,mosquitos,NOUN,34.20298385620117,92456
196,know,VERB,24.940292358398438,89800,los,DET,34.763404846191406,92456
197,exactly,ADV,21.764320373535156,89800,0,0,0.0,0
198,what,DET,20.28910255432129,93120,los,DET,33.75321960449219,95212
199,African,ADJ,20.94252586364746,93120,africanos,ADJ,33.88182067871094,95212
200,chemicals,NOUN,22.268144607543945,93120,transmisores,NOUN,33.89935302734375,95212
201,from,ADP,21.30783462524414,93120,de,ADP,31.315067291259766,95212
202,skin,NOUN,20.960567474365234,93120,paludismo,NOUN,30.66497039794922,95212
203,0,0,0.0,0,",",PUNCT,28.14288330078125,95212
204,0,0,0.0,0,para,ADP,31.658605575561523,95212
205,mosquitoes,NOUN,20.792320251464844,93120,encontrarnos,NOUN,35.425350189208984,95212
206,use,VERB,20.33843994140625,93120,en,ADP,33.027164459228516,95212
207,our,DET,22.321670532226562,93120,la,DET,32.86943054199219,95212
208,malaria,NOUN,20.65700340270996,93120,oscuridad,NOUN,31.98934555053711,95212
209,0,0,0.0,0,.,PUNCT,33.27000045776367,95212
210,to,PART,22.420682907104492,97224,Y,CONJ,34.53654479980469,98993
211,track,VERB,25.110441207885742,97224,hay,AUX,34.105712890625,98993
212,0,0,0.0,0,una,DET,34.82485580444336,98993
213,down,ADP,22.628751754760742,97224,gran,ADJ,37.528167724609375,98993
214,night,NOUN,20.026954650878906,97224,cantidad,NOUN,33.37593460083008,98993
215,at,ADP,22.330440521240234,97224,de,ADP,31.952144622802734,98993
216,0,0,0.0,0,componentes,NOUN,36.06805419921875,98993
217,us,PRON,24.246694564819336,97224,que,PRON,33.568946838378906,98993
218,0,0,0.0,0,usan,VERB,37.265506744384766,98993
219,.,PUNCT,21.298931121826172,97224,.,PUNCT,31.928691864013672,98993
220,And,CCONJ,21.229171752929688,99680,Y,CONJ,33.319618225097656,102561
221,there,PRON,23.400989532470703,99680,no,ADV,35.31386947631836,102561
222,'s,AUX,20.472572326660156,99680,iba,AUX,35.07221221923828,102561
223,a,DET,21.157756805419922,99680,una,DET,35.388553619384766,102561
224,whole,ADJ,22.046201705932617,99680,fácil,ADJ,37.073909759521484,102561
225,range,NOUN,22.146026611328125,99680,tarea,NOUN,35.15464782714844,102561
226,of,ADP,24.864643096923828,99680,a,ADP,34.27321243286133,102561
227,compounds,NOUN,22.512798309326172,99680,0,0,0.0,0
228,that,DET,20.817420959472656,99680,0,0,0.0,0
229,they,PRON,25.78537940979004,99680,0,0,0.0,0
230,do,AUX,24.290668487548828,99680,ser,AUX,36.70581817626953,102561
231,use,VERB,22.298221588134766,99680,0,0,0.0,0
232,.,PUNCT,22.190509796142578,99680,.,PUNCT,34.284793853759766,102561
233,And,CCONJ,19.958663940429688,102760,Por,ADP,33.09525680541992,105588
234,this,DET,23.241891860961914,102760,eso,PRON,35.07606887817383,105588
235,was,AUX,24.562911987304688,102760,",",PUNCT,32.694801330566406,105588
236,not,PART,24.966081619262695,102760,0,0,0.0,0
237,going,VERB,24.69496726989746,102760,preparamos,VERB,35.21973419189453,105588
238,to,PART,21.73197364807129,102760,0,0,0.0,0
239,be,AUX,24.791419982910156,102760,0,0,0.0,0
240,an,DET,22.526147842407227,102760,varios,DET,34.41952133178711,105588
241,easy,ADJ,23.166000366210938,102760,0,0,0.0,0
242,task,NOUN,21.099838256835938,102760,experimentos,NOUN,36.20979690551758,105588
243,.,PUNCT,21.32147216796875,102760,.,PUNCT,34.22738265991211,105588
244,And,CCONJ,21.451274871826172,105600,¿,PUNCT,30.83348846435547,108693
245,therefore,ADV,19.555593490600586,105600,Por,ADP,32.82358169555664,108693
246,we,PRON,24.76023292541504,105600,qué,DET,33.7064323425293,108693
247,set,VERB,22.89059066772461,105600,molestarse,NOUN,33.64314651489258,108693
248,up,ADP,23.491239547729492,105600,con,ADP,32.59202194213867,108693
249,various,ADJ,22.328134536743164,105600,estos,DET,35.504241943359375,108693
250,experiments,NOUN,22.451011657714844,105600,experimentos,NOUN,34.15522766113281,108693
251,.,PUNCT,21.64916229248047,105600,?,PUNCT,32.786537170410156,108693
252,Why,ADV,22.176239013671875,109640,Porque,SCONJ,33.66313552856445,111561
253,did,AUX,24.69747543334961,109640,la,DET,32.256004333496094,111561
254,we,PRON,25.394210815429688,109640,mitad,NOUN,31.892011642456055,111561
255,up,ADP,23.790590286254883,109640,de,ADP,29.764650344848633,111561
256,these,DET,23.24026870727539,109640,la,DET,33.77286148071289,111561
257,experiments,NOUN,22.59807777404785,109640,población,NOUN,31.434288024902344,111561
258,?,PUNCT,20.7764892578125,109640,mundial,ADJ,34.179439544677734,111561
259,set,VERB,23.704973220825195,109640,corre,VERB,34.46550750732422,111561
260,0,0,0.0,0,el,DET,36.16986846923828,111561
261,0,0,0.0,0,riesgo,NOUN,31.87209701538086,111561
262,of,ADP,22.696767807006836,114160,de,ADP,31.558835983276367,114914
263,runs,VERB,20.813003540039062,114160,contraer,VERB,36.964542388916016,114914
264,the,DET,21.104387283325195,114160,una,DET,34.59899139404297,114914
265,risk,NOUN,19.82889175415039,114160,enfermedad,NOUN,35.14578628540039,114914
266,contracting,VERB,22.14505386352539,114160,mortal,ADJ,34.38487243652344,114914
267,like,SCONJ,20.795591354370117,114160,como,SCONJ,35.4216194152832,114914
268,a,DET,22.3675594329834,114160,el,DET,35.74260330200195,114914
269,disease,NOUN,19.940345764160156,114160,paludismo,NOUN,31.853227615356445,114914
270,0,0,0.0,0,por,ADP,35.55841827392578,118120
271,malaria,PROPN,20.01430892944336,114160,una,DET,34.04279327392578,118120
272,0,0,0.0,0,simple,ADJ,37.76955032348633,118120
273,killer,NOUN,20.159032821655273,114160,picadura,NOUN,33.26771926879883,118120
274,0,0,0.0,0,de,ADP,31.344236373901367,118120
275,0,0,0.0,0,mosquito,NOUN,32.03031539916992,118120
276,0,0,0.0,0,.,PUNCT,34.24416732788086,118120
277,a,DET,22.844091415405273,118480,Cada,DET,31.27947425842285,120822
278,mosquito,ADJ,21.053930282592773,118480,30,NUM,34.39445877075195,120822
279,simple,ADJ,20.960304260253906,118480,segundos,NOUN,33.76934051513672,120822
