,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Cybercrime,PROPN,21.695283889770508,12832,La,DET,35.5482063293457,12832
1,0,0,0.0,0,ciberdelincuencia,NOUN,32.41707229614258,12832
2,is,AUX,20.811403274536133,12832,está,AUX,34.93620681762695,12832
3,out,SCONJ,20.549705505371094,12832,fuera,ADV,35.30931091308594,12832
4,of,ADP,24.75258445739746,12832,de,ADP,31.403911590576172,12832
5,control,NOUN,19.501535415649414,12832,control,NOUN,32.56367492675781,12832
6,.,PUNCT,22.079954147338867,12832,.,PUNCT,32.48933792114258,12832
7,It,PRON,22.690969467163086,18006,Está,VERB,36.15799331665039,18006
8,'s,AUX,22.618921279907227,18006,en,ADP,34.856910705566406,18006
9,everywhere,ADV,20.904081344604492,18006,todas,DET,34.942569732666016,18006
10,0,0,0.0,0,partes,NOUN,35.3208122253418,18006
11,.,PUNCT,22.14655113220215,18006,.,PUNCT,33.47726821899414,18006
12,We,PRON,24.87163543701172,19395,Oímos,VERB,30.055736541748047,19395
13,hear,VERB,22.44095802307129,19395,hablar,VERB,36.03840637207031,19395
14,about,ADP,20.68036460876465,19395,de,ADP,29.06850814819336,19395
15,it,PRON,21.80655288696289,19395,eso,PRON,30.5711612701416,19395
16,every,DET,22.041759490966797,19395,a,ADP,31.569698333740234,19395
17,single,ADJ,21.893407821655273,19395,0,0,0.0,0
18,day,NOUN,20.681243896484375,19395,diario,NOUN,32.933258056640625,19395
19,.,PUNCT,20.493942260742188,19395,.,PUNCT,32.52739334106445,19395
20,This,DET,23.58896827697754,24591,Este,DET,32.47532272338867,24591
21,year,NOUN,21.66755485534668,24591,año,NOUN,33.1797981262207,24591
22,",",PUNCT,21.59295082092285,24591,",",PUNCT,29.174781799316406,24591
23,two,NUM,22.89686393737793,25829,más,ADV,34.606571197509766,25829
24,over,ADP,20.89101791381836,25829,de,ADP,30.96506690979004,25829
25,billion,NUM,23.007001876831055,25829,2000,NUM,35.85198211669922,25829
26,records,NOUN,23.93216896057129,25829,millones,NOUN,33.89259338378906,25829
27,0,0,0.0,0,de,ADP,32.189208984375,25829
28,or,CCONJ,21.176368713378906,25829,registros,NOUN,34.41744613647461,25829
29,0,0,0.0,0,se,PRON,33.32480239868164,25829
30,stolen,VERB,19.748409271240234,25829,perdieron,VERB,37.62664031982422,25829
31,0,0,0.0,0,o,CONJ,32.671546936035156,25829
32,0,0,0.0,0,fueron,AUX,35.444061279296875,25829
33,lost,VERB,20.529516220092773,25829,robados,VERB,35.43390655517578,25829
34,.,PUNCT,21.588708877563477,25829,.,PUNCT,32.499847412109375,25829
35,And,CCONJ,20.808704376220703,31870,Y,CONJ,32.50696563720703,31280
36,last,ADJ,21.727069854736328,31870,pasado,ADJ,36.270660400390625,31280
37,year,NOUN,20.13723373413086,31870,año,NOUN,33.586727142333984,31280
38,",",PUNCT,21.380155563354492,31870,el,DET,33.79538345336914,31280
39,100,NUM,21.68868637084961,31870,100,NUM,35.78451156616211,31280
40,million,NUM,24.2766170501709,31870,millones,NOUN,35.361663818359375,31280
41,of,ADP,24.562273025512695,31870,en,ADP,32.698455810546875,31280
42,us,PRON,23.387889862060547,31870,su,DET,34.0469856262207,31280
43,",",PUNCT,23.26070213317871,31870,",",PUNCT,31.32697868347168,31280
44,mostly,ADV,22.94175148010254,31870,mayoría,NOUN,31.348552703857422,31280
45,Americans,PROPN,20.50961685180664,31870,estadounidenses,ADJ,34.35985565185547,31280
46,",",PUNCT,18.927921295166016,31870,",",PUNCT,30.63826560974121,31280
47,lost,VERB,20.365219116210938,37529,perdimos,VERB,32.605255126953125,37529
48,health,NOUN,20.644811630249023,37529,",",PUNCT,31.077367782592773,37529
49,myself,PRON,21.045019149780273,37529,yo,PRON,33.745201110839844,37529
50,insurance,NOUN,18.00250816345215,37529,incluido,ADJ,33.40340805053711,37529
51,--,PUNCT,21.262218475341797,37529,",",PUNCT,30.463733673095703,37529
52,our,DET,23.51563262939453,37529,nuestros,DET,33.30424880981445,37529
53,thieves,NOUN,22.225322723388672,37529,datos,NOUN,36.05490493774414,37529
54,to,ADP,19.475969314575195,37529,del,ADP,33.111446380615234,37529
55,data,NOUN,18.84138298034668,37529,seguro,NOUN,29.162288665771484,37529
56,included,VERB,21.90293312072754,37529,de,ADP,30.59537696838379,37529
57,0,0,0.0,0,salud,NOUN,33.272438049316406,37529
58,0,0,0.0,0,en,ADP,33.94881057739258,37529
59,0,0,0.0,0,manos,NOUN,31.399473190307617,37529
60,0,0,0.0,0,de,ADP,33.62424850463867,37529
61,0,0,0.0,0,ladrones,NOUN,33.90019989013672,37529
62,.,PUNCT,21.654394149780273,37529,.,PUNCT,33.606868743896484,37529
63,this,DET,20.934425354003906,44123,Lo,DET,32.584259033203125,44122
64,What,PRON,20.629072189331055,44123,que,PRON,32.33595657348633,44122
65,'s,AUX,23.911279678344727,44123,es,AUX,35.61281967163086,44122
66,particularly,ADV,27.427753448486328,44123,particularmente,ADV,35.51163101196289,44122
67,most,ADJ,22.613067626953125,44123,preocupante,ADJ,34.22406768798828,44122
68,about,ADP,22.4554500579834,44123,de,ADP,29.793825149536133,44122
69,concerning,VERB,24.317081451416016,44123,esto,PRON,31.33905601501465,44122
70,is,AUX,23.233078002929688,44123,es,AUX,32.52299499511719,44122
71,that,SCONJ,19.90738296508789,44123,que,SCONJ,32.8143196105957,44122
72,",",PUNCT,20.102266311645508,44123,",",PUNCT,32.267189025878906,44122
73,in,ADP,20.810199737548828,44123,en,ADP,33.16987991333008,44122
74,0,0,0.0,0,la,DET,33.82389450073242,44122
75,cases,NOUN,23.63474464416504,44123,mayoría,NOUN,31.05820655822754,44122
76,0,0,0.0,0,de,ADP,30.802589416503906,44122
77,0,0,0.0,0,los,DET,35.59230041503906,44122
78,0,0,0.0,0,casos,NOUN,34.11500930786133,44122
79,0,0,0.0,0,",",PUNCT,30.969675064086914,44122
80,it,PRON,24.876232147216797,49595,pasaron,VERB,33.668399810791016,49595
81,was,AUX,24.16719627380371,49595,0,0,0.0,0
82,months,NOUN,20.993350982666016,49595,meses,NOUN,37.642311096191406,49595
83,before,ADP,19.81316566467285,49595,de,ADP,30.692825317382812,49595
84,anyone,PRON,21.686655044555664,49595,alguien,PRON,32.6762580871582,49595
85,even,ADV,21.020530700683594,49595,antes,ADV,35.24983215332031,49595
86,reported,VERB,24.841285705566406,49595,informara,VERB,33.5377082824707,49595
87,that,SCONJ,20.712692260742188,49595,que,SCONJ,32.2746696472168,49595
88,these,DET,22.929288864135742,49595,estos,DET,36.310997009277344,49595
89,records,NOUN,24.495386123657227,49595,registros,NOUN,35.836246490478516,49595
90,were,AUX,24.85950469970703,49595,robados,ADJ,36.568477630615234,49595
91,stolen,VERB,22.99685287475586,49595,de,ADP,32.85671615600586,49595
92,.,PUNCT,21.20779800415039,49595,.,PUNCT,32.503868103027344,49595
93,So,CCONJ,20.617795944213867,56984,de,ADP,33.28532791137695,56984
94,if,SCONJ,21.1789493560791,56984,Si,SCONJ,33.08457565307617,56984
95,you,PRON,24.349014282226562,56984,las,DET,33.60980224609375,56984
96,watch,VERB,21.875747680664062,56984,ven,VERB,36.24522018432617,56984
97,the,DET,22.021446228027344,56984,la,DET,32.26556396484375,56984
98,evening,NOUN,17.39792251586914,56984,noticias,NOUN,35.268611907958984,56984
99,news,NOUN,16.783567428588867,56984,noche,NOUN,31.65975570678711,56984
100,",",PUNCT,19.792003631591797,56984,",",PUNCT,30.529199600219727,56984
101,you,PRON,23.525161743164062,60051,podrían,AUX,31.17023468017578,60051
102,would,VERB,25.47425079345703,60051,pensar,AUX,37.3159065246582,60051
103,think,VERB,25.8265323638916,60051,0,0,0.0,0
104,that,SCONJ,21.97153663635254,60051,que,SCONJ,32.7495231628418,60051
105,most,ADJ,21.12483787536621,60051,mayor,ADJ,34.65425491333008,60051
106,of,ADP,22.129789352416992,60051,de,ADP,30.199726104736328,60051
107,this,DET,22.1048526763916,60051,la,DET,32.64131546020508,60051
108,is,AUX,22.95075035095215,60051,es,AUX,29.709930419921875,60051
109,espionage,NOUN,22.587923049926758,60051,espionaje,NOUN,30.69510841369629,60051
110,or,CCONJ,25.945783615112305,60051,Estado,PROPN,35.630393981933594,60051
111,nation,NOUN,19.316518783569336,60051,parte,NOUN,33.25764846801758,60051
112,-,PUNCT,22.369064331054688,60051,.,PUNCT,32.22148132324219,60051
113,state,NOUN,22.150264739990234,60051,0,0,0.0,0
114,activity,NOUN,20.649301528930664,60051,0,0,0.0,0
115,.,PUNCT,20.94949722290039,60051,0,0,0.0,0
116,And,CCONJ,21.627714157104492,65813,Y,CONJ,33.51370620727539,65813
117,",",PUNCT,18.670682907104492,65813,",",PUNCT,28.951879501342773,65813
118,well,INTJ,21.93706703186035,65813,así,ADV,32.08097457885742,65813
119,",",PUNCT,18.880428314208984,65813,",",PUNCT,29.78636360168457,65813
120,some,DET,22.44820213317871,65813,0,0,0.0,0
121,of,ADP,21.518131256103516,65813,en,ADP,33.572261810302734,65813
122,it,PRON,22.737043380737305,65813,parte,NOUN,30.921133041381836,65813
123,is,AUX,24.18514633178711,65813,es,AUX,33.68547439575195,65813
124,.,PUNCT,20.445148468017578,65813,.,PUNCT,31.5626277923584,65813
125,Espionage,NOUN,22.997051239013672,68514,espionaje,NOUN,33.12412643432617,68514
126,",",PUNCT,22.416641235351562,68514,El,DET,34.841304779052734,68514
127,you,PRON,23.747961044311523,68514,0,0,0.0,0
128,see,VERB,22.11179542541504,68514,0,0,0.0,0
129,",",PUNCT,21.030563354492188,68514,.,PUNCT,34.82637023925781,68514
130,is,AUX,20.852815628051758,68514,es,AUX,33.36367416381836,68514
131,an,DET,22.839460372924805,68514,una,DET,34.36261749267578,68514
132,accepted,ADJ,22.935043334960938,68514,aceptada,ADJ,32.553558349609375,68514
133,international,ADJ,21.394128799438477,68514,internacional,ADJ,35.752140045166016,68514
134,practice,NOUN,20.895360946655273,68514,práctica,NOUN,33.01551818847656,68514
135,.,PUNCT,21.517288208007812,68514,0,0,0.0,0
136,But,CCONJ,21.98080062866211,73613,Pero,CONJ,31.843727111816406,73613
137,in,ADP,20.20343017578125,73613,en,ADP,32.57952117919922,73613
138,this,DET,25.338232040405273,73613,este,DET,35.161346435546875,73613
139,case,NOUN,20.268474578857422,73613,caso,NOUN,31.89735221862793,73613
140,",",PUNCT,20.969444274902344,73613,",",PUNCT,29.519775390625,73613
141,it,PRON,24.824810028076172,75120,0,0,0.0,0
142,is,AUX,26.125972747802734,75120,es,AUX,37.20892333984375,75120
143,only,ADV,22.99513816833496,75120,solo,ADJ,34.65315246582031,75120
144,a,DET,23.615205764770508,75120,una,DET,35.298057556152344,75120
145,small,ADJ,21.499887466430664,75120,pequeña,ADJ,35.260379791259766,75120
146,portion,NOUN,19.676313400268555,75120,parte,NOUN,32.07744598388672,75120
147,of,ADP,24.166370391845703,75120,del,ADP,34.1674919128418,75120
148,the,DET,22.368696212768555,75120,0,0,0.0,0
149,problem,NOUN,17.89513397216797,75120,problema,NOUN,32.35087966918945,75120
150,that,DET,20.315502166748047,75120,0,0,0.0,0
151,we,PRON,24.560609817504883,75120,que,PRON,32.461814880371094,75120
152,'re,AUX,23.746156692504883,75120,estamos,AUX,33.15275955200195,75120
153,dealing,VERB,23.8482723236084,75120,tratando,VERB,34.619163513183594,75120
154,with,ADP,20.519197463989258,75120,0,0,0.0,0
155,.,PUNCT,21.457426071166992,75120,.,PUNCT,33.45050811767578,75120
156,How,ADV,20.9288272857666,81459,¿,PUNCT,30.14164924621582,81459
157,often,ADV,22.343135833740234,81459,Con,ADP,31.11722755432129,81459
158,do,AUX,21.09061622619629,81459,qué,DET,34.14047622680664,81459
159,we,PRON,24.584474563598633,81459,frecuencia,NOUN,34.5463752746582,81459
160,hear,VERB,23.096750259399414,81459,oímos,VERB,32.2231559753418,81459
161,0,0,0.0,0,hablar,VERB,36.35011672973633,81459
162,about,ADP,19.808429718017578,81459,de,ADP,31.412097930908203,81459
163,a,DET,21.480234146118164,81459,una,DET,33.89088821411133,81459
164,breach,NOUN,20.0772762298584,81459,vulneración,NOUN,32.025882720947266,81459
165,followed,VERB,23.01243782043457,84818,seguido,ADJ,35.79405975341797,84818
166,by,ADP,19.64469337463379,84818,de,ADP,30.256765365600586,84818
167,",",PUNCT,20.888614654541016,84818,"""",PUNCT,33.06105041503906,84818
168,"""",PUNCT,19.852985382080078,84818,...,PUNCT,30.98847770690918,84818
169,...,PUNCT,17.09341812133789,84818,a,ADP,32.43102264404297,84818
170,it,PRON,23.101478576660156,84818,debido,ADJ,33.941497802734375,84818
171,was,AUX,23.596498489379883,84818,fue,AUX,33.139747619628906,84818
172,the,DET,23.539461135864258,84818,un,DET,37.54547119140625,84818
173,result,NOUN,21.863262176513672,84818,ataque,NOUN,34.07118225097656,84818
174,of,ADP,24.07388687133789,84818,al,ADP,32.44068908691406,84818
175,a,DET,22.77161979675293,84818,0,0,0.0,0
176,sophisticated,ADJ,22.26462173461914,84818,sofisticado,ADJ,35.66789245605469,84818
177,nation,NOUN,20.62737464904785,84818,Estado,PROPN,35.64692306518555,84818
178,-,PUNCT,22.378740310668945,84818,"""",PUNCT,32.293601989746094,84818
179,state,NOUN,21.671064376831055,84818,0,0,0.0,0
180,attack,NOUN,20.571748733520508,84818,0,0,0.0,0
181,?,PUNCT,20.645681381225586,84818,?,PUNCT,33.284812927246094,84818
182,"""",PUNCT,21.491809844970703,84818,0,0,0.0,0
183,Well,INTJ,25.37731170654297,90481,Pues,NOUN,34.647796630859375,90481
184,often,ADV,19.46094512939453,90481,bien,ADV,34.89917755126953,90481
185,",",PUNCT,21.04401397705078,90481,",",PUNCT,30.860530853271484,90481
186,0,0,0.0,0,a,ADP,32.34624099731445,90481
187,companies,NOUN,21.889684677124023,90481,menudo,NOUN,31.85721778869629,90481
188,not,PART,22.51133155822754,90481,",",PUNCT,30.077842712402344,90481
189,is,AUX,21.330480575561523,90481,son,AUX,32.522300720214844,90481
190,that,DET,19.268810272216797,90481,las,DET,35.15818786621094,90481
191,0,0,0.0,0,empresas,NOUN,35.94343185424805,90481
192,to,PART,23.07372283935547,90481,las,DET,31.26181411743164,90481
193,0,0,0.0,0,que,PRON,35.560428619384766,90481
194,0,0,0.0,0,no,ADV,33.28080368041992,90481
195,being,AUX,26.657573699951172,90481,están,AUX,35.07289505004883,90481
196,willing,ADJ,22.82649040222168,90481,dispuestas,ADJ,33.96348571777344,90481
197,up,ADP,20.805828094482422,90481,a,ADP,33.78980255126953,90481
198,own,VERB,23.843080520629883,90481,tener,VERB,37.23833465576172,90481
199,to,ADP,21.342212677001953,95366,de,ADP,32.06235885620117,95366
200,their,DET,26.161502838134766,95366,sus,DET,32.24439239501953,95366
201,own,ADJ,20.171838760375977,95366,propias,ADJ,36.585693359375,95366
202,lackluster,ADJ,18.839155197143555,95366,0,0,0.0,0
203,security,NOUN,20.859384536743164,95366,seguridad,NOUN,30.833236694335938,95366
204,practices,NOUN,20.147851943969727,95366,prácticas,NOUN,36.29359817504883,95366
205,.,PUNCT,20.63051986694336,95366,.,PUNCT,33.96428680419922,95366
206,There,PRON,20.08457374572754,98884,0,0,0.0,0
207,is,AUX,24.637056350708008,98884,hay,AUX,34.1220703125,98884
208,also,ADV,22.5969295501709,98884,También,ADV,35.83256912231445,98884
209,a,DET,21.756772994995117,98884,una,DET,34.820068359375,98884
210,widely,ADV,25.662248611450195,98884,muy,ADV,38.46357345581055,98884
211,held,VERB,20.943422317504883,98884,extendida,ADJ,37.11923599243164,98884
212,belief,NOUN,19.110336303710938,98884,creencia,NOUN,36.1472282409668,98884
213,that,SCONJ,20.359996795654297,102175,de,ADP,31.869922637939453,102175
214,by,ADP,22.78921890258789,102175,a,ADP,33.384395599365234,102175
215,blaming,VERB,24.675729751586914,102175,culpar,VERB,36.18144607543945,102175
216,an,DET,22.24172019958496,102175,un,DET,37.879085540771484,102175
217,attack,NOUN,21.330583572387695,102175,ataque,NOUN,33.46185302734375,102175
218,on,ADP,20.060579299926758,102175,a,ADP,32.33108139038086,102175
219,a,DET,21.40985679626465,102175,un,DET,33.01333999633789,102175
220,nation,NOUN,19.109424591064453,102175,Estado,PROPN,36.24648666381836,102175
221,-,PUNCT,22.18304443359375,102175,-,PUNCT,33.244930267333984,102175
222,state,NOUN,17.687175750732422,102175,nación,NOUN,29.46237564086914,102175
223,",",PUNCT,20.58808708190918,102175,",",PUNCT,29.477712631225586,102175
224,you,PRON,23.557003021240234,106050,lo,PRON,30.566608428955078,106050
225,are,AUX,25.294893264770508,106050,Uds.,VERB,31.458404541015625,106050
226,putting,VERB,24.641420364379883,106050,controlan,VERB,35.26261901855469,106050
227,regulators,NOUN,23.13395881652832,106050,0,0,0.0,0
228,at,ADP,24.389822006225586,106050,0,0,0.0,0
229,bay,NOUN,17.377361297607422,106050,0,0,0.0,0
230,--,PUNCT,19.862442016601562,106050,0,0,0.0,0
231,at,ADP,20.74734878540039,108755,al,ADP,35.1413688659668,108755
232,least,ADJ,18.391267776489258,108755,menos,ADV,33.9975700378418,108755
233,for,ADP,21.81245231628418,108755,durante,ADP,32.790836334228516,108755
234,a,DET,22.389848709106445,108755,un,DET,37.65972900390625,108755
235,period,NOUN,19.237545013427734,108755,período,NOUN,32.160247802734375,108755
236,of,ADP,23.951457977294922,108755,de,ADP,30.88990592956543,108755
237,time,NOUN,18.266996383666992,108755,tiempo,NOUN,32.6496467590332,108755
238,.,PUNCT,21.802446365356445,108755,.,PUNCT,31.96892547607422,108755
239,So,CCONJ,19.20745849609375,111657,",",PUNCT,31.580583572387695,111657
240,where,ADV,22.9703369140625,111657,Entonces,ADV,34.04615783691406,111657
241,is,AUX,21.97588539123535,111657,¿,PUNCT,29.562305450439453,111657
242,all,DET,20.642362594604492,111657,dónde,PRON,34.248382568359375,111657
243,of,ADP,22.11786651611328,111657,de,ADP,30.99922752380371,111657
244,this,DET,21.203460693359375,111657,todo,DET,33.49491882324219,111657
245,coming,VERB,22.679611206054688,111657,viene,VERB,34.59893798828125,111657
246,from,ADP,20.34136390686035,111657,esto,PRON,35.81642150878906,111657
247,?,PUNCT,21.18252944946289,111657,?,PUNCT,32.415618896484375,111657
248,The,DET,20.761159896850586,116817,el,DET,33.746612548828125,116817
249,United,PROPN,21.13876724243164,116817,Unidas,PROPN,36.60326385498047,116817
250,Nations,PROPN,21.719383239746094,116817,Naciones,PROPN,35.299137115478516,116817
251,estimates,VERB,20.65327262878418,116817,estima,VERB,34.612945556640625,116817
252,that,SCONJ,20.035324096679688,116817,que,SCONJ,33.668212890625,116817
253,80,NUM,23.4924373626709,116817,80,NUM,33.59282302856445,116817
254,percent,NOUN,21.553457260131836,116817,%,SYM,32.63875198364258,116817
255,of,ADP,22.458206176757812,116817,de,ADP,31.240768432617188,116817
256,it,PRON,22.586524963378906,116817,ellos,PRON,36.0370979309082,116817
257,is,AUX,22.004179000854492,122334,criminales,ADJ,35.33515930175781,122334
258,from,ADP,19.397994995117188,122334,de,ADP,31.10716438293457,122334
259,highly,ADV,24.887910842895508,122334,altamente,ADV,33.14360046386719,122334
260,organized,VERB,22.9329833984375,122334,vienen,VERB,36.35660171508789,122334
261,and,CCONJ,22.954273223876953,122334,y,CONJ,32.320892333984375,122334
262,ultrasophisticated,ADJ,22.89020347595215,122334,organizadas,ADJ,31.838558197021484,122334
