,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.770496368408203,12913,algo,PRON,33.945045471191406,12913
1,'m,AUX,23.195072174072266,12913,Empezaré,AUX,32.14615249633789,12913
2,going,VERB,24.668760299682617,12913,diciendo,AUX,36.57704544067383,12913
3,to,PART,22.083045959472656,12913,0,0,0.0,0
4,start,VERB,24.606191635131836,12913,creen,VERB,35.92241287231445,12913
5,by,ADP,22.699296951293945,12913,seguramente,ADV,34.57790756225586,12913
6,saying,VERB,24.147258758544922,12913,que,SCONJ,33.841835021972656,12913
7,something,PRON,21.380708694458008,12913,que,PRON,32.46939468383789,12913
8,you,PRON,23.234275817871094,12913,verdad,NOUN,33.180885314941406,12913
9,think,VERB,22.338848114013672,12913,0,0,0.0,0
10,you,PRON,23.82189178466797,12913,0,0,0.0,0
11,know,VERB,22.673152923583984,12913,0,0,0.0,0
12,to,PART,20.8289852142334,12913,0,0,0.0,0
13,be,AUX,24.39687728881836,12913,es,AUX,33.376834869384766,12913
14,true,ADJ,23.159238815307617,12913,0,0,0.0,0
15,.,PUNCT,22.70110321044922,12913,:,PUNCT,32.22696304321289,12913
16,Your,DET,22.366113662719727,18706,nuestro,DET,33.31605911254883,18706
17,brain,NOUN,21.953773498535156,18706,cerebro,NOUN,31.790252685546875,18706
18,creates,VERB,24.516523361206055,18706,crea,VERB,34.73178482055664,18706
19,all,DET,20.639190673828125,18706,todas,DET,33.405635833740234,18706
20,0,0,0.0,0,las,DET,33.25624465942383,18706
21,facets,NOUN,21.23015785217285,18706,facetas,NOUN,34.00864028930664,18706
22,of,ADP,23.304351806640625,18706,de,ADP,31.891315460205078,18706
23,your,DET,22.125307083129883,18706,la,DET,33.35562515258789,18706
24,mind,NOUN,20.348230361938477,18706,mente,NOUN,30.423860549926758,18706
25,.,PUNCT,21.894987106323242,18706,.,PUNCT,33.19817352294922,18706
26,then,ADV,18.9018611907959,23133,Entonces,ADV,34.13009262084961,23133
27,So,CCONJ,19.09540557861328,23133,",",PUNCT,31.55550193786621,23133
28,why,ADV,21.01093864440918,23133,¿,PUNCT,29.294071197509766,23133
29,do,AUX,24.248106002807617,23133,por,ADP,33.983375549316406,23133
30,we,PRON,23.635156631469727,23133,qué,PRON,33.37643814086914,23133
31,treat,VERB,23.236469268798828,23133,tratamos,VERB,36.827022552490234,23133
32,0,0,0.0,0,a,ADP,33.32923889160156,23133
33,and,CCONJ,22.126543045043945,23133,las,DET,33.4265022277832,23133
34,illnesses,NOUN,20.79231834411621,23133,enfermedades,NOUN,35.75006866455078,23133
35,physical,ADJ,20.380908966064453,23133,mentales,ADJ,34.29784393310547,23133
36,0,0,0.0,0,y,CONJ,34.699928283691406,23133
37,mental,ADJ,22.68098258972168,23133,físicas,ADJ,35.39955139160156,23133
38,so,ADV,19.178146362304688,26808,de,ADP,30.75942039489746,26808
39,0,0,0.0,0,forma,NOUN,35.60564041137695,26808
40,differently,ADV,19.73239517211914,26808,tan,ADV,36.71232223510742,26808
41,",",PUNCT,19.758411407470703,26808,diferente,ADJ,35.35966491699219,26808
42,if,SCONJ,22.29657554626465,28006,si,SCONJ,34.59846115112305,28006
43,we,PRON,25.901344299316406,28006,0,0,0.0,0
44,think,VERB,22.90507698059082,28006,creemos,VERB,34.50883865356445,28006
45,we,PRON,25.358659744262695,28006,se,PRON,30.876182556152344,28006
46,know,VERB,24.103851318359375,28006,origina,VERB,33.17576599121094,28006
47,that,SCONJ,19.207670211791992,28006,que,SCONJ,31.724557876586914,28006
48,the,DET,22.01763153076172,28006,la,DET,33.68474197387695,28006
49,mind,NOUN,19.417200088500977,28006,mente,NOUN,30.24660873413086,28006
50,comes,VERB,21.904043197631836,28006,0,0,0.0,0
51,from,ADP,22.05299186706543,28006,en,ADP,31.93853187561035,28006
52,the,DET,22.90300750732422,28006,el,DET,32.48292922973633,28006
53,brain,NOUN,20.390918731689453,28006,cerebro,NOUN,30.65914535522461,28006
54,?,PUNCT,21.992576599121094,28006,?,PUNCT,31.76459503173828,28006
55,As,SCONJ,22.511686325073242,32197,Como,SCONJ,37.0068359375,32197
56,a,DET,23.469114303588867,32197,neurocientífica,NOUN,30.33347511291504,32197
57,neuroscientist,NOUN,19.31844139099121,32197,menudo,NOUN,32.484169006347656,32197
58,",",PUNCT,20.32731819152832,32197,",",PUNCT,30.072208404541016,32197
59,I,PRON,24.131263732910156,32197,me,PRON,32.417701721191406,32197
60,'m,AUX,22.052045822143555,32197,a,ADP,32.33636474609375,32197
61,often,ADV,22.9040470123291,32197,0,0,0.0,0
62,told,VERB,22.8335018157959,32197,dicen,VERB,35.13784408569336,32197
63,that,SCONJ,20.24867820739746,34102,que,SCONJ,34.396732330322266,34102
64,I,PRON,24.17535972595215,34102,qué,PRON,33.67860412597656,34102
65,'m,AUX,23.315732955932617,34102,debo,AUX,35.11129379272461,34102
66,not,PART,23.81437110900879,34102,de,ADP,34.27398681640625,34102
67,allowed,VERB,23.801868438720703,34102,estudiar,VERB,34.488670349121094,34102
68,to,PART,25.6975040435791,34102,los,DET,35.7530632019043,34102
69,study,VERB,26.26395034790039,34102,forma,VERB,33.438140869140625,34102
70,how,ADV,25.73971939086914,34102,no,ADV,34.76189041137695,34102
71,internal,ADJ,21.78266716003418,34102,internos,ADJ,34.32345199584961,34102
72,states,NOUN,17.67266845703125,34102,estados,NOUN,35.78680419921875,34102
73,like,SCONJ,20.544742584228516,37114,como,SCONJ,35.491092681884766,37114
74,0,0,0.0,0,la,DET,33.870750427246094,37114
75,anxiety,NOUN,19.4091739654541,37114,ansiedad,NOUN,31.09761619567871,37114
76,or,CCONJ,25.097536087036133,37114,",",PUNCT,28.164976119995117,37114
77,or,CCONJ,23.273733139038086,37114,el,DET,33.33899688720703,37114
78,loneliness,NOUN,18.365581512451172,37114,miedo,NOUN,30.67469596862793,37114
79,0,0,0.0,0,o,CONJ,30.97088623046875,37114
80,0,0,0.0,0,la,DET,33.827484130859375,37114
81,craving,NOUN,20.869348526000977,37114,soledad,NOUN,31.418916702270508,37114
82,are,AUX,22.909700393676758,40616,se,PRON,32.778629302978516,40616
83,represented,VERB,23.4854793548584,40616,configuran,VERB,35.60881042480469,40616
84,by,ADP,24.298402786254883,40616,en,ADP,34.180908203125,40616
85,the,DET,23.057817459106445,40616,el,DET,32.91436004638672,40616
86,brain,NOUN,18.072322845458984,40616,cerebro,NOUN,30.850570678710938,40616
