,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.526052474975586,13000,0,0,0.0,0
1,'m,AUX,21.778793334960938,13000,Soy,AUX,31.662334442138672,13000
2,from,ADP,19.27396011352539,13000,de,ADP,30.479679107666016,13000
3,Detroit,PROPN,23.38064956665039,13000,Detroit,PROPN,36.6036262512207,13000
4,.,PUNCT,19.63161849975586,13000,.,PUNCT,33.08682632446289,13000
5,(,PUNCT,19.33601188659668,15200,(,PUNCT,29.47212028503418,15200
6,Applause,NOUN,21.975845336914062,15200,Aplausos,PROPN,34.93049240112305,15200
7,),PUNCT,20.301513671875,15200,),PUNCT,30.808273315429688,15200
8,A,DET,22.166194915771484,18920,Una,DET,31.96401023864746,18920
9,city,NOUN,19.315738677978516,18920,ciudad,NOUN,34.56364440917969,18920
10,that,SCONJ,20.491239547729492,18920,que,PRON,32.60038757324219,18920
11,in,ADP,20.760332107543945,18920,en,ADP,33.33329772949219,18920
12,the,DET,20.23324966430664,18920,la,DET,32.652095794677734,18920
13,1950s,NUM,19.840835571289062,18920,década,NOUN,30.63945960998535,18920
14,0,0,0.0,0,de,ADP,30.342803955078125,18920
15,world,NOUN,18.07876205444336,18920,1950,NOUN,31.319639205932617,18920
16,was,AUX,23.143856048583984,18920,era,AUX,33.79132843017578,18920
17,the,DET,23.055925369262695,18920,el,DET,33.86351776123047,18920
18,'s,PART,21.173383712768555,18920,gigante,NOUN,33.85842514038086,18920
19,industrial,ADJ,18.500200271606445,18920,industrial,ADJ,34.26595687866211,18920
20,0,0,0.0,0,del,ADP,35.37028503417969,18920
21,giant,NOUN,19.37405014038086,18920,mundo,NOUN,29.580646514892578,18920
22,",",PUNCT,22.46851921081543,18920,",",PUNCT,29.789989471435547,18920
23,with,ADP,20.787172317504883,24760,con,ADP,34.852054595947266,24760
24,a,DET,23.277189254760742,24760,una,DET,34.797000885009766,24760
25,population,NOUN,21.239301681518555,24760,población,NOUN,32.81236267089844,24760
26,of,ADP,25.453676223754883,24760,de,ADP,30.57699966430664,24760
27,1.8,NUM,23.217933654785156,24760,1.8,NUM,35.666500091552734,24760
28,million,NUM,24.80198097229004,24760,millones,NOUN,35.050716400146484,24760
29,0,0,0.0,0,de,ADP,32.80510711669922,24760
30,people,NOUN,20.136747360229492,24760,personas,NOUN,34.887020111083984,24760
31,and,CCONJ,21.738550186157227,27520,y,CONJ,32.706600189208984,27520
32,140,NUM,20.45282554626465,27520,225,NUM,32.089839935302734,27520
33,square,ADJ,21.04682731628418,27520,0,0,0.0,0
34,miles,NOUN,18.708431243896484,27520,km2,NOUN,33.696815490722656,27520
35,of,ADP,23.7143497467041,27520,de,ADP,32.24531173706055,27520
36,land,NOUN,19.509613037109375,27520,tierra,NOUN,32.50003433227539,27520
37,and,CCONJ,22.72685432434082,27520,e,CONJ,31.953784942626953,27520
38,infrastructure,NOUN,18.491647720336914,27520,infraestructura,NOUN,30.18869400024414,27520
39,",",PUNCT,20.14647674560547,27520,",",PUNCT,30.71779441833496,27520
40,used,VERB,20.601642608642578,32120,usada,ADJ,33.552059173583984,32120
41,to,PART,23.49005699157715,32120,para,ADP,34.048187255859375,32120
42,support,VERB,26.017578125,32120,apoyar,VERB,35.684974670410156,32120
43,this,DET,22.494436264038086,32120,este,DET,34.65519714355469,32120
44,booming,ADJ,20.734127044677734,32120,centro,NOUN,32.28377914428711,32120
45,Midwestern,ADJ,21.2371768951416,32120,urbano,ADJ,35.238563537597656,32120
46,",",PUNCT,19.70853042602539,32120,en,ADP,32.409461975097656,32120
47,urban,ADJ,19.64677619934082,32120,pleno,ADJ,33.725276947021484,32120
48,center,NOUN,18.26728630065918,32120,auge,NOUN,31.28921127319336,32120
49,0,0,0.0,0,del,ADP,33.372314453125,32120
50,0,0,0.0,0,medio,NUM,30.67633056640625,32120
51,0,0,0.0,0,oeste,PROPN,33.676483154296875,32120
52,.,PUNCT,19.737369537353516,32120,.,PUNCT,31.884933471679688,32120
53,And,CCONJ,20.89296531677246,37040,Y,CONJ,33.9816780090332,37040
54,now,ADV,22.89180564880371,37040,hoy,ADV,36.4260139465332,37040
55,today,NOUN,21.769594192504883,37040,0,0,0.0,0
56,",",PUNCT,22.320070266723633,37040,",",PUNCT,29.08528709411621,37040
57,just,ADV,23.742918014526367,39160,solo,NOUN,34.03025817871094,39160
58,a,DET,19.14309310913086,39160,medio,NUM,33.8516731262207,39160
59,half,DET,22.082176208496094,39160,0,0,0.0,0
