,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,One,NUM,22.51868438720703,15260,Una,DET,32.01401138305664,15260
1,morning,NOUN,19.842947006225586,15260,mañana,NOUN,30.669513702392578,15260
2,",",PUNCT,19.279987335205078,15260,",",PUNCT,30.204936981201172,15260
3,in,ADP,19.55973243713379,15260,en,ADP,32.536991119384766,15260
4,the,DET,23.922170639038086,15260,el,DET,33.884117126464844,15260
5,year,NOUN,19.024045944213867,15260,año,NOUN,32.424461364746094,15260
6,1957,NUM,19.938987731933594,15260,1957,NUM,33.352081298828125,15260
7,",",PUNCT,21.427749633789062,15260,",",PUNCT,31.16068458557129,15260
8,the,DET,20.384183883666992,19260,el,DET,34.359764099121094,19260
9,neurosurgeon,NOUN,18.48711395263672,19260,neurocirujano,NOUN,31.04085350036621,19260
10,Wilder,PROPN,20.564939498901367,19260,Walter,PROPN,34.529415130615234,19260
11,Penfield,PROPN,19.170272827148438,19260,Penfield,PROPN,35.0303840637207,19260
12,saw,VERB,23.319061279296875,22260,vio,VERB,34.733619689941406,22260
13,himself,PRON,24.430761337280273,22260,se,PRON,33.026859283447266,22260
14,like,SCONJ,21.757064819335938,22260,si,SCONJ,34.48752212524414,22260
15,this,DET,21.319725036621094,22260,a,ADP,33.89075469970703,22260
16,",",PUNCT,21.198057174682617,22260,mismo,NOUN,31.096040725708008,22260
17,a,DET,22.67607307434082,25260,un,DET,37.78560256958008,25260
18,weird,ADJ,19.257225036621094,25260,así,ADV,32.93130111694336,22260
19,freak,NOUN,19.03403663635254,25260,tipo,NOUN,31.740503311157227,25260
20,with,ADP,21.590822219848633,25260,con,ADP,33.046539306640625,25260
21,huge,ADJ,22.40380859375,25260,extraño,ADJ,35.65897750854492,25260
22,hands,NOUN,21.84657096862793,25260,manos,NOUN,33.333213806152344,25260
23,",",PUNCT,20.773765563964844,25260,",",PUNCT,31.474445343017578,22260
24,huge,ADJ,20.480411529541016,28260,enormes,ADJ,34.038326263427734,25260
25,mouth,NOUN,17.54242706298828,28260,boca,NOUN,32.27493667602539,28260
26,",",PUNCT,22.113632202148438,28260,",",PUNCT,30.426589965820312,25260
27,and,CCONJ,19.23476219177246,30260,y,CONJ,32.51509094238281,30260
28,a,DET,22.517423629760742,30260,una,DET,33.13946533203125,28260
29,tiny,ADJ,19.14154624938965,30260,enorme,ADJ,33.26272964477539,28260
30,bottom,NOUN,20.21469497680664,30260,trasero,NOUN,31.05474090576172,30260
31,.,PUNCT,21.29203224182129,30260,",",PUNCT,30.208332061767578,28260
32,Actually,ADV,22.598217010498047,33260,diminuto,ADJ,33.624385833740234,30260
33,this,DET,21.757417678833008,33260,un,DET,36.45062255859375,30260
34,creature,NOUN,21.200687408447266,33260,realidad,NOUN,32.32337188720703,33260
35,is,AUX,20.095333099365234,36260,es,AUX,33.83577346801758,36260
36,the,DET,22.501646041870117,36260,esta,DET,33.26787567138672,33260
37,result,NOUN,20.773771286010742,36260,criatura,NOUN,31.58305549621582,33260
38,of,ADP,24.395233154296875,36260,En,ADP,33.420230865478516,33260
39,the,DET,20.8662166595459,36260,el,DET,34.73933410644531,36260
40,Penfield,PROPN,21.965003967285156,36260,Penfield,PROPN,34.17403793334961,36260
41,research,NOUN,20.466217041015625,36260,resultado,NOUN,30.280656814575195,36260
42,.,PUNCT,21.44611167907715,36260,.,PUNCT,33.49959182739258,30260
43,He,PRON,23.59919548034668,38260,de,ADP,29.33384132385254,36260
44,named,VERB,25.275609970092773,38260,investigación,NOUN,31.579383850097656,36260
45,it,PRON,24.230939865112305,38260,Le,PRON,32.28823471069336,38260
46,homunculus,VERB,18.6401424407959,38260,llamó,VERB,34.814796447753906,38260
47,.,PUNCT,21.784265518188477,38260,.,PUNCT,32.955780029296875,36260
48,Basically,ADV,21.405242919921875,40260,Básicamente,ADV,29.52992057800293,40260
49,the,DET,21.054201126098633,40260,la,DET,32.86317443847656,36260
50,homunculus,NOUN,18.9609375,40260,homúnculo,NOUN,32.19199752807617,38260
51,is,AUX,20.801502227783203,40260,es,AUX,31.08027458190918,40260
52,the,DET,21.03099250793457,43260,el,DET,35.49748611450195,40260
53,visualization,NOUN,19.36800765991211,43260,.,PUNCT,31.779836654663086,38260
54,of,ADP,22.930400848388672,43260,de,ADP,29.589828491210938,36260
55,a,DET,21.896873474121094,43260,la,DET,35.074954986572266,43260
56,human,NOUN,19.71157455444336,43260,homúnculo,NOUN,33.40143966674805,40260
57,being,NOUN,22.303865432739258,43260,visualización,NOUN,31.661964416503906,43260
58,where,ADV,20.800853729248047,45260,humano,ADJ,37.71954345703125,43260
59,each,DET,24.860502243041992,45260,un,DET,36.31216049194336,43260
60,part,NOUN,21.400407791137695,45260,ser,NOUN,32.89165115356445,43260
61,of,ADP,24.26374626159668,45260,de,ADP,31.74393653869629,43260
62,the,DET,23.669559478759766,45260,cada,DET,36.11272048950195,45260
63,body,NOUN,19.985639572143555,45260,parte,NOUN,30.734134674072266,45260
64,is,AUX,21.880882263183594,45260,es,AUX,34.904541015625,45260
65,proportional,ADJ,19.455833435058594,45260,proporcional,ADJ,33.95840835571289,45260
66,to,ADP,21.958749771118164,48260,del,ADP,33.89345932006836,45260
67,the,DET,22.808958053588867,48260,la,DET,34.02503204345703,48260
68,surface,NOUN,19.258108139038086,48260,cuerpo,NOUN,31.24373435974121,45260
69,it,PRON,21.962142944335938,48260,donde,PRON,31.980255126953125,45260
70,takes,VERB,25.28880500793457,48260,ocupa,VERB,34.6885871887207,48260
71,in,ADP,21.907184600830078,48260,a,ADP,35.07950210571289,48260
72,the,DET,23.25148582458496,48260,el,DET,33.06154251098633,48260
73,brain,NOUN,19.965133666992188,48260,superficie,NOUN,32.931800842285156,48260
74,.,PUNCT,21.85892105102539,48260,que,PRON,33.82756042480469,48260
75,So,ADV,20.042287826538086,51260,Entonces,ADV,35.306907653808594,51260
76,",",PUNCT,20.984066009521484,51260,.,PUNCT,31.667970657348633,48260
77,of,ADP,22.610788345336914,51260,en,ADP,32.28739547729492,48260
78,course,NOUN,18.195831298828125,51260,cerebro,NOUN,31.45741844177246,48260
79,",",PUNCT,21.02362632751465,51260,",",PUNCT,32.28910827636719,51260
80,homunculus,NOUN,17.26599884033203,51260,supuesto,NOUN,32.68669891357422,51260
81,is,AUX,21.854284286499023,51260,por,ADP,33.292396545410156,51260
82,definitely,ADV,24.268014907836914,51260,no,ADV,31.93187141418457,51260
83,not,PART,20.592302322387695,51260,homúnculo,NOUN,32.726810455322266,51260
84,a,DET,21.45263671875,51260,un,DET,36.5158576965332,51260
85,freak,NOUN,19.26485824584961,51260,realidad,NOUN,35.08705520629883,51260
86,.,PUNCT,21.535511016845703,51260,",",PUNCT,30.229705810546875,51260
87,It,PRON,22.625024795532227,56260,en,ADP,34.174110412597656,51260
88,'s,AUX,23.138507843017578,56260,es,AUX,34.79164123535156,51260
89,you,PRON,21.357755661010742,56260,alguien,PRON,33.371368408203125,51260
90,.,PUNCT,22.291034698486328,56260,.,PUNCT,32.7437858581543,51260
91,It,PRON,23.299007415771484,56260,insólito,ADJ,33.289794921875,51260
92,'s,AUX,23.252782821655273,56260,Son,AUX,33.27715301513672,56260
93,me,PRON,23.241714477539062,56260,ustedes,PRON,34.548316955566406,56260
94,.,PUNCT,21.456560134887695,56260,.,PUNCT,33.94771194458008,56260
95,It,PRON,23.082441329956055,58260,yo,PRON,35.12519836425781,56260
96,'s,AUX,22.6998291015625,58260,Soy,AUX,28.72623062133789,56260
97,our,DET,23.193021774291992,58260,nuestra,DET,33.55326843261719,58260
98,invisible,ADJ,19.68790054321289,58260,invisible,ADJ,34.731849670410156,58260
99,reality,NOUN,19.64752197265625,58260,Es,AUX,33.595542907714844,58260
100,.,PUNCT,21.87816047668457,58260,.,PUNCT,33.158084869384766,56260
101,This,DET,22.729196548461914,61260,Esta,DET,34.0739631652832,61260
102,visualization,NOUN,23.283634185791016,61260,realidad,NOUN,35.47930908203125,58260
103,could,VERB,25.23564910888672,61260,podría,AUX,32.17310333251953,61260
104,explain,VERB,26.099227905273438,61260,explicar,VERB,35.8412971496582,61260
105,",",PUNCT,21.639022827148438,61260,.,PUNCT,34.11799621582031,58260
106,for,ADP,22.161964416503906,61260,por,ADP,34.42069625854492,61260
107,example,NOUN,18.64157485961914,61260,visualización,NOUN,33.56407928466797,61260
108,",",PUNCT,21.495712280273438,61260,",",PUNCT,31.97646713256836,61260
109,why,ADV,21.22853660583496,64260,por,ADP,33.934635162353516,64260
110,newborns,NOUN,20.456134796142578,64260,ejemplo,NOUN,31.110931396484375,61260
111,",",PUNCT,22.22724151611328,64260,",",PUNCT,28.842191696166992,61260
112,or,CCONJ,23.64080238342285,64260,qué,PRON,32.213722229003906,64260
113,smokers,NOUN,20.187664031982422,64260,los,DET,34.38412857055664,64260
114,",",PUNCT,19.765207290649414,64260,nacidos,ADJ,32.761104583740234,64260
115,put,VERB,21.393627166748047,67260,ponen,VERB,37.06410598754883,67260
116,",",PUNCT,21.012306213378906,67260,o,CONJ,31.978498458862305,64260
117,instinctively,ADV,20.407651901245117,67260,recién,ADV,36.89340591430664,64260
118,",",PUNCT,21.513051986694336,67260,",",PUNCT,29.51577377319336,67260
119,their,DET,23.375186920166016,67260,los,DET,36.051849365234375,64260
120,fingers,NOUN,22.776905059814453,67260,fumadores,NOUN,34.08377456665039,64260
121,in,ADP,22.138935089111328,67260,en,ADP,33.27861022949219,67260
122,the,DET,23.03546142578125,67260,los,DET,32.68260192871094,67260
123,mouth,NOUN,17.908241271972656,67260,dedos,NOUN,35.39130401611328,67260
